https://item.jd.com/100026679498.html,品牌： Apple商品名称：AppleApple Watch SE商品编号：100026679498商品毛重：350.00g商品产地：中国大陆血压监测：不支持血压测量主机机型：Apple Watch SE 40毫米血氧监测：不支持血氧检测表盘形状：方形适用人群：青少年，成人屏幕类型：OLED防水：IPX6电源方式：磁吸充电线表带材质：硅胶
甜***8,star5,喜欢Apple Watch Se，功能挺多的，可以和苹果手机连接，表盘也挺多的，风格独特，吸引人，屏目也挺大的，外观设计风格非常独特，还可以记录跑步时间，喜欢，是正品，喜欢?
白***m,star5,给妹妹买的礼物，用着就爱不释手了，虽然是女孩子，但是还是买了大表盘的一款，非常喜欢，手机?手表的搭配真的是无敌好用了，哈哈
璀***莉,star5,为了运动买的手表，果然没让我失望，款式简单大方，戴上很舒服。每天用来监测运动量，心率，给自己设定目标打卡。一天一充电有点烦人，其他使用感都很好。快递也很迅速，第二天就到了。
c***x,star5,主要功能：运动相关功能非常棒，准确性高。运动后还能排水，真有你的。续航能力：最开始耗电超快，吓一跳，后来发现是设置问题，关一些后台更新，满电能用两天。可以了。操作难易：表冠旋钮别出心裁 方便快捷。做工质量：没得说，必属精品
述***椿,star5,主要功能：接收信息直接在手表上看 特别的方便续航能力：使用了几天  待机是几个小时没有问题舒适程度：表带带上很舒服的做工质量：外表一看上去就很精致 非常的好看给人一种高级的感觉
j***j,star5,主要功能：配苹果手机，功能全开，好评。续航能力：一天一冲是免不了的了。舒适程度：标配的表单很舒服。精准程度：电子表，时刻在线。做工质量：很精致的感觉。外形外观：如果是圆形表盘就舒服多了。
一***男,star5,主要功能：颜值很高，不管男生女生，一定买44的，能显示更多的内容，因为是全面屏设计，所以不会显的很大，续航能力：一天一充舒适程度：佩戴很舒服，我的是买给我男朋友的，他很喜欢，我就很开心，希望他能一直喜欢我买给他的礼物。开学。其他特色：和别的智能??比较还是方的更好些
j***K,star5,发货挺快的，第二天就到了，用了一段时间，感觉不错，首先是续航，充电一天一充可以接受吧，手表手感非常棒，颜值也能打，功能也是非常的强大！
j***8,star5,苹果手表的质感还不错，大小合适，功能也很齐全！非常适合健身跑步用，颜色我也喜欢，总的来说就是现在有活动，性价比超高的哦，值得入手！
小***小,star5,很好看，买来主要不是记录运动的，是用他的消息提醒还有闹钟的功能，而且很好看，618买的感觉性价比很高。续航能力：一天半左右，一天一充够够的舒适程度：舒适，但运动起来就感觉不透气，会有汗积在里面准确性：海拔测量很精准，喜欢戴着爬山
许***8,star5,手表功能很多，用起来很棒，响应速度也很快，页面好看有非常多的表盘可以切换，充电很快，我的手表晚上充了电之后可以用两天，送的表带质量也很不错。
会***蛋,star5,双十一之前给老婆买了40的粉色，用的很好，把我急的，心里痒痒的，本来想着双十一当天买，后面突然有联通给的200块优惠券，不管了，买，选了44的黑色，下单，京东还是这么快，拿回家，拆开，装表带，连接手机，激活，哈哈，爽歪歪！这下后面有什么情况也不用带手机了！
L***0,star5,续航能力：续航有点短，需要一天多一冲舒适程度：戴着挺舒服的可以自己换很多表带做工质量：质量也不错灵敏度：灵敏度非常好可以测心率同步手机app消息，我觉得还挺方便的
幸***鱼,star5,物流超级快，第二天就收到了。设置很简单，桌面选择很多，有了手表，忘记带手机智能不用怕了。苹果的东西都很好，设计感很强。漂亮。
z***n,star5,主要功能：齐全，好好看看这个手表??，我是为了避免孩子们老看**妈的手机，损害视力才买的，SE性价比最高的续航能力：刚刚充电了，试试看吧舒适程度：不孬，特别备注一下，京东小哥给个赞直接给送到家里来了，谢谢！
F***7,star5,黑色好高级呀，比店里便宜四百，晚上下单早上就送来啦，女生用40mm的足够了，戴上正好，很好看～比金色的好看，好看好看好看好看
j***K,star5,大小很合适我的手腕，屏幕很流畅，走步可以不用带手机轻装上阵。如果再有显示健康码和通行卡的功能就完美了！
s***4,star5,给老婆专门买了用了一段时间再评价，老婆入手很满意，第一时间就换了表带，手表没问题正品全新，可以放心购买，苹果的品质还是没什么大问题的。
z***动,star5,主要功能：监测睡眠 运动健康卡路里消耗 监测心率 指南针 噪音监测 洗手时间 全天候高度计 海拔高度等等 还可以搭配各种风格的衣服续航能力：可以满满的一天一夜再加6个小时 共计30个小时 如果轻度使用 可以两天一夜还要多点舒适程度：佩戴舒适无感 就像手腕上没有戴手表一样 我的铝合金版本很轻 适合全天候佩戴精准程度：Apple Watch相当于专业的测量仪器 精密度很高灵敏度：苹果公司的产品 可以说是设计的领头羊 灵敏度极高 工业设计的最高峰准确性：准确度极高操作难易：我上个手表??就是在京东上买的Apple Watch3 刚开始摸索3个小时就全熟悉了 和iPhone的操作一样顺心顺手 简单易上手 这次的Apple Watch se就不用多说了 15分钟设置完毕做工质量：做工精致 质量好 看着漂亮 摸起来手感很好 温润如玉般的质感 爱不释手 天天把玩着 宛如艺术品外形外观：外观设计符合人体工程学 矩形可以显示更多的字体和画面
j***W,star5,很完美的一次购物，全新未拆封的，使用起来很方便，主要功能：检测睡眠挺准的灵敏度：用起来挺灵敏操作难易：简单操作，容易上手续航能力：续航能力也还行，一天半一充的样子
周***贞,star5,这个手表配带舒适，功能非常强大，可以导航，有支付功能，可以监测心率，以后可以不用带手机出门跑步了，用序列码查过是正品，京东购物就是有保障。
风***7,star5,京东物流超级快速，手表是我一直心心念念的，以前用的是华为的手表，这次体验一下苹果的！主要功能：功能比较全！续航能力：刚买回来，还不知道续航如何，网上评论续航一般！舒适程度：无感佩戴，非常舒服！精准程度：智能手表里的佼佼者！
唐***呀,star5,主要功能：可以查询很多信息，不用掏手机就可以看，使用方便。续航能力：基本一天充一次，到晚上还会剩一点电，轻度使用。操作难易：操作性好，简单易上手。外形外观：很有苹果的特色。
a***y,star5,物流：速度还可以，配送比较快。商品：心仪很久的一款手表，经典黑色款，大小正合适，功能很多，还在摸索中。就是充电比较频繁，每天都要充。质感很好，功能齐全。戴着也比较舒适
今***p,star5,手表收到了，很帅气的，京东的物流就是强！上午下单的，下午就收到了！这个颜色看起来也很好看！这个价格买下来也是比较划算的！兄弟们冲！
最***s,star5,主要功能：运动健身，收发消息续航能力：十几个小时没问题的，最好每天都充电，充电也很快！舒适程度：有感觉，很方便，挺舒服的。精准程度：很准确。其他特色：手势动作操控挺方便！
帅***哥,star5,可惜没有三只手啊哈哈哈哈哈哈手表很好了看，系统非常流畅没有出现过卡顿或者显示不正常等等情况物流很快，半夜下单，下午就收到了舒适程度：佩戴起来比之前买的三星要舒服的多的多精准程度：时间很准，苹果生态顶级棒准确性：很准确没有任何问题操作难易：操作简单易学做工质量：做工精细，按钮旋钮都很好外形外观：苹果的产品就是好看！
j***』,star5,性价比很高的se，不错，自己买了个相同颜色的壳套上续航能力：一天充一次电吧操作难易：全部功能还要再摸索摸索啦做工质量：质量还是可以的外形外观：星光色，和我的手机一样
u***9,star5,个人觉得性价比最高，买来做礼物送人的，对方很喜欢。充一次电可以用两天，电量比较耐用。外观耐看，操作简单，超级方便。自己配了手表带，超级nice
木***架,star5,物流很快春节期间京东还是一如既往的快，真是没有想到快递小哥真的是辛苦了。功能很好很强大，也很方便，不过说实话要是平时不运动的话，真的不需要哈哈哈哈
B***s,star5,苹果手表质量很好，里面很多实用的工具，而且设置好以后，会实时提醒，打电话，发短信，睡眠模式都很好用，表盘也很好看，米老鼠图案好看，点击还会报时
西***岚,star5,刚入手，心心念念的，第一次体验苹果手表?，款式很好看，功能齐全，体验中…………再分享
q***5,star3,总体来说还是很快的，但是在看里面包装时发现有破损
花***行,star5,想了很久要买什么礼物，最终还是选定了app watch，特意选了京东自营的门店，赶在七夕前下单，第二天早上就送到了，真的很及时。40的尺寸，非常适合女孩子，大小刚刚好，星光色也很称肤色，赞??
笑***老,star5,主要功能：各种功能齐全，主要用微信和***，健康也用。续航能力：基本上两天一充，微信消息比较费点。舒适程度：戴着很舒服，表带也很好。精准程度：电子设备准确度基本没问题，指南针有时候不准。
俊***鸿,star5,首先，赞一个，做工非常精致，也很轻巧，再者，功能亦是很多样，在使用方面，很是方便，与手机之间的协作也是非常契合，总之，非常的方便
3***6,star5,很好看，男生带很好看，接电话，发微信，都很方便。双十一减了400。好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看。
吕***Q,star5,上手效果很不错，高端大气上档次佩戴舒适，没有不适感电池耐用，正常使用可以好几天还有可以解锁苹果手机，这个功能很早就有了，对了现在疫情期间，真的很不错了，希望以后可以戴口罩解锁外观质量方面不用说了，苹果6666
r***n,star5,价格还不错，给自己买的小礼物，配合运动非常不错！京东配送也很给力，第二天就到了，晚上就用上了，很喜欢！
X***你,star5,看这个已经一年了，这次终于入手了，真的是满心欢喜的感觉，种草了种草了种草了，戴在手上真的是好看，真的是满意的很呀，爱了爱了
收***-,star5,早买早享受，真的超级无敌帅气之好看，而且功能巨多，带口罩解锁，每天温馨提示各种，买的时候其实看重sos提醒和报警，用了以后发现真香的地方太多太多了，黑色无货，买的午夜色，真的很绝，实物看起来超级好！
j***4,star5,呀呀呀，喜欢手表很久了，终于下单啦，动起来吧……颜值和功能都nice，哈哈哈哈，手黑不要在意这些细节，运动的人不怕黑?，跑步可以不用在带手机出门了，数据记录非常准确，喜欢喜欢
j***n,star5,非常好用，刚拿到手没电了，充电半小时后激活连接，借助辅助功能操作很棒续航能力：一天舒适程度：非常舒服精准程度：很不错
西***b,star5,主要功能：和苹果手机一样的功能，超好用续航能力：这个听说一般，暂时还没发现舒适程度：苹果产品不用说了精准程度：超好灵敏度：灵敏度绝了外形外观：外观特好看
雨***尔,star5,用了几天，正常使用。两天一充电。手表自身很好。自己贴的膜，失败了
j***j,star5,真的很好用，功能很全，戴上舒适感很强，精准程度很高，特别喜欢
l***6,star5,宝贝收到了，使用了一段时间，使用效果很好，续航能力不错，佩戴上很舒适，精准程度高，灵敏度高，操作简单，做工精细，质量很好的
铁***人,star5,发货速度很迅速 到手就充电用上了整体满有质感的 戴着蛮舒服的没有负担感 外形外观很流畅 好看的功能这块只要也是为了用来测心率  运动时当一块心率表用完全足够了
小***醒,star5,主要功能：回消息 看时间 监测心率续航能力：一天差不多舒适程度：女生表盘41的就好灵敏度：很灵敏顺滑操作难易：好上手 操作简单
l***6,star5,宝贝收到了，给小孩买的，小孩使用了一段时间，使用效果很好，续航能力强，很舒适，准确程度高，灵敏度很高，操作简单，小孩很容易就学会了，质量很好
S***g,star5,快递耽误一天。可能春节高峰期间堵车吧。先说产品，Apple的design 确实精巧。满满的设计感。无论一个简单的保障都是那么精巧。表带完美卡入手表。手表没电充完电又升级了才能用。耐心就好。相信苹果。
最***s,star5,主要功能：我觉得最好的功能就是消息提醒很及时很到位。续航能力：每天都要冲一下电！充满只能用一天。舒适程度：挺好的，大小合适。精准程度：挺精确的。其他特色：运动健身这块，防水这块，做的挺到位的。
P***S,star5,六一买给儿子的节日礼物，小家伙心心念了一个学期了，昨天终于到货了。孩子很喜欢。手表功能很多很强大。他带着正好。准备去营业厅开通esim功能，这样以后就可以打电话了，待机时间还可以吧，平常普通待机的话可以两天。第一次使用Apple Watch有些功能，还不是太熟练。正在持续的摸索中，这样小家伙就有平板手机和手表三件套了。
n***p,star5,主要功能：基本功能不错续航能力：一般化舒适程度：还可以精准程度：很好其他特色：性价比还可以灵敏度：灵敏准确性：很好操作难易：容易做工质量：很好外形外观：很好，物流很给力，没的说，希望下次不要不打招呼直接扔到快递点，其他没的说。
爱***猪,star5,太好看啦，星光色真的好显白，但是每天给它换表带也很快乐！哈哈，se性价比还是很高的！
p***r,star5,续航能力：一天一冲外观材质：好看！我的iphone12是机，下载好应用感觉很好，功能很多，又多了一个每天锻炼的理由了。挺好看的，充电挺快的。
t***a,star5,到货速度超赞，异地发货早上下单下午四点多就送到家，这速度没谁了，带老婆买的买前做了功课，最终选择了SE，性价比挺高的，与6比除了没有常亮屏和血氧监测其他功能都差不多，而对于常亮的需求可有可无，至于血氧压根就不准更别提医学参考价值了，基本就是看个乐，所以舍弃这两项少出15张毛爷爷个人感觉挺值的。
帅***人,star5,真心不错 看上蜂窝功能 跑步可以不带手机啦 电量的话 一天一充 毕竟祖传电池不给力哈 毕竟屏幕大比较耗电 跑步可以不带手机 配蓝牙耳机听歌使用 很方便 我用的云村要开会员才能下载歌曲下表里哦 很强大 个人觉得蓝色比较好看
轻***雨,star5,咋说呢，杠杠好，星光色绝了，两个表带一长一短，买的GPS版，对我来说够用了，充满电可以用两天，而且绝对是新机器，质量有保障，我买的套餐还赠一个原装充电器头，还有一个水凝膜，超级划算啦，正常买充电器头也要一百多呢，总得来说就是比实体店划算！买吧，心动不如行动，早买早享受！！！！！！！！
伍***灬,star5,主要功能：功能很多 很好用续航能力：一天一充 还可以吧 蜂窝啥的什么都开完舒适程度：佩戴舒适精准程度：时间很准 信息也很快收到
大***-,star5,肯定非常好了续航能力：一天50的电量灵敏度：非常灵敏操作难易：操作容易做工质量：苹果的做工肯定没问题严丝合缝非常精致
j***9,star5,手表不错，功能很全，还可以测心率，最主要的是开车打电话特别方便，更便捷，戴上酷酷的，买东西就上京东，特别方便，无论是品质还是物流都相当给力，快准狠，绝对是那个
嗷***王,star5,手表太惊艳了，运行非常流畅，跟手表完美匹配，不能用手机的时候，手表用上，非常棒，使用体验感很不错，下载了好几个app，很好用，买的蜂窝版本，离开手机也可以使用，简直妙啊，喜欢
j***T,star5,非常简洁，功能够用。电量一天可以的。我配了好看的表带，高级感满满。感谢苹果大促，良心店铺！到货那叫一个迅雷不及掩耳盗铃。
老***迹,star5,表盘屏幕尺寸比原先更大更细腻了，确实很清晰的，操作很流畅，内存也很大了，确实很不错，而且速度很快，新的充电器很不错速度很快，总体可以的
j***v,star5,第一次看，觉得非常的普通。。就是一个规则的正方形，没什么出彩的地方，但是不得不说，铝金属的质感非常好。同样的，正是这么规整的设计，使得watch在日常通勤、商务、运动、休闲时尚等任何场合的适应性都非常好。都说男人需要三款表，来应对不同的场合，对于刚入职场的小白，其实一个watch已经足够了。
我***呀,star5,换了个表带，舒服多了，运动起来很方便，手表很好，就是每一天半要充一次电，还有就是要在卸下手环时候解锁，其他我觉得都还不错，监督我运动了，很好，非常不错
周***z,star5,很棒 使用起来简单快捷，好上手，舒适程度：跟普通手表一样，重量轻，夏天出汗不会散发皮质手表的味道操作难易：操作起来无难度，有兴趣的还可以开发其他功能
P***2,star5,已收到 非常的喜欢等了很久终于赶上降价了  那能还不快入手主要功能：满足日常运动使用 骑行 游泳 健身都可以了 每次的消耗热量  心肺测量 舒适程度：佩戴舒适  很轻
a***7,star5,"主要功能非常得好，续航能力也很强,舒适程度非常好，非常的精确，我喜欢黑色的,也可以比较好操作,质量非常好，因为原来的那块手表坏了，所以重新换了一个比较喜欢这个手表，其他的特色比上一个手表更好用。"
晶***药,star5,续航能力：一天一充舒适程度：很棒灵敏度：很棒操作难易：操作简单外形外观：40很适合女生主要功能：功能也不错，我够用了买的是蜂窝版的觉得很有用处。    总体不错 越用越香。
年***甘,star5,主要功能：有NFC功能在刷公交和地铁是很方便，平时跑步游泳，锻炼比较多的人也可以用这个手表来记录自己的运动轨迹，还可以用来监测睡眠治疗。还有摔倒检测功能。跟iPhone之间的协同配合，是非常好的体验。续航能力：续航能力还可以，基本上一天或一天半一充就可以。充电1小时的话可以充满。舒适程度：手表比较贴合手腕，而且送了一长一短两根表带，可以根据自己的手腕的粗细选择。
你***o,star5,主要功能：苹果手表的功能确实很强大，基本上可以脱离手机去操作一些日常常用的APP，续航能力：续航一般，比不了华为，可能因为功能多吧舒适程度：戴着很舒服精准程度：电子产品很精准
游***u,star5,先说产品质量：很不错，对手表要求不高，满足需求！续航一天一充基本，冲得很快！反应也很灵敏！再说客服服务：很好，回答及时，效率很高！最后说快递：发货快，京东物流没得说，快递小哥态度也很好！
z***6,star5,主要是为了好看，买了好几条表带，已经带习惯了，摘了会感觉手脖子空空的，很喜欢，很实用我感觉se的功能就够用了，下载睡眠app更好用
爱***糖,star5,颜色非常的好，跟耐脏，媳妇很喜欢，功能很棒，设计也很棒！本来打算到了双十一才入手的，但是架不住喜欢，早买早享受，和媳妇的iphone12pro很搭！
j***E,star5,续航能力：Apple Watch一天一充吧 毕竟这么多功能舒适程度：日常佩戴 还是比较舒适的精准程度：时间是和手机同步的灵敏度：非常的灵敏其他特色：特别喜欢手机找不到了他可以让手机响这个功能 我经常乱丢手机 这个功能对我来说非常实用
j***3,star5,哈哈哈哈！收到就爱不释手的打开啦！快递真的是超快！上午下单、下午下班前就收到啦！没有更换手机14、把老手机升了个级！完美适配！运动起来更有动力啦！开心！
u***m,star5,主要功能齐全，颜值超高，续航能力不错，两天一充，佩戴也很舒适，精准程度很高，灵敏度高，准确性高，操作容易，做工质量很好。
j***m,star5,主要功能：健身的时候，用来来效果挺不错，可以测心率，燃脂等续航能力：电池一般需要一天一充，续航能力待提升舒适程度：很舒适，带着没有负重，链接手机用起来感觉很好
w***e,star5,新款就肯定要追的，哈哈，这个表带颜色显得非常高级，而且配衣服也很好，什么颜色的衣服都能搭，续航也比之前强了一些。总之就很好！
J***L,star5,续航不错两天没问题！触控效果触控很灵敏外观材质款式很漂亮用了几天来评价，样式好看，孩子很喜欢！拍照也还可以，还有丰富的功能。通话音量很清晰。用了几天，非常棒的手表，集各种实用功能于一身，适合小孩戴，家长随时掌握小孩信息，颜色很粉，手表有拍照功能很方便，小孩很喜欢，爱不释手。
名***号,star5,手表颜值太高了，蜂窝版可以单独打电话，和其他很多功能，太方便太赞了，电池必须每天一充，如果再大点就更好了，才开始用，希望质量可以稳定。
