https://item.jd.com/100009464799.html,"['AppleMacBook Air', '100009464799', '2.47kg', '中国大陆', 'DCI-P3', '高端轻薄笔记本', 'MacOS', '15.1-18.0mm', '金属', 'Apple', '8GB', 'Apple-MacBook Air', '支持IPv6', '灰色', 'Apple M1', '60Hz', '13.0-13.9英寸', '16:10', 'APPLE M1 集成显卡', '指纹识别，长续航，Wi-Fi 6', '256GB', '无机械硬盘']"
冬***牛,star5,原厂正品吗包装是一次性的，很放心，京东自营的贵几百，也是值得的，操作系统很稳定，很舒服，丝般顺滑，M1芯片的牛啊，只是A面的logo没有灯了。
z***6,star5,用起来很丝滑，开机非常快，追剧真的很爽，非常的高清，屏幕一点也不闪，买来办公的，不打游戏，足够了。后面不知道速度会不会变慢，到时候再追评吧。
杨***-,star5,东西很不错很好。。。运行速度：很快心心念很久了终于买了，电池续航能力强，超薄功能强大 无论是办公孩子学习，很方便，小巧便携，第一次收到货有划痕很快更换了，京东购物有保证！
-***界,star5,运行速度：苹果运行速度不用多说，买苹果的人也是奔着运行速度来的屏幕效果：屏幕效果也是非常不错，跟期待的一样散热性能：使用了一段时间，散热效果完美！外形外观：外形是目前笔记本当中我认为颜值最高的一款了。
就***主,star5,物流超级快，第二天上午就到了，买来赶紧检查外观，没问题，直接激活，用起来挺顺手的，没有网上说的那么难适应，外观好看，真的是到手开合！
h***9,star5,给小朋友上大学的礼物，很喜欢。一开始说不适应，后来慢慢就适应了。速度飞快，苹果生态好，省的玩游戏了。再就是mba的重量很轻。
N***d,star5,真的非常好用，用了一段时间了，不错，价格实惠，物流也很快，下次还会再来的。一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠
阳***洞,star5,帮朋友买的，自己也很是喜欢，就是两年前的产品，做工那是很不错的，价格也很是美丽，大品牌很值得信赖，屏幕效果很好，色彩鲜艳度高
太***点,star5,电脑很好，分别率高，而且和手机和iPad连接起来很方便。缺点就是学习成本太高了，第一次用得一边查使用说明一边用。
快***生,star5,外形外观：外观很酷，虽然是2020的款，但还是很好看轻薄程度：很轻便，装在包包里带去上班很方便！！
I***6,star5,果粉看到618有活动立马冲了，目前使用没什么缺点，屏幕效果非常不错，运行也很快，办公剪视频可以满足需求。
t***3,star5,质量非常不错啊，价钱还便宜赶上活动买的非常划算，播包装非常严密，没舍得才，你们要送给别人物流速度非常快给五星好评，京东多年买苹果都在这里买，非常满意
S***e,star5,我先说一句，Air他是真的香，又轻又薄还待机时间贼拉长～一个字绝。以前是我见识浅薄，用了才知道苹果生态真的牛。我用的iOS系统没有装别的系统，用来写东西办公，需求也不高，这个完全满足。主要是好轻啊，太方便了
j***2,star5,因为要经常出去办公，要带着工作走，所以需要一台好用轻便的笔记本。都没咋选，直接考虑的mac book air，抱回来包装非常好，本子也很好用，超级顺滑。
j***1,star5,新电脑上手很棒 比我想象的还好 我的苹果设备都是灰色的 系统顺滑 找Apple支持小哥确认了是全新正品 卖家还送了一个双肩包 质量也很好 我自己又要了个手提包 这个手提包物超所值 手感很棒 机器还在熟悉中 总之是一次很满意的购物
j***b,star5,京东物流及时安全，电脑操作简单方便实用，质地细腻品牌保证，可与手机互通信息共享资料备用，界面清爽，内置各种程序，输入法特别实用，值得重点推荐
j***8,star3,很漂亮，但是很多都不兼容
Y***y,star5,京东的快递没的说，家里的电脑使用时间太久了。换台新的调整一下心情，比老款精致多了。目前使用问题不大，屏幕素质提升很明显，赞！
H***t,star5,电子产品一直在京东上买的，货品有保障，种草很久了，买手机送了A?会员，这次入手活动非常给力，体验很顺畅，手机电脑用着都很好，入门款式，日常使用足够使用了
S***V,star5,芜湖！电脑收到了，昨天买今天到，观望了很久，在优惠的加持下，达到预算目标，主要买来办公做一些外贸工作，电脑非常轻便，运行起来静音得很！目前操作起来还需要适应一下！
烧***景,star5,物流真的非常快，不过第一次用Mac电脑，不是很习惯，还在继续摸索中，相信用习惯了就会很便利。文艺工作者还是很适合用，据说可以用很久，期待
j***Z,star5,送货速度非常快，包装有破损，还好里面是好的，速度很快，系统超好速度快非常棒值得买，价格便宜活动好的，购买可以，非常轻便啊
t***f,star5,这款性价比很高 也能使用很久 是全新的正品 使用过一段时间 平时的工作还是学习都能满足 基础款的内存也是够够的 希望可以服役久一点
猫***生,star5,手感好，物流也快，性价比很高，值得购买。但是电子产品在调试过程中难免会有小瑕疵。大家得有心里准备哈，其他的都挺好，没有声音很喜欢
x***跑,star5,一如既往的好 用苹果习惯了 之前的坏了 买了这个 pro换air也没觉得降级 深空灰好好看 很高级的感觉哈哈哈哈哈哈哈哈
缸***6,star5,续航能力强，比较有质感，运行速度满意，性价比比较高，有朋友万需要会推荐该本本的。电脑非常流畅，性价比很高。客服也很热心，凌晨都还在，回答问题特别耐心。
j***2,star5,618对比下来京东的价格最贵，除了价格其他都好，质量最放心，送货速度最快，半年以换代修，赠送常用软件，加购了两年全保修以防万一，电池循环次数1次
F***3,star5,很喜欢，教育优惠价格拿下非常划算，就是很多软件不支持，需要一段时间适应。目前又键快捷键用的都不熟悉，希望尽快适应，做好它的工作?
帅***学,star5,一直关注这款笔记本很久了，这次赶上有活动立马出手，知道过几天可能也会降价，不过没关系了早买早享受话说，拿到手的时候真的超级好看，怪不得人家都要拥有一台苹果的笔记本，至少颜值及正义。
D***7,star5,挺好的，和想象中一样，满意！物品完好无损，用起来很舒服，物品完好无损，用起来很舒服，满意满意满意满意满意满意满意满意满意！
j***z,star5,苹果的产品就是好，macbook air非常轻薄，大小适中，办公的利器，价格也非常香喷喷，一次完美的购物体验！
王***n,star5,京东物流就是快，隔天就收到货，包装完好服务周到。苹果电脑收到后果然名不虚传啊，机器运转的流畅，单手翻盖，送给老婆的礼物，很满意。
少***宇,star5,运行速度：非常快捷屏幕效果：视网膜级，看屏膜很舒适散热性能：虽然没有风扇，平常办公，不发烫外形外观：苹果外观好看轻薄程度：携带方便，非常轻薄搭配全家桶办公很方便，因为用不到特别专业软件，对我来说兼容性好
u***v,star5,笔记本轻薄小巧，续航能力很好，外观简洁大方，运行速度：流畅屏幕效果：略小散热性能：一般外形外观：好看轻薄程度：很轻很薄
柚***猫,star5,一直想买这台电脑好久了，偶然发现京东有活动，比学生价还便宜很多，超级合适，就赶紧下单，隔天到，物流很快，包装严实完好无损，打开电脑检查激活没有瑕疵，很满意的一次购物
j***3,star5,收到了，M1真的非常的好，性价比很高，非常的轻，买air就是看中它的便捷性的。用了很多天都没有什么问题，这个价格入手可以说是非常的划算了。
一***云,star5,京东就是买个放心。全新，送货很快。M芯片的Mac确实比以前英特尔芯片省电，待机那是相当的好，平时出门在外用一整天是没有问题的。
j***q,star5,运行速度：苹果笔记本用来平时办公非常实用屏幕效果：屏幕很清晰散热性能：散热效果还不错外形外观：外观大气上档次 耐看轻薄程度：非常轻薄 平时外出上班办公携带非常方便
j***3,star5,送给侄子高考结束，上大学的礼物！2013年我十年前的妈妈送的研究生礼物MacBook Air 13.3现在还在用，质量杠杠，运行流程，屏幕分辨率高，眼镜很舒服！2023年的MacBook Air，各方面性能都提高，性价比超高，精致小巧，和iPad 想比较，功能更齐全，个人学习办公喜欢用电脑侄子一定很喜欢！
天***宝,star5,运行速度：iOS系统运行还是很不错的，只要慢慢适应这个系统就行屏幕效果：屏幕显示很不错，日常使用够了散热性能：散热很不错，但是完全静音外形外观：外观简约大气很不错的电脑。
b***0,star5,关注了很久还是决定买了，用了一个月来评论，没失望，速度很多，一点不热，流畅，手感好，操作起来上手需要时间，没鼠标不太习惯，值得入手，办公用绰绰有余了
在***海,star5,超级棒！机器是今年生产的哦，然后所有的序列号都能对应上！很漂亮，太开心了，这几千块花的真的值得，苹果果然是极致的做工，美的要命，然后京东的购物体验也是一流，很愉快的一次购物体验。
泥***紫,star5,这个MacBook Air m1 已经很强大了，一样的?可以买更大一点的，更加丝滑。真的很赞。东西真的很不错。棒棒哒，经常买
R***T,star5,包装非常结实，东西保护得很好，值得好评价格实惠，质量杠杠的，非常好的一次购物，下次还来?不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的
语***名,star5,运行速度：苹果的Mac，在os系统的加持下APP打开，视频的播放真的很丝滑。屏幕效果：在同类笔记本中显示效果绝对是最棒的。外形外观：外观很精致把工业品做成艺术品。散热性能：苹果自研M1芯片日常办公根本真的就轻轻松松。
吐***O,star5,太好了终于有新电脑了 显示屏非常棒 看着就赏心悦目 买的是最base的版本 完全能满足我打字追剧的需求了 优惠的时候买的 价格超级划算！
L***猪,star5,外观小巧玲珑，很精致，个人非常喜欢，本来担心苹果系统用不习惯，使用了一下，慢慢适应后感觉很棒，苹果处理器确实不错，期待开发更多功能。
张***西,star5,运行速度：运行还是很不错的，日常办公够用屏幕效果：屏幕很好散热性能：散热不错外形外观：外观无话说
小***k,star5,第一次使用macbook，通过教育优惠购买很划算，做工精细，外观漂亮，很轻薄，键盘手感好，屏幕色彩显示细腻，运行速度很快，操作简单
X***野,star5,运行速度：京东确实快啊 第二天就到了屏幕效果：很nice 可以看图散热性能：不完游戏 看看视频和网课r
幽***3,star5,很简约轻薄，用起来很丝滑，因为平时不怎么玩游戏或做复杂的程序，综合考虑后选择了M1，性价比很高，画质清晰，音响很棒，非常喜欢，爱不释手呢
琥***雨,star5,618买的性价比很高，平时备课用，轻巧方便，代替了我使用了6年的联想小新。现在苹果全家桶达成，生态无敌。希望陪伴我更久时间
信***4,star5,真的非常不错，很适合办公来用，苹果电脑的品质绝对有保障，非常适合办公人士，而且很轻盈，非常便于携带，并且有着非常好的续航功能。
G***-,star5,用来追剧很不错，配送超级快，m1芯片不错，完全够用，屏幕也不错，颜值挺高的，教育优惠买的，价格也很便宜，一点都不卡，不错。
陈***r,star5,物流很快 当天购买当天就送到了 机子收到就按照网上验机流程走了一遍 全都没问题 很开心没翻车 电脑和手机都是Apple 流畅度 外观 手感 肥肠奈斯 希望这台电脑和我手机一样能陪伴我很多很多年~
z***5,star5,考虑了好久，看到活动力度这么大真的是非常不错，果断购买，京东销售渠道信得过，产品拿到后也不错，苹果产品一直在用，现在三代同堂，用了就换不掉，活动很好值得推荐
抖***师,star5,笔记本用的，很好用，买了一个，也是用来办公用的?宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的???
你***蜜,star5,棒级了！京东的东西，就是放心。正品。可以说是非常喜欢，手机?电脑，大件，还是选择京东。不要图便宜，选多多。物流速度很快
j***n,star5,观望了好久，终于买了，真的很喜欢，还在摸索中。外观很有质感，屏幕很清晰，声音自带混响哈哈哈哈，附上我可爱的壁纸两张
z***1,star5,我加入了十会员，还给了价格优惠，新的电脑外观大气、速度快、屏幕效果非常好，续航能力很强，第二天就收到了，非常喜欢，满意的一次购物。
一***石,star5,苹果电脑还是很好用的，系统流畅，如果不是微软系统刚需，这个电脑还是孩子比较好的选择，教育优惠好多，系统干净，没有那种卡卡的感觉
冉***3,star5,运行速度：苹果真的十分丝滑。屏幕效果：屏幕细腻，一直做的都非常好。散热性能：用了好几个小时也不发热，而且他的散热不会有声音。外形外观：苹果的设计感一直很不错。轻薄好看
j***b,star5,好用，流畅，最重要的是轻薄，出差方便携带，作为备用机很满意，京东物流很给力，晚上下单，第二天一早就到了。
j***7,star5,超出预期，质量很好，做工精细，满意趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢物流很快，物品完好无损，用起来很舒服，喜欢?
