https://item.jd.com/100000458567.html,品牌： Apple商品名称：AppleApple Watch商品编号：100000458567商品毛重：280.00g商品产地：中国大陆适用人群：青少年，成人电源方式：其他优选服务：一年质保血氧监测：不支持血氧检测表带材质：硅胶防水：50米AI语音功能：不支持AI语音功能主机机型：其他
u***9,star5,618活动价格很给力，试用了几天，完全没有质量问题，性价比超高的一款手表。买来的主要目的是督促自己运动和消息提醒，这两点都能很好的满足，要不总错过工作上的信息，很尴尬。下载了一个跳绳app，再也不用默数个数了，多种模式，让跳绳也变的有趣多了。健身记录的三个圈真是逼死强迫症，努力让三个圈都闭合，哈哈哈哈。38的大小女生带也很合适，抬腕亮屏也深得我心，表带也可以随意更换跟服装做搭配。预算有限，的小伙伴可以考虑购入，希望有手表的督促可以减脂成功。
幻***1,star5,很大的一个箱子，里面就一个Apple Watch3，签收前查了序列号什么的，未激活，感觉可以就直接拆封，外观无瑕疵，直接激活，续航两天一充？完美！下次买新款AirPods新款iPad pro美滋滋.
j***e,star5,非常靠谱，原装正品未拆封，值得信赖，赶在活动入手就非常值了！之前没有用过苹果手表的，三代已经完全可以满足你的一切幻想了，强烈推荐！
笑***然,star5,宝贝收到咯，真的很棒呀！?质量真是没话说，非常满意！?开心开心?先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。
X***K,star5,现在入手很划算。蜂窝网络版本的还不成熟，等更成熟了在升级。使用感受，接收信息，来电提示，以及运动时音乐控制很好用。自带的运动，活动，站立提醒App非常好用。毕竟，健康才是一切的本钱。手表带着也很好看，即科技，又时尚。关于电池，我可以勉强三天一充，但是最后一天会比较难过，现在是两天一充，基本还有百分之二十多的电量。
紫***5,star5,种草很久的一款手表了，最近这几年特别钟爱手表，这次看到活动价，立马心动剁手，收到果然如此喜欢，大小对于女生来说很合适。喜欢再喜欢。
j***9,star5,主要功能：看天气，时间，信息电话等等续航能力：一般舒适程度：较好精准程度：很好灵敏度：很好做工质量：强！！外形外观：还可以我买的38mm的，感觉比较小巧，很喜欢，这里我想给大家一个建议，买了以后一定要同时买膜！！不然很容易划到！！~~功能性真的非常强，比小米荣耀还是要强太多了，流畅性换来的是电池的迅速消耗，只能说有得必有失吧，上一个荣耀2续航能一周，但是动画真的卡顿，这个就是流畅性缺失换来的续航，这个我一般用到晚上到家了做饭洗澡就充电，然后晚上带上监测心跳，这样循环一天还可以剩差不多三十来的电，还可以！！苹果彻底粉上了！
麦***兜,star5,是理想中的产品，质量不错，物流也很快，值得点赞苹果还是苹果，系统流畅度非常高，这个手表百搭的，夏天带上很简洁，总体很喜欢，除了耗电稍微有点快
u***y,star5,主要功能：不错  可以测心率 还能做深呼吸  背景也多样化  有米老鼠  地球?  太阳系 月亮?  还能测步数  记录睡眠时间  噪声监测  爬楼次数续航能力：续航不错  把不用的功能比如Wi-Fi 蓝牙 关掉之后最长可以待机三天做工质量：质量非常不错 戴起来非常有个性  有水滴模式 适合游泳?‍♀?使用操作难易：操作简单  和苹果系统一样精准程度：时间很精准 定位也很准确  心率还能不错  可以检测身体状况  睡眠心率也能测出来灵敏度：相当灵敏
文***泽,star5,京东自营的产品没的说，全原囯行正品，开机零电量，送了礼物，功能强大到让你不可思议，大家放心购买。主要功能：微信，QQ，***，运动健身，音乐等几十种APP。续航能力：两天以上。舒适程度：非常轻松，亲肤性极好。精准程度：相当精准。灵敏度：极高的灵敏度让你知道什么叫真正的喜欢。准确性：十分准操作难易：很易操作。做工质量：一流做工，一流的质量。外形外观：好的外形是其他品牌无法复制的。其他特色：充电的吸盘式无线充，非常方便。
J***柒,star5,外形外观：挺好的，时尚续航能力：一般一天充一次操作难易：操作很简单哦正想买块表，看到同事新入了5，心里有点小纠结。从实用性来说，3足够我的日常使用了。第一次用iwatch，一直很想入手的，趁着降价赶紧买了，果然不负期待，自从去年换了苹果手机，苹果电脑后，完完全全变成了一枚果粉。
晚***风,star5,不错，使用了几天来评论的，价格实惠发货速度很快，当天到的，全新未激活的！不得不吐槽一下，好歹近三千块的商品呢，就拿塑料袋装一下发出来了！无语！
霖***9,star5,非常满意！苹果手表与苹果手机配才合唱，前两天整一个华为，不匹配确实效果不好！苹果除了系统以外其他真的没有什么可说的！运货速度很快。包装完好。看图吧
从***刀,star5,舒适程度：很满意?，做工很好，物流快，客服很棒，点赞续航能力：刚充满电，还没测试，能用两天我就满足了外形外观：白色的，挺好看，不过我有一个地方搞错了，我应该买42mm，因为这直接关系到表盘的大小，而不是你的手大小决定的主要功能：看了网上评测，三代目前最有性价比，没用过的可以入手，土豪直接买 6操作难易：自己摸索了一下，基本功能都会了吧
J***3,star5,主要功能：收发信息电话，还支持微信***续航能力：可以用一整天舒适程度：硅胶表带很贴合手腕精准程度：比我的机械表精准多了其他特色：带上很酷很年轻时尚灵敏度：触控灵敏震动及时提醒做工质量：苹果做工无可挑剔
u***k,star5,苹果手表3，性价比高，价格合适，功能性较强，时间准，功能全面，操作起来很方便，做工精细，灵敏度高，完美匹配苹果手机，一个词，好用！！佩戴在手，舒适，表带选择多样，款式各异，如需更换表带，简便快捷！！缺点，一是表盘偏小，二是电池容量较小！！
V***o,star5,在京东买了苹果很多东西了，iphoneipadairpodswatch，感觉不用费什么劲去查序列号，自己用的开心就行，东西很快，早上下的单，下午就到了，我还在睡觉呢，非常nice
J***界,star5,表盘比想象中的小，第三代Apple Watch的app打开速度很快，续航一天完全没有问题。
拥***c,star5,主要功能：买来主要用来运动记录！3代足够了。运动功能很全面，能够满足日常健身活动所需。热爱健身健身的小伙伴必备神器！续航能力：晚上充电一个多小时第二天用一整天还剩一半电量，对我来说足够了。舒适程度：带着比其它手环类的舒服太多了精准程度：心率测量很精准，跑步，力量练习还能很好的记录卡路里其他特色：特意买了38的虽然尺寸不大但是运动中也减少了磕碰，如果用做娱乐接收信息等可以买大号的！还有真的不卡，系统流畅。
小***逗,star5,下单后当天就收到了、真的很速度，也很喜欢。这是用的第三个了、我是名副其实的果粉、信赖苹果公司开发的产品。方方面面用起来特别舒服，快递也很给力、
布***鲁,star5,准备等蜂窝网络出来在入手的，等不及了。先用着吧，刚拿到手都不会弄，要配合手机才行。我的手机6s，前几天才从11降到10，现在为了这个又得重新升级。产品不错实时监测我的健康，很贴心的感觉。
G***妹,star5,主要功能：表，手机，手环 功能非常强大续航能力：两天没有问题，正常使用，当然玩的多一天半舒适程度：非常轻盈，舒适，夏天也不热，很好的精准程度：精准毫秒不差灵敏度：很灵敏，在固定范围内准确性：时间准确，定位准确操作难易：方便，容易上手做工质量：没得说苹果就是苹果外形外观：时尚小巧精致大方其他特色：解放了手机，手表在手，手机一边呆着，干啥不耽误
j***4,star5,很好用，平常拿来听听歌，测测心跳，跑跑步，很准的，推荐带着手机使用续航能力：最低1天舒适程度：没啥感觉精准程度：高灵敏度：快做工质量：帅外形外观：帅主要功能：玩游戏骗你的
a***j,star5,上午买，下午到。之前的摩托手表坏了，平时用手机不喜欢有声音，所以又买了iwatch配合ip7用。的确很方便，使用很便捷。待机时间也长了，符合我的日常使用。
糖***9,star5,很好用，方便携带主要功能：功能很多，苹果的功能都是很流畅的，很好续航能力：一般就是两天舒适程度：真的觉得不错精准程度：很好，跟手机匹配度很高做工质量：做工精细，佩戴舒服
亲***贝,star5,真心觉得很好用，适合女生佩戴。屏保的图案也很多选择，都很好看。舒适程度：佩戴舒适程度还不错，很贴合续航能力：每天都需要充电灵敏度：还行外形外观：很好看。
s***x,star5,非常好的购物体验，中午下单，下午6点就送到了，简直堪比神速，手表也很喜欢，非常漂亮，简洁大方，爱不释手
o***9,star5,主要功能：质量很好，收到货第一时间打开看了，很不错，很满意续航能力：真的好喜欢，客服态度也挺好的，值！以后有需要还会来买舒适程度：材质很好，质量也不错，到货也很快精准程度：包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??其他特色：?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?灵敏度：?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买准确性：宝贝特别喜欢，颜值高质量好，中看又中用，有需要的朋友不要犹豫了，最后祝商家生意兴隆！操作难易：便宜又实惠，买了好多，宝贝一如既往的好?，性价比非常高，大品牌值得信赖?做工质量：绝对是最开心的一次购物，店家服务态度很好，售后也是外形外观：以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！其他特色：东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！
熊***人,star5,和iPhone配合，操作简单，运行流畅，很好用
N***0,star5,手表做工很是精致啊，很喜欢，体验还不错，喜欢。按键处往下按的时候有时觉得声音不对劲，还可以接受吧！
云***里,star5,这款iWatch整体上非常好，选的表盘最小的，开戴起来比较方便，戴在手上不会感觉比较沉。充电器是磁吸的，充起来很方便。好像充电速度稍微有点慢。物流速度非常快，头一天下单第二天就到了，非常及时。整体上非常不错。
q***N,star3,外形外观：唯一喜欢的就是外观
爱***主,star5,非常喜欢，第一次买苹果的手表，使用方便，舒适感也很好，电池两天充一次，原装表带没有配的好用，原装的也有两个表带都是白色的，充电器只有线没有充电头。买的表带套装，但是活动期间又送了一个，所以有两个一模一样的皮表带。没关系，都很好喜欢。第一次写这么多使用感想，一个字一个字的打的。快递哥哥也很好，都赶到晚上8点都送到了。一百分?
j***f,star5,快递没得说，京东快递，懂的人都懂，性价比之王就是三代，手表刚收到看起来还不错，第一次用有点整不太明白，还有待研究，质量肯定放心，京东的东西很信任了！不错的一款时尚手表！好评
j***l,star5,上班时间不能带手机，但可以收发信息和接打电话的最佳好选择，苹果的各类产品各方面不用多说都知道，灵敏度非常不错，样子也很时尚，功能也很强大，表带可以换成自己喜欢?各种表带，非常百搭，各种配衣服都可以！
傻***姝,star5,心仪很久了，终于鼓起勇气拍下，主要是健身用，昨天晚上拍的几天中午就到了。运行速度非常快，功能很强大，与7P完美链接，各项功能还在摸索中……非常满意！信任京东自营！
沃***飞,star5,主要功能：功能很多 能接打电话 买了很多款安卓的都比较卡 还有的不能接打电话 不能下载app 这个都可以做到 性价比很高这个手表外观很好看 喜欢苹果设备喜欢苹果的系统 用旧了不卡 而且特别人性化 防水防尘 环保材料 也没有毒 带着也舒服 方便穿戴 不繁琐
殊***i,star5,心血来潮想买apple watch，看到618京东比天猫优惠一些就入手了?续航1-2天左右，对于我而言功能是完全足够的，听歌方便很多，特别是可以调音量这点，完全弥补了airpods的缺陷，爱了爱了?
G***L,star5,第一次买这么贵的手表，奢侈了一把，表很漂亮，时尚个性，我很喜欢，包装也很精致！刚刚使用，很多功能不太会用，慢慢摸索上手吧！
w***7,star5,苹果的东西这个包装是最高大上的！东西非常喜欢，上手的感觉非常舒服，但是表面太容易花了！
w***g,star5,主要功能：看时间还可以，记录行程，提醒运动。打电话会响。续航能力：这就很一般了，跟华为比被吊打的存在。外形外观：颜值高，很不错。操作难易：灰常简单，直接带上去，用苹果手机照射一下搞定。做工质量：不错。精准程度：应该很准，没网都可以。舒适程度：很舒适，可以带着睡觉。
j***W,star5,很喜欢 和手机很适配续航能力：一天一充 也能接受舒适程度：另外配的表带很好看 和白色表盘很配主要功能：用来测心率和记录运动 运动时带手机很不方便精准程度：还不错
大***肉,star5,主要功能：跑步、多种运动、心率等一应俱全，非常实用续航能力：日常使用健身记录和训练功能，无蓝牙情况下可待机3天舒适程度：表盘贴合舒适，腕带柔软轻盈，佩戴非常舒适精准程度：数据比较准确操作难易：操作简单，简单易上手是苹果系统的优势做工质量：做工精致，细节处理堪称完美
在***r,star5,送女朋友的情人节礼物，希望她戴着手表好好运动，保持好的身体，apple watch s3非常好看
水***余,star5,666，到了好几天了 才来评论，东西很喜欢 速度也很快 不懂的问客服，有问必答，爱不释手 推荐噢
V***3,star5,主要功能：手表，运动，心率监测续航能力：还可以，1到2天舒适程度：表带挺舒服，佩戴方便精准程度：很好！灵敏度：手腕抬起来屏幕就亮。操作难易：比较好上手！做工质量：苹果出品，做工完美！外形外观：漂亮！其他特色：现在入手性价比很高，不需要太多的功能，用来运动，跑步，检测心率用的是，总体来说用起来很方便，希望续航能够给力！
d***u,star5,老婆减肥要测能量消耗，问我买什么手环？我推荐并掏腰包买了Apple Watch s3，它在功能上完全满足要求，而且和iPhone和AirPods形成了完整的生态系统。我还特别提到，如果你觉得它测卡路里测得不准的话，请记住那什么keep手环什么小米手环都不准，算是为将来的扯皮做了提前预防(o^^o)毕竟是同生态的，所以老婆上手很快，第二天就告诉我太喜欢它了！这几天明显对我客气了许多，好东西就是这样！
M***r,star5,从第一代就想买了，纠结了第三代，看到618搞活动果断下手！超值！颜值真的很高，大家都会注意到哈哈哈哈 用起来也很不错，喜欢他的提醒功能，因为工作性质问题这样自己就不会漏重要电话那些了，很棒啊！！就是使用功能没有想象中那么广阔，也很不错啦！满意！
豹***草,star5,主要功能：收信息，接打电话都很方便，颜值也很高，爱了爱了续航能力：续航能力也很满意，对我个人已经适用了，没有什么影响舒适程度：舒适感也不错精准程度：精准可以，准
j***l,star5,质感很不错，至于操作，还在进一步了解，性价比真的很高，除了续航稍微差点，其他的都还不错，有了这个，不用经常摸手机出来看了，很方便！
j***3,star5,突然想入手这款3，收到迫不及待就开机了，很不错，送了一只表带，自带表带有点短，拆卸方便，功能很全，操作灵敏，喜欢iPhone，不接受反驳
u***q,star5,考虑很久还是下手了，做工很好，就是由省电模式转换为正常模式久变成重启，启动速度略慢。京东速度很快，晚上下单第二天就送到特别棒！续航能力：两三天舒适程度：贴合手腕操作难易：操作简单
A***S,star5,很不错，性价比非常高，买来送给老婆的，老婆收到挺开心的，前几天刚买了一个5代的，然后这次3代也体验对比了一下，还是觉得3代性价比非常高，因为外观上只是细微的变化，一般看不出，速度也3代也可以的，不会卡，电池用的时间3代和5代都差不多。反正每天都要充一次，所以感觉差别不大。价格上5代可以买3代2部哦。所以想要体验苹果手表的，目前建议可以先购买3代体验一下。总体苹果的产品做工品质就是比较好。京东物流是很快晚上下单，第二天就到了，这个购物体验在其他地方是体验不到的。
j***h,star5,主要功能：解脱了开车不方便回信息的烦恼续航能力：一天足够用，到了晚上充电时还剩百分之二十舒适程度：表带质感光滑，即使夏天闷热出汗也不会沾在手腕上，精准程度：很好
征***吴,star5,很喜欢applewatch一直纠结了很久才入手的，可以等送表带的时候入手划算。首先我很喜欢这个手表，很美。然后我之前试过手画38mm和42mm有多大 来选择我买哪种，结果买了42mm发现大小其实跟我手画的38mm一样大  所以建议男生就买42mm的。最后建议各位可以先开plus会员，开了送一个2000减100的券，算下来其实就是送了一年的plus会员。
a***a,star5,在佳明和apple之间犹豫了好长时间，还是决定入手apple。时尚感很强，非常喜欢！很多功能还需要慢慢研究。
3***鼠,star5,心心念念很久了，这次活动果断下手。试用了两天，对主要功能进行了了解熟悉，真不愧为苹果产品，与它的iphone、ipaid一样，外观造型艺术风格很强，使用过程中它的流畅性令人折服，软件的绿色及配套安全性特放心，就是一部戴在腕上的缩小版的手机，给生活工作带来了极大的方便！
s***x,star5,用来督促自己动起来，看时间信息提示都很方便。这个38长度绝对不适合男生，女生戴正好
茶***8,star5,心仪很久了的手表，包装高大上，不亏是苹果的产品，功能正常，京东买放心，现在货源紧张，?官网便宜，研究了半天基本掌握，就是@很慢，充电很快，非常的喜欢，选京东绝对没错，很好得手表，来电不会再漏掉了，很超值
弱***神,star5,主要功能：心率监测，心跳，记步，其他一些功能没怎么用。续航能力：续航能力真的跟说明书一样，一天要冲一次，充电频道。精准程度：定位非常精准，心率也比较准。做工质量：苹果的品质一如既往的完美，手表棱角圆润，手感极佳，就像一个艺术品操作难易：上手难度极地，按照提示一步一步操作就可以完美匹配苹果手机。其他特色：需要提醒一下，连接苹果手机需要手机系统升级到最新版本，否则无法连接，送给老婆的礼物，非常开心，有2根表带。
q***d,star5,主要功能：功能和介绍的一样，使用起来也是很方便。舒适程度：佩戴起来不会觉得碍手，跟平时戴的手表的感觉差不多。操作难易：看完介绍再操作比较好，这样可以更好的发挥当中的功能效果。外形外观：这个外观我是十分喜欢，佩戴起来搭配衣服也是很容易的。做工质量：做工质量很好，细节处理得很好。
J***u,star5,续航能力：大约是2天一充 后面电池老化应该是1天半吧舒适程度：有两根赠送表带 很合适外形外观：黑色的很漂亮哦准确性：抬腕亮屏反应很快主要功能：户外跑步 游泳 nfc都可以的 很全面
王***7,star5,主要功能：和iPhone完美搭配。续航能力：一天半到两天。舒适程度：我觉得小尺寸戴起来更舒服。精准程度：还用。灵敏度：比较灵敏，反应很快。操作难易：好用。做工质量：做工精细。一看就比较高端。外形外观：外观很酷。
j***e,star5,舒适程度：很舒适精准程度：很精准灵敏度：很灵敏做工质量：超级做工外形外观：外观好看
粥***3,star5,用了两天了，说说感受优点：表带的舒适度很棒！界面设计可以随自己心意！开车时接打电话很方便！没想到竟然还可以跟keep完美结合！非常适合爱运动的人，真是太开心啦！缺点：跟手机一样，需要一天充一次电。
水***泉,star5,AppleWatch和iPhone的连接几乎是无缝的，38mm的表冠也正合适，对于我来说，记录每天的运动，接收app的提醒信息，确实非常方便，体验也很好，续航可以坚持2天，很不错。
d***儿,star5,其他特色：；好看，和我的iPhone和pods能够很好的结合外形外观：加上新的表带，好看极了，终于拔草了，听歌可以用手表切换，很快速；灵敏度：灵敏度不错，感应很快；续航能力：续航能力差不多是一天一充，两天就没电了，这个就有一点遗憾；舒适程度：很舒适的表带，喜欢各种各样的表盘
贾***J,star5,很轻巧，带上不感觉笨重。功能很多，接打电话，回复微信，看邮件，付款。。。。太多了。小型手机。赶上活动超级合适。
j***c,star5,很好，暂时没发现什么问题，我用的频率不多，基本上两天一点问题也没有。待机时间很长，感觉比一代二代都要好一些。重量适中。
大***祁,star5,观望很久了，一直想买，终于下定决心买了一个，好喜欢啊，哈哈哈哈，用起来很顺手，外观也贼好看，不说了，我去玩耍了
小***菜,star5,物流很快，手表功能不错，很好用，呼吸功能很棒，帮助我进行冥想训练，运动记录比较准确，适合热爱运动的人。
一***立,star5,主要功能：表盘多种多样。绚丽多彩。质感很好。42mm充电随充随用。也还行。一般用一到两天。我固定每天睡前充电。因为不带睡眠监测。所以晚上没必要带着它。健身记录和体能训练特别有意义。很方便实用。第三方app都不装，比较麻烦。通知，也只开了电话，回复非常便捷，语音，手写，表情，语音输入都可以！很方便了。音乐可以支持第三方显示控制。
浅***虾,star5,凌晨下单下午送到，本地仓库很快！手表也很好，加优惠券2400的样子入手然后还有12期白条免息，很给力哈哈哈
a***怪,star5,挺好的，带着很舒服，一点都没有不适感，用起来也很方便。有人说功能很鸡肋，但是作为一个手表的定位来说，已经很好了，挺满意的
c***8,star5,非常不错，价格也挺划算的，国内蜂窝遥遥无期，还是来个GPS版吧，这样也省电，最怕总充电，太麻烦了，希望这个可以坚持久一点，喜欢的朋友可以买，用券后*元，还是可以接受的价格。
竹***子,star5,手表相当不错。苹果的东西一如既往的好，绝对应该给予好评。可以改变整个人的习惯。
爱***子,star5,心心念念了一个多月，终于买了，买来才发现，科技真好，这里面很多功能都非常好用，而且很方便，待机时间还久。买一个配iPhone可以说绝配。
u***y,star5,主要功能：运动手环续航能力：第一次充电舒适程度：非常舒适精准程度：需要安装重启后精准识别电话功能灵敏度：灵敏准确性：准确操作难易：操作简单做工质量：我看过apple watch高空测试和防火测试外形外观：外观依然喜欢其他特色：个人喜欢
M***_,star5,研究了好久才能匹配、客服也挺耐心的，虽然是辅助品，但比起喜欢带手表的很高大尚，毕竟喜欢的功能可以付款还有微信***之类的，电话之类的，出去的时候很方便，速度隔天就到，值得推荐
