https://item.jd.com/100026675366.html,商品名称：AppleApple Watch Series 7商品编号：100026675366商品毛重：390.00g商品产地：中国大陆主机机型：其他电源方式：磁吸充电线屏幕类型：OLED血氧监测：手动测量表盘形状：圆形防水：50米表带材质：硅胶防尘等级：IP6X
王***8,star5,"苹果手机配苹果表黑色运动款，京东购买正品无疑,运动健康功能很强大,指南针、噪音监控等新功能挺不错,用了一天续航能力可以一天一充，舒适丝滑，颜值爆表，各种运动记录非常精准，非常NICE！"
j***i,star5,因为看我买了apple watch 老公也很想要，加上京东给力的活动，所以又下了一个，不仅可以做情侣表，而且日常使用也非常的方便，不仅能看时间还有更多功能！
心***花,star5,京东自营旗舰店 物流没得说 当日拍下 次日配送签收包装防护到位 收到后充电配对激活 流畅度很好 工作好帮手 好评精准程度：很高 打字 滑动灵敏度很高续航能力：一天一充舒适程度：佩戴贴合度很高做工质量：质量优
放***瑾,star1,送的袋子也算钱，真的服了，赠品都算钱
公***号,star5,Apple Watch刚买来使用一周感受有¥1 Apple Watch监测睡眠提醒，喝水提醒战力监测健康还是很有帮助的京东的快递很快包装也很完整，在京东买数码产品也比较放心，大家可以安心的冲！
脆***儿,star5,超级喜欢?日常督促自己锻炼，监测吃药和喝水，睡眠，提醒消息很方便，每天都用得上。送货很快，十分方便，买了第二天就到了。续航能力：一天一充舒适程度：习惯了，很舒适精准程度：很准确，测心率什么都可以
同***巍,star5,主要功能：正常iwatch，一定要盯准价格，京东价格浮动还是很大的，趁着优惠直接下手续航能力：至少上一块表现还不错舒适程度：正常表带，可以按需求自己换精准程度：连接速度很快
w***9,star5,心心念念的苹果手表终于到手了！！不过到手之后有点后悔没有买粉粉嫩嫩的颜色。手表质感很棒，功能也很多，能测血氧、睡眠、运动等等各种，不得不说还是很方便的。
j***j,star5,一直观望很久啦，到手真的很香～表带随意搭配
S***S,star5,一直想买一个手表，正好现在换成苹果手机了，所以想趁双十一也买个Apple watch 好了，使用下来很好，买了7，8提升不多但价格要贵些
林***_,star5,想要了很久啦，买旧款觉得不划算，之前觉得没什么用，最近又想要，果断入手，早买早享受，快过年了给自己买个礼物续航能力：一天要充一次，外形外观：很好看
j***i,star5,之前一直用的华为的watch，这次入手了苹果的watch，体验很不一样！首先，拆箱很有感觉，表带和watch单独包装，设计很棒，很用心！其次，表是送老婆的，41mm大小刚刚好，符合心理预期；然后，体验了表盘，各种酷炫的表盘设计，让人眼花缭乱；最后，最主要的功能就是搭配iphone，实现消息通知啊，各类健康检测等功能，很方便实用！喜欢的小伙伴快入手！
j***4,star5,很好，很方便，很实用，想买的人赶紧入手，日常续航没有毛病，带上也很贴合，功能也很全面，推荐推荐，配合手机也很方便，适配度高。
哒***打,star5,还可以，给老婆买的41mm，她很喜欢！一大一小哈哈！不错不错电话功能，**，还有一些运动模式的功能！老婆喜欢跑步，有用武之地了！
c***o,star5,不错，流畅，用起来很顺手。。。。。。。。。。不错，流畅，用起来很顺手。。。。。。。。。。续航能力：还可以舒适程度：舒适精准程度：精准其他特色：顺手灵敏度：灵敏度很不错。
H***e,star5,活动期间买的，满2000减300，比苹果官网便宜了整整300块钱。黑色显得很沉稳大气，功能强大，戴上也很好看。非常喜欢，物流速度很快，包装完好无破损，非常满意的一次购物体验。
高***卿,star5,贴膜可以防止评估被屏幕被刮伤，这款水贴膜贴合性很好，触感很灵敏。
j***i,star5,都不记得这是买的第几块apple watch了，苹果的粉丝，烧钱呀。记录步行，跑步，以及心率，很是惬意呀。外观，还是那个样，好久没变过了。
流***混,star5,送货的速度很快，晚上下单第二天早上起来就可以看到了，整体感觉 不行错，很大气，功能也很多，带着很舒适，值得推荐支持一下主要功能：表续航能力：很长舒适程度：很舒适精准程度：比较高
u***u,star5,主要功能：运动监察效果很棒舒适程度：自带的表带很好  但是我也买了个新的
夢***鑫,star5,十分满意的一次购物体验，真的太棒了，爱了爱了，下一次还是买苹果手表 用着省心不后悔主要功能：心率监测，穿搭续航能力：很厉害可以使用一整天。舒适程度：十分舒适看着
发***飘,star5,真心喜欢，颜值高，功能强，充电一次可用两天，买了不后悔的产品
夯***手,star5,很好看 挺好搭配的 女生适合小表盘 戴口罩解锁手机很可 找手机功能也很可 不会错过消息和电话 如果喜欢运动健身的也很可。
j***n,star5,一直使用apple watch！非常好用！京东物流速度有保证，产品质量优保障！一直在京东购买苹果的系列产品！用着放心安心
布***甲,star5,手表很合适。直到今天我才用Siri，使用感觉还可以，配合??很方便，不用在表盘上找app
转***脸,star5,哎呀喜欢这款手表好久了，终于趁着活动拿下了，活动价格很优惠。手表功能很强大，外观好看。质地不错，手感很好。佩戴起来很舒服很好看。
q***1,star5,过年给自己买的礼物，因为跑步，所以来一个，模样我是真喜欢啊，黑色很百搭，开心，昨晚下单，今早就到，京东物流真的是yyds
u***7,star5,体验感很不错，信赖京东自营商品。运动感十足，充电快速，用起来也很方便。
j***b,star5,还不错，活动价很可以，黑色很耐看，蓄电能力还不赖，大概可以用个三天。看信息变得很方便，可以直接打字回复或者语音回复，自动生成文字，还不赖
一***水,star5,咱就是说一整个爱住 质感无敌不留指纹 功能齐全 健康监测和睡眠功能很好用 充电速度完美 晚上睡觉戴着也没有半点不舒服的感觉 强烈推荐家人们入手一台
g***i,star5,非常好 表盘大小合适 颜色好看 非常喜欢 减肥必备 每天闭环 屏幕非常好 一开始买了大的换成了这个尺寸 女生带刚刚好哟
b***3,star5,好看，功能强大，至少非常想要，买到了就满足了自己
或***景,star5,Verynice 大小带着正好，不过续航确实24小时一充。价格也比较低，快递也很快送到了
白***凤,star5,手表很漂亮，终于下定决心要买这个苹果手表，自我感觉比小米的好看很多，表盘很大，颜色也很好看，值得买
B***5,star5,不大不小，刚刚好，再挑表带跟保护膜了。非常小心翼翼的在使用。嗯，目前感受很不错，质感很棒。后续去游泳，希望能挺住呀。加油加油
h***1,star5,手表很好，很满意，购买的价格也很不错，戴上也很好看，总之很好
扫***少,star5,非常好看小巧精致适用，胳膊细的人戴着很洋气，跟iphone手机连在一起用，功能也很多，比手机看时间更适用，电池电量充满可以坚持一天半
A***-,star5,物流很快，京东物流一直好评。产品也没啥问题，毕竟苹果第七代产品了，还是比较成熟的，各方面的做工，用料，功能，应该在行业来说，都是数一数二的。表带有两种长度，非常贴心。
镟***翔,star5,用了挺久才想起来评论，给老公买的，他也是加购好久了，还是苹果手表和苹果手机更配呀，还给他配了蓝牙耳机，真香……这款男生戴着很大气。
j***U,star5,功能强大，外观漂亮，磁吸充电器也很方便，健康监测数据准确可靠，充电也快，也好看，京东自营，安全，可靠，快速，，相信京东，，，?
j***z,star5,主要功能：非常放便实用续航能力：续航很不错，充满可两天左右舒适程度：很好精准程度：不错灵敏度：很好
M***丨,star5,第一次买 apple watch ，表不重盒子倒挺有分量的，买了手表离苹果全家桶又近了一步，午夜色好看又百搭，想买星光的但是没货了，没想到午夜色也很棒，拿到手没让我失望。试用了一下，感觉相当满意，两种支付都可以用，手表功能强大，32g的内存对于手表来说完全够用了。 apple 的品控一向还可以，附送一个表带总体好评满意。
北***灬,star5,买给朋友的，朋友很喜欢，表盘很大，反应速度很快，看着也很有质感，完美适配13Pro，续航能力表现不错，正常使用两天一充，表带戴起来也很舒服
j***U,star5,外观漂亮，功能强大，充电快速，磁吸充电器也很方便，常用的健康检查都有，数据也很准确，与手机完美衔接，京东自营，也是一如既往的安全快速可靠
宝***鴨,star5,在京东购物真的很愉快，当天送达。产品质量有保障。买苹果的产品就来京东。售后服务好。客服都很热情。随便很喜欢。送给女朋友的
j***C,star5,续航能力：一晚上睡觉掉了15%电舒适程度：戴的很舒服，戴在手上基本不会感觉到其他特色：手表刚到，功能不知道
最***啊,star5,主要功能：主要还是喜欢手表的智能化，可以打电话，听音乐，检测心率，定位等，很实用续航能力：续航时间也很久舒适程度：戴在手上很舒服，也特别好看，精准程度：时间也很精准
u***e,star5,表盘清晰 全屏视觉饱满 40直径适合手腕芊细女性佩戴 原本担心胶质表带肤感体验不好 想购买网上其他表带来戴 谁知原配表带磨砂亲肤 体验非常好
用***意,star5,很好很大气哦，和手机匹配，还能实时同步信息，运动的时候也能够快速匹配心率，很准确，买来送给男朋友的，他很喜欢，等我买了苹果手机在来买一个
j***b,star5,主要功能：让手机的功能更加便捷的使用，辅助手机。续航能力：充一次点可以坚持一周吧舒适程度：表带和皮肤接触很舒服，很亲肤操作难易：易操作，和手机的系统一样，触感也很好最后就是想吐槽京东的物流，给我表盒磕碰，正值618期间，换货很麻烦，客服也不给我任何补偿，所以给京东差评
j***p,star5,买贵了，续航能力：一天一充舒适程度：挺不错的精准程度：找手机真的非常非常方便灵敏度：苹果的灵敏度不用说，就是非常好，整体感觉也很不错准确性：总体挺不错的，毕竟价格也在那
