https://item.jd.com/100038004391.html,品牌： Apple商品名称：AppleMQD83CH/A商品编号：100038004391商品毛重：244.00g商品产地：其他类别：降噪耳机连接方式：无线，蓝牙佩戴方式：入耳式
浅***幕,star5,很奈斯 耳机的音质和声音都很好 和苹果产品的生态链接的很流畅 还是非常值得购买的 毕竟价格不是很贵 可以用很久 很好 推荐
徐***s,star5,物流真的非常非常的快，价格也非常的合适，在活动的时候购买的，真的特别好，之前有一个一代，用了很久，体验很不错，现在换了二代体验也很好
j***n,star5,宝贝收到了，包装完好没有破损，质量很好很厚实很暖和，效果非常好很舒服，卖家服务态度好非常满意！快递也很快，苹果就是苹果，质量很好
j***c,star5,苹果耳机音质非常棒，充一次电能用好久，做工质感一级棒，戴上耳机也没有什么不适感，非常满意的一次购物体验。京东快递，相当快速！点赞
R***h,star5,一直京东商城购买贵重物品，价格实惠，售后服务好，对了认准京东自营，不解释，耳机比一代好很多，特别是降噪功能，太惊艳了，值得购买
立***树,star5,运气不错，买到23年中国造的了，降噪确实强，音质嘛在降噪耳机里确实算很不错了，戴上耳朵后的操作逻辑也很合理很方便，总的来说还是蛮可以的
P***u,star5,好，好，好，尽在不言中，产品真的很赞品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢！发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~
深***缘,star5,一直用的2代，又有了pro2，降噪效果确实很棒很不错，特别适合需要一个人静下来思考和工作的时候带在身上用，特别方便携带。
j***n,star5,耳机质量好，送货物流快，第二天就到货，一次愉快的购物体验，值得推荐与购买，非常棒。苹果耳机pro，设计理念很舒适，佩戴方便。总之，值得购买。
来***圆,star5,买来送给姐姐的，看他那么照顾，我想着也给他买一个他心心念念的耳机来报答他看到他喜欢的样子，真的心里很开心，希望他能够喜欢。
j***k,star5,真的很喜欢，很支持，质量很好，和描述的一模一样，我很满意，真的很喜欢，完全超出预期，发货速度很快，包装很仔细很紧，物流服务态度很好，发货速度很快，我很满意一次购物。
小***荆,star5,好东西值得分享，无线耳机届的天花板存在，一直被模仿从未被超越，佩戴舒适，音效非常好，通透模式非常人性化，赞??赞??
考***妈,star5,之前的坏了，重新买了一个，官网买比实体店便宜100块钱，速度也很快，我一天晚上拍第二天一大早就收到了，质感还是一如既往的好
j***3,star5,发货快，运输快，送货快！一直非常信赖京东的发货速度和配送速度！上午下单，当天就送到了！非常快！而且宝贝品质也不错，功能比第一代多！非常好！
J***I,star5,?心仪已久，果断下手，用过之后感觉很不错，快递也很给力，果然名副其实?相比第一代有一些细节提升，总体感觉买新不买旧，肯定买新款
j***k,star5,包装非常好，很严实，值这个价格绝对是最开心的一次购物，店家服务态度很好，售后也是宝贝物超所值，很喜欢，下次还会来的商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错
j***0,star5,这是我首次购买，我前后买了两个，非常满意。包装一如既往的完好无损。物流也按我指定的时间准确送达。防伪标识，防伪码都有，非常开心。
你***a,star5,好评东西质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
依***你,star3,换了三次还是越南组装，认命了
j***e,star5,第一次买苹果的产品，很好用，比我想象中的要好的多，一分价格一分货吧，华为靠边站，苹果的降噪真是吊打同价位的耳机了，带上的体验非常好，很舒适，希望能多用几年吧
超***丶,star5,苹果耳机真的好好用，降噪效果特别好，你再买耳机之前就迫不及待地先买了耳机壳，京东的品质真的特别棒，隔天就到货，而且也全都是正品，有保障非常值得购买
可***虎,star5,首先选择苹果的电子产品是非常好品质的购物体验！质量没得说很好，非常好！上耳后音质相当不错！就是价格比较贵！也算是物超所值吧！物流很快！
j***0,star5,物流速度非常快，包装完好无损，还有京东专属的防伪标识以及验证方式，非常放心。已经是第二次购买了。耳机非常好，降噪效果简直爽歪歪！
u***z,star5,做工质感：做工一流，摸起来很舒服。音质音效：音质很好，障噪效果很好。舒适度：带起来很贴合，很贴合耳朵，带起来没有很强的压迫感。续航能力：续航很久，充电也很快。
张***庆,star5,做工质感：苹果的东西还是有质量的有实力的音质音效：很好 和带着耳麦的效果差不多舒适度：戴起来很适合我，很舒服，不会划掉，用起来确实很方便舒适续航能力：新机器应该使用的时长都没问题，等等两三个月以后再看续航时长
汤***浪,star5,价格实惠，质量杠杠的，非常好的一次购物，下次还来。618赶上A+活动，花99买了A+会员，然后选A+版便宜了300。
j***f,star5,东西可以不错非常好看也好用的很，非常的喜欢，不错的东西，希望大家购买，啥也不说了，京东可以，自营的很棒很棒，一样的喜欢，不错不错
小***a,star5,音质很不错，不愧花了一千多买的耳机，降噪效果也是杠杠滴很喜欢。用着也不会出现什么问题，等用一段时间时间再来评价效果。好评！
u***z,star5,做工质感：拿起来很有质感，很好音质音效：跟在线下店试的完全一样，用了几个月了也没出现什么问题，音质嘎嘎好，尤其降噪模式，整个世界都清净了舒适度：有四个型号的耳塞可以自己换，很方便续航能力：较好
Z***0,star5,"蓝牙耳机带上去很轻巧，续航时间长，可以舒舒服服的听音乐。耳机做工精致，很漂亮,很实用。音质清晰，音量也很大。接受信号非常强，戴耳朵里很舒服，耳机音效也非常完美，感觉非常好。"
随***伟,star5,Air pods pro2真的是物有所值，降噪效果绝对一流，音质感超强，耳塞也很舒适，恰到好处。物流发货很快，价格实惠很满意
j***9,star5,之前用的bose蓝牙耳机，因为进水了，所以买新的，苹果全家桶还挺不错的。手机打开蓝牙的情况下，耳机戴上之后马上可以连上手机，这个体验感很好，耳机两边都可以调节音量和切歌，比较方便在地铁上通话，用以前耳机，对方会听不清楚，现在用苹果耳机，会好很多，这点也是比较惊喜。总体来说体验慰很好
封***红,star5,真的是很不错 ，本人超级喜欢，再次感谢店家让我拍到了物美价廉的东西 我会一直关注你们家的产品哦。已经向身边的朋友多次推荐过你们家的产品了哦。我再来购买的时候希望店家多多给我便宜些哟，呵呵，好的产品是非常值得推荐的，超好用！稳稳的！满分
S***n,star5,我是不到Ⅰ芊就入手的。方法图上说了。做工质感：虽然是越南制造还是很好的音质音效：非常的不错，降噪杠杠的，音质我感觉很好了舒适度：佩戴舒服美美的续航能力：续航能力肯定不弱可以。果然名不虚传，做工质感精致，音质音效优异，降噪功能强大，入耳舒适稳定，人机交互非常人性化，不得不说，苹果的生态链真的香
-***-,star5,我是不到Ⅰ芊就入手的。方法图上说了。 好评，真的很不错，感觉的降噪太好了，带上耳机另一个世界。耳塞也很合适，不会掉，玩游戏也跟给力，很不错，听脚步更准确，延迟小。值了，京东购买非常放心，能保证原装正品，而且送货很快，第二天就收到了。耳机音质非常好，佩戴舒适，不容易掉出来。连接iPhone非常简单，操作非常方便。降噪效果好，降噪模式下，外界杂音基本听不到。充电很快，充满电能连续听五六个小时。总体非常满意。
子***3,star5,做工质感：有点轻，做工不错音质音效：音效很棒，相比1代确实有提高舒适度：很棒，舒适度可以续航能力：续航能力也不错，听五个小时没问题其他特色：很喜欢降噪功能，这是我购买这个耳机的一大原因
我***冠,star5,非常喜欢这一款耳机，戴上以后开启降噪模式，整个世界都安静了，买的值，最主要的是，京东618活动足足优惠了四百多远，支持京东。
小***4,star5,发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去
r***9,star5,做工质感：苹果的做工没得说，绝对的一流音质音效：新款 airport  pro 的抗噪效果不是一般的强大，一旦打开基本上整个世界都安静了，也没有其他蓝牙耳机的听诊器的效果。舒适度：非常舒适续航能力：目前来看，中度一整天是没有问题的其他特色：希望国产品牌可以他山之石可以攻玉，好好把心思用在工艺和质量上
j***0,star5,凑单买的，没想到质量跟专卖店一样，特别特别喜欢，而且价格优惠物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意
x***4,star5,还算不错的，降噪功能很强大，在吵闹的环境下还能清楚的听见音乐声音。而且续航也可 ，正常上下班办公使用都不错，长时间佩戴也不会使耳朵难受。
熙***九,star5,佩戴舒适轻便，声音入耳清晰不刺耳，接电话听音乐都很方便，通话流畅操作连接方法很简单方便外观时尚，白色看起来好干净的感觉!立体声效果很好。中国制造
S***H,star5,跟我在实体店买的一模一样！还是一样的好用，开心包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了
J***n,star5,做工质感：苹果的做工质感无需多言，贵只是我的缺点！音质音效：h2芯片，解析力更好，低音更沉，高音更亮！舒适度：佩戴贴合耳朵，非常舒适！续航能力：续航更久了，在外也不用担心！
j***k,star5,东西很喜欢，质量也很好的，这个价格能买到是真的很划算货收到后就拆开用了，质量很好，东西和官网买的没区别！质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物
啊***c,star5,收到货后试了一下，很不错，质量很好，值得拥有！五星好评！宝贝很好，不得不说，客服态度也太好了吧！?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！
j***r,star5,发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……耳机质量非常好，与图文描述的完全一致，非常满意。音质不错。
j***t,star5,无论材质还是做工都超出了预期，超值，穿起来也很好看哦。卖家发货也比预计提早了很多，还会再来。买吧，不会后悔的哦！全五分。
庞***呀,star5,送女朋友的 对比我的第一代AirPods pro 无论是音质还是降噪功能都有质的提升做工质感：外壳很光滑漂亮 很细腻 很有质感音质音效：音质很不错！！！降噪效果太惊艳了舒适度：3付耳套都很不错续航能力：挺久的
航***o,star5,我真的非常喜欢它，非常支持它，质量非常好，和卖家描述的一模一样，我非常满意。我真的很喜欢它，它完全超出了预期的价值，交货速度非常快，包装非常仔细和紧凑，物流公司有一个良好的服务态度，交货速度非常快，我非常满意购物
j***v,star5,几以前几乎从未认真评价过，也不知道浪费了多少分。我听说评价中有100多个单词，基本上是每周访问一次。在京东购物太方便了，根本停不下来。从那时起，购买日用品时首先想到的就是京东，它是真正的。起初我很担心。现在我习惯了，这真的很好。现在我必须给更多的~。我下次会再来。我一直在购物。它仍然是一个非常好的宝贝。真的很好。这是值得的。网上买一次也没用。它还没有安装。我一次买了两个。大品牌值得信赖。
布***5,star5,做工质感：apple做工一直不错，很精细音质音效：音质还可以，平常上班通勤、运动健身都可以戴舒适度：耳塞大小有好几个规格，可以完美适配大部分人的耳道续航能力：续航还可以
王***熏,star5,1、终于收到我需要的宝贝了，•东西很好，价美物廉，谢谢掌柜的。说实在，购物，下次需要的话我还会再来。1、终于收到我需要的宝贝了，•东西很好，价美物康，谢谢掌柜的。说实在，这是购物，下次需要的话我还会再来。2、质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值Q，发货非常仔细、严实，很满意的一次购物。
0***子,star5,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦。第一次买苹果的耳机，音质很赞，降燥无敌。
北***C,star5,外观良好，音质不错，功能性强，反应迅速其实看了好多款，但是手里的苹果产品太多了考虑适配更便捷吧！给大家建议是：如果手机是苹果的那就选这个没错物流也很快，头天晚上下单第二天下午就到了最后不得不说，电子产品我全都在京东买的，非常信任这个平台
祝***0,star5,耳机收到了，外观漂亮，质量很好，是正品，音质很好。链接网络稳定不卡顿，适配各种电子产品，京东的售后服务也蛮专业的，很喜欢。
爱***伟,star5,耳机收到了，外观漂亮，质量很好，是正品，音质很好。苹果正品原装未激活的，国行没问题。续航能力不错，京东的品质值得信赖。非常喜欢。
S***2,star5,有个一代，这个二代入手了，的确二代的水准比一代好太多了。听音乐低音比一代浑厚，降噪效果比一代明显！多了防丢功能内置AirTag 非常的棒再也不怕丢了。今年丧尸的AirPods Pro 2提供更强大的处理器，在主动降噪。更长的电池寿命，新功能以及更好的音频性能方面取得了进展。今天拿到了心心念念的二代。它配备了h2芯片，强大的胜利让降噪功能直接翻倍。新增自适应通透模式，可针对压制环境中的高音量噪声。充电和内内置优一芯片，支持精准定位。续航方面，启用主动降噪的情况下单，次续航可达六小时，比以前产品提升了33%，综合续航长达30小时。新增支持使用Apple Watch充电器。充电器进行充电。包装盒中包含四个耳塞，包括一个较小的xs尺寸。提供了更多的选择，以配合完美的贴合和密封。他佩戴起来很舒服。
知***了,star5,相比于一代，个人感觉在降噪方面相当明显，并且对我来说，降噪这个功能真的太香了，比如坐飞机，飞机轰鸣声特别大，戴上耳机，不用开音乐，开启降噪，基本能隔绝大部分噪音，但是像飞机上一些广播信息，还是可以听到不遗漏。比如坐地铁，上班通勤时，开启降噪，闭目养神。还有一个优点就是，我个人苹果的产品比较多，苹果生态做的比较完善顺滑，不同设备间交互很方便，所以体验加倍，推荐
j***风,star5,做工质感：白色丝滑手感，小巧，便于携带音质音效：比一代的白开水有了质的提升，听各种音乐，不再白开水，特别是开了降噪后，听歌轰头舒适度：耳朵戴着没什么感觉，不会累勒耳朵续航能力：续航力强，充一次电，可以听歌快一个星期时间
R***g,star5,做工质感：苹果的做工细致不用担心。做工很好。音质音效：中低音都不错。舒适度：入耳式的舒适度还是可以的。但是戴久了耳朵还是疼的。续航能力：续航能力不错。一般都是好几天才充一次。其他特色：秒链接。设备之间无缝切换。
j***w,star5,先上结论：能给人带来幸福感的一款产品。做工质感：精致耐看。音质音效：音质一般，白开水是很好的形容词。舒适度：入耳式一开始有点不舒服，习惯了也还好，不过一次不要戴太长时间。续航能力：比较满意，没有给人电量焦虑的感觉。其他特色：降噪功能很适合通勤跟午睡，赞！
r***7,star5,做工质感：虽然是越南产的，但是质量还行不没发现评论中说的问题音质音效：音质挺好的，够用舒适度：戴时间长略微有汗续航能力：续航能力不是强项，但也够用其他特色：链接速度很快
高***O,star5,做工质感：质感很不错音质音效：苹果的产品都还不错舒适度：胶塞的时间长会不舒服  半入耳会好一点但是半入耳的降噪效果不如全入耳的续航能力：一般 还需提升其他特色：降噪很好
0***式,star5,一代二代都有 轮着链接我的13pm使用，平时还是用一代多一些看中二代减音量音质音效：也就那样 白开水 看重的是降噪跟通透舒适度：比较舒适续航能力：不错做工质感：越南产的真不行
j***f,star5,做工质感：还行音质音效：祖传白开水 懂得都懂舒适度：跟没戴一样 无感续航能力：开降噪+60%音量 用四小时 还剩30%
淘***友,star5,做工质感：做工就一般般了，感觉就没什么音质音效：音质效果也还可以，不算差。很立体，声音很棒舒适度：非常好。降噪特别棒，适合睡眠，就是价格有点贵续航能力：还没试过，还不是太清楚，应该是没有问题的。还配了一条数据线
j***5,star5,Airpo的外观非常的漂亮，用起来非常的舒服音质音效：非常欧尅续航能力：续航有点拉胯，没有之前的长舒适度：入耳中还不错吧，不适应的选3代做工质感：越南产的一般般，感觉没有国产好
