https://item.jd.com/100009085421.html,"['AppleMHY53CH/A', '100009085421', '0.74kg', '以官网信息为准', '家用', '智能音箱']"
简***已,star5,目前手头有两台 homepod  mini ，说下我的使用感受和建议，第一，外观颜值不错，体积小巧，但是因为要外接电源，桌面上的线有点多，在连接上，播放和暂时开始的几秒会有 3 秒左右的延迟，如果家里路由器不好的话，中途偶尔也会有卡顿，说实话，如果单纯用来听歌，不太建议这个，homepod mini 目前我感觉他更适合做家庭中枢，家里支持 homekit 的智能设备可以连接，两台组成立体声看电影也还不错，但是，因为我一起买了 JBL 的 flip6，音质真的秒杀 homepod ，总结，听歌不建议买这个，做智能中枢和家庭小影院还不错！
C***X,star5,外形外观：酷炫非常好看，很精致做工质感：做工很不错，黑色的也比较耐看耐脏音质音效：木耳朵听不出好坏安装难易：连接有点不稳定
j***7,star5,外观精美，小巧玲珑，特意选了个爱马仕橙，挺好看的，高端大气上档次，低调奢华有内涵。帮同事购买的，不知道效果怎么样，带她用过之后再来评价
青***舞,star5,挺好的，颜值高，使用方便，用的最多的功能是计时，偶尔听听音乐，实用小棒手，很好用，天天都在用，比较小巧，增添生活乐趣和装饰感
A***o,star5,外观设计非常漂亮，体积小巧声音却特别大音质，感觉还挺好的，结合iPhone或者是iPad使用起来非常方便。同时可以支持作为苹果家庭的中枢。
Z***某,star5,东西收到，很满意！真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖！
****了,star5,外形外观：买了两个 mini 和 AppleTV，外观设计很不错做工质感：做工一流。还送个充电器。音质音效：音质很好，比电视自带强多了。安装难易：安装简单，到手一个是 16.1，一个 16.3，都给更新到 16.4.1 了。目前使用没问题。偶尔出现播放暂停。延迟就不说了 肯定有，买之前做好功课。
3***C,star5,第二个了，两个组合起来的立体音效太好了哈哈外形外观：可爱的圆形，小巧轻便做工质感：纺织质感的外壳，摸起来感觉很舒服音质音效：音质特别不错，尤其是两个放在一起的时候其他特色：物流速度太给力了，昨晚下单今天早上就到了
B***2,star5,會 橙色，HlomePod mini苹果HomePod mini音质很给力！小巧的外观只有苹果？那么大，有送充电头这次很良心，毕竟苹果20W充电头价格也不便宜啊！价格也很感人！HomePod mini必须有网络插电才能使用，想在户外使用的话，要带个随身wit，用Siri控制还是很方便的，苹果的每个产品都很到位，这款值得入手的产品，入手口肯定不会后悔的哈……
j***1,star3,链接繁琐，特别是两人共享家庭成员
小***5,star5,言网上看homepod min官方介绍，B站看博主的视频，种草很久了。今天先买1个搭配我的AppleTV试试了，最后迟早是要换成2个组合成立体声或者有钱了直接一对homepod 2代。哈哈，音质今天小试了下，音质出众，大音量不破音，低音浑厚，人声清晰，很值。尤其是360°的声音都一样，爱了爱了。看了HomePod二代的评测，计算音频技术，很期待！
下***天,star5,"苹果的智能音箱，体积不大，声音很响亮，也很好装饰家居。功能方面，配合homekit,变身智能家居网关。很是实用，价格也便宜。如果是苹果全家桶，建议购买，尝试苹果的智能家居。"
j***P,star5,橙色的很好看，很小巧，重量也很轻。音质还算过得去，不能跟HomePod比，但对于这么小的音箱已经很好了。还有温湿度传感器。Siri好用。
u***6,star5,立体声效果非常不错，给儿子跳舞放音乐用是足够了，就这偶尔还会被楼下投诉！买了黑白两个，颜值很高，但不能带户外，要同一Wi-Fi的条件下，才能连上！与苹果产品配合使用还是很好用
y***g,star5,包装非常的精美一贯的牛皮纸外袋特地选个艳一点的颜色果然闪亮亮光彩夺目音效非常好秒杀之前的天猫精灵链接需要ipad最新版本设置非常人性化及简单强烈好评
j***I,star5,方便，小巧，实用，音质好，连接很方便喜欢的不得了，下次还要再买一个好东西就要分享一下最近真的超级喜欢这个颜色真的超级好看超级不错的搭配方式很简单非常特别的款式和设计风格比较精致
H***e,star5,好用的球球音箱！小个头大音效，根据空间环境调整音的反馈！真优雅！组队成立体声！挺好的！线缆很结实编织线！挺好看！
j***e,star5,苹果音响的这个颜色很喜欢，摸起来质感不错，放在哪个房间里都百搭～在这么小的箱体里外放出足够有力量的声音，还是有点东西的，不要去和大音箱比，毕竟先天条件还是有限，在小空间里不仅仅是听个响，就很满足了。包装也很大气，用来送人的话也是不错的选择
h***0,star5,刚收到，摸起来的手感非常好，音质也很好，有个别的软件有一点延迟，基本可以接受，正常看电视听音乐没有任何影响，等后期如果好用的的话，再买一个配立体声就非常好了
u***r,star5,已经用了一段时间了，货收到时候包装很好，完好无损。是用了这么久 最棒的是放在一个小房间 搭配Tv 听音乐  中枢太棒啦～
秋***愁,star5,长得像一个真苹果，很小巧，苹果设备专用，就是不能用安卓手机上使用。苹果自营产品，质量有保障，物流更是没的说，值得信任的购物平台，绝佳的购物体验！
y***u,star5,比想象中好看，外面是织物的那种手感。配合上iPhone或者iOS系统很好用的，缺点是必须升级到iOS16。用来放在卧室当做音响闹钟什么的还是很香的。
K***l,star5,情人节到了，买个礼物送给朋友，这个智能音箱很智能，安装也很智能，而且大品牌质量有保证，安装售后都不用担心。音质确实是很好。
小***官,star5,外观看起来不错，也没有图他音质多好，摆桌上好看能用就行。连接很方便，手机或者iPad点两下就切上去了。真正用的爽还得HomePod 2。
元***_,star5,东西收到了，才过来评价， 首先快递的速度非常令人满意，然后再说说东西，东西的质量和样子都好，包装也很严密，东西被保护得很好。东西很轻便，出去也可以带着。做工也很好，感觉经常使用也不会有问题。良好的购物体验，之后还会购买。棒！
j***t,star5,橙色颜色和黑色很搭，音效效果很棒，两个刚好组成一个立体声。除了贵，啥都好，价格比之前黑色买的贵些，黑色是从京东国际买的。包装严实，无蓝牙功能，必须网络条件，苹果系统才能使用，180天质保，品质有保证。
袁***辉,star5,苹果音箱音质不错，调试，已下载也挺方便的一次购买两个可使用方便很久办公室休息，此来电晓燕用苹果音响音质超级多京东自营物流快速
d***g,star5,挺好的的产品，不错的品质，音效也就是一般般吧，颜色还比较讨喜，智能化也还是OK的，包装的不错，京东送货非常快速挺好的东西
火***汤,star5,物流很快就收到货了，包装完好没有破损现象，苹果质量一如既往的精致！手感很好很舒服，音质也不错?和手机连接很灵敏！可以和AQARA做桥接控制家里智能设备
小***物,star5,这款产品非常的不错性价比非常的高非常推荐各位朋友购买，音质效果非常的给力，比其他牌子的非常好，京东的售后速度也是非常的快，siri的反应速度非常的给力，不愧是智能界的第一，主要是的价格真的非常到位，再装智能家居真的非常不错
Y***-,star5,质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算价格实惠，质量杠杠的，非常好的一次购物，下次还来
I***k,star5,描述的一致，性价比也很高，老板人不错，服务热情，发货速度快，下次还会来你家，也会推荐别人来你家，全五分好评！！！这已经被列入我的无限回购清单！这家店还好吧。来买过几次了，服务老客户非常周到，以后还常来！非常好的卖家，很热情啊，下次还会来的~宝贝很不错！到货很迅速，质量很好，好店铺，推荐了~发货速度非常快！价格很优惠，服务也很好，东西不错，客服服务热情包装非常仔细、严实！这是我购物来让我最满意的一次购物。好卖家，真有耐心，我终于买到想要的东西了。谢谢卖家。宝贝收到了，非常满意，以后再来。
绝***了,star5,?商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！本来还很担心东西不好，拿到手发现完全多虑了，五星好评
我***然,star5,体验非常不错 全家桶用户值得拥有配合macbook pro完美无缝协同 高低音混合siri可以集成很多品牌智能家居产品的语音操作
呐***人,star5,好好好啊！不愧是苹果的东西，就是有时候链接有点慢，音效够用了，我是京东自营购买狂，自营质量好，服务好，很满意，与卖家的描述完全一致，非常喜欢，完全超出期望值，包装很好，发货很快！太棒啦，果断把店铺收藏了，下次还会再来！卖家包装非常仔细、严实。物流服务更是没的说。运送速度非常快，上午下单，下午就送到家门口了。很开心的一次购物，客服态度很不错，有什么疑问都能耐心解答，产品质量有保障，物超所值，推荐购买！京东的商品值得信赖，这些年一直支持，不用自己跑商场，直接送货上门，快递小哥的服务质量很棒
T***e,star5,效果很棒，音质也不错，和iPhone music绑定后非常流畅丝滑 挺好的，用来做homekit中枢，非常方便，语音识别还可以，在我预期范围内
神***安,star5,给家里的两盏智能灯泡添加的智能中枢 homepod mini 到手非常喜欢 原箱包装 打开以后惊艳到我了 对音质没什么太高要求 Siri用起来是真的方便 喜欢苹果生态的一定要入一个 性价比超高
南***1,star5,这个价格仍然很划算。经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物。我希望卖家的生意会越来越红火，物流会越来越快，包装会越来越结实。六星表扬，多一星不怕你骄傲，犹豫不决的朋友会很快下单，这是良心的推荐。它真的很好，而且价格也很高，所以你将来可以在这里买。给三个好评就满足了！满意了！满意了
c***q,star5,很小巧，放屋里不占地方。音质还凑合，音量低听着不太舒服，低音比较多，开中等音量就会好很多。主要是搭配apple music使用很方便。看电影也还行，延迟就一暂停播放时会有，正常播放的时候不用担心。音画不同步可在软件里提前2s
懒***购,star5,苹果智能音箱，外观设计很漂亮，就是放音乐有点延迟可以接受，做工质感不错，音质音效很好，煲机满120小时后由52分到82分了，安装比较简单值得购买的。
踏***枫,star4,小巧玲珑！颜色正，音质还可以。智能不咋的，只能同一Wi-Fi下可用，延迟厉害，没法看电影用，不同步。鸡肋产品，还没小爱同学好用。
g***s,star5,外形可爱精致，很喜欢。音色不错。音乐软件、读书软件、视频都能使用。发现微信不能语音，没有声音。比较纠结，其他还在探索中。
是***语,star5,之前买了一个，颜值很高，小身材大智慧，语音助手很方便，颜色耐看，总体使用还满意。这次看到有优惠，又买了一个组成立体声，音量和音效都有了很大提升，性能体验超乎预期，小房间听音量足够了。不足之处就是价格小贵，看视频延迟有点大。但瑕不掩瑜，这个价位，性能算不错了！
j***3,star5,早上下单下午就收到货了京东速度贼快，音质很好，喊话反应灵敏，这个是有线的并且要通过Siri链接，不是蓝牙，买了个白色的好看，感觉不耐脏，准备买个保护套罩上，后期考虑再配一个组成立体声
D***儿,star5,太奈斯了，体积小小，但是有这么高品质的声音，真的有点儿不可思议。操作简单，性价比超高，颜值也还不错。早知道就不买地平线了，就为避开苹果的催命闹钟。
j***g,star5,颜色很漂亮，白色很简洁，音质效果不错，连接比较方便，两个问题比较严重，一个是电源线不能分离，一个是只能用无线
c***7,star5,组了个立体声，还行吧，和耳机的立体声效果没法比，不过立体声声音空间感要好些，当中枢就买一个就可以了，要效果的话，两个比一个有提升，但是不太多
l***8,star5,一直很喜欢的homepod mini终于下手了，整一个深空灰色和原来的蓝色组成立体声，左右床头柜各放一个，用来看电影还是挺爽的，有立体声的效果，这么小一个音量和音质都还挺不错的，满意！
z***3,star5,总体来说还是不错的，首先机身小巧，外观设计可爱。音质尚可，Siri响应速度还可以，个人感觉还比较满意。
u***j,star5,homepod mini包装很漂亮，小巧，连接也很方便，试了下音质也还不错，不过限于尺寸问题，跟大的音箱比还有一点差距，不过总体还是满意的，等用段时间在追评
殇***勿,star5,小小的音质出乎预料的好，挺不错的，放床头当小音响挺合适，这个低音对我来说都有点太多了，还得开降低低音
F***u,star5,小苹果一个，选了黄色，贵是有道理，不过要是便宜的时候就早入手了，配合智能家居控制还是可以的，最大的方便就是控制家里灯光，搭配aqara设备。
f***u,star5,音箱收到了，音质好，比某爱的强多了，下次再买一个凑一对，做立体声…….大爱小苹果?
z***n,star5,Homepod mini组了立体声效果不错，杜比全景声也已经激活，在最新的16.3固件下也开启了温度、湿度传感器，总体来说mini性价比进一步突出
c***7,star5,这小东西主要为了当中枢买的，结果感觉音质不错，自己有bose的soundlink和两个bose耳机，所以这个评价应该还是比较准确吧，不错不错，昨天又买了个黑色的组了个立体声！立体声感觉一般
好***只,star5,这是第二个homepod mini了  思来想去还是拿下第二个  总体来说还是挺不错的  非常值得入手 音质方面等等都不错
u***d,star5,HomePod Mini是一款身材小巧却能传递出强劲低音的的智能音箱。无论是听音乐、语音助手、智能家居控制等功能都十分流畅和智能化。家里放一台HomePod Mini，让生活更加便捷和舒适。说到听音乐，HomePod Mini的声音非常清晰、高保真，还有360°环绕音效，让人感到身临其境。语音控制功能也十分智能，可以控制智能家居设备，听音乐、讲故事等等。同时，HomePod Mini也配备了Apple Music特有的“Hey Siri”语音唤醒功能，让用户可以通过声音轻松控制音箱的播放和暂停，非常方便。总之，HomePod Mini是一款外观小巧而功能强大的智能音箱，是用户在家中享受音乐、控制智能家居的最佳选择之一。
j***u,star5,homepod mini 好评哇，这个HomePod Mini真的是超出我的预期啊！首先它的音质真的太好了，细节丰富、音质清晰，听起来让人感觉非常舒适。而且它的智能语音助理真的很赞，可以轻松地控制音乐和智能家居设备，让我的生活变得更加便捷。作为一个小小的音响，它非常精美小巧，非常适合我这样的小户型使用。总之，它绝对是一款性价比非常高的产品，非常推荐购买！???
关***猪,star5,外形：mini的外形小巧，在音质上肯定是mini要逊色一些，但是放在卧室里用也够用了应用：听听歌，替代电视的音箱效果还是非常不错的物流：发货快，京东的物流也没得说，非常快，头一晚下单，第二天下午就送到了。
