https://item.jd.com/100025114549.html,"['AppleMacBook Air ', '100025114549', '2.37kg', '中国大陆', '8GB', 'Apple-MacBook Air', '99% sRGB', '无机械硬盘', '高端轻薄笔记本', '256GB', 'MacOS', '13.0-13.9英寸', '15.0mm及以下', '60Hz', 'Apple M2', '16:10', 'Apple M2集成显卡', '支持IPv6', 'Apple', '午夜色']"
j***q,star5,我只能使用一次京东买电脑了，真的效果很不错，快递速度很快电脑质量也目前用到现在还不错，总体来说很满意
j***z,star5,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~会推荐给朋友。"
潭***爱,star5,运行速度：挺快外形外观：很喜欢这个外观轻薄程度：轻薄，还是有点重量的就是用转换器ｕ盘速度有点慢
S***r,star5,运行速度：运行速度是特别快的 是很不错的效果屏幕效果：超高清的屏幕效果特别好 很细腻 不错的散热性能：没有风扇  轻办公使用还是不错的外形外观：简单简约 很舒服轻薄程度：很薄很轻其他特色：好看散热能力：正常
核***励,star5,搓手手万分期待的东西终于到手。内心那个炽热激动的劲儿涌上来止都止不住！！！觉得东西不错我就会给好评宝贝产品质量很好，是正品。和页面描述写的基本一致，卖家的客服服务态度从头到尾都很好，快递发货速度超快运行速度：非常不错屏幕效果：挺好的散热性能：还行外形外观：很漂亮轻薄程度：不重运行速度：很快
弓***皓,star5,使用了一段时间，感觉还是很不错的，相比较windows 的系统，mac os 有它自己独特的优势和人性化的设计，使用体验更好，运营也流畅，轻薄静音真的太优秀了，喜欢外形外观：简介商务，推荐散热性能：无风扇设计更轻薄，但也没有明显的发热问题屏幕效果：高清，亮度也足够在室外使用运行速度：超级顺滑，和 iphone 一样的体验
T***主,star5,心心念念的MacBook Air终于到手了，颜值太吸引我了，轻薄便携，用起来很丝滑，办公也很不错?
J***9,star5,心心念念的终于收到了 星光色非常漂亮 是自己喜欢的颜色 设计轻薄 线条非常漂亮 开机后系统非常流畅 查看了运行报告 电池循环两次 应该是全新 总之是一次非常满意的购物 赞赞赞
j***v,star5,外形外观：很轻薄，银色很好看屏幕效果：窄边框，屏幕分辨率可以看视频很爽其他特色：苹果的log好像变大了，触控板也变大了，喇叭开孔在屏幕下方，颜值超高
猫***街,star5,挺好的运行速度：超快屏幕效果：清晰度贼高散热性能：目前还不知道外形外观：很爱这个外观轻薄程度：超级薄散热能力：再试试运行速度：极为流畅其他特色：很容易留痕迹，像我这种强迫症患者，多少有点难受了
G***主,star5,运行速度：简直就是一个字，爽 屏幕效果：很漂亮，观看视角很舒服！散热性能：不可以打游戏，因为没有散热，打游戏烫，但是除了游戏，运行其他都不会感觉热。外形外观：好看好看轻薄程度：太薄了，一本书的厚度，拿起来特别方便！
z***1,star5,还得是苹果呀，质感和外观都很好运行速度：运行速度很快，无卡顿屏幕效果：高清，反光不严重散热性能：散热好，不发热外形外观：深空灰色很耐看轻薄程度：超轻超薄，携带方便其他特色：Final Cut Pro用起来也特别流畅
孤***J,star5,运行速度：很快，目前没卡过！屏幕效果：超级好看！散热性能：没感觉到热！外形外观：外面很不错，苹果味！轻薄程度：很轻薄！装进袋子带出门，都问是不是带的平板！其他特色：电池很够用，每次充满电都是使用10个小时以上！
j***a,star5,真的超值  而且很高级 客服也很好  到货速度也很快  太矮了。深空灰也好好看  很高级嘞  其实还想买一部苹果手机哈哈哈想很久了  出新款了再次购买苹果的
温***霏,star3,系统不好用，也可能是刚用不习惯。后续用习惯了在追评吧……
Z***K,star5,21年元月入坑的mac 当时买的Air M1 特别轻便，速度很快，最重要的是非常静音，本来就是用来办公的，用着特别好～22年元月因为朋友喜欢我的那个Air M1 想着用个大屏的看着舒服，就入手的16寸的Pro 性能方面没的说，非常的给力，但是……重量实在是受不了，好几次出差放在背包里，感觉后背压力很大！23年过了年，因为实在不堪忍受Pro的重量，就买了这台AirM2 总体用着跟之前的M1差不多，但是颜色确实很好，用于办公性能绝对过剩！但是屏幕比M1的好很多很推荐有出差需求的小伙伴购买，然后～Mac买的话一定看准需求，根据实际需**买 像我这种只是办公的，Pro很浪费，在办公室接个显示器更好用还有一个缺点要讲，这个配色特别容易沾指纹，手汗如果多的话，慎重！一模一个印子，还不好擦
u***i,star5,新年给自己的礼物，原来的PRO用了5年多了，老兄弟辛苦了，整理整理，让休息休息，新本操作很舒服，屏幕成像和色泽也很好，习惯了，不想换其他的本子了，数据也不倒了，拷贝在硬盘上，给电脑腾出更多空间吧
凝***叶,star5,苹果电脑真的巨爱，太好用了，日常办公首选，经过两个多月的使用，续航能力很强，触摸板非常灵敏，运行速度：非常快屏幕效果：屏幕效果很赞外形外观：选了自己很喜欢的星光色，大气上档次轻薄程度：还是比较符合预期的
s***g,star5,终于决定换掉15年的MacBook12寸了。陪伴了我8年的本本手感好又轻便，舍不得，但是巨大的发热量和蜗牛般的反应速度已经无法忍受了。新的air很好，继续选择金色，手感好，尺寸能接受，键盘比旧的好太多。配的双c口充电器好评！开机速度又回到了2015年哈哈！
阿***街,star5,用了一周多，很流畅，没什么问题，写文很舒服。以前的笔记本风扇声音太大了，还发热，换了这个就非常满意，嗐，希望国产笔记本也能做到这个程度，我很乐意买的。
j***z,star5,用了二十来天才来评价的，外观超薄手感触摸很舒服，系统行非常的流畅，屏幕显示也是很细腻，期间遇到问题，售后工作人员也是热情又耐心的帮助完美解决，大品牌果然是值得信赖的
爱***活,star5,非常好的电脑，轻薄，便携，系统用起来也很流畅，平时用ps轻度使用，完全足够了，mac系统也没有很难学，半天的时间基本就掌握了x
j***O,star5,Macbook Air真的非常好用，原先用的都是windows操作系统的笔记本电脑，但是用一阵子就会卡，MacOS系统据说很好用，等用一阵子再来评价！
失***酱,star5,产品总体不错，包装严实，没有破损发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~
s***y,star5,东西非常好，包装很不错很严实！快递也很迅速第二天就可以送达保证时效。东西也非常不错！希望商家可以继续坚持到底做出这样的好产品！
j***9,star5,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，
S***6,star5,一直在犹豫air和pro系列，最终根据自己的实际情况选择了更轻薄的air，方便携带。实际到货确实轻薄，颜值更高，手感好。平常就是办公用，没有专业的要求。还未使用，不知道用起来如何。再体验吧
M***s,star5,包装还不错，虽然外包装有损，但里面还是完好的。总的感觉不错，机器质量也还是可以的，外观没有什么划损，机器本身质量也挺棒的。
K***s,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了真的推荐啊，快递速度特别的快，爱了爱了不错，喜欢，性价比高，以后会经常光顾真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物
l***m,star5,电脑比较薄，颜色很好看，用起来非常流畅。第一次用苹果电脑，还在学习中。运行速度：快散热性能：好外形外观：漂亮轻薄程度：比较薄，金属的，较重
j***I,star5,电脑很好，买的时候挑过很多，也有其它店的，还是觉得官方自营旗舰店靠谱点，以防万一后边还有问题，速度很快，第一次用苹果产品，刚开始还不太习惯，但也很好学的，很快就学会啦，嘿嘿，用着很顺手，我修改了一下用户名结果给弄出来需要重输密码了，就卡，后来联系客服特别细心处理，还预约技术顾问，最后也是成功解决啦，态度很好，支持支持轻薄程度：很薄外形外观：很不错散热性能：挺好的运行速度：很顺畅
屋***草,star5,目前已经从微软系统全部迁入新电脑，重量对女生很友好，颜色也低调耐看，经过各种***教学，目前已经完全适应了新系统，电非常耐用，充电器也变的更小巧，整体满意，。
W***2,star5,外形外观：一如既往的优雅运行速度：流畅稳定屏幕效果：新的屏幕显示效果更好，而且比之前的air大一点点轻薄程度：手感特别轻，舒适对于办公族来说简直完美，还能有性能过剩
j***W,star5,已经使用3天，岂止是买了台电脑，明明是买了件艺术品，颜值爆表。超薄，尺寸刚好，居家户外都一级棒，丝滑流畅，几十个软件同时运行毫无波 澜，没玩游戏完全不会发热，大冬天摸着冻手 电脑性能 操作简单易上手， 不需要鼠标也能简单 快速操作大部分软件，触摸板的功能把笔记本变成 了iPad 所有软件无广告无垃圾，干干净净，基本 上常用的都能够兼容，能满足日常所有需求 有 点小贵，但物有所值，推荐购买一步到位！！！
我***-,star5,苹果电脑很好，运行速度很快，运行速度也很快。午夜黑真的很好看，运行流畅，不卡，出行很方便，很薄，摸起来很舒服，太喜欢了，屏幕也不错。
a***a,star5,运行速度：速度杠杠的；屏幕效果：非常清晰，看着很舒服；办公之外追剧；散热性能：M2处理器，无风扇，基本不发热；外形外观：外观好看，午夜的也是纠结很久，就是有点占指纹；轻薄程度：非常轻薄。原来没用过Mac系统，上手也容易，方便快捷。
赵***茉,star5,运行速度：方便快捷屏幕效果：不错散热性能：不错 安静外形外观：美美美轻薄程度：又轻又薄其他特色：第一次用苹果电脑 新系统很不适应 还在学习中 选它就是因为好看吧 别的没啥了 而且教育优惠很划算散热能力：不错运行速度：快快快
j***_,star5,种草m2的MAC AIR 已经很久了，反复去实体店看呀看，最后选定了星光色，很低调又高级的颜色，适合女生。本来喜欢午夜黑，可实体店看了果然是指纹收集器啊，键盘很舒服。
l***n,star5,大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！这个是真的好，材料和做工都特别精致，做工真的非常棒。用惯Windows再有些用不惯，要适应一段日子了。
奔***生,star5,运行速度：翻开屏幕自动开机，无需等待即可使用，很方便屏幕效果：苹果产品的屏幕自不必说，无数设计师、摄影师的选择就说明了一切散热性能：目前使用没有问题外形外观：苹果一贯的简约美轻薄程度：相当轻便
p***n,star5,屏幕效果：非常惊艳，不过不知道比起miniled如何运行速度：m2的速度很强悍，比三年前的macbookpro有明显的速度提升其他特色：摄像头1080的，视频会议更加清晰
j***h,star5,运行速度：绝对流畅 无敌了好吧屏幕效果：500尼特绝对够用了 大白天的都可以散热性能：不好意思，感觉不到热外形外观：最薄最轻的一款MacBook了轻薄程度：很薄很薄的一款笔记本
j***z,star5,运行速度：很快，新机器，不卡，后续观测屏幕效果：清晰度非常好散热性能：还可以，没有风扇，声音听不见。外形外观：轻薄，深灰色大气上档次，办公设备首选。轻薄程度：好好好其他特色：运行速度快开机速度快
j***v,star5,午夜黑确实太高级了，在实体店一眼就看中，虽然13.6寸屏幕单词但比我之前买的air看起来小，也更轻薄。这次A+活动也很合适，刚需办公入的，推荐。
竹***饭,star5,性能一如既往的好，8+16和512g的组合使用任何软件都流畅无卡顿。颜值的话不用说，灰黑色调很上档次13.6的尺寸比之前的MBP大好多，买了不后悔电池很耐用，不插电正常可用一天时间
雨***容,star5,运行速度：很快，同时打开很多网页都不卡，而且长期开机不关机也不卡，屏幕效果：屏幕很高清，看视频图片都很清晰外形外观：外观很高大上，很喜欢这个质感，虽然刘海屏第一眼不是很喜欢，但是看着看着就还不错轻薄程度：很轻薄，方便携带其他特色：唯一一点就是不喜欢截图的快捷键，按键距离太远了，一个手指按不到，因为手比较短小
周***安,star5,运行速度：性能很好，苹果M2芯片不是盖的屏幕效果：一如既往散热性能：没啥压力，用illustrator也没感到热外形外观：那简直封神了，比上代更好看轻薄程度：登封造极其他特色：注意????宝子们，一定要买16G内存的，否则CPU性能再好，白瞎，因为CPU还没发挥，内存就满负载了，极大限制了电脑性能，我这台是换的，一开始买8G内存，还会卡顿
用***8,star5,非常好的笔记本运行速度：M2芯片，日常办公毫无压力，运行很流畅屏幕效果：屏幕看起来很舒服，清晰，分辨率高散热性能：散热良好，比很多其他品牌要好，不会严重发热外形外观：漂亮，轻便轻薄程度：轻薄款，适合出差携带
怪***呵,star5,运行速度：非常快屏幕效果：非常清晰外形外观：非常好看散热性能：非常好轻薄程度：非常适合经常外出者
S***n,star5,星光色是浅浅的金色，很好看。用了几天手感不错，日常办公软件很顺畅。就是维保期拿到手是23年11月，应该是24年2月，打了苹果官方后修改了。
M***J,star5,特别好用，估计一台电脑可以再用10年，上次是10年前买的，一直用，都没重装过系统，很稳定，这次更轻薄，续航更长，16+512配置也很高端，做为平时办公用，偶尔剪辑视频使用，足够了
j***u,star5,运行速度：非常快，已经不适应用旧电脑的反应速度了屏幕效果：清晰，色彩还原效果好散热性能：基本没有感觉发热外形外观：简洁美貌
I***7,star5,这款笔记本电脑性能非常的好，超值，运行速度快，屏幕效果看着相当哇塞，不刺激，眼睛散热性能相当的好嘞是我喜欢的外观外形，颜色很合，我的心意轻薄，方便携带
小***了,star5,一直老款新款纠结了好久，最后想想买新不买旧，一狠心直接16+512，就当给自己买个新年礼物了，嘿嘿嘿。午夜黑很漂亮，m2速度也很快，屏幕显示效果很好，棒棒哒
i***r,star5,心心念念的电脑终于买回家啦，哈哈哈哈哈～系统运行速度很快，屏幕也很不错，但是作为windows系统和苹果系统切换，操作上还是要适应一段时间的?颜值真的很棒，这个颜色很好看啊，有需要的可以入手
j***v,star5,外形外观：这个星光色非常的好看！轻薄程度：这款air非常轻薄，比m1的还要薄一点点运行速度：运行流畅，日常办公无压力
j***n,star5,电脑配置高，速度快的很，轻薄便携性价比超高。时尚版型，上网速度快的很啊。物流也很快，服务态度很好。屏幕清晰度高。散热性能优化。美美哒么么哒。
浩***少,star5,已经收到苹果Mac book Air 13.6笔记本电脑了，之前买的笔记本电脑突然坏了，所以想入手一个苹果电脑，因为之前所有的配件都齐了，手机，耳机，平板，联动效应很不错?，强烈推荐一下。
U***s,star5,运行速度：那速度真是杠杠的，真是不用不知道啊屏幕效果：这屏幕效果可真是太好了 看不了其他电脑了 4K啊外形外观：颜值可太高了 爱不释手散热性能：没有风扇的电脑真是**静
夷***梦,star5,买给老公办公用的，他一直很喜欢苹果的电脑，又看到这款电脑的续航很厉害，方便开大会，于是我就买了，拿到手后果然没有失望，老公很高兴。
L***F,star5,使用感觉很好，慢慢地熟悉MacOS了，做工精致，续航确实牛，比windows本好得确实不是一点半点。
s***7,star5,昨天晚上下单，今天中午就收到了用了A+会员很OK，价格很美丽，不错不错物流师傅也很给力，平时都放快递柜，今天直接送上门。赞赞赞
A***妹,star5,比之前老款air 小了不少，键盘手感不错，屏幕太细腻了，真心不错，m2的流畅度没问题，不错不错，不错这颜色确实指纹收集器了。
飞***翔,star5,这次MacBook Air M2版本的更新，达到了一个新的高度。系统流畅 运行非常快 而且携带也很方便，用惯了苹果的全家桶 很容易上手。
****人,star5,运行速度：速度很快外形外观：外观好看屏幕效果：屏幕非常的好整体电脑还是很不错的，轻薄。而且便于携带，用起来手感也是非常的不错的。本次购物还是很愉快的的。
