https://item.jd.com/100022001194.html,"['海尔HRO12H99-2U1 ', '100022001194', '13.67kg', '中国大陆', '1200G', '活性炭，PP棉，复合滤芯，RO反渗透膜', '纯水机', '2-3L/分钟', '厨房']"
冰***f,star5,第一次买净水器，相信海尔品牌，外观全白色的很好看，出水量也还不错，师傅安装很认真，也没有收取额外的费用，期待使用的效果
j***a,star3,京东双十一活动买的这款海尔的净水器，价格还是比较合适的，而且还有滤芯和空气炸锅，真的是性价比很高的，而且京东的送货速度没得说，海尔的售后安装服务也很是到位，不错的一次购物体验
布***勒,star5,送货速度很快发货速度很快，东西包装的很好，价格优惠，我很满意，还会回购 掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指
c***0,star5,静音效果：声音很小，基本听不见外形设计：很好看，购买这款净水机第一眼就是看中了它的颜值物流速度：隔天就到了，物流很快出水速度：出水速度还是很满意基本没什么缺点，推荐购买
快***包,star5,出水很快，水的口感也不错，烧水壶的水垢没有了，特别好用，快递也很快，安装速度也非常的及时。下次还会继续购买。总的来说不错的体验
j***s,star5,已经购买海尔净水器第三台了，给两边父母家和自己家各买了一台，第一台开始到现在已经有3年多了，产品越来越好了，这款出水量很大，净化水一点水碱都没有，特别特别好，我家热水壶是透明的哈，如果过滤不好一眼就可以看到的。
j***z,star5,师傅安装很好，产品很漂亮，和我的水槽和水龙头惊奇地匹配。水龙头带电子显示，简单明了。国产的自主品牌也很好。期待更多海尔产品。
j***q,star5,送货速度非常快  当天就送到了  产品也非常棒很漂亮  操作也很简便  出水速度也很快  安装人员也很专业  五星好评
A***8,star5,海尔大品牌 下单第二天早上就送到了 中午安装 非常迅速 净水器不占地方 非常方便 很喜欢这个样式 不错?
j***x,star5,用起来挺好的，水里没有异味，出水量也很大，没有用水焦虑安装师傅不太行，特别急躁，着急慌忙安完就跑了
j***4,star5,发货速度很快，安装预约也很方便，家里台面没有孔，于是师傅按照收费标准收了打孔的钱，能出两种水，感觉还是不错的，期待后续使用。
j***q,star5,还不错，第一次净水器漏了，应该是因为水压过大，售后很给力，安排人免费上门拆卸，换新，新机器很好，出来的水可以直接引用，没有多大问题。
j***1,star5,不愧为大品牌，客服介绍的很详细，发货速度很快，安装服务更快，刚下单不一会就收到安装师傅的联系电话。外观美丽，出水快，体积小，非常好。
j***c,star5,东西整的来说还是不错的，有两个功能，一个是进水，一个是过滤水，对于做饭来说更加多一种选择，和我的水槽适配也十分的好，总的来说十分的棒。海尔的水量大，还能联网，我的电热水器也是用的海尔的，海尔老牌子，值得信赖。非常好的牌子，非常不错，总的来说很值得推荐。
f***w,star5,出水速度：绝对是最开心的一次购物，店家服务态度很好，售后也是真的好喜欢，客服态度也挺好的，值！以后有需要还会来买这质量真是太意外了，实物美美哒，触感很好，很推荐哦~
我***脸,star5,净水器质量很好，安装方便，外观大气上档次，功能强大，一个是净水出口，一个是纯水出口，纯水可以直接喝。水流也很大，接水速度超快，另外可以app控制，非常方便。
三***星,star5,宝贝已经装好，真心不错，师傅很耐心服务态度很好，安上了新宝贝海尔净水器，试了试，结果大不一样，相信大家都是明白人，大品牌就是不一样，希望用下来以后一如既往的好样的，水质显示10，大品牌值得信赖，感谢海尔，感谢京东。
w***1,star5,京东下单第二天就到货了，然后师傅上门安装，这个速度真心快。颜值相当高，1200G出水量出乎意料。两边出水日常和饮用水区分也能够使滤芯寿命更长。WiFi连接手机，家里老人不懂，我也能远程看情况：水质的话真不错，我们这边本来水是比较偏硬的，但是经过过滤水质相当nice，不愧为海尔大品牌！真心推荐
A***3,star5,发货速度快，到了就联系师傅安装，体积小巧，但出水量大，声音也很小。出水速度：超快静音效果：声音很小外形设计：漂亮安装服务：很负责物流速度：快
u***r,star5,发货速度快，收到东西后师傅第一时间联系好时问，按照约定时间准时安装。出水量很大机器噪声小 非常满意。
新***风,star5,家里净水器换新，选择海尔因反渗透滤芯层数多，海尔服务依然很好，提前电话联系，安装后还有回访询问是否收费。净水器使用已有一周无任何问题，水质很好！
j***t,star5,对比了好多家，选了海尔，因为海尔的售后服务很好，对海尔的品牌还是比较放心，结果没让我失望，400G的水量就很足了，还是大品牌质量有保障啊，先用一段时间看看
j***m,star5,第一天晚上下单，第二天就送货了，安装师傅很快电话联系预约安装，按照约定时间准时到达，安装很细致，讲解也很认真，海尔值得信赖，京东更是赞！
糖***y,star5,帮家里老人安装的，师傅安装的还是很不错的，愿意考虑用户的实际需求。净水的出水速度比较快，纯水也很好。我也直接和了没烧开净水。为海尔加油！^_^
j***1,star5,我老家用的是海尔净水剂，新房子刚装修完，依然信赖海尔，这次升级了大通量的。颜值也是杠杠的！大品牌，售后跟耗材都不用担心，海尔值得拥有！！！
天***神,star5,配送速度快，送达当天师傅直接来安装了，因为家里安装比较复杂，师傅安装了两个小时才搞好，不错，很负责，家里人使用也满意
c***1,star5,师傅刚安装好，流水速度可以，超出我预想，一家四口足够了，安装师傅人非常好，服务很好，顺便还帮我修了水管其他漏水问题，
拓***2,star5,还没安装，但是看着很不错。配套买了一个小的前置过滤器，师傅安装的很专业，很贴心，细节处理的很不错，也没有多收费的现象，等把洗碗机买了，到时候一起安装试试再追评
紧***人,star5,净水器非常不错，颜值高，家里第二台海尔净水产品。以前放出来的水有点消毒剂味道，现在放出来的水和纯净水一样，泡茶冲咖啡都可以，满足一家人需求。好评
j***t,star5,精致小巧，经济适用，师傅的服务态度很好，海尔一直也是我们家比较信赖的品牌，安装好了刚好可以和家里原来的壁挂机连接一起用！省了我要买壁挂机的钱，棒棒哒！
徐***子,star5,净水器是家庭必备的东西，喝健康干净的水是很重要的，净水器已经买了三个海尔的产品了，一直在支持海尔，很不错的，也会推荐身边的亲戚朋友的
R***刘,star5,海尔的净水器真的太棒了，因为之前买飞利浦净水器出现了不愉快，所以正好有了对比，海尔的出水非常干净，也比较静音，安装师傅也很好，整体感受非常棒！强烈推荐！
我***花,star5,快递是真的快，客服人员态度也很好，当时下单就有安装师傅打电话预约上门。包装也很完好，没有破损，出水贼迅速，海尔还是值得信赖的
小***m,star5,海尔净水器，大品牌值得信赖！出水很快，性价比很不错！海尔售后服务好，安装师傅态度也很好，耐心讲解！非常开心的一次购物体验呀！推荐大家入手！
觀***語,star5,我以为很轻，其实超级沉，好不容易扛回家，这房子还要一个多月才装好，很期待啊，之前买过前置，海尔的服务不要太好，师傅很守时。等待安装。
空***6,star5,宝贝很好，安装师傅服务很周到，安装速度也很快，安好就有净水和纯水出来了，流量也很大，以后就有放心水吃了！！！
u***h,star5,赚大发了，618买的，很划算，纯水和净水两个功能。没有储水桶，不怕滋生细菌。很高端的产品。安装不收费。
无***瓜,star5,快递送到家门口，而且当天就有安装师傅联系我上门安装。但是我是买在另一个地方的，过两天带过去以后又在app上下单安装，师傅也很快上门了。挺方便的
迷***狒,star5,本来选美的的，选了半天，还是选海尔吧，因为小区业主群有人买过，然后对比再三还是用别人推荐的吧，声音能接受，售后安装都非常好，使用效果后续会追加
凋***草,star5,这个机器之前老家用的净水机就是海尔的净水机    用的还不错  这次买的顶配  真是物超所值  太好用了  水流速快不说  还很有颜值 总之满意！@！！
t***1,star5,活动期间购买了还有净水器，安装试用了一下效果很好，出水量很大，颜值很高，以后会一如既往支持海尔品牌。
小***9,star5,出水速度：很流畅静音效果：没有噪音外形设计：外观时尚安装服务：安装师傅服务态度很好，安装很方便物流速度：一早就到了，物流很快
j***u,star5,海尔的服务很不错，一直在跟进，很快就安装好了，价格不贵，功能齐全，还有显示水质好坏的数值，这下喝水洗菜都很安心啦。
A***6,star5,静音效果：几乎没有什么声音 很好外形设计：不占空间安装服务：安装速度 态度很好物流速度：当天买 隔天就到了
Y***1,star5,海尔产品不错，售后安装也给力，关键是安装师傅现场测量后说不能安装，海尔店给出退掉不能用，海尔现场师傅推荐适合的前置过滤器，非常好，支持一下
j***2,star5,618买的最满意的东西，到货当天就上门安装了，半个小时就装好了，还给顺手换了个新角阀，服务态度超好?取水方便，水量大，真是科技改变生活啊
j***Z,star5,大品牌值得信赖，终于可以喝到好水啦，安装师傅很细心，物流也很快，支持海尔，支持京东，没买的小伙伴赶紧赶紧入手吧，经济实惠
y***3,star5,产品简洁大气，颜值很高，安装师傅非常仔细，安装成以后打扫了卫生。测了一下水质7，海尔还是牛逼，第三张图能看出来的水质变化，测了一下7。本次购物很满意，相信海尔相信京东。
j***a,star5,净水出水速度很快，及时是纯净水的出水速度也超出了我的想象很意外啊，静音更棒、橱柜关上时几乎听不到它在工作，外形很精致很有档次的感觉，物流和安装一直都是京东的强项就不多说了
其***子,star5,东西已经收到了，非常不错，安装也没有额外收费。海尔也是大牌子，大家可以放心购买。用了优惠券，比其他平台便宜很多。
