https://item.jd.com/100039537953.html,"['海尔LU75X5(RPO)', '100039537953', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
丿***者,star5,之前买过海尔家的55r5，后又购买了lu55x5.对比之前的55r5刷新率更高，今天第一天试用，感觉非常好，运行速度比55r5微高！后续使用再追评！
j***v,star5,电视包装很好，送货小哥比较负责。特别表扬一下海尔的售后师傅，安装技术好，有责任心还细心，不懂的他们会仔仔细细的给你解答，好评好评！！！
2***1,star5,"扛扛的，价格实惠，真的是挺不错的，我很喜欢，还会再来买的，这用料一看就很高档，这是家里买的第二个了，值得入手，物有所值，一直舍不得买的这个牌子产品，性价比高，很划算，好卖家真有耐心，一级能效节能省电，非常厉害，质量非常不错，样式高档大气上档次，性价比很高，运行流畅，没有瑕疵，给爸妈买的,价格还可以，完美符合预期"
3***4,star5,买回来就迫不及待的试试，价格又实惠，真的是神仙电器，很好的一款产品，颜值很高，使用有一周了，感觉还不错，到货当天就迫不及待打开了，太棒啦，产品安装的非常合适，功能很强大。安装很专业，闺女出生后一直用这个品牌，效果也不错，颜色很符合我的要求，也没有色差，非常省电很不错，是我喜欢的样子，一直关注这款产品，非常好，安装师傅很专业，十分有经验，整体看起来很大气，外观很满意
w***o,star5,够大气！视听不错，清晰度也不错，尺寸刚刚好，负责安装的师傅很细心也很有耐心，配送比预计到达时间早，总体感觉非常好。
2***8,star5,非常棒，高档大气，底座还有小滑轮，态度很热情，质量好，物超所值，电话沟通安排得非常好，做工精细，售后服务很用心，外观也很好，售后也很尽心，包装完整，发货速度快，非常满意，非常NICE 棒棒的，送货很及时，没耽误使用，品质在那，也没什么更多可说的，服务人员态度也很好，我来评价下这个宝贝，客服耐心细致，安装小哥认真负责，很棒的一款家电
j***y,star5,放在家里的背景墙75寸效果很好，音效不错，画面清晰，极速运行，配送员搬运也很小心，态度好，家人非常喜欢满意。
1***0,star5,海尔电视机大品牌图像非常清晰，声音非常好听，售后师傅服务非常好，非常满意，电视机反应速度非常快，非常敏捷，没有一点迟钝，外观非常大气，纯黑色外观很满意的一次购物体验，后期还会来你家买
随***1,star5,海尔大品牌，值得信赖，电视收到后特意开机测试了一段时间才来评价的，画面流畅清晰，这款电视有独立音响所以听音乐效果很好，很满意！
j***7,star5,电视非常好 京东的物流也有保障 东西没到售后已经安排人联系了 买大件还是得上京东 海尔的品牌也有保障 性价比高 有活动更划算
j***A,star5,简直太好用了，只能用完美来形容！强烈推荐！宝贝真不错，做的真细心，值得拥有，快递很快物流很快，?产品很快就收到了，比想象中还好，不错不错！东西质量非常好，与卖家描述的完全一致，非常满意
j***0,star5,非常满意的一次购物，大品牌质量有保证，正品杠杠的。师傅安装也很用心，本人不在家，多次电话沟通安装，功能也比较齐全，价格也实惠
2***1,star5,信任京东，信任大品牌，售后服务超好哇，操作简单，质量有保障，买的放心，很满意昂不错不错，正品放心，存放时间长，之后也打算给家里人买一台，美观好看，NICE，非常节能省电不错，还是蛮推荐的，很好，客服回答问题很细致，售后和售前一样好，下单没几天就到了，到货很及时，可以远程操控，速度快，送上楼！表扬表扬，功能也很全，够用了，特别好，质量也很不错
j***Y,star5,外形外观：大气上档次运行速度：运行速度快屏幕音效：音质很好，杜比音效即送即装：发货速度快，安装服务到位功能效果：含有多种功能和模式
南***3,star5,电视机发货非常快，服务也很好，送货上门，提前沟通，态度优秀，大小合适，性价比好，非常满意。安装服务也可以，都会提前打电话
冰***0,star5,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！
j***C,star5,海尔电视机大品牌，图像非常清晰，声音非常好听，售后师傅服务非常好，我非常满意，电视机反应速度非常快，非常敏捷，没有一点迟钝，外观非常大气，纯黑色外观，显着非常低调高贵，海尔电视机做工非常细致，没有一点瑕疵，过两天买小电视机还选海尔品牌。
哼***我,star5,好大好大一个，还是可以全屋智联的，师傅人也很好，物流非常快，第二天就到了，简直不可思议，给个大大的赞???
不***名,star5,已经多次购买海尔的商品，电视外观时尚，极速运行，全面屏幕、超薄的屏幕、音效不错、屏幕尺寸大小合适、屏幕显示效果很好、功能很容易上手，家里的老人也很容易使用。
蚂***队,star5,这款海尔75寸液晶电视画质很清晰，自带底置式专业音响，音响效果非常不错，有专业的环绕，重低音音效，身临其境，畅酣淋漓，前置音响确实有点电影院看电影的感觉。反应速度很快，没有卡顿现象。
j***6,star5,电视机很好，屏幕清晰，声音也好，安装方便，操作简单，这样在家里就会想着一直看电视，是个好牌子，值得购买，电视机真的很不错
3***0,star5,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家
j***q,star5,电视外观美丽大方，样式新颖，影像清晰，便于操作，功能齐全，来了几个邻居看了看，都说不错，买电视首选海尔。
j***x,star5,开机流畅  自动更新流畅 画面清晰  虽然初始网络有点不好卡顿 重启一下网络信号就好了 海尔大品牌 比较满意  物流也给力 期待后续使用效果
j***Q,star5,适合小娃看动画片，画质清晰，看电影也不错，性价比还是比较高，暂时没有发现重大缺陷，看看这个电视能用好久，以前买的卡萨帝8000多，用了近10年。
h***8,star5,海尔这个电视机价格还算实惠，优点是我们这边农村也能送货上门，这点比较方便。效果的话看高清电影还可以，看电视的话色素没有我家原来的夏普的好，毕竟价格摆在这。
姜***儿,star5,以前的电视有道道了，像素还低，看着不舒服。选了几个，最后定了这款，价位还行，尺寸需根据自己家的距离选折了55寸，像素挺好，孩子也挺喜欢。
j***5,star5,第一次购买海尔，不得不说快递速度真快，安装师傅速度也可以，客服服务随时应对，电视刚安装好画质挺清楚声音挺好，看看后期后在追加评论，
泡***七,star5,自从买了这款电视，就被朋友问爆了的电视评价来啦！家里有孩子喜欢看电视，所以家庭氛围必不可少。在装修的时候我跟我老公一致决定，所有家电都买海尔牌，我们父母家的电器也都是海尔的。经过对比挑选，我们买了海尔的这款电视。高清画质满分五颗星，我可以给到五颗星。
j***树,star3,千万不要图便宜啊，清晰度，还是差
g***l,star5,外形外观：喜欢运行速度：流畅屏幕音效：不错尺寸大小：放在我家客厅墙上正合适功能效果：功能很多，慢慢研究六一八活动，看了许多家，最后还是选选择了海尔，原来家里用的所有电器都是海尔品牌的。现在新楼也买了全套的海尔家电，冰箱，洗衣机，电视，空调，等等，昨天下单的，今天早上就到了，已经安装完毕，相信京东自营。
为***n,star5,京东到家，服务到家。海尔画质清楚，操作顺畅。运行速度：?屏幕音效：?尺寸大小：刚好功能效果：?
j***t,star5,满屋子海尔，大品牌质量有保障，到货也快快递也给力，服务态度好，已观看几天确实不错，嗯挺不错的，继续支持海尔家电，准备弟弟结婚送他电视也买这款
j***1,star5,给公司购买的，以前公司有一个49寸的电视放在会议室，投影感觉字体小了，现在购买了75寸的，正好赶上这次618活动购买，买好之后自己安装。开机测试后显示清晰，质量不错，推荐购买。
j***c,star5,色彩 音质都嘎嘎的 屏幕特别清晰 音质也很清楚 送货师傅夜很有耐心 包括海尔客服 海尔售后都很贴心很好 海尔电视兔比南波万
u***w,star5,非常满意的一次购物电视屏幕清晰，即送即装，特别是快递安装小哥热情周到，必须给快递安装小哥点赞，您辛苦了，谢谢
j***h,star5,海尔新电视安装好了。不错挺清楚的，音量也比较柔和。以前用了15年的海尔电视开关不灵敏了。换了。现在的又好又便宜。制换方便快捷。送装一体到位。海尔产品值得信赖。
深***0,star5,电视清晰度一般，色产一般。无论用哪种模式都不够清晰色产还原度没之前买的海信好，反应速度和体验感也一般，比较看来还是海信电视更胜一筹。选择错误?下次不会再买海尔的电视了。送货小哥服务态度真心好！送货速度也是飞快！这点给配送小哥五星好评。
j***女,star5,送装一体，即送即装。给我妈买的电视，安装要求比较多，师傅一直非常耐心，满足我们的诸多要求。感谢李师傅
M***r,star5,电视机收到了，速度真的很京东，画质非常清晰，真的是物超所值，而且音质也不错，外观轻薄好看，尺寸刚刚好，不大也不小，即送即装速度非常快。
j***9,star5,在京东自营店下单后，就有客服联系确认发货，物流很快，第三天早上就送货进家了，电视图像清晰，外观大气，一次非常满意的购物。为京东点赞！
j***M,star5,外形外观：简洁大方运行速度：反应快屏幕音效：屏幕清晰，音效超级棒，在家里就有影院的感觉尺寸大小：65寸，家里正好功能效果：使用方便，即送即装：中午送到货，下午就来师傅安装好了，还帮忙调试好了
北***邻,star5,电视绝了，这立体音效看好莱坞大片跟电影院的感觉太像了，而且尺寸也够用，我家客厅宽度是4米65寸的刚刚好，画面太清晰了，客服讲解的也很到位很细心。下面是标题评价：外形外观：无磕碰划痕，很精致运行速度：刷刷的，不卡顿，运行很快屏幕音效：4K那是没得说，太板正了尺寸大小：正合适功能效果：功能很多，智慧屏贼带劲大家可以看一下哥斯拉的电影，感觉太棒了，用一段时间我再来追评一下?很满意很满意很满意
嗯***呆,star5,电视真的很不错。看电视剧很清晰。声音也是立体的。听着很舒服。大小也正合适。操作也比较方便。很容易。真是非常非常不错的一款电视
皮***妍,star5,一直信赖海尔家电 电视机很漂亮 屏幕清晰度也很清楚 画质超好 师傅上门安装也很好 直接帮抗上三楼 点赞?
j***j,star5,送货速度快。服务人员态度好。相信京东。相信海尔大品牌。操作简单，给老人买的，有语音。之前的冰箱也是海尔的，还想再买洗衣机，非常喜欢海尔的售后服务，态度特别好。
j***7,star5,宝贝收到，卖家发货很快，物流也很强大，客服态度极好，很有耐心，非常喜欢。宝贝真的很好，和图片一致，物有所值，卖家非常细心。亲身体验，这家店信誉是相当地不错。质量很好。商品质量也相当不错。太喜欢了，非常感谢。
小***贝,star5,质量很好，挺喜欢的超出了预想值，发货速度很快，包装非常结实，物流人员服务态度很好，很满意的一次购物体验，朋友家也买这款推荐给我的。
刘***6,star5,一次买了三台电视，一台75寸的，两台43寸的。送货很快，下单第二天就送到家了，安装师傅提前联系很快上门，安装费用也是明明白白，海尔有统一收费。而且价格合理！师傅安装很快，动作熟练最后还帮助调试了一下。海尔大品牌，售前售中售后都让人满意，客服也是有问必答，耐心解答我的任何问题！赞一下
淡***a,star5,今天刚把网连上，试了下电视，感觉还不错呦，声音清楚，图片清晰，电视屏幕清晰，来送货的师傅服务态度也好上门也快，安装方便，电视外观也不错，运行速度可以，挺不错的一款电视呦！
我***鱼,star5,当初选这款电视挑了很久，今天放出来果然没让我失望，音效和画质都是杠杠的，在这个价位已经是顶级了，没想到现在国产电视已经这么棒了。鸣谢：视频由Apple13拍摄。
j***3,star5,外形外观：外观很大气，看起来颜值很高，家里人都很喜欢运行速度：开机速度很快，各种视频看着也很流畅屏幕音效：屏幕材质看起来很细腻，音效很带感
j***l,star5,挺好的，图片清晰，外形外观：外观不错，清晰，清楚运行速度：速度快屏幕音效：音效很好尺寸大小：尺寸放房间正好功能效果：功能多即送即装：送货快，安装师傅态度非常好，好评
胖***肉,star5,外观美观大气运行速度速度很快，暂时没有卡顿屏幕音效画质非常好，色彩逼真尺寸大小合适刚好安装同步安装不复杂，我选的挂架，安装师傅专业功能效果功能还可以，够用了，这款电视！性价比非常高。色彩清晰。带有语音控制功能。反应快。内存大。非常大气。75寸大液晶屏，放在客厅。正合适。还有各种功能。非常非常的实用方面。
最***炮,star5,外形外观：太漂亮了，外形外观都很大方美观，高端大气上档次，运行速度：运行速度很快，反应速度也很快屏幕音效：屏幕音效挺好的，分辨率也不错，颜色也挺好的，即送即装：非常方便，送到就安装好，可以观看
至***宝,star5,不错，画质清晰外形外观：外观大气运行速度：开机快无广告屏幕音效：音乐有种影院的感觉功能效果：效果挺好，满意尺寸大小：尺寸合适，不刺眼即送即装：送货及时，次日达，满意，五星好评，推荐
j***l,star5,屏幕音效：音效也很好听着，很清晰，音质也不错，音质也很好，声音很大，听歌很舒服。即送即装：即送即装：装服务也很好，到时候也是。 外形外观：外形外观：外观也很好看，无边框。 运行速度：运行速度：速度可以，我买的是2+32G的。
j***c,star5,满意！清晰度高，音响也不错！物流也快，师傅安装也快，价格也合适！外形外观：外观漂亮，超薄，上档次运行速度：快，流畅屏幕音效：音效棒！
c***m,star5,屏幕清晰，能够清楚的看到人物脸部纹理细节，边角设计节约空间，最大化屏幕使用有效尺寸，无大边框，设计美观实用，简约大方，有质感，适合各类装修风格
j***u,star5,海尔电视机，国产大品牌，服务一流，性价比高，外观设计简洁美观时尚，金属机身，独立音响，在家里享受影院效果，3G十32G大内存，运行速度超快不卡顿，130％纳米广色域呈现出来的色彩丰富、鲜艳，画质细腻，层次分明，双频WiFi2.4/5G连网速度又快又稳，120Hz频刷屏率更高防抖动，手动一键切换操作非常简便，语音控制更方便。
哎***姐,star5,质量很好客厅3、5米，买了55寸的，感觉正好安装的师傅很好，服务特别棒速度很流畅，可以语音搜索，画质也很好
y***9,star5,电视机真的不错，外观设计漂亮，屏幕清晰，音质特别好，外观大气，运行速度快，操作简单。屏幕很大，屏占比也不错，系统体验也还可以。价格实惠，实用性和颜值都非常的赞，我很喜欢。
7***木,star5,一直支持海尔家电。65寸超高清晰，音质很好，外形时尚。看电影真的一级棒。海尔真的好，性价比高质量有保证
一***家,star5,挺好的，性价比高，有HDMI2.1，120Hz刷新，看好海尔，希望国产品牌越来越卷！售后服务态度好，很细致，沟通很愉快！
j***1,star5,电视很不错，大品牌值得信赖。电视已经使用了好几天了，画质真的很不错，智能电视真的很奈斯，尺寸很大，超级棒。大年三十一家人在一起看春晚，真的很好。语音助手很给力，直接喊，都用不到遥控器啦，很实用。京东快递也很给力，送到了立马就帮忙安装好了。点赞?
亦***0,star5,"电视收到了,不愧是大品牌,海尔就是好,外观大气,电视音质特别棒,画面非常清晰,对小孩预防近视很有帮助,物流也快,真的很值得够买!电视机尺寸正好，外观大气，颜色很漂亮，质量很好，画面清晰，运行速度快。挂墙安装的很好，服务态度很好，很满意，价格也不错，海尔大品牌值得信赖。"
j***F,star5,屏幕特别清晰，很大，声音特别好，功能很全，打游戏也很快，不愧是游戏电视，太划算了，特别流畅，安装也很快。
j***1,star5,画面非常清晰，运行速度流畅屏幕音效：声音也很清晰，贴近现实尺寸大小：尺寸装上刚刚好，贴合度很好即送即装：下午送下午装，安装很快，安装师傅很专业，详细讲解了使用方法功能效果：孩子非常喜欢
s***9,star5,外形外观：极窄边框，简洁大方，喜欢下面的前置音响设计，效果很好。运行速度：运行速度特别快，3g运行明显提升，开机耗时短。功能效果：操作简洁，语音强，还可以链接天猫精灵。
j***0,star5,非常满意的一次购物，大品牌质量有保证，正品杠杠的。师傅安转也很用心，画面清晰，音质饱满。还是润眼大屏。再配备只能操控系统，全金属边框，更显高端大气。大品牌值得信赖。
此***性,star5,这款海尔X5Pro电视搭载130%纳米广色域，双120HZ和运动补偿让画面流畅丝滑，以及孔雀蓝的前置音响低高音都很震撼，在加上可以使用海尔智家，让家里所有电器都能由电视直接语音操控，非常便捷，还自带云游戏可以随时都能畅玩，挂装后整体视觉效果很好。
k***4,star5,外形外观：铝合金外壳很漂亮很干净运行速度：很流畅，很快不卡顿屏幕音效：屏幕色彩丰富，亮度够高尺寸大小：放厅里正好功能效果：双wifi，不会遇到网卡的问题
j***8,star5,一直很喜欢海尔的品牌，22岁结婚时家电都是买的海尔的，很耐用，小懒人液晶电视很方便，直接语音说话就行，识别度高，清晰度也很高，老人小孩都喜欢，不愧是大品牌，赞一个。?
幽***凼,star5,挺好的，清晰度很好，买的75的很大，看着很舒服，音效还不错，还送了个音响，可以语音操控还是挺不错的，很方便，安装师傅也挺专业的
u***m,star5,外形外观：简洁大气，喜欢下方前置音响的设计，质感一流。运行速度：开机流畅，运行速度明显提升。功能效果：操作简洁，语音识别力强，值得购买。
L***游,star5,海尔电视，外观机島金厦一体折穹山型设计坚固耐用。前置孔雀蓝音响时尚更亮眼、声音更悅耳。3+32G大内存运行速度更快不卡顿。130%纳米广色域画质更清晰，色彩更艳丽。双频wif2.4/5G信号干扰少延时低。连接更稳定。配合 120Hz预刷時讯START 云游戏无抖动无拖影更流肠。55寸屏幕适合卧室看同。语音摇控更方便配合海尔智家能语音遥控家里海尔空调．冰吧等绑定电器。选好电视．选海尔！京东物流配送师傅提前预约上门送货，主动开箱验货再签收。
u***h,star5,非常好，清晰度也不错，还可以语音声控，大小也很好，声音效果也不错，送货很及时，服务态度很好，给你赞?
豆***9,star5,海尔电视我买的新款55寸的，内存很大看起来很顺畅屏幕画面很清晰一点都不卡顿，总体很满意，大品牌值得购买。
j***0,star5,这款75寸的电视很不错。外观大气，看起来很舒服。画面太美，很清晰，用起来也挺好，速度也可以。看电视挺舒服的。音量也行。没有什么问题，尺寸也正好合适。
