https://item.jd.com/100035718848.html,"['海尔BCD-335WLHFD9DS9', '100035718848', '83.0kg', '中国大陆', '一级能效', '变频', '180.1-190cm', 'PCM彩涂板', '风冷', '60-65cm', '300-349L', '多门', '银灰系', '独立式', '电脑控温', '65.1-70cm']"
捂***钱,star5,冰箱声音很小，容量很大，可以智能控制，才用一天，抗菌保鲜的效果也很好，发货速度很快，客服专业，很满意哦！是我理想的产品。
p***d,star5,这款海尔零嵌冰箱 尺寸和我厨房非常吻合。放进厨房的空位大小非常完美。海尔冰箱是国内一线品牌，相信今后使用中也会令人满意的。
j***W,star5,客服和快递小哥服务态度都很好，冰箱超能装的，容量大。外观也好看，用了两天才来评价的，制冷保鲜都杠杠的，基本没有声音，一级能效，耗电小。大品牌值得信赖！
d***e,star5,美观大气外形外观：还不错制冷效果：还不错保鲜效果：够用了容量大小：给老人家用的，老人家很喜欢，也不需要太大的容量，这种刚好够用，太大放不下，很适合，制冷效果也不错！
谷***后,star5,外形外观：白色法式设计国际范制冷效果：制冷效果极佳实用，不会出现结冰等不好情况，爱了爱了保鲜效果：新买的水果和蔬菜一直保持完好太棒了容量大小：460升大容量满足了一个家庭的需求很实用
j***3,star5,对比了好多品牌的冰箱，最后选中了这款。果然不负所望高度刚好，容量大小都是我喜欢，满意。送货上门很满意
救***啦,star5,颜值满分，白色法式冰箱太好看了，零嵌还不占地方，节约空间，等通电后试试效果，460升的容量对于两个人来说，妥妥的
e***F,star5,"使用一段时间来评价的.空间刚好有一点点噪音能接受范围.总体来说还是满意的.2、冰箱看起来很美观厚重，冷冻效果也不错，声音很小，几乎感觉不出来，发货速度快，服务好。3、海尔冰箱非常好，制冷速度快，门密封非常好，声音非常小，质量很好，我很满意。4、宝贝很好，非常满意，特意用了两天才来评价,这个价位在商场是买不到的哦"
j***Y,star5,冰箱空间大，颜色好看，能放很多东西，几乎是我旧冰箱的两倍，极大的提高了我的生活质量和方便性，挺满意的。
我***强,star5,家里一直都是使用海尔冰箱，这次618活动实在是太给力了所以继续选择海尔冰箱！师傅服务很好，冰箱空间很大，功能齐全，赞！
凤***6,star5,外形外观：简洁大方，颜色很清爽制冷效果：分区温度容易控制保鲜效果：菜不会被冻坏容量大小：可以放很多东西总的来说还是很划算的这一款冰箱，家庭生活好帮手
零***捌,star5,外形外观：时尚美观，高端大气上档次制冷效果：挺好的，还可以保鲜效果：不错，还可以容量大小：容量很大，可以装很多很多东西，再也不怕冰箱放不下了。价格买贵了些，早知道就应该在5月31号那天晚上支付定金，这样比618那天还便宜不少。买都买了，就用着先吧
1***r,star5,外形外观：磨砂的质感，很好看制冷效果：很好容量大小：三口之家足够了保鲜效果：海尔的质量不用担心
u***4,star5,618 前选了好久，白色面板法式门，而且还是超薄零嵌的，这个价格没几款，安装后真是惊艳，目前家里买的最满意的一个颜值电器， 容量够大做工精致，家里也是海尔几十年的老用户了，油烟机热水器冰箱都是海尔的哈哈哈
j***o,star5,卖家发货速度快，冰箱质量很不错，性价比高而且美观大方，制冷效果杠杠的，卖家客服很有耐心，业务能力强。
s***s,star5,夏天到了，冰啤酒、冰饮料、冰西瓜和冰淇淋，这都是夏天的快乐啊。还有我的宝贝护肤品，这个大大的冷藏室我真的是让我爱了爱了！而且抽屉式的格局也能够更好地把东西整理得更整洁
梦***空,star5,很满意大品牌信得过，海尔服务物美价廉。送装一体。服务很满意。外观做工都比较满意质量也很好。白色好看。
神***啊,star5,送货速度很快，直接入户打开包装放到指定位置。整体外观好看，很大方，内部干净整洁，包装精美，就是包装太好胶带粘的好多我撕了好久才撕完。冷藏冷冻效果都很好，还有自带的冷萃壶可以做冰饮，在这个炎热的夏天真是再好不过了
l***n,star5,冰箱颜值很高 容量大因为厨房门比较窄 安装师傅怕划冰箱 让我联系售后拆门推进去 售后跟进速度很快 整体来说 性价比很高的一款冰箱
j***曼,star5,冰箱的外形外观颜色很大气，百搭；质量效果也超级nice，保鲜效果也很好；容量很适合我家，尺寸大小正好可以摆放，为海尔点赞！
j***n,star3,还没有开始用，用后再来追评，新冰箱塑料味还是有的
f***o,star5,这款冰箱真是太棒了！它运行时几乎没有噪音，非常安静。制冷效果也非常出色。501升的大容量完全足够使用，法式大抽屉的实用性也很强，拿取东西非常方便。而且它的外观设计真的太符合我的口味了。
j***X,star5,冰箱真的太好了，太给力了，颜值在线，超能装，容量大，一级能耗，工作起来很快静音，客服小姐姐服务态度好，愉快的购物
零***零,star5,先买冰箱后做柜子，完美嵌入。外观设计漂亮，尺寸大小合适，包装仔细完整，感觉很好，发货速度快，服务态度一流，给力！5星好评！
j***m,star5,在实体店看了很久因为装修前橱柜的尺寸和色调的原因要选比较合适的太难了，就在京东选择了综合颜色尺寸和性价比来说是很高的，目前已经用了快两个月了冷冻、保鲜、除味的效果真的很好，尤其是保鲜太强了推荐给大家外形外观：简约好看制冷效果：很好保鲜效果：很推荐容量大小：感觉三口之家完全足够了
j***X,star5,很好用，设计的很合理，边边角角都被利用起来了，可以放不少东西，外观也是很好的，漆面一看就很高级，有档次！
j***T,star5,家里的大家电几乎都是海尔，国货老品牌，值得信赖，这款冰箱颜值担当，制冷效果很好，保鲜效果没得说，尺寸合适，容量很大，特能装，非常满意
b***2,star5,师傅已经将冰箱送来了，白色很好看，喜欢法式门，所以选择了这款，还没通电，不知道噪音大小，说是要放8小时才能通电，外观好看，容量也够了，推荐购买。
j***y,star5,外观非常漂亮，很好，太美了。制冷效果：制冷很给力。很棒！外形外观：很漂亮。保鲜效果：海尔冰箱，没毛病！容量大小：460升容量，足够了。很好！！必须赞！京东给力！！！
生***一,star5,冰箱功能很齐备，内部配备了海尔的EPP超净系统，法式设计，冷藏区空间很大，芹菜、莴苣等长度较长的蔬菜完全能够放下；冷冻区空间完全能满足4-5口家庭存储的需要，有专门的水饺存储区，设计很贴心；冰箱颜色比较深，对于颜色要求高的年轻人要结合自己家的装修风格选购。
_***溪,star5,放我家那个位置刚刚好，冰箱容量超大，而且放大件的冷冻货都可以放了，冰箱已插电有一段时间，声音特别小，不错的冰箱
a***c,star5,精装修留的位置非常尴尬，选了好多款式，邻居推荐的海尔高端款，卡萨帝的，容量比这个小，价格是这个的两倍。综合考虑下来，最后锁定海尔这款冰箱，性价比很高。下面两个抽屉都可以拿下来，进厨房门也方便。总体上，非常满意！
I***晴,star5,颜色还可以，没那么深，很满意。一开始门有些歪，师傅来调过了。外形外观：呼吸灯很喜欢保鲜效果：试了试好像还可以，容量大小：冷冻的容量挺好的，两个大抽屉。
j***u,star5,冰箱收到啦!真是很不错!下单到送来才三天时间!送货师傅安装都非常的满意，冰箱从用到现在都还不错，保鲜空间超大，冷冻的相对较小，声音也非常小，买的价格也很合适。总之，家电在网上买，省心省力还省钱
4***9,star5,特别好的一款商品，满意，超满意，也会把它推荐给朋友们，容量比较大，用起来方便，都非常满意超赞超值，运行声音小，大品牌，服务也很好，分区合理，很好的购物体验真不错，外观体积小但容量大，性价比高，一直信赖的老牌子，买大家电很方便，下单隔天货就到了。
至***8,star5,冰箱收到了，外观很好看，颜色也很正，空间很大，容量也够大！物流速度:物流很快，第二天就收到了。 客服态度：客服服务态度非常好，耐心解答。
z***3,star5,卖家发货速度快，冰箱质量很不错，空间打制冷效果不错，保鲜效果也很好。卖家客服很有耐心，业务能力很强。
j***m,star5,冰箱挺好的，白色的磨砂面板摸起来很舒服。冰箱整体容量比较大，运行起来比较安静，特别是底部散热，左右两边的缝隙可以很小很小，适合老小区老房子。送货师傅非常不容易，6楼一步步抬上来的。
L***1,star5,新房装修完了，趁着618大促活动，买了很多人推荐的海尔466冰箱，这是一款法式多门冰箱，单循环、风冷、变频、一级能效，外观大气美观，容量大，分区合理，还有海尔核心的EPP超净系统和全空间保鲜科技，家人都很满意。
l***5,star5,包装的很严实，冰箱保护的很好。预留宽度71左右，塞进去刚刚好。冰箱里面看起来挺大的应该可以放很多东西。等散完气就可以看看冷冻效果了。
j***x,star5,冰箱高端正品比实体店便宜，预留位置刚刚好，颜色很漂亮，家里4口人足够用了，冷冻冷藏效果也都是杠杠的，喜欢喜欢好评点赞。
j***9,star5,安装师傅很专业，质量不错，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
蘇***华,star5,冰箱不错，质量特别好，颜值美观大方，放在家里特别好看。打开空间特别的大，规划也很整洁。设计很好看。海尔大品牌买的很放心。京东物流也很快。
u***e,star5,物流很快，师傅今天高温下送货并把大冰箱放在我指定的地方，非常负责任，冰箱颜色好看，喜欢白色的，和我装修风格很搭，客服也温馨关照，过6小时后通电，非常棒，冰箱容量大，一家三口可以用一周！
j***f,star5,海尔这款冰箱真让我出乎意料的好，价格超值，而且用上了顶级的全空间净味系统，法式大抽屉特别实用，黑色的面板沉稳大气，物超所值，看了朋友家的卡萨帝，感觉除了价格，功能差距不大。
痴***O,star5,颜值挺高的，冰箱其实很大的，也很能装，制冷效果一流，保鲜效果的话几天的蔬菜还是嫩嫩绿绿的，相当可以，可谓是国货之光了，466L对于普通家庭已经足够了，送货非常快，前一晚下单，第二天中午就到了，加上618的活动，相当划算，，选择海尔没错的，冰箱只相信海尔
秦***柳,star5,京东自营店铺品质杠杠的，外观简约大方，制冷效果不错，而且很省电，保鲜性能也是超级赞，性价比首选，好评咯！
j***q,star5,对比了很久选的这一款，容量确实很大，能储存很多食物，外形也很不错，设计很美观，颜色很好看，耐脏，制冷效果很好，保鲜也不错。快递员也很贴心，送货到家后帮忙拆开查看！
慧***根,star5,一直信任京东，一直相信海尔，第二套家电买的还是海尔冰箱，冰箱只用方便，除味很好，特别喜欢，预留89宽正好能放进去。还送了3年保很放心
M***a,star5,感觉还不错，容量够大，带全空间保鲜和EPP杀菌，功能够用了，表面是类似磨砂的质感，挺好看的，618活动买的很划算，性价比很高。
j***8,star5,外观很漂亮，空间利用率高，当初看了很久对比了很多家，因为空间有限，想着买空间内最大容量的，经过客服耐心指导及建议，想着海尔大牌子，综合考虑选了这款快递小哥，很认真负责，大热天送到楼上，并且帮忙安装好，并告知您购买的冰箱在派送中， 货到家放6小时左右再插电，因为冰箱的制冷剂是液体的，在运输中有颠簸，放6小时就是让制冷剂回到压缩机，减少冰箱的噪音，冰箱插电后过3个小时再放食物就可以了，?非常满意
晟***1,star5,性价比极高，做工精细，质量很好，满意。现在人都有囤东西的习惯，我感觉真的是挺不错的，容量大外形好看，分区也明确。
浩***l,star5,一直用海尔的各类产品，多少年了，冰箱一直是他家的就没有换过，质量没问题，冰箱很有手感，容量也挺大，搞活动买的，价格也很合适
不***葱,star5,冰箱送货速度贼快，颜值很高，预留的尺寸刚刚好，完美嵌入，空间很大，能放很多东西，售后很好，有问题能马上解决，主要价格还合适。冲。
w***6,star5,本来打算买502，一直没活动，618京东501活动，赶紧下单，到手真不错，大气，漂亮，分区也很合理，暂时还未使用，后续用了再看声音和效果！
j***h,star5,很好用的一款冰箱，外形也很好看，干净大方，然后里面抽屉隔层也够多，可以分门别类的放置各种食物，整齐且卫生！
j***c,star5,东西超好呀，孩子很喜欢，夏天塞满了冰淇淋，储物空间特别大，什么都塞得下，同时东西都很新鲜，爱死了，下次还来海尔家买
z***3,star5,卖家发货速度快，冰箱质量很好，外形美观大方，真的效果也很好，保鲜效果也不错，容量够大，非常好的选择。
知***锦,star5,冰箱颜值很高，保鲜，和制冷都非常好用，还得买海尔品牌，值得信赖。家里的电器基本上都是海尔，真的非常不错。活动力度也很大，上门安装服务态度非常好，工人师傅技术很牛！推荐购买，。
测***美,star5,冰箱很大，高度合适，大抽屉是我喜欢的，商标可以扣掉还，很薄，颜色也很好，和我家风格很搭，发货神速，次日就到了，不知道是不是青岛离的近的原因。巨无霸，根本装不完，一个人够用了。
T***4,star5,期待已久的海尔冰箱终于到手了，试用了几天，感受真的超级棒，省电，外观设计简约大气，各方面表现都很好，满意好评
x***5,star5,冰箱空间够大，618购买相对便宜，看了很久的法式，海尔这款很满意。外形外观：时尚大气制冷效果：插电后评论保鲜效果：期待
H***E,star5,冰箱空间很大，白色颜值很高，时尚高端大气上档次，送货上门安装也非常方便的，618活动买的也很划算，海尔是大品牌值得信赖。
j***m,star5,真的很好，容量大，而且很薄，不占位子，很好很安静。空间设计很合理，价格也合适，比以前买的冰箱好多了。样子也好看
1***8,star5,冰箱外观非常好好看，质量非常好好，冰箱制冷效果非常好好，京东物流配送速度快。服务图必读好，冰箱质量非常好好，声音小，效果好
j***o,star5,购物车躺了好久的，终于把他请回家，太赞了，颜值和性能都符合我的需求，主打一个干净整洁，性价比超高，冰箱我只买海尔
A***a,star5,1：外观美观大气，纤薄机身，不占空间，炫金面板，我最喜欢的颜色，冰箱与我厨房预留空间很切合，冰箱容量很大，完全能满足需求2：细节、品质、做工都非常好。空间大，噪音小，隔层分类清晰，四门取物方便，灯光柔和实用3：容量足够大，尤其是冷藏部分空间很大；制冷效果很好，噪音很小，几乎没声音
j***a,star5,完美，产品很惊艳，性价比合适，希望用的长久！大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算这个真的太?了，?包装很精美，宝贝做工比较精细，商家特别好?，有问题都及时处理?，确实是一次相当满意的网购，还会再来的?
y***0,star5,很好用的一款冰箱，空间大可以放很多蔬菜水果，冷冻室也能囤冷饮，可以一次性的把喜欢吃的都买了，太开心了哈?
j***0,star5,赞东西不错，还有优惠，很值得购买，三个字太好了，健康抑菌，还有防电墙，很满意，五分好评。京东家电质量还是很不错的，送货师傅很负责，态度很好，很好。五星好评，寻求表扬。发货快，配色非常的好看，到货后拆开看很惊喜，这个很高大上，多搞点活动就买，结构巧妙，给家里婆婆买的。她也很喜欢，也很实用很好的卖家，很棒，全新正品，送货上门，送货很
j***o,star5,冰箱配送很快，客服有耐心，海尔的安装师傅也蛮好，厨房小，这个冰箱容量足够使用，冰箱外观还行，调料旋转架安排上了，使用了两周了，保鲜冷冻效果都不错，满意的。
