https://item.jd.com/100014356677.html,"['海尔KFR-35GW/01KBB81U1', '100014356677', '30.0kg', '中国大陆', '键控/遥控，APP操控', '一级能效', '变频', '壁挂式', '冷暖', '智能调节，自清洁，独立除湿', '净化除菌，舒适风', '抗菌，除菌', '1.5匹']"
j***2,star5,外形外观：大品牌值得信赖，外观很大气静音效果：效果很好，没有什么生意节能效果：很省电，别其他品牌的省电多了。服务质量：大品牌的质量不用说
j***g,star5,作为海尔的一枚死忠粉，这次给公婆又添置了一台海尔1.5匹静音空调。最贴心的是这个挡风板设计，分分钟帮我省了大几十的挡风板费用。开心开心。婆婆说，冷风出得特别快，偌大的房间一下子就冷了，而且声音很轻，婆婆有神经衰弱，这只空调晚上睡觉基本上听不到声音。
1***8,star5,海尔静悦空调，一级能效变频空调，节能省电，制冷效果很好，制热效果很快，白色的外观高端大气上档次，海尔老品牌了，值得信赖，推荐购买
j***M,star5,海尔品牌的老用户了，我父母家用的就是海尔，这次搬新家我也首选海尔，搞活动性价比高，空调质量有保障，很好，正好夏天，天天在用，制冷很快，静音设计很好
l***x,star5,1外形外观：外观不错1冷暖效果：制冷明显28度就挺凉快的了1静音效果：静音效果非常好1产品特色：静音效果好制冷快节能1节能效果：节能效果：节能效果好 1送货时效：送货非常及时1安装时效：安装的师傅非常的辛苦，大晚上的温度又高，装了两个小时，外面的护栏遮挡，外挂机不好安，辛苦师傅了1服务质量：服务质量很高！好评！
z***7,star5,新空调终于装上了，用了好几天，感觉非常不错。这款空调外观设计就与众不同，非常漂亮时尚，操作起来也很简单，逐风送风都很不错，制冷效果非常快。强烈推荐，有需要的
j***j,star5,下单后很快送货师傅很麻利的送货上门了，而且服务态度很好，海尔空调大品牌，制冷效果一流，很安静，风也融合不会让人感到不适，下次还会买
u***f,star5,海尔电器值得信赖和推荐的品牌，这款空调颜值高，制冷快，无噪音，静音柔风，价格优惠，安装师傅很专业，活干的漂亮，还随手把垃圾清理了，收敢费用比较合理。
业***医,star5,空调不错，安装师傅很认真，安装也很简单不错不错不错 配送也很快，安装没有多余的收费哈哈哈哈哈哈哈下次还买海尔家的哈哈哈哈哈哈
j***s,star5,这款空调感觉质量效果非常不错，进屋开了几分钟之后就感觉非常凉爽了。而且静音效果很好，几乎都听不到什么声音，开着电视也不会有什么影响。卧室使用大一匹的完全没有问题。空调送到之后，安装师傅马上就联系了，工作效率很高。
j***n,star5,物流预约就送货过来了，很给力，安装师傅也很到位，服务态度很好，试机时没什么声音，制冷效果很好，看了用料很足，大品牌值得信赖
J***人,star5,京东送货特别快，次日就过来安装了，很方便，买了一个海尔一个统帅的，价格也不贵，后期可以对比一下看看哪个好，空调目前制冷很好夏天不怕热了
j***j,star5,外观好看.内机噪很少.适合睡眠.制冷效果杠杠的.关于省电正在使用中应该会很低吧.总之性价比不错值得购买
j***b,star5,颜值高，我买的是静悦系列，好像还是性价比很好的一款空调。而且有智能操作功能还能光感，感应到灯光关闭时候就不显示亮灯了，最重要的是声音小、近乎听不到。变频空调比较省电。强烈推荐购买安装师傅也很负责大大推荐
j***1,star5,冷暖效果：制冷效果非常好，一会儿屋子里就凉快了，几乎没有噪音物流也快，安装师傅也特别好，临走收拾的特别干净，没一会儿就
j***n,star5,海尔空调很好，质量好，开机后很快就凉快了，天气酷热，安装师傅很辛苦，相信京东商城，我家吃和用都在京东买，海尔空调值得购买。外形外观：好冷暖效果：好静音效果：可以节能效果：好柔风效果：好送货时效：好安装时效：好服务质量：好
u***v,star5,晚上下单次日就有客服打电话预约送货时间，送货安装也非常及时，都有服务人员提前沟通，安装材料收费合理，空调给老人装的，用着也挺不错……外形外观：简洁大方冷暖效果：很好
j***o,star3,外机就在阳台，很吵很大声
j***d,star5,活动很合适，第二天就上门回收安装了，两个师傅忙活半天，静音效果很好，出风也很有力度，不会潮，新一级功效，省电，很满意。
乔***1,star5,海尔空调非常满意，外观漂亮 安装师傅也非常靠谱，1.5匹制冷效果杠杠的，开机后一会会儿冷风直达，声音也非常安静，五星好评
L***o,star5,海尔这款空调功能强，还是一级能效，很省电。下单第二天就送到了，次日给安装，非常棒，晚上柔化护眼，制冷效果非常好，开了很快就凉快了。这个夏天开空调家里舒服了很多。这款外观很时尚，精音效果很好。京东下单物流也给力，非常满意。安装师傅服务很好，施工严谨。
j***t,star5,由于之前生活在四季如春的云南，第一次在网上买空调，挑选了很久，也纠结了好多，最后选择了海尔，质量很好，送货到家，安装师傅也很走心，收拾得很干净，服务很赞，会推荐给朋友们购买。
g***0,star5,海尔空调就是这么好，价格公道，制冷快，噪音小，外观精美，海尔售后非常好，安装师傅专业敬业！只是因为房子布局问题，空调装到了床对面，怕直吹，安了个挡风板！
y***y,star5,一直都是用的海尔空调，用了二三十年了，冷暖效果都好，噪音小。现在的空调还有防直吹，很舒适。海尔空调真的很不错值得信赖！安装师傅也负责，安装的很仔细，点赞！
j***k,star5,空调噪音很小，外观漂光，安装师傅很专业，安装收费合理，整体美观，功能齐全，空调昨天安装上，试了一下，整体不错哦，海尓空调值得信赖，售后服务和客服都很好，先一天送的，第二天傍晚师傅还来装机（因为是农村比较远），安装师傅和送货的师傅超赞 ?
太***1,star5,海尔（Hairr)空调己收到了，这是静悦大一匹的变频空调，属于新能效的智能自洁款空调，空调不仅外观美观，而且制冷的速度很快，冷风很足。非常好用。
A***g,star5,太棒了，出风特别快，夏天不再怕热了，上门安装非常及时，态度很好。安装一级棒。就是现在价格太高了，不过等着用。贵一点就贵一点吧。空调还是很好的。很静音，电费我还没有看，不知道省不省电。整体还不错。
j***e,star5,我可是海尔的忠实粉丝，这次选空调也是毫不犹豫选择了海尔，货到了果然没有另外失望，外观小巧漂亮，可以防直吹，适合给宝宝享受凉风，真是太爱了，今年夏天可是舒服的度过了，还有这个送货也是超快，安装也超快，为海尔和京东点赞
萧***物,star5,海尔（Haier）新风空调，性价比高， 新一级能效变频，更节能，更省电， 1.5匹 空调挂机 五重净化 KFR-35GW/B4AFA81U1(白) ，送货入户真迅速，安装服务好。
太***1,star5,海尔（H a i e r）静悦大一匹的变频空调己收到了，送货速度快，上门安装，很方便。也很急时，在夏日中吹到强势的冷风，很有幸福感。
千***j,star5,给亲友家新房买的，她家一直用这个牌子，空调外观简洁大气，制冷快声音小，一级节能省电，送货很快，安装也很贴心，京东买家电感受很不错。
妞***界,star5,618做活动买的 加上京东的以旧换新活动力度还是可以的叫上朋友也买了一台 送货很快 当然安装也很麻利 刚好在炎热到来之前送上一股凉风武汉35度的天气 开25度搓搓有余 制冷效果真不是盖的自己还盖着4斤的蚕丝被 不盖都觉得冷现在已经完美的涨价了 不然朋友还想买一台
u***z,star5,空调制冷效果挺好，声音也很小。送货****很好，还帮忙搬上楼。安装师傅的服务也很好，打孔撒下来的灰还帮忙扫干净了。
詠***洪,star5,空调确实挺静音的，冷热速度很快，安装的两个师傅挺好的，研究了半天怎么美观又方便？充分展示了空调售后好的，优秀的一面 安装也非常漂亮
j***j,star5,冷暖效果：不得不说老品牌就还不错，一两分钟就凉快了，很值得信赖节能效果：一级能耗很省电，不错送货时效：送货快，服务态度很好，很专业
是***阿,star5,外形外观：非常完美的空调，试用起来十分舒适，冬夏季节都非常地适合，非常推荐大家去购买，现在的活动价格也十分优惠。
E***熠,star5,外形外观：很漂亮冷暖效果：速冷，而且非常省电静音效果：几乎没声音，调到一档感觉像没开一样。产品特色：海尔大品牌，真的有保障节能效果：新一级能效，没的说送货时效：送货非常快，而且主动联系安装，很安心。
c***n,star5,新房子配备上了TCL的空调，很不错，制冷效果也很给力，最小的房间可以形容冻死的赶脚，整理感觉很不错，这里要说一下，安装师傅也很好，给他们点赞?
j***N,star5,制冷速度很快，风量也特别的大。内外机也很静音，睡觉不会吵。家里洗衣机，热水器都是海尔的。也对比了格力最终空调也还是选了海尔。最主要的是海尔售后真的没话说，对客户的服务很到位，也比较重视服务这一块。这样客户买着才更安心，放心。
j***w,star5,很不错喜欢海尔家的产品，已经买了很多他们家的产品，这次天热买了个空调，很不错，制冷效果非常棒，风很柔和，声音很小，很推荐他们家产品
j***Y,star5,京东上购物就是快 ，头天拍的 第二天就收到货了 。海尔劲锐，静音效果非常好， 几乎听不到声音。 制冷快 降温非常快，中午收到货 下午就安装好了 ，安装师傅态度好 技术好 ，非常满意 。
货***人,star5,海尔的新机确实不错。这款造型也非常美观，618在京东买速度也非常快速，制暖还没测试但制冷效果贼好，上门安装的师傅态度也十分良好。晚上睡觉的柔风模式很实用
是***阿,star5,冷暖效果：非常完美的空调，试用起来十分舒适，冬夏季节都非常地适合，非常推荐大家去购买，现在的活动价格也十分优惠。
j***e,star5,客服服务态度很好，物流也很给力，售后安装师傅技术不错，安装及时不等待产品特色：海尔大品牌，家里空调都是这个牌子，这款大一匹小房间用刚好，空调工作事没什么噪音，更满意
春***肥,star5,送货很快，空调不错，制冷比较快，关灯后上面的指示灯都自动灭了，声音也很小，安装师傅专业！总之感觉不错，性价比还可以的，海尔是大品牌！
j***j,star5,京东自营买的海尔空调，感觉挺好挺喜欢的，试用了几天，感觉很冷，制冷效果很好，造型也不错，声音也很小，物有所值，服务也很好，一直信赖京东
b***9,star5,头天晚上下单第二天送到，到货第二天师傅上门安装。安装师傅非常认真负责细致，饭也顾不上吃，还帮忙装了个插座，非常感谢二位师傅！送货安装没得说好评！空调刚装，冷风效果还不错，噪音基本没有，总体说这次购物非常愉快?
j***j,star5,外形外观：外观方正简洁，表面磨砂质感，带点斜纹冷暖效果：房间不大，制冷效果很好。静音效果：比较静音产品特色：遥控器带背光，方便晚上操作。
j***w,star5,外形外观：外观设计漂亮大气上档次，颜色超赞。冷暖效果：制冷效果给力不错，很满意。静音效果：静音效果好，安静。产品特色：新风空调，功能强大性价比高。节能效果：一级能效省电，放心，省心。
碧***1,star5,一次性买了两台，给家里两个房间都按上。外观外形尺寸都合适好看大气。白色常规款首选。静音效果很好，快递更是惊喜，安装师傅也很专业。
l***r,star5,这是家里买的第三台海尔空调了，质量没得说，制冷很快，噪音也不大，安装师傅很负责任，准时上门，干活利索，也不会推销七七八八的收费项目
j***0,star5,比以前的老空调好多了，制冷效果太棒了，几秒钟就冷了，安装后迫不及待使用了，声音也很轻，工作人员很认真的安装，大热天的确实专业的。相信大品牌。海尔我查了世界五百强。
j***n,star5,非常好的产品，外观设计感十足，工作时静音，外带新风系统，可以内外换气。618做活动的时候买的，值得购买。
4***2,star5,外观漂亮，非常好看，制冷效果好，一级能效节能省电，静音效果非常好，智能APP非常好用，送货快，安装师傅专业细心，满意非常满意！
d***r,star5,功率大小：凉的很功能很牛，好像是帖地暖风，冬天玩电脑脚不冷 安装服务：很快，师傅很主动，因为高空作业收了100 制冷 热效果：目前还不错的安装服务：安装师傅很专业也很负责，两个人一会就安装好了 制冷 热效果：效果好 空调也很美观，声音很小，爸妈也很高兴哦！李佳琦直播间购买的非常好。主要是机子有保障价格优惠性价比高！安装配送人员服务态度又好。试了下机制冷效果非常好。真的没有失望！期待柜机安装。
潇***潇,star5,海尔大品牌值得信赖，性价比高，以旧换新非常方便，拆旧送新，省心省力！现在旺季，安装也超级快，货到第二天就已经完成了。服务态度好，制冷效果强????
才***Y,star5,给爸妈买的空调。在卧室放的。发货非常的快。安装什么的也很快。就是安装的时候如果我不坚持要小的铁架他们安装队就给我硬性多花 40 安装大的了。其他什么的都很不错。爸妈说空调也很安静，冷起来也很快。
j***M,star5,物流预约了送货上门，很快就送到了，海尔几十年的老品牌了，还是值得信赖的，空调制冷效果一流，声音很小几乎听不到，而且很省电，还是很值得信赖的
心***吧,star5,晚上买的空调  ，物流很快，师傅送货上门的， 师傅安装的快，很好， 空调安装好了 试了制冷快， 空调很好看， 质量好的，已经买了两台海尔自营店空调了
u***x,star5,买了两套 6.18活动比平时要划算，送货也很快第二天就安装好了，使用一个月了安装声音能接受 制冷效果也不错的
M***先,star5,外形外观：好冷暖效果：好静音效果：好柔风效果：好安装时效：好服务质量：好产品特色：好节能效果：好送货时效：好
j***F,star5,空调，物流速度快，包装完好。机器外观漂亮，性能优良。内机漂亮大气，安装师傅业务娴熟客气。客服，耐心，礼貌。很完美的一次网购体验。
1***m,star5,空调已经安装好了，师傅很专业，安装的也非常的快，618购买的，一次买了5台，价格实惠，大风口，防直吹，功能齐全，可以自清洁.
j***n,star5,买来第二天就预约来送货了，海尔的全程服务还是非常到位的，空调没什么问题，大品牌，温度降得很快，风也很柔和，基本听不到声音，推荐购买
j***d,star5,老品牌果然名不虚传，为了孩子有良好的睡眠，特意寻找噪音比较小的品牌，发现海尔推出的此款标注静音，起初不太相信，抱着试试的心里买一台看看。收到货安装后试了几天，发现非常满意，外观时尚，制冷效果非常明显，运行基本没有声音，非常不错的，另一个卧室也换这款了！
c***7,star5,冷暖效果：制冷效果非常好节能效果：非常省电外形外观：外观设计时尚大气好看产品特色：节能好看大气静音效果【声音非常小没有噪音柔风效果：风非常柔和自然送货时效：非常准时安装时效：安装非常好很快服务质量：服务非常满意很好很快
j***p,star5,京东的服务从没失望过，昨晚下的单今天就安装好了，师傅态度特别好，空调质量也好，制冷特别快噪音又小，电器就相信京东家的。
