https://item.jd.com/100050504907.html,"['海尔BCD-535WGHSSEDS9', '100050504907', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', 'PCM彩涂板', '风冷', '90.1-95cm', '500-549L', '银灰系', '对开门', '独立式', '电脑控温', '60.1-65cm']"
5***8,star5,色彩鲜艳好看，功能齐全，完美，打开感觉眼前一亮，我妈说挺满意的，简直不要太方便，节省地方，我喜欢网购了，送货热情，有活动价格很划算，外观大气高雅，有档次，专业，老板加鸡腿，颜色大气，看起来很漂亮，功能健全，性能良好，性价比特别高，物流还快，可以入手比平时要便宜，容量、性能已经不能满足家里的需要，包装很严实，服务非常好的，家人都喜欢这款，果断下单
4***3,star5,质量很不错，包装精致，，美观大气，精挑细选终于下单了，颜色完全没有色差，在京东上购物就是放心，比图片显示的还漂亮，价格也不贵 很满意，安装师傅特别好，真的很好操作，遥控灵敏，值得购买还会光顾的，棒，外观很大气，功能也全，高端大气有档次，低调奢华有品质，使用后评价，到货拆开后很惊喜，包装非常仔细 物流超快
3***2,star5,功能很多，口碑业内第一，用的放心，值得拥有很好，很好，非常棒，空间充足，节能环保，不错滴一次购物，产品和详情介绍一样的，颜色和设计美观大方做工精致，性价比高，值得购买，简单大方，擦拭方便，设计很简洁，送给家里人的很喜欢，买得放心，用得安心真不错，漂亮的一塌糊涂，适合我家装修风格，功你操作快捷智能，反应灵敏
3***7,star5,省电效果不错，迫不及待的开箱，放在家里很拿的出手，符合年轻人审美，非常方便，送货速度快，美观时尚大气，客服有耐心，挺棒的一次购物，全新正品没有拆封的，价格实惠，好用，外观时尚值得拥有，大品牌值得信赖哦，还不错产品质量很好，很满意。搞活动买的，金色的外观好看，这个颜色看着非常舒心，功能很智能，用着很方便
赠***光,star5,外形外观：外观还是挺漂亮的，简约设计，银白色的舒服，制冷效果：制冷效果强，保鲜效果：水果放一周不是问题，容量大小：可以放很多东西，适合一家四口的容量。物流也很快，服务很好，包安装的。
1***6,star5,耐心解答，上午下单，下午就送货了，强烈推荐的，朋友们都说好，商家的服务好，很专业，必须点赞，超喜欢的一款商品，很棒，有多种模式，水质还可以检测，时尚，非常好看时尚，居家必备、省心省电，手感也很喜欢，很好啊，这东东值。谢谢老板，外观大气，稳重，性价比非常的突出，很好的服务，而且优惠多多，值得称赞送货速度也非常的快，值得拥有，功能齐全
3***2,star5,大气稳重！非常喜欢，就又买了一件，客服是很专业的，外观漂亮，功能很实用强大，材质厚实 做工精细，本来还担心使用效果，用了一段时间之后完全多虑了，产品安装的非常合适，方便，性价比高，绝对可以是宝马们的偏爱，外形高大上，性能非常好，外形外观：外观大气上档次，有很多快捷功能键，简洁，大方，功能性很好，比我们当地的价格低了很多，快递物流准时高效送达，服务真是超五星
2***1,star5,冰箱外观大气，运行时候没有噪音，确实要买大品牌的产品。冰箱不错，容量比我想象中还要大，反正很满意，大家放心购买 该商品物美价廉，质量很好 放在家里真是美观大气上档次 而且还很静音 耗电量也不大 非常舒服的一次购物 下次还会继续选择海尔这个大牌子
东***店,star5,易操作，老人很满意，一直没有舍得别的品牌，优惠力度大，东西质量不错，运行稳定，耗电较少，点赞京东，非常好，满足了我的要求，外观很干净，我们家一直都用这个牌子，服务态度好产品，很不错的产品，电量可以在上端直接显示，安装好之后就立马使用了，到货神速，快递小哥送货上门，外形美观、性能优，商品没有损坏，运行速度快，开机速度快，简约时尚，看着整洁舒适
2***2,star5,"非常感谢快递师傅送货上楼，上档次，做工非常精致，外观清爽好看，刚好赶上活动价格，物超所值，售后安装很好,安装的位置也满意，可以远程操作，方便，这个价格闭眼入就可以了，想清楚了，就买了这个产品，一级节能省电，容量大，正品，网购以来最满意，反正和线下是一模样，整体看起来很大气，外观简约，性价比高，功能齐全，非常爽，9732199，情与情的牵动"
l***9,star5,外形外观：金色的外表，颜色非常好看，很配合厨房的颜色容量大小：容量挺合适的，冰冻的空间非常大，可以存放很多食品运行的时候声音很小，不会影响家人！
4***8,star5,质量超好，每个细节都做的很好，实惠，品质有保障，一家五六口人用绝对没问题，收货是非常愉快的，非常的喜欢，功能强大，信任大品牌，送货及时，值得信赖，选了很久，终于决定了，希望下次在合作祝店家?意兴隆，快递也非常快，服务很好，刚好用了两周，各方面都不错，大小正好合适，搬运方便，为辛苦的师傅们点赞，精致，颜色亮丽，活动多多，看准了就下单，外观非常漂亮，高大上
无***修,star5,想清楚了，就买了这个产品，一级节能省电，容量大，正品，网购以来最满意，非常不错值得购买，外观简约，性价比高，京东配送始终如一就是快，质量很不错，包装精致，，情与情的牵动，按照需求安装好而且很注意细节，东西真不错，安装完非常好看，液晶控制面板也很高级，功能丰富，比图片显示的还漂亮，外观很大气，有专业师傅安装，包装结实厚实，路途中不怕颠簸，快递发的很快，物资也不错哦
3***8,star5,13567，是近期最满意的一次购物，希望官方多做点优惠活动，想当大气上档次，能在移动设备上观察并管理控制状态，现代感十足，外观大气，外表简约耐看，家里空间正好够用的，卖家的贴?让我感到很温暖，外观好看 质量好，京东的物流比较想象中要快太多，简约时尚，非常满意，好评，老板真的非常大气，希望再次购买，颜值高，功能全
6***5,star5,放到家中很漂亮，卖家发货很快物流也非常给力 ，给婆婆买的，婆婆很喜欢，这个功能很喜欢，空间预留的正好够放下，看到包装，太可爱了，外观时尚，非常好看，做工精细，非常有质感的，买的电器今日刚到就装上了，安装也很及时，放了很多天也不坏耐用，快递配送真快呀，有机会我们再合作，真的很好操作，遥控灵敏，下次再来哦！真的超级喜欢
3***1,star5,感觉很高大上，安装师傅技术硬，服务态度好，放在家里还能起到装饰作用，包装很完整没有破损，反应灵敏快捷，做工很精细，用料也很好，物流很快，直接送到家里，看起来真的是选对了，很方便携带，要买真的划算，有机会我还会再来的呵呵，表示祥瑞，服务态度好，东西很棒，很好，反应灵敏，6月1日下午下单，6月2日就送达
4***8,star5,各个空间都有灯光，产品本身还可以，安装也方便，喜欢 老板态度非常专业，材料收费很透明，价格合理，上门安装 服务优质，物有所值，看着很顺眼，不错，可以设定自动关机，非常省电，安装细节很出色，外观很喜欢也很实用，在搞活动的时候入手了，没有让我失望，保修期挺长的，满意，很好，态度诚恳，回复及时，质量超赞，一直买这个，家里一直用的这个牌子的，好评
j***b,star5,外形外观：与描述一样制冷效果：目前很好保鲜效果：很好容量大小：符合一家人使用制冷效果很好，以前用过海尔的，继续相信海尔品牌，冰箱容量大，大开门的外观高大上，多使用一段时间再评价给大家建议。
3***9,star5,"节省地方，我喜欢网购了，送货热情，有活动价格很划算，用APP控制可以全家多人共享，这是良心的推荐，安装师傅也耐心，功能健全，性能良好，性价比特别高，刚好用了一周，功能很强大，容量、性能已经不能满足家里的需要，包装很严实，服务非常好的，体积不占空间，完美，超满意，也会把它推荐给朋友们，物流发货很快,五星好评没得说     质量?常好，与卖家描述的完全?致，很惊艳的感觉，外观简约"
1***g,star5,在京东自营店购买海尔冰箱体验感非常爽，活动力度大，让利消费者。外形外观：漂亮大气，霸气侧漏。漂亮制冷效果：非常棒，压缩机声音小，制冷效果好。
4***1,star5,产品不错，好评，大品牌，京东快递无敌的存在，省电模式很静音，超值，京东真厉害了，智能变频，速度很快，这样的好掌柜可不多。再说宝贝，是真的很OK，很漂亮，高端大气上档次，活动多，经常有优惠，效果超好，真是不错，这老板很地道，深邃的颜色提升了的质感，今天才正式使用，很好，很不错，推荐给亲朋好友，操作规范，讲解清楚
3***1,star5,问的问题也讲解的很详细，京东赶上打折促销价格非常美丽，送货快还送上门，可以独立开门，货色也很好，外观美丽大方，很有档次，先去门店看了下，还是在这买了，送货师傅速度很快 ，约定时间送达，这是我在京东购物时最满意的一次购物，外观颜色我们都很喜欢，这种感觉让人很舒服，容量比较大，用起来方便，我买家电只选择京东，安装方便简洁实用，服务很好。很喜欢
j***9,star5,很好的卖家很不错，休息时间客服回消息也很及时，是我想要的产品，很好，态度诚恳，回复及时，非常满意！很满意的一次购物，一直买这个，太赞了，质量做工没得挑，产品好，服务好，快递速度快外观很好看大家都喜的，对比很多选了这款，很好很不错，卖家很热情，运输速度快，安装快。很省心哦，质量也很好的，送到家门口质量放心
惟***星,star5,给爸妈买的，一直很相信海尔，希望不会失望。外形外观：高大上容量大小：很大制冷效果：还不知道，估计不会差，有售后保障保鲜效果：同上
j***1,star5,外形外观：理想中的样式，比较中意。容量大小：535升的超大容量，家里老人用足够了！制冷效果：默认是冷冻-19，冷藏5，绝佳组合，冷冻效率很高！买给父母用的，家里98年的容声冰箱在经历了25个年头光荣下岗了，202升换到535升，实现了跨多级飞跃，颜值高，容量大，父母很满意，希望质量和售后也可以放心！
3***0,star5,产品设计理念很超前，实用，态度很好啊，性价比很高，早知道这么好就做买一个了，加入购物车很久了，老品牌了质量应该过硬，是原装正品没错了，物流配送速度很快，很不错，很好看，制作工艺很精美，材质也很好！给个赞，材质用料很用心，优惠力度大，东西质量不错，运行稳定，耗电较少，很省电基本上没有什么噪音，非常好，满足了我的要求，到货后检查东西没有问题，网上买价格相对便宜一些
赤***S,star5,震惊了，可以无线连接手机APP远程控制，非常推荐 而且快递很快，之后，还会推荐朋友来这家店购买，安装的也挺好，太棒了，6月1日下午下单，6月2日就送达，不错的品牌，颜色很亮，很舒服，外观简约而不简单，大家可以放心购买，不要犹豫了很好的卖家，安装很好，棒，外观好看，节能环保，很高大上呀，到了，五星推荐，功能非常好也容易操作
u***p,star5,外形外观：好看！回来的第一天把膜撕了，后悔！万一弄脏了会心痛！制冷效果：冰冻效果可以的容量大小：空间很大，剩菜不怕没地方放啦，能冰冻好多饮料！
2***3,star5,联系这个牌子售后安装，很好，每个细节都做的很好，我很喜欢，下次再来，****必备，操作面板也一目了然方便操作，安装同步：送货，安装一步到位，容量挺大的，很静音，给店家如此贴心点赞，很方便，噪音很小，用着舒服，客服很棒，真不错，外观大气美观，谢谢喽！我的同事们都很喜欢呢，物流师傅送货很及时，大品牌就是放心，值得入手，看着质量应该不错的，快递服务非常好！十分好评，客服也太有耐心了 不错
垫***宇,star5,省电整体来说效果很好，超赞????超值，值得拥有与推荐，价格不贵产品质量好，给爸妈买的，足够他们用了，材料挺厚实的，做工挺好的，物流也很快很好，买了很多东西?都非常满意?，然后下面还有小轮子推动呢，按键灵敏操作方便，买给家老人的，很满意，给物流点个赞，一次性买了两个，大品牌值得信赖，高端大气功能齐全也省空间，超级棒性价比超高，很好很好，质量不错，送货超快
2***1,star5,冰箱收到了。特别喜欢大空间冷冻室，能放很多东西。冷藏室空间也不小，非常实用，冰箱性能好，冷冻速度快，效果好。外型美观大方，快递送货速度快，是一次很不错的购物体验真心喜欢，也多亏了客服细心耐心的讲解，尺寸的刚刚好！外观也是没得说，愉快的购物
Y***0,star5,容量很大，能放得东西很多，深度挺深的，很省电摆放在家里合适的位置，总之很喜欢，质量有保证推荐，大品牌质量值得信赖，以后经常会购买这家的，很满意，是喜欢的颜色，速度非常快，包装结实，家里安了一个，真不错，对这款一见钟情，非常实用 一款很不错的选择，我很开心，外观很好很大气，第二天师傅送货上门。很不错，买一个能用好多年，感觉很不错，送货快，满满的科技感，按键灵敏老人小孩都会用
1***8,star5,完全一致非常满意，大气，质量好，价格实惠点赞狂魔，小伙伴稳稳下单就对了，声音不是很大，非常的适合家用，客服也很负责很耐心的给了回答问题，产品的颜色挺喜欢，，产品非常不错呢，质量好，家里人都很喜欢，发货快，后续的服务很到位，美观精致，干净利索，而且一点不拖拉，送货服务很好，东西不错真棒，挑挑选选这个真不错，外形外观：超酷炫
Y***0,star5,性能完全超出了我的预期，非常奈斯，价格很优惠，发货还超快，爱了，送货超快，超出期望值，一点都不会失望，非常满意！很满意的一次购物，态度非常好，非常的专业，这一款买的人挺多的，很好，很有质感，商品收到了，外观精美，认真检查了一下确认完好，功能丰富。对得起这价格，空间设计也很合理，有问题解决很快速，没有任何拖延，运输速度快，安装快。很省心哦，活力力度很大，外观高大上，颜值超高
3***9,star5,材料收费很透明，价格合理，虽然就这么大但是重量足够质量超好，运输方便，比较轻巧，整体外观大气，东西很好，又漂亮又便宜，实现年轻时的梦想，这还不买？太划算了，非常好的一款产品，第8购买，喜欢在京东买东西，安装很满意，这款安装也容易，女生轻松安装，感谢老板，发货物流都快，试用了几天，一切OK，颜色好看，京东棒棒的，家里人都非常爱
5***8,star5,"设计很简洁，到货第二天就装好了，买得放心，用得安心真不错，产品用起来很方便，没什么噪音。款式也好看，可以考虑这款，性价比高，经常有活动，趁着优惠价买了，赶上活动购买非常的划算大品牌，给京东点赞，给售后点赞，出乎我的意料包装超级仔细，外型非常时尚,很漂亮，货好，老板更好，服务也很到位物流特别好，使用方便 家里面有小孩真的很方便，低调又不失美观，货已收到给个好评"
安***7,star5,海尔星辉系列冰箱是我家20年以来一直的首选，这么多年海尔的质量真的很好，节能环保，一级能效，一天不到一度电，外形流畅外观设计美观，制冷效果明显，冷冻保存完好如初，冷藏保存时间也长，容量大
又***6,star5,冰箱是618期间买的，价格非常划算，优惠力度很大，并且这款冰箱容积很大，还是双开门的，使用起来非常不错 ，巨省电，不错的一次购物体验。
5***8,star5,很负责质量很好的，商家的服务好，很专业，必须点赞，超喜欢的一款商品，很棒，安装可以预约，时尚，非常好看时尚，外观漂亮大方，使用方便，手感也很喜欢，1086，比我家之前的更有质感，性价比非常的突出，效果不错，功能很多，功能很齐全，值得购买，值得拥有，功能齐全，各个平台比价，想来想去还是这里划算，看上这款很久了，这次装修果断买了
j***w,star3,边角做工一般 希望可以改进
Y***0,star5,速度快，有三档可以随意选择，很棒，运行稳定。很满意，正是为我家量身定制的嘛，性价比相对是比较高的，而且非常的NICE，超级喜欢东西也喜，性价比超高，买了不后悔，非常适合家里空间，做工精致，磨砂质感，功能齐全，就是牛，下单后第二天就到货了，家里几口用着方便，询问客服，态度还算满意，可提前预约，非常方便，终于拿到啦，好开心，工作起来声音不大
甜***家,star5,这款冰箱外观简单大方，很显档次；制冷效果非常好，还有独立的二级冷冻；保鲜效果不错，有很多独立空间，再也不用担心东西多了。容量520多升，比之前的旧冰箱大了近三倍，满足四五口之家完全没问题。一直使用海尔的冰箱，大品牌值得信赖！
理***鸟,star5,外形外观：颜值过得去。看着挺顺眼的制冷效果：冰箱使用率非常高，每天要开门好多次，制冷效果相当可以了保鲜效果：保鲜效果不错，最下面两个抽屉里蔬菜可以放挺久的容量大小：四口之家容量够了
5***0,star5,家里安了一个，真不错，果断入手了，包装结实厚实，顺利开机，声音很小，很满意，回来找人看过了，绝对的正品，外观高大上，个人很喜欢，操控灵敏，特别方便，客服小哥回答很耐心，实惠，性价比特别高，颜值时尚，看着就很舒服，网上下单挺方便，果断下单买了，智能的也是很方便的，能耗低容量大小，使用效果特别棒，信任大品牌，送货及时，值得信赖，一直都在用这个牌子
5***6,star5,很喜欢颜色质感都不错，好用好用非常的好用，推荐友友购买哦，看着评价买的，确实选对了，零件齐全，配件也都很精致，操作系统简单易学，包装结实完整，对于一个不懂的人觉得足够了，质量?常好，与卖家描述的完全?致，放心省心，值得购买，安装迅速，着急用，效果很好！动力十足，很快就安排师傅安装，隔壁邻居买了说效果挺好，方便实用，还可以远程控制比较方便，机身很薄外表很美，美观大方
5***3,star5,颜值高，安装迅速，功能也挺齐全的，安装师傅很负责任，外观简洁美观，还可以智能，效果理想，是我想要的产品，可以远程操控，方便得很，很有质感，设计的很好，支持正品，支持京东，好看极了，做工真的非常精细，第一次在这个店里购买，店家发货非常快，外形外观非常好看，收到了，外观设计简单大方，也是很大的
3***7,star5,买到安装讲解的很相信，我奶安装起来都没压力，占用地方不大，外形时尚，质量无可挑剔，价格适中，外观也很高级，赞赞赞，大气高档运行，165211，价美物廉，谢谢掌柜的，这款真心好看，很快，外观简约大气，不愧是这个牌子品牌，值得购买哦~很好的卖家，收到了，东西很好了，挺合适的666，推荐购买，性价比高，总体都是自己喜欢的，大屏幕看着方便，一级能效
j***z,star5,这款冰箱真香，颜值很高，双开门，空间不是一般的大，又节能，放在客厅那叫一个般配呀，目前使用了很多天了，声音也很小，没有任何问题，值得推荐
1***1,star5,做了很多功课才下手的海尔这款冰箱，到货后发现完全符合我的预期，果蔬区对于囤货的我来说简直太友好了，真的是很静音，颜值确实很高。
w***4,star5,制冷效果：非常显著，一开门都出冷气。保鲜效果：新鲜蔬菜放了半个月，还是很翠绿，和新鲜的一样。容量大小：容量足够大，冷藏冷冻都很够用。
1***6,star5,不愧是大品牌，质量杠杠的，有机会我们再合作，经常在京东购物了，流也比较给力，搬到了三楼，很大气商品质量很好，这个品牌信任满满，物美价廉，值得拥有，物品收到挺不错的，看得出来质量也是不错的，超棒的一款产品，喜欢，舒适，包装完好，造型新颖，很满意的一次购物好产品，很可爱的样子，颜色百搭好看，安装师傅也很专业，之后再来追评，无噪音 漆面高端，非常的给力
3***8,star5,"比较简洁，推荐，京东自营品质放心，发货速度非常快，机器已经收到了，很喜欢，安装师傅细心负责，这个颜色非常百搭，商家服务好很专业，必须点赞，工作起来声音很小，这个牌子产品特别好，物超所值，很棒的一款，五星好评完美,外观很好，声音小，用起来很方便，比预期中要大很多，给物流点个赞，老人用功能选择简单些，这款正合适"
大***虾,star5,京东速度非常快，还是相信自营的东西，家里冰箱坏了再选的这个双开门，容量大，左边是冷冻区右边是保鲜区，已经开始工作，运行时没有声音，比较静，性冷效果很好，外形大方，希望耐用！
2***愿,star5,性价比很高真踏马好，外观很大气，有专业师傅安装，包装结实厚实，路途中不怕颠簸，非常到位，下次可以继续购买安装，这个颜色一看就很高级，功能强大、经济实用，物美价廉的一家，配送速度快，提前打电话，颜色外观都很大气，无线充电，方便省力，五星好评真不错，尺寸很合适，表现出了一番岁月静好，非常实用，经济实惠，售后放心，安全性：可靠，这么好的家电应该早点遇到
3***9,star5,功能强大，很好的产品，这是买的最心仪的宝贝，客服小哥回答很耐心，多久都不坏的品质，国货名品，大小刚好，很高大上超大，款型好看又耐用。服务也是很棒，趁着有活动赶快就下单，拿来孝敬老人也挺好，两档，省电又环保，客服很细心，推荐的不错，非常大气有逼格，还会再来关顾的，颜色无差异，大小还可以，比照片还好看，好
4***8,star5,"师傅送货上门辛苦了，很惊喜，质量非常不擦，12467，不负盼望下次继续合作，物流快，安装专业，高大上，大品牌，美观大方，非常满意，和预期的效果一致，用起来舒服，样式还挺好看的，物流靠谱，客服态度很好，空间大小合适，颜值很高，占地，简洁大方,效率高，货物外观漂亮，售后服务好，客服态度很好"
唧***法,star5,外形外观：外观很漂亮，银灰色非常有质感。制冷效果：还在静置中，没有通电，制冷效果暂时不知道，家里其他冰箱也是海尔的，效果不错，这台应该也不错容量大小：容量还行，对于普通家用够了。
1***6,star5,产品也很给力，用料实在还好看，外观外形挺好看，大气很喜欢，安装售后服务也很快热情，价格比较合适，服务很好，为店家服务点赞，大牌值得信赖，安装技能娴熟，整体比较满意，空间大，储物能力强，超出了我的预期，简直完美，打理起来很省事。好评，这个牌子信得过，运行速度快，几乎没有声音，发货真快，很快就收货了，安装师傅特别细心，物流神速发货
j***f,star5,冰箱己用过几天了，非常满意，外观大气，制冷效果及保鲜效果不错，容量大，拿取方便，噪音很小，海尔不愧为大名牌，值得拥有！
2***8,star5,里面的功能很有档次，非常满意京东的服务，物美价廉，体积小，用了优惠券更合适了，路过的朋友帮我点个赞，外观简洁大方，功能齐全，京东商城自营品质保证安装专业，决定了，下次还从你家买，爸妈都喜欢，非常好的卖家，感谢卖家，很有质感，服务态度很好，孩子最喜欢的，很喜欢这个风格，东西不错，一如既往的好，还会再来，发货迅速态度很好，质量非常好，功能强大
5***9,star5,工作时噪音很低，很新这点非常好，发货迅速，真的是非常满意了，白色的产品装上也不突兀，这个牌子很好，值得，还会经常关注这个店铺，噪音非常低，儿子一直夸赞，很负责任的说他家真不错，支持！真心喜欢，颜色、款式都非常棒，省电效果不错，迫不及待的开箱，放在家里很拿的出手，符合年轻人审美，非常方便，送货速度快
网***办,star5,冰箱看着大气，颜色有质感，一级能效省电。发货迅速第二天就送到了。里面隔断清晰，分类明确。618购买值得推荐。全五星好评。
2***8,star5,尤其是这个牌子这款专门的产品，功能操作也很方便，省心省事，外观很满意，卖家优秀了，外观看起来很简洁，大气高档运行，商品设计完美，心与心的相依，这款真心好看，很快，价格适中，无限回购，不得不得竖起大拇指实物与描述的一样，大小也合适，重量还是挺重的，有净化功能，不用换东西，推荐购买，性价比高，送货速度快，送货态度好
短***丶,star5,很不错，刚好618家里的老冰箱坏了，趁着618给家里换一个双开门的，容积很大，妈妈很喜欢，冷藏和冷冻效果很好，使用设置也非常方便，物流很方便，会提前打电话预约送货和安装，还贴心的告诉要静止6个小时以后才能通电，不错！
1***9,star5,底座还有小滑轮，外观完好无损，送货上门，经济便宜质量好，服务好，质量好，愉快的购物，值得肯定，非常好，宝贝太好了，爱了爱了，特别喜欢，好评，安装方便快捷，完完全全是正品，配送物流很快，配送师傅服务态度特别好，有质感，特别喜欢，终于过来评价了，材质、做工都非常，完全出乎意料，超划算，外观设计美观好看
梦***空,star5,新房装修，一下子就看中了这款冰箱，平时爱屯东西，最爱大冰箱，这款冰箱简直是爱屯东西的白月光，喜欢，保鲜效果也特别好，制冷杠杠的，赞
4***6,star5,和我家风格非常匹配，非常不错，颜值时尚，看着就很舒服，超级好用，非常喜欢，效果很好，功能正常，收到了，这款很不错，师傅安装十分迅速，够专业，设计简洁，好用，方便，收到货后非常惊喜，特别好，价格合理统一，赞一个，优雅的设计造型，服务态度很好，而且质量也很好，简约风格，功能多，棒棒哒，送货安装师傅专业，太高级了，好漂亮的样子，非常漂亮
j***a,star5,冰箱真的很好用，制冷效果很好，冰箱容量很大，很能装，双开门的冰箱真的太棒了，换掉了旧的冰箱，才发现双开门冰箱真的很香，大赞?
4***1,star5,关键是节能省电，很新这点非常好，发货迅速，真的是非常满意了，占空间比预想的要小很多，购买了，我喜欢，个人表示非常喜欢，噪音非常低，儿子一直夸赞，很负责任的说他家真不错，支持！真心喜欢，颜色、款式都非常棒，省电效果不错，迫不及待的开箱，光是看着就让人心情美丽，外观设计狠时尚，速度也很快，还能用手机控制
5***8,star5,功你操作快捷智能，反应灵敏，摸上去是磨砂的质感，安装的很美观，产品比照片好太多了吧，上午送到，下午安装，大气稳重！非常喜欢，就又买了一件，真的是神仙电器，很好的一款产品，颜值很高，材质厚实 做工精细，本来还担心使用效果，用了一段时间之后完全多虑了，产品安装的非常合适，功能很强大。安装很专业，绝对可以是宝马们的偏爱，客服服务好，回答很及时
1***6,star5,送货快还送上门，可以独立开门，掌柜人很好，很方便，安装专业，先去门店看了下，还是在这买了，送货师傅速度很快 ，送货前多次联系，这是我在京东购物时最满意的一次购物，外观颜色我们都很喜欢，这种感觉让人很舒服，容量比较大，用起来方便，京东购物有保障，价格便宜还有智能功能，服务很好。很喜欢，真的超好用，外观体积小但容量大
D***8,star5,501升容量很大，保湿区的蔬菜放一周还是鲜嫩的，对于我们这种不喜欢做饭的人太有用了，不会担心蔬菜放坏掉，用一个多月冷冻区一点冰都没有，食物也不会串味，再也不用吃带着菜味的肉了机器运行的声音生活中可以忽略掉，低噪静音不打扰休息，整体性价比很高。
5***8,star5,"送给老爸老妈的,真的太开心了，非常满意的一次购物啦，大品牌就是好，各方面都放心，大品牌值得信赖，值得信赖，性价比高，材料费全免，货以收到,非常好,外观精美，服务也非常棒，参阅网络评写做的测试，性价比高功能强大，已经安装好了，最重要的是很省电，拆洗简单容易，功能全面，家里四口人正好够用了，做工很精致，美观大方，不错不错，产品还得是这个牌子"
2***2,star5,外观漂亮好看，嘎嘎牛皮，颜色很大气，看起来很漂亮，材质手感都不错，非常满意，非常喜欢非常快，按键灵敏操作方便，送货****好，点赞，送货，非常给力，好用不贵，服务还特好，功能齐全，质量有保障是正品，还送了小礼物，太赚了，灰黑色，很有质感，符合预想，非常棒家人都很喜欢，运送快，价格优惠，各个小细节做工都不错，性能各方面很不错，功能齐全
3***4,star5,质量过关，品质优秀，值得购买！会继续关注回购，性价比较高，颜值也可以，质量超好，每个细节都做的很好，没有损坏外包装箱，快递很给力，在尺寸大小上也非常合适，功能繁多，各个都好用，非常的喜欢，功能强大，信任大品牌，送货及时，值得信赖，邻居给推荐的这一款，期待使用效果，东西质量?常好，实物非常好，跟想象中一样，刚到了已经安装好了，大气、高端，非常有质感，给老家安的，只有老人在家
t***9,star5,海尔品牌，闭着眼买，相信海尔的品质。这个冰箱很显大气，535升，家庭足够用了。银灰色外观很喜欢，和家具很搭，制冷速度也快，噪音也很小，一级能效。
2***8,star5,简单易懂容易操作，整个外观看上去挺好的，送货上门！值得推荐，前阵子抢了优惠券能用上，各个小细节都做的非常精致，商品质量特别好，很百搭，绝对值得购买，复购了，家里人都说很好真的很赞耶，看了很多的产品，最后选了这一款，很棒，质量没得说值得推荐，亲们可以入手了，出乎意料地好，安装也非常即时，机身很薄外表很美，美观大方，还可以远程控制比较方便，完美大赞，很好用的产品，亲人表示很喜欢
2***6,star5,朋友很满意，愉快的购物，特别有质感，很喜欢，经常过来看一看店铺，已经预约师傅安装，功能非常强悍，今年早早就来订购了，客服态度特好，家里很多东西都是这个牌子，产品很好看，很漂亮，扛扛的，价格实惠，节电节能，能耗低，操作方便易懂，说实话 真的很满意，这用料一看就很高档，十分愉快的购物体验，产品颜值高，操作友好，噪声也不太大
2***3,star5,省电模式很静音，超值，很快打电话来预约安装时间，非常好非常满意，郊果很好，值得拥有，非常好，机器很漂亮，外观设计优美，大气，符合预期想象的效果，上门安装的师傅 人不错，很负责，以后合作，是99%的认可呢，麻烦人家好几天了，家里用刚好，各方面都赞，还细心的告诉预约安装的方式，深深的受益，外观时尚，款式新颖，颜色漂亮
5***1,star5,太喜欢了，推荐使用，安装师傅特别细心，好评好评下次有机会再找你们，颜值不错真好，速度还可以，功率不算大，收到货果然没有让我失望，简单而大气，质量非常好，外观很漂亮，很精致，功能强大，855324，看起来就很好，一直都信任，产品质量过硬，速度效率高，产品做工精细，适合小户型，赞一个发货速度宝贝和图片差不多，颜色百搭，姐姐推荐买的，产品简直太好了
h***1,star5,以前买的海尔用了8年，容量小现在感觉不够用了，所以特意又买的这款大容量的双开门冰箱，内存够大，静音效果好，非常完美，颜色高端大气上档次！！！
丁***a,star5,尺寸很合适家里冰箱位置，颜色很搭跟地砖色，整机体积不庞大，容量空间大，颜值担当，海尔服务很好，更换掉老冰箱用了近20年，没有什么大问题，有点结冰，空间不够，以旧换新，售后服务无忧！！！
2***8,star5,是正品正品，棒棒哒，于千万人中，只此一眼，手机非常方便操作，老婆也很喜欢，国家一级能效省电，真的出乎意料的好，售后服务正规，安装师傅很专业敬业，好评嘎嘎嘎，用了一段时间，挺省电的，非常满意的一次网购，家里人都夸我会买东西，店家靠谱东西靠谱，颜色和外观都是自己喜欢的，功能多样化，都很好用，功能非常好
5***0,star5,售后有保障，推荐购买，比较大气，真香。给5星好评，静音效果很好，设计特别具有美感，太满意了，到了就安装起来了，外观时尚，挑不出毛病，物流很给力，不负期望，我强烈推荐给朋友购买，发货速度都级棒，精美的包装，我很喜欢，下次还会光临，颜值很高 很好看，宝贝真心不错，与图片相符，超棒的一次购物，信赖这个品牌，简单大方好看
5***0,star5,位置尺寸预留刚刚好，感谢老板，给朋友买的，特别好用，懒人的福音，很方便，速度快环保实用，设置方便显示信息全，也可以远程操作控制，很方便，物超所值，全五星好评，为京东的服务点赞，很满意，很喜欢，包装仔细、严实，质量一如以往的好，妈妈很满意，整体的感觉是非常不错的，宝贝收到啦，非常满意，客服服务是比较满意的，为辛苦的师傅们点赞
