https://item.jd.com/100015125917.html,"['海尔BCD-531WGHSS5ED9U1', '100015125917', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', '电脑控温', '风冷', '90.1-95cm', '500-549L', '不锈钢', '对开门', '独立式', '黑色系', '60.1-65cm']"
好***干,star5,外形外观：双开门，颜值高，摸着也舒服容量大小：大容量，囤囤鼠狂喜制冷效果：制冷快保鲜效果：保险效果好
j***s,star5,冰箱收到了，发货快，在选定时间到达。空调外观挺好看大气的。里面空间也足够了对我来说。看中的是有母婴功能，后期生完小孩存放奶会很方便卫生方放心。好评哦！
x***w,star5,外形外观：漂亮就是体积有点大，热水器水压很大，两人一起冲凉好舒服容量大小：16升超级给了喜欢，是我想要的效果
z***雪,star5,制冷效果不错，没有其他问题，外观简洁，可以app操控，冷藏室更大。制冷效果不错，没有其他问题，外观简洁，可以app操控，冷藏室更大。
不***到,star5,去年过完年就想换冰箱的，结果一拖就是一年，正巧今年过年前冰箱有点故障了，所以拖过了春节，还是下单了。星蕴系列去年就看中的，够大，够气派，再也不怕没地方放东西了。
j***I,star5,"购买此机器有三个原因:1.原机器维修过一次，当时维修费用七八百,现在又有问题了。2.容量小不能满足家庭需要。3.对比了海尔和美的，美的代工性价比高，海尔一直从事冰箱行业，技术过硬。目前大小刚好，四五个人没问题，存多了也不好。性价比高，又买了延保十年，平均下来一年300出头，可以了，要啥自行车。"
张***疗,star5,习惯在京东购买大家电了，相信京东，相信品牌的力量，见到百亿补贴，毫不犹豫的下单了，原来的西门子冰箱用了十几年，业该更新换代了，这款海尔冰箱，颜色大气，制冷神速，而且带Wi-Fi的，真是意想不到的惊喜和收获，永远支持京东
f***8,star5,前年买过一次这款冰箱，用了快两年了，各方面都还不错，这次帮家里人也购买我家这款，服务非常到位，快递小哥送到家安好穿走的，感谢感谢！辛苦了！
S***斯,star5,冰箱包装完好，送货的师傅非常负责任，产品过一阵子就会使用，期待使用效果，相信海尔的品质，家里一直在用海尔的冰箱，希望这次一样好用。
j***c,star5,一直喜欢海尔的产品和售后，这次装修房子家电都选了海尔，没让我失望，收到冰箱高大上，一直纠结黑色会不会太压抑，结果到了和我家厨房太完美搭配了，爱了
j***5,star5,外形外观：外观很满意，颜色也好显得高档不廉价。制冷效果：制冷效果还不错，算是挺快的。容量大小：冷藏室很大，冷冻也够。保鲜效果：还有一个母婴区，家里有小孩的应该挺方便
遛***狗,star5,评论积分可以涨呢，这才知道好评的重要性。这个福利实在是太赞了，妥要的每条都来评论下，赚积分，下次还能抵现金用。评论80字以上，可以得到50积分。从此我无论买什么东西，都会把这段话复制粘贴下凑够字数，然后再填写商品的评论，东西非常好，是正品，包装用心买回来一直忘记评论，不好意思，本来这个价格没抱很大希望，收到的时候发现质量出乎意料的好，和图片描述一致，超级划算，性价比也很高，质量也好，在别的地方看很贵，在这看，还可以，出乎意料，以后还在这家买，也推荐给朋友了，店家态度好，不懂的都会细心回复，第一次在上买的这么质量又好又实惠的东西，现在推荐给了朋友，好东西，自然买的人多。然后是包装令人满意，京东自己1og0的包装袋和纸盒，完了纸盒纸箱还可以再利用，重点是产品真的非常好，每次打开包装都惊艳到了，各种高大上，保质期也都是新鲜的，京东购物这么久，没有一次失望过，每次评价都是全五分
j***y,star5,冰箱还没用，好评是给两位物流师傅的，这个冰箱买了三次，前两次物流来人看了看说抬不上去就拉走了，今天这两位师傅非常够意思，费半天劲给抬上来了，非常感谢两位师傅，必须点赞。
佳***g,star5,包装好，物流快，价格实惠，比超市便宜多了用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐
d***9,star3,感觉冰箱味道很大，很热，烫手，
紫***2,star5,之前看了差评论区，买了很担心，但是用了4天没有遇到那些问题，启动声音很轻，就是有时会有冰裂的声音，问了单位工程部师傅，说正常的，对海尔的品质还是比较满意的，家里空调都是买的海尔
愿***伤,star5,冰箱很大，分区很合理，运行噪音很小。外形外观：外观很好看，质感很好，材质不错制冷效果：制冷效果很好，制冷快。保鲜效果：保鲜效果好容量大小：容量很大，满足日常需求
畅***2,star5,冰箱非常好！越看越喜欢?，性价比高！外形外观：高大尚，颜色较深！制冷效果：制冷快，冷冻空间大！保鲜效果：保鲜好，智能精准控制！容量大小：容量大，超薄不占空间！
f***g,star5,冰箱外环大气上档次，深灰色耐脏，双开门设计，中间触摸按键，科技感十足，531升容量对一家来说绝对够用，制冷效果速度快，冷冻和冷藏效果好，风冷无霜，值得购买。
u***i,star5,外形外观：超级好看，一看就很有档次，非常大气，第一眼就是被外观吸引的制冷效果：特别好，很有app可以控制，想设几度根据自己需求设置就行保鲜效果：冷冻冷藏，一次囤了半个月的菜，都很新鲜，保鲜特别棒，而且不长霜，很满意快递员送货上门，服务态度也很好，有需要会回购的，一直相信海尔的品质，所以第一选择就是这款冰箱容量大小：531大容量，能存好多东西，而且还不串味
千***音,star5,家里冰箱坏了，换了这款冰箱，还是不错的，高颜值，声音轻，京东售后也是不错的，下次推荐朋友也买这款，性价比也不错，很好，
j***3,star5,冰箱很大，一家五六口都够用，最重要的是有母婴功能，还能连接wifi，智能，九十度固定，特别人性，一开冰箱门就显示温度什么的无霜冰箱，特别好，再也不用每年给冰箱除冰了，海尔，一直相信大品牌，推荐
j***v,star5,冰箱容量大，无异味，特地用了几个星期评价的，真性价比之王，这个价格这个冰箱肯定是性价比最高的，母婴功能超级实用，家里有孩子的特别推荐！外形外观：外观质感很好制冷效果：非常好，冰箱20多分钟就能冻好了保鲜效果：目前来说蔬菜放个把月不是问题容量大小：六口之家 完全够用
k***2,star5,冰箱收到 容量很可以 喜欢买买买 很足够 外观很好 保鲜也很好 使用几天很满意 声音也不大 超薄的 很合适 放大的生日蛋糕也没问题
问***买,star5,冰箱质量很好，颜值高，静音，制冷效果好。给家里的生活方便，放在房子里高大上。
j***L,star5,冰箱收到了，特别满意，外观大气，制冷效果好，容量大，还有干湿分储，一级能效不费电，京东物流也非常给力，大品牌值得信赖，期待后期的实用效果。
木***l,star5,外观非常大气，哑光黑色，很沉稳，制冷效果很快，几乎是急冻的，菜放进去一周都没啥事，冷冻效果也很优秀，保鲜效果也非常棒，531升的容量完全能够满足一家四口的生活需求，非常推荐购买。
钱***包,star5,外观非常大气，里面空格大小也很合理，凉的很快，冻的那一侧还是试但应该很好。这个排风方式真的很棒棒，可以离柜子很近，特别省空间
j***c,star5,冰箱非常大气美观，富有科技感，占地面积小，但是里面空间很大，装的东西非常多，分区合理，冷冻冷藏效果非常好，制冷速度快，保鲜模式非常棒，价格实惠，非常完美的一个选择。以后还会推荐家人朋友选购的。
j***s,star5,特意用了一段时间才来评价，冰箱颜色大气，上档次，功能也好，用着特别方便，储物空间也大，很好。
j***r,star5,外观黑色，非常现代和大气，内部空间也超级大。海尔大品牌绝对棒棒哒！给爸妈买的，爸妈非常喜欢，家人高兴我也高兴?
m***P,star5,尺寸够大，能装很多东西，家里即将有宝宝，特意买的有母婴空间的，颜色也很百搭，推荐
j***a,star5,冰箱还不错，家人很喜欢，颜值很高，还有独立的母婴空间，制冷效果好，特别是冷冻去，冷冻真的挺快，快化完的冰袋，放进去不一会儿，就冻好了。
j***b,star5,外观:简约大气空间:大，大，大制冷:速度很快，效果强悍，非常牛掰。声音:声音很小，离开几步就听不到。能耗:确实省电，手机电网查实时电量。颜值:我个人觉得，非常好看，奈斯。物流:京东快递，无敌，速度快还上楼，超级棒????质量:我用一段时间在追评。服务:店家回复快，很有耐心回答问题，满意。
M***1,star5,外形外观：漂亮，耐脏制冷效果：完美，很快就降温了保鲜效果：可以的容量大小：我家四口人，基本还很空特别赞一下送货人员，这么热的天，排除我们楼梯窄的困难帮我冰箱送上楼
j***f,star5,外形外观：双开门外观大气好看，非常喜欢制冷效果：制冷挺快的，插上电源没多久就有反应了容量大小：容量挺大的，看起完全够用
j***e,star5,给家里老人买的，制冷效果很好，一键设定温度，方便老人使用，适合囤货，容量很大～保鲜效果：不错容量大小：囤货没问题
K***7,star5,冰箱容量大，风冷无霜，噪音特别小。干湿分离不串味。内部没有异味，一级双变频，压缩机，风机都是变频的，省电。海尔老品牌，值得信赖！
j***a,star5,冰箱非常好，颜值超高，和我家恒大精装房的厨房门框平齐，严丝合缝的快乐。送货人员说静置6小时，恰好出差我静置了好几天后才插电的，一切完好。没有发热，侧板冒水珠的现象，也没啥噪音。好好保护它，争取传给我的下一代?。    这个冰箱主要喜欢它水果保鲜和母婴珍品那两个抽屉，对于我这种爱吃水果和干果类的人，非常适合。具体保鲜能力等入住新房了再追评。提醒 : 冰箱拿到后一定一定要静置，不着急用的话就多静置一段时间，但至少6小时，让压缩机里的油流回去！！！！因为在运输的过程中，压缩机的油会向上流，如果不静置直接通电，压缩机油太少会烧坏。！！！！可以去某书，某手查查或者问客服收到货后的具体使用注意事项。说明书一定要看大兄弟们
老***妇,star5,外观大气，很有质感，颜色也很正，做工精细，容量大，囤年货都够用，老品牌有实力，值得信赖，送货快，送货师傅服务态度好。
j***p,star5,冰箱比较满意，外观高端大气。颜色是黑灰色，很显档次。目前制冷效果不错，工作噪音比较接受。内部格局合理，储藏食物新鲜不串味。配送快，售后服务也不错。
j***o,star5,外形外观：黑色的显得非常的大气容量大小：大，非常大，一家几口人使用完全没问题，能囤好多东西制冷效果：还没开始使用保鲜效果：还没开始使用海尔冰箱家里用了好多年了，这次换冰箱还是选择海尔，冰箱毕竟是海尔的核心产品，相信海尔
j***m,star5,这款冰箱颜值很高，而且容量很大，很实用。颜色放在阳台上也好看，因为厨房太小，放在阳台也不错，显得很高档。冷冻室也不少，可以储存不少东西
山***娃,star5,外形外观：外观很洋气，使用很方便。分区很合理。制冷效果：使用了几天制冷效果很好。保鲜效果：使用了几天后发现，储存的蔬菜水果都很新鲜。容量大小：家里五口人，容量500多升，能满足生活储藏需求。
j***2,star5,选择海尔大品牌，使用体验很好。很安静，还能手机控制，有独立的母婴空间。
j***e,star5,信任京东自营，信任海尔品牌，冰箱声音很小，颜值在线，容量足够家里使用了，没有像别人说的声音很大，滴水，内部有划痕等现像，满意！！！还有就是送货小哥辛苦了，那么大个的冰箱搬到4楼不容易啊，感谢！
J***2,star5,大小刚刚好，预留的位置也正好能放进去，送货也很快，态度非常好，试用了几天，制冷效果也很好，声音不大。
买***氵,star5,冰箱够大，内部容量也大，制冷也很快，噪音小，制冷也快。洗衣机做工精致上档次。
j***f,star5,用了一段时间才来评价，选了适合尺寸的款式，正好可以放在厨房了，双开门容量大，比以前装的东西多了不少，颜色大气，制冷效果好，很满意。
j***1,star5,冰箱空间大，分区合理，外观时尚，制冷效果好，老妈很喜欢
s***0,star5,刚买冰箱看了很多款式，纠结了很久，最后还是看上了这款冰箱，颜色很好看，功能也很多，还有母婴功能，用了一段时间，感觉冰箱很不错，服务也很到位，师傅送到家里安装好，也很细心的提醒静置后再通电，以后也会大力推荐这款冰箱，很推荐，纠结的朋友可以下单了。
5***咚,star5,外形外观：颜色很大气，尺寸也刚刚好制冷效果：制冷效果还不错，现在冰箱都可以的容量大小：这个容量一家五口我感觉都够了
丿***3,star5,冰箱非常不错，空间非常大，颜色质感都非常不错，海尔不愧是大牌子，值得信赖，保险制冷效果都不错
肥***嘟,star5,外形外观：外观好看，整洁一体制冷效果：效果特别好，也没有冷霜容量大小：容量是最满意的地方，地方大，放的东西多
W***g,star5,冰箱外观挺好的，非常大气，制冷效果很不错 基本没有什么声音，对海尔的品控非常信赖，家里都是海尔的电器
j***5,star5,冰箱很好用，空间大，质量效果很好，风冷无霜的，功能很不错，噪音低
j***c,star5,冰箱外观是真的没话说，之前看了问答有人说噪音大，我还犹豫了很久，最后还是买了，回来专门用了几天评价的，噪音的音量真的可以说忽略不计，基本上是没有噪音的，新冰箱异味散了两天基本上没什么味道了，制冷的效果也很好，挺快的，总体来说很满意！
独***4,star5,一款看上去很高端的冰箱！储物空间大！厚度适中！颜色发铁灰色，高级！运行几乎没声音！非常推荐的一款冰箱！另外京东服务很到位，双十一期间买的，很快就到了，很晚了还在送，无磕碰！点赞?
豬***八,star5,占用空间少，冰箱容积大，很不错，很静音，靠近也听不到声音，带悬停功能，取东西方便，海尔品质值得信赖
j***k,star5,冰箱空间足够大，颜色看上去非常大气，制冷效果很好，保鲜盒里的水果有充足的水分，非常满意！以前用的也是海尔冰箱
T***蝶,star5,冰箱分区比较细致，多风路送风，制冷效果也很好，容量大满足家庭日常需要。
德***贤,star5,海尔冰箱还是值得信赖的大品牌，用了近一个月来评价啦，空间容量非常大，目前没有冷冻结冰的问题，储存空间也挺大的，底部竟然带轮子，还是挺意外的，这样就好推开清理卫生了，颜值很在线，朋友来了都说很大气，很满意！
