https://item.jd.com/100013724559.html,"['海尔XQG100-HB106C', '100013724559', '79.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '85.1-90cm', '上排水', '55.1-60cm', '蒸汽除菌', '10-20kg', '除菌除螨，除菌', '灰色系', '55.1-60cm']"
小***-,star5,外观大气上档次，清洗效果还不错， 可以除菌容量大小，也挺大的，可以洗床单被罩，送货速度超级快，包装完美。京东小哥，服务态度好，京东自营，不错。
旭***云,star5,镀锌钢材质灰色加黑色玻璃盖看起来非常高端！支持16种洗衣模式还支持洗衣时间自由设置，操作很方便。带有烘干功能在南方连雨天时洗完后直接烘干特别方便好用！京东送货上门特别方便，安装师傅也特别专业！赞！
j***l,star5,洗净效果好，智能投放省心，容量大，外观时尚，跟以前的洗衣机比静音太多，这个价格买到这种电器不要太划算，性价比很高。
其***钱,star5,因家里装修，买了一直没安装。今天安装完毕，超薄精华洗买的太对了，正好放进阳台，一点不突出，颜值还高。海尔的李师傅服务热情周到，热心指导使用事项，赞一个。海尔产品售后让人放心
j***y,star5,简单大气，操作简单，洗净比也比一般的高，洗完衣服很干净，洗衣液也不用自己放，，物流师傅很负责，帮忙装好放好地方，给师傅点赞?
u***7,star5,非常满意的一次购物，洗衣机非常好用，声音不大，运行平稳，洗的非常干净，操作面板非常好用，好评，物流非常快，
多***幻,star5,外观大气，洗净效果??，可自助选择除菌除螨，容量很大，一次性洗四件套绰绰有余，还要赞一下海尔的服务，依然是省心暖心，反应迅速！
L***Y,star5,海尔洗衣机，精华洗，洗衣机更有质感，功能强大，性能优越，真心很不错的洗衣机，值得推荐自己的购买，京东618购买，很不错的
z***j,star5,十公斤的大容量，自动投放洗衣液很是方便，关键还是洗烘一体机，价格可以说很亲民，毕竟是海尔的，大品牌值得信赖。京东配送又快服务态度很好。
j***k,star5,新房买的洗衣机，柜子打的有点薄，挑了很多品牌，最终选择了海尔的这款高颜值，大容量，精华洗的洗衣机。送货小哥也很赞，提前沟通送货时间，送装一体的，服务也很好。
G***i,star5,外表颜值很高，看起来很有质感，用料很扎实，功能非常丰富，上手很容易，使用起来非常方便，总体来说，这是一次满意的购物体验。
j***q,star5,这款洗衣机是对比好久才入手的。内筒尺寸大，洗净比高等，买东西从来没有这样，把每个参数都对比一下，很值得买，刚安装好，洗衣声音很小，外观很漂亮，没有凸起旋钮，看起来很好看。
j***3,star5,认准海尔大牌子 618活动非常划算！！！噪音不大 挺静音的 模式功能丰富 易懂实用 ！！下次继续加购海尔滚筒洗衣机
要***h,star5,物流快   第二天就上门安装了   地区售后服务非常好   洗衣机也好看   触屏方便    智能投放也不错 还是第一次用带这个功能的洗衣机哈哈
****道,star3,外形外观：还行，但是闻单洗衣机里面有电线烧着的味
j***l,star5,"物流很快，师傅安装很专业，洗衣机烘干机很漂亮很好用。这是第N次在网上 买东西了,棒捧棒,东西便宜而且质量好， 物美 价廉，买的放心，用的开心，感觉都买.上瘾 了,买买买,根本停不下来,东西品种多而且又特 别全， 划算方便,而且实惠,包装很好， 而且没 有任何损坏，会--直支持下去的"
l***o,star5,颜值没得说，洗衣机收到了没让我失望质感也挺好用了好几天才来评价的衣服被套都没问题老婆以后轻松多了志高品牌还是可以的值得拥有，人小鬼大，机小肚大，看起来尺寸小但洗衣量大，居然有10个洗衣程序8段水位，水量还可自由调整，很是好用，价廉物美，物超所值。
u***8,star5,赶上618有活动，这一款活动力度特别大，而且配置也高，送来后试了试，特别好，师傅也特别热情，帮忙安装洗衣，比以前的好很多样子也好看，功能也多，很强大，而且，以旧换新特别好。师傅，把之前的洗衣机也拉走了，直接下单时直接抵钱，特别好
j***a,star5,海尔品牌一直以来值得信赖、这个洗衣机对一般家庭来讲是够用，运行很平稳，声音很小，功能就是一些基本的功能，没必要太复杂，价格便宜，送货速度特别快，一天就送货安装完毕，已经可以用了。
u***a,star5,机器操作简单，噪声控制很好，智能感和科技感都可以，性价比较高，还有对应扫码了解特殊清洗功能；安装师傅上门效率高，讲解很详细
蛋***O,star5,性价比十分不错，买给老爹用的，老人家学习能力也不错，不过着实有学习成本，对于老人家来说。整体造工非常不错，清洗是否干净就需要再验证
l***l,star5,洗衣机终于收到了，首先外观设计很大气上档次，安装师傅服务态度很好，装好后还做了调试，然后耐心的给我讲解了每个按钮的使用方法。晚上的时候试着洗了几件衣服，真的很干净，而且这次买的是智能投放，不用每次添加洗衣液，真的很方便。
l***g,star5,洗衣机质量特别好，性价比高。物流很快用起来洗的很干净，比较智能，整体十分满意。洗衣机质量特别好，性价比高。物流很快用起来洗的很干净，比较智能，整体十分满意。满意
咦***呀,star5,跟家里的装修尺寸严丝合缝，外形外观设计感十足，一家三口使用容量足够，上门安装的师傅态度很好，认真告诉一遍使用方法，功能很多
j***1,star5,洗衣机真的很好用，声音很小，洗的很干净，很满意，家里人都很喜欢海尔的产品，真的是服务好，品质好，质量好，我们家所有电器都是海尔的。
h***0,star5,海尔洗衣机给家里父母买的，这次有一个烘干功能，非常实用，以后冬天的衣服可以直接烘了。体积比较大，原本机器人厕所都进不去，只好放在别的地方。
j***0,star5,京东的东西，质量杠杠的，放心，正品，好用，真不错，一直在京东买。现在新房子也是在京东买，而且海尔的洗衣机，500强，值得信赖！
j***I,star5,使用了一段时间再来评价的，且安装时售后一直在主动联系上门安装，超薄尺寸刚刚好和洗衣盆无缝完美连接，有自动投入功能使用时噪音不大，非常满意的一次购物第一次使用海尔品牌的产品没有让我失望。
c***r,star5,618在京东买的大件，价格特别给力。物流第二天就到了，预约师傅上门安装，服务特别好！！外观大气，声音很小，洗的很干净！！
e***8,star5,外形外观：大气上档次。洗净效果：超级干净，美美哒除菌效果：有效除菌。容量大小：10公斤，杠杠滴。
j***8,star5,海尔洗衣机也是很有名，各方面指标参数都是很棒，而且价格也合理。这次趁着618活动赶紧下单，****的态度很棒，装起来也是很贴心。感谢京东和海尔给我们提供了这么好的服务
c***2,star5,京东自营购物很放心，从下单到物流都非常给力，海尔智慧洗衣机外观设计大气漂亮，10kg大容量，已经预约了安装师傅上门安装，?
大***D,star5,外形外观：超薄机身容量大小：10公斤618活动买的，很划算。京东送货上门  安装师傅在约定时间上门安装  认真负责  没有隐形收费这一点海尔做的非常到位。
是***于,star5,外形外观：基本都差不多，用料扎实洗净效果：超级好评，双喷淋，窗子上没有泡沫，不仅有智能投放，而且声音小，海尔确实不错
j***1,star5,趁着618抓紧囤货，物流很快，联系送货时间，质量不错，安装师傅服务态度很好，均可以预约，很方便！希望今后用起来好用，期待后期洗净效果和除菌效果给大家评价！
小***g,star5,确实不错，之前家里用海尔三开门，五年多没出问题，这次换房子刚好买个大的，太方便了，很喜欢老牌子值得信赖
A***-,star5,用了一段时间才来评价，这款洗衣机很方便快捷，声音不是静音的那种，也是很不错的。衣服洗的很干净！安装师傅很给力，第一天送到就来安装了。整体还是很不错的，性价比很高。
画***来,star5,颜值非常非常高了 与厕所颜色超级搭 全触屏模式 多种洗护模式 还有智能投放简直就是解放双手啊啊啊啊啊 应该早点入手的 非常推荐
j***9,star5,买了一段时间了，现已经安装好了，试了一下，运行很平稳安静，样子看着挺好看的，洗涤功能齐全，还带烘干功能。客服态度很好，安装师傅态度也好，海尔品牌可以的！
奕***智,star5,东西非常好，简单实用，材质好，安装师傅很好，很快就装好了，物流依然那么给力，选择京东的主要原因之一就是因为物流到货超快。
j***1,star5,外形外观：外形很靓，满意！除菌效果：这套直驱、四层、顶配除菌，给孩子用得更安心。海尔服务很赞，希望一如既往保持高水准??
外***强,star5,海尔洗衣机，闭眼入就行了。国产白色家电顶级品牌，一点不比合资的差。海尔独有专利精华洗配合1.1的超高洗净比，洗衣效果非常好。强推！
h***h,star5,安装师傅很热情，东西很好，很全面，比想象中的大，功能也很齐全，颜值也很高，正好618活动也很给力，一次不错的网购，期待使用
米***o,star5,洗衣机非常漂亮，阳台柜和窗帘还没装，点不搭。造型很简约大方，超薄款，非常适合我们家阳台尺寸，满意啊。京东的物流和服务也很放心。
冷***欣,star5,外形外观：按键清晰，易操作容量大小：10公斤大容量，能洗一家四口的衣服洗净效果：洗衣凝珠加柔顺剂，超干净，超柔软，主要是还特别静音
刘***呀,star5,外形外观：外观看着颜值很高很流行洗净效果：洗的非常干净洗完以后没有一点污渍了除菌效果：除菌效果嘎嘎好 非常满意的一次购物容量大小：容量很大 十斤被子放进去刚好可以容下 也能洗的很干净
j***6,star5,外观漂亮大气，颜色好看，做工精致，操作简单易用，噪音小，清洗效果很好洗的很干净，衣服也不会拧成一块，带有烘干除菌功能，非常方便，配送很快，安装服务响应很快捷，售后师傅的售前售后服务很积极，非常满意。
j***镘,star5,618趁活动买的，用了优惠券还送了很多东西，非常棒！！！今天刚安装好，买的16套的，刚刚好！颜色气派，等后续使用看看效果再来反馈，相信大品牌！
L***r,star5,洗衣机送货很快，安装很顺利。洗烘一体还能把洗衣机做到这个厚度也是不错了，滚筒的门是按压式的，可以直接用膝盖顶开不用弯腰，洗完衣服自动开门也是挺方便的。
u***9,star5,很好，京东快递物流很快，在最合适的时候以最优惠的价格买到了，虽然功能还没有使用，但是安装上了，非常好，海尔加油，下次还买！
j***k,star5,外形外观：外形经典，灰色板面，耐脏又耐看，美观大方洗净效果：比较好，速洗档也很干净，有很多档可用，洗羊绒大衣和被子都可以除菌效果：没用过，应该不错咆容量大小：10L容量，非常适合家庭用
u***r,star5,外形外观：外形时尚大气，科技感十足。洗净效果：洗衣非常方便，洗的非常干净，操作也非常简单。容量大小：10公斤大容量，满足三口之家日常使用了。除菌效果：还没试用，日常使用噪音比较小！
4***1,star5,外形圆筒型设计占面积小，送货安装神速，安装的很好，一家人都足足的够用，整个过程很完美，不仅外观美丽大方 用起来又非常方便舒适，大小合适，精致美观，卖家很好对这次购物非常满意，顺手还帮我们修理了插座，产品质量OK，节能降耗，大小不错，不占地方，外观给人时尚高大上的感觉，大小家电都很不错，信赖大品牌。，质量超级好，不愧是大品牌，质量有保障
3***8,star5,很大气，很漂亮，外观灰色系看上去很高端，不愧是大品牌，质量绝对没的说，价格很优惠，操作简便，总体感觉这次购物很喜欢，质量杠杠的好啊，大热天按时送达准时安装，确实高大上，老婆非常喜欢，质量挺好，敲击厚实有保障，颜色比较柔和，好看，好看，性价比高，很满意的，质量看得出来的好，线下的看的都眼花了，于是就来线上京东来购买，重点是价格太实惠，非常容易打理，很不错，给人一种美的亨受我的最爱，操纵简单，可远程
4***8,star5,"着急用就在京东下单了，很负责，以后合作，称了称分量是够的，制冷效果杠杠的，客服态度特好, 我会再次光顾的，还细心的告诉预约安装的方式，深深的受益，质量非常好，功能强大，配送服务态度好，商品质量好，精致美观，节能省电，安装方便，无噪音超赞超值，此款性价比更高，反正一样的东西，当然价格低一些比较好呀，最后在这买的，量很好，大小合适，功能也很强大"
j***i,star5,选来选去，最后还是挑了海尔这个大品牌，大品牌的品质还是放心的，用起来非常的不错，洗得很干净，而且声音特别小，十分推荐购买。
雨***镜,star5,直驱么，又是海尔大品牌，售后没的说，价格这次也很也实惠，直驱洗的也干净，也没有皮带，不用担心磨损。值得给大家推荐购买使用！
果***波,star5,洗衣机可真是好看好用，外观大气，放到餐厅也不显得突兀，关键静音效果太好了，真的是一分价钱一分货，还是得买贵货?推荐大家购买
念***d,star5,外形外观：很漂亮，大气，屏幕都是可触摸控制的，感觉非常好容量大小：10kg这个容量很合适一家子使用，妥妥不用手洗衣服了洗净效果：有很多档位可以调，自动加注洗衣液功能也不错
4***1,star5,时尚美观，也能起到装饰作用，储物空间大，趁着正好有活动就买了，很棒，颜色很简约 做工精细，作用大，省时省力，经常有活动，趁着优惠价买了，时尚美观，越看越好看，实物比图片还好看哎，速度超级快，京东保我售后，已经查收了，谢谢啦，非常大气，外观很有质感，更节省空间，很满意，推荐，这台，是一款不错的
j***j,star5,这洗衣机买的很满意，精华洗的设计节省不少洗衣液，用喷洒方式淋在衣服表面能均匀的洁净衣物。另外脱水时候真的很静音很静音，这点大爱，可以看视频打开音量听一听。机身整体也很纤薄，不厚，不占空间。彩色触屏清晰明了，爱了。
惠***腻,star5,只能投放洗衣液真的是它的一大优势，再也不需要摆一大瓶洗衣液在洗衣机旁了，洗衣机最多可存放 750 毫升洗衣液，可以用好久，而且洗净比真的很高，质优价廉
来***来,star5,价格公道物流及时，送货上门，小哥服务好，安装准时守约，大品牌安装师傅服务好。洗衣机省水节能可，洗的很干净，操作方便，可以中途添衣，超薄型号，适合家里的橱柜，很合适。
j***9,star5,这款洗衣机非常好用，洗衣效果非常好，衣物洗得干净且不伤害衣物的质地。洗衣机的噪音也非常小，使用起来非常安静。它的容量很大，可以一次性洗很多衣物，非常方便。洗衣机的操作也很简单方便，洗衣机的外观设计也很漂亮，很适合放在家里使用。总体来说，这款洗衣机性价比很高，非常值得推荐！
j***1,star5,大品牌更可靠，选的这款滚筒洗衣机，功能和颜值都很不错。功能很强大，家里有小阳台，洗衣机尺寸刚刚好，超薄的，方方正正的，滚筒特别大。触摸屏，智能洗，颜色也不错
