https://item.jd.com/100026792318.html,"['海尔EYW131286BKDU1', '100026792318', '49.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '二级水效', '洗果蔬海鲜']"
6***9,star5,绝对可以是宝马们的偏爱，试看了二天感觉满意，摆着高大上，晚上立马用，体验了一阵子，确实很好，非常好用，推荐购买，大牌的质量值得信赖我很喜欢，多用几年挺高性价比，不错 很爱，建议购买跟描述的是一样的，服务老顾客非常周到，以后还常来，朋友推荐给的一款，果断下手，直接买了两个，今天下午刚到的，产品真的很赞很好的卖家，都以为很贵，很开心的一次购物，做工真的非常棒，上档次，
j***8,star5,喜欢分层洗的功能，洗碗机空间很大！完美的跟橱柜贴合，安装师傅上门也很快
b***y,star5,安装师傅按要求带了专用球阀来的。安装过程迅速安静。洗碗机功能多，声音也不大。
梅***店,star5,非常好用，不愧是品牌产品，送货很及时，没耽误使用，容量大  666，询问客服，态度还算满意，安全性好，使用后效果很不错强烈推荐，还可以物美价廉，物流快速，还提前联系沟通，又经济又实惠，连接使用也很方便，全新正品没有拆封，价格还实惠，客服也好，服务周到，很好 而且是有布质的 ，货到了谢谢真好，机身很薄外表很美，美观大方，外观色调，好看又大气，
1***2,star5,很结实，外观大气，第一感觉就是高科技，京东师傅送到家后直接当面开箱查验外，值得信赖的品牌，很安心，设计我也很中意，选了好几家才选的这个产品，包装很好有泡沫保护着，当礼物送人也是不错的选择，试看了二天感觉满意，健康抑菌，还有防电墙，发货送货安装都很及时，设计精良，细节加分，京东自营的速度没的说，功能齐全，很实用，价格也公道，功能齐全这款大小合适，
3***1,star5,给送货上门，送到家里，外观大气，用料十足，不用遥控都可以操作，高大上，物美价廉的一家，使用感很好，看了很多的产品，最后选了这一款，很棒，效果也很好，总体实惠，我很喜欢，还会再来买的很好，这个东西简直完美，完全一致非常满意，大气，非常漂亮，颜色好看，京东棒棒的，服务老顾客非常周到，以后还常来，产品作用很明显，确实很值这个价格，
风***a,star5,用着还行 看后续吧 冲着海尔的质量和服务来的，还有这个自动开门的技术
2***9,star5,优质的产品，配送人员很有礼貌，外观时尚，挑不出毛病，东西不错给个好评，家电静音，晚上睡觉很踏实，推荐各位朋友来看看，好好好好好好好，产品不错，值得拥有，好评点赞，推荐大家购买，运行稳定流畅不卡顿，外观美丽大方，很有档次，吸引我的是外观，特别大气，一定会介绍给小伙伴的，期待长时间的稳定，京东质量有保障，我很喜欢，下次还会光临，
3***1,star5,孩子睡觉在外面打扫不会吵醒，物流送货快，五星好评，很好的卖家?我会常来的，也比较节能，满意，预约速度快，马上就给安装，值得购买，外观也很好看，京东店速度很快，时尚大气，客服超级有耐心，特意过来评论一下，非常大，有客人时特别好用，外观非常的酷，机器外观金属色耐脏且漂亮，包装也很好，智能化家居非常方便，京东商品值得购买，加油，
2***3,star5,运送快，价格优惠，东西不错真实惠，非常的过瘾，比店里实惠多了，非常满意的一次网购，家里人都夸我会买东西，发货快运输速度也快，全新正品没有拆封的，收到了还不错，关注这家店铺很久了，东西不错，价格很优惠，操作简便，这个是真的棒，好棒，包装很好，工作时候静音，真不错，外观时尚大气，是值得信赖的老品牌，货已经收到了，送货很快质量很好，
-***-,star5,趁618活动买的，很划算，跟定制柜子完美嵌入，很大气美观！！！
不***j,star5,满意，发货很快，送到当天就按上了，试了一下，解放了双手，太棒了。
2***8,star5,很好很给力 我喜欢，幸好服务好，换了一个新的，物美价廉，东西特别好，物有所值，送货很快，感觉很好 高大上且实用，很好，值得购买，感谢品牌用心的为国人做产品，轻松满足一家三四口人，师傅安装好之后给调试了一下，落落大方非常不错，简单上手，物超所值，实物比照片还好看，大厂出品，质量保证，用了感觉不错实用性和颜值都非常的赞，体验很好，推荐，
3***8,star5,高科技感十足，功能强大使用简单，很显高档，安装师傅服务周到，产品功能齐全智能，以后还来，颜值很高，值得信赖的大品牌啊，一如既往的好，对比很多选了这款，避免某些人粗心大意，掌柜回复很快我都会认真回答我，客服是很专业的，分区功能性比较突出，物流快速，安装迅速，第一次在这个店里购买，不错的品牌，物流很快的，用着方便，
L***豪,star5,海尔洗碗机收到了的时候就安装了，用了好多次，终于不用洗碗了，机器洗的挺干净的，好评
2***5,star5,开机非常快，棒棒棒，挂念了好长时间准予入手了，帮妈妈买的，占地少，面板简洁，可以陪伴我很多年，安装赞赞赞，满意满意满意，非常好用，满意，非常满意，性价比高，物美价廉，做工精细 美观大方，有这么多人买，性价比很高，很棒，颜色很简约 做工精细，不愧为国际名牌，收到一段时间了，很有质感，赞赞赞赞赞赞赞赞赞，解答详细真的好，反应速度流畅很棒，
j***车,star5,不错不错不错不错不错，物美价廉，送货快，安装及时！不错不错不错不错不错，物美价廉，送货快，安装及时！不错不错不错不错不错，物美价廉，送货快，安装及时！
3***1,star5,很耐心解释不懂得地方，希望老板一直这么友好，外形美观，一次满意的购物体验，简单大方好看，我都推荐了真的很喜欢，收到手好惊艳哦，店家很大方，负责任，快快快咔咔咔咔咔咔咔咔咔，几乎听不到运转的声音，外形外观造型简洁大方，一直都在线上购物，低调又不失美观，货已收到给个好评，更加坚强勇敢，运输没问题，款式美观上档次，
思***木,star5,海尔这款洗碗机质感不错，颜色也挺好，唯一的缺点是体积有些大，跟之前橱柜设计安装时的预留尺寸（按自营主页数据）有出入，也就是说比橱柜出来了一些。其他还行，等入住后使用一段时间再追评。
j***不,star5,完美嵌入，海尔洗碗机性价比太高了，还没怎么使用，希望耐用。
6***9,star5,节能省电是一级能效，给妈妈买的，挺好用的，挺方便，非常喜欢、很满意、值得拥有，特别好看，性价比高，很满意的，颜色很亮，很舒服，好，机器非常符合我的要求，我妈说挺满意的，一级能效，方便，耐用希望一直保持品质，服务好，真的太赞了，重点是还便宜，很优惠，发货真的是非常迅速啊，整体外观很上档次，很好，值得购买，非常清晰直观，最后选了这款，
马***营,star5,清洁能力：没想到洗的这么干净，省不少时间，不用为洗碗发愁了。推荐一下
流***苏,star5,收货很快，今天师傅上门安装好了。外观很时尚，使用了一次，很好用，碗快洗得干净。
j***x,star5,精挑细选了很久，最后选中了国民爆款，很满意，哈
神***1,star5,宝贝收到了，包装很结实，是个好东西，很喜欢！
c***s,star5,师傅年纪大了 好在兢兢业业的工作 虽然手脚不是很麻利 但必须好评！
灵***鱼,star5,洗碗机声音不大，颜值在线，价格优惠，很满意。
j***w,star5,洗碗机挺好的，安装师傅也很细心，还没用，但是大品牌质量肯定没问题
t***e,star5,活动购买，很有性价比。物流，送货入户都很方便。安装也紧跟其上。装完就来评价，还未使用，搭配同期购买的海尔冰箱，颜值还是不错的。希望能稳定高效的为我家服务。
五***光,star5,使用简捷美观，简约风格，功能多，棒棒哒，十分轻快方便适用，太惊喜了漂亮还实用值得，太喜欢了，太赞了，有一种清纯的美感，大小适中，普通模式噪音不大，安装很到位，态度很好，包装很严实，没有任何瑕疵，价格亲民，非常好用，静音稳定，物流很贴心，配送上门，非常喜欢好看，宝贝儿收到了非常满意，给老家买的，京东超赞，
李***啊,star5,洗碗机外观挺好看，安装师傅也很专业，用起来也很方便简单
夏***荷,star5,装修进度非常缓慢，去年618买的，愣是今年618才要求送货，非常感谢物流让我仓储了这么久。有一说一，价格给力，东西也非常不错，物美价廉！还没安装，到时再追评
1***9,star5,特别喜欢这个，续航能力强，总体非常好，非常清晰直观，以后还来，也不错可以，爸爸妈妈很喜欢，看着很舒服，服务态度一流，给力！5星好评，服务五颗星，之后也打算给家里人买一台，很好很好，期盼了一下就送到家，细节品质、做工都非常好，可以粘掉一些印记，造型也不错，设计非常合理，着比较顺手，机器很不错，
我***9,star5,此用户未填写评价内容
j***7,star5,此用户未填写评价内容
何***y,star5,看中自动开门功能买的这款，还有三区动力，又省电还不会水汽重发霉什么的，我比较懒，这样就可以不用洗完拿出来，等到用的时候直接拿来用，哈哈哈，送来的时候包装也很完整
超***卜,star5,一直心心念的性价比超高的洗碗机终于在618时候入手了，真的超赞。做工扎实，外观也不错，海尔安装的师傅也很棒。现在还没有入住新房，等入住了会及时追评的。赞一个！
谢***e,star5,此用户未填写评价内容
j***8,star5,此用户未填写评价内容
h***l,star5,包装完好，还没安装。足够大的13套，买大不买小。家里一片海尔电器。习惯性好评，等安装好再补评。洗衣机，空调，按摩椅，洗碗机。
j***b,star5,总体来说还不错，味道也还可以，比麦德龙的强多了，馅也大，会再次购买的，就是包装太大了，冰箱小伤不起，希望后面更多优惠活动，再多囤点
3***9,star5,"嗯,收到!!宝贝真心不错,性价比很高, 经济实惠。快递的速度也是给力,收到之后打开看,各种东西放的非常齐全,包装完整,数量多分类搭配好。现在的京东就是这样,东西多的让你眼花缭乱的,还有说好也是有说不好的,怎么说的都有,真是傻傻分不清。但是一定要有自己的想法。买之前各种比较,本人选择控。想买的不要怕,该买就买。但是你家的货我会一直买下去的,给你五 星好评!!!包装的确不错,特别是外 观,觉得挺好看,挺有个性的!买了这么多次还是跟之前一样,质量真心不错,觉得新鲜,价格也真心实惠!五星好评 用完后还会光顾!!没毛病0.05438178091699375"
3***8,star5,大小合适，总体不错，跟描述的一致，性价比也很高，我都忘了哈哈哈哈，店家态度非常好，买了一个多月一直很好 开心，很少有这么大的，合适就买了，操作起来也很方便，值得推荐，昨天晚上刚收到货，一点瑕疵都没有，送货也很快隔天就到了，安装师傅非常好，专业，态度也好，我很喜欢它，相信大品牌的口碑，操作简单，满意，消费的最佳选择，给安装师傅点赞，时间相当准时的到达，外观很有质感，我们家里老人用的很舒心，
j***9,star5,产品设计时尚，物流迅速，安装服务好
s***7,star5,海尔大品牌 真的是经济实惠哦 很便宜 该有的功能也都有 13套的可以刷锅的 解放双手的神奇 开心 还送了亮碟的洗碗块 不错
b***5,star5,此用户未填写评价内容
3***8,star5,爬进爬出的安装，这个价格闭眼入就可以了，值得入手，好评，非常好的购物体验高颜值，总之很满意，是正品，京东买的非常划算，品质好，这是朋友推荐的品牌，收藏了很久很久才下单购买的，外观很靓非常喜欢，期待使用，非常方便，一直用 效果很不错，安全可靠，快递小哥服务态度很好?，以后经常会购买这家的，很棒！设计也很合理，是我想要的，是我要的类型，原来还担心够不够用，客服耐心解答后帮助我做了最正确的选择，
天***5,star5,第一次买的洗碗机有一点点问题，但是海尔售后人员真好，重点表扬一下福州这边的售后，很认真负责的帮我处理好了！机子不错，60cm深度橱柜刚刚好被柜门平，很好看。已经试机了，一切正常，还能手机控制，其他更多功能要慢慢学习
牗***漦,star5,洗碗机买了挺长时间的，但是一直没有用，现在也还是没有用，只是刚刚安装好了，海尔也算是大品牌了，所以当时挑了不少牌子。最后还是买了这个！
j***d,star5,尝鲜买了一个洗碗机。服务到位，快递到家，我说晚些安装，有客服联系我后续安排再安装，完好无损，效果如何，后期再追评
萌***操,star5,外形外观：还没拆，应该不错清洁能力：还没安装，相信可以售后服务：非常及时物流速度：十分迅速
j***l,star5,洗碗机安装好了 以后再也不用麻烦洗完了，懒人福音，就是还没搬家，还没开始使用，以后可以吃火锅用很多碗也不嫌麻烦了
2***1,star5,"嗯,收到!!宝贝真心不错,性价比很高, 经济实惠。快递的速度也是给力,收到之后打开看,各种东西放的非常齐全,包装完整,数量多分类搭配好。现在的京东就是这样,东西多的让你眼花缭乱的,还有说好也是有说不好的,怎么说的都有,真是傻傻分不清。但是一定要有自己的想法。买之前各种比较,本人选择控。想买的不要怕,该买就买。但是你家的货我会一直买下去的,给你五 星好评!!!包装的确不错,特别是外 观,觉得挺好看,挺有个性的!买了这么多次还是跟之前一样,质量真心不错,觉得新鲜,价格也真心实惠!五星好评 用完后还会光顾!!没毛病0.8816201986300773"
J***g,star5,不愧是大品牌质量就是有保证从细节做工到安装服各方面都做得非常到位，希望以后能给我一个很好的洗碗体验。
激***_,star5,商家发货很快，运输到无破损，商品看起来高端大气上档次，还没有装修完成所以没有使用，没办法说使用感受！安装小哥不负责，打个电话让我自己安装，虽然不难，但是服务确实不到位。质保一年也是硬伤，还需要自己买保险。5月份买的，618比购买时便宜*元左右
3***8,star5,京东自营就是快，第二天就到了。产品很漂亮，宽度正好，和洗衣机柜完美契合。洗衣机的功能很全，洗全家的各种衣物能行，功能齐全，推荐大家够买。
3***8,star5,外观漂亮，质量杠杠的，超级喜欢！大小合适，产品质量好，完美国货，收到后很惊喜的，非常喜欢的一款，值得入手，京东送货没得说，速度，易操作，老人很满意，大小合适，款式还是很不错的，外观也好看，跟我家的颜色也很搭配，外观大气，有质感，满意京东快递的速度，我用了好久了，都忘记评论了太好用了，老公直夸我有眼，物流是真快呀，没使用，比较干净，总之很满意，没有什么声音，很静音了，
3***8,star5,很合适不得不赞，质量真的好，颜值高，功能也很多，价廉物美干净利索，价格合理，卖家服务态度很好，没有异味实用性和颜值都非常的赞，质量比较有保障，售后也放心，售前售后服务都非常人性化，操作起来非常方便，前两年给父母换了一台，产品容量特别大，也很漂亮给人一种高大上的感觉，产品质量好结实耐用，给父母买的让我给评价，大品牌，价格实惠，睡觉也基本听不见什么噪音，
3***8,star5,"最后，表扬一下京东物流，疫情期间物流也很快震撼，下单后第二天就到货了，大气、高端，非常有质感，用了两天过来评价的，今天师傅来安装好了使用了很好用，还没开始用，已经迫不及待了，老人也能用，值得购买，自己也很喜欢，给安装师傅点个赞,师傅人很好，运行安静，分为三档，可以使你更快更方便，物流很快 第二天一早就到了，送到后马上开机验货，放心省心，值得购买，"
3***5,star5,整体很棒 用起来舒服，样式还挺好看的，包装结实，放在卧室正好，赶上活动物美价廉，外观设计太赞，而且不占地方，速度非常快，值得拥有，功能齐全，质量扛扛的，操作简单，挺好，挺满意，赶上活动大促，容量大  666，很美，家人都说买的好，配送速度很快，很不错，质量感人，价格还那么实惠，品牌第一，服务第一，商品收到了，外观精美，客户很耐心，
3***8,star5,真不错，外观时尚大气，寻找每一份的真情，狠狠的爱住了，安装很简单，我们是自己安装的，运行速度相当快，感谢商家耶，非常满意 家里人都夸好，安装很简单，自己也能完成，空间很大，送货师傅人非常好，帮忙挪家具，才开始用，这段时间还是不错，家里人超喜欢，谢谢啦，已经是第二次购买了，最具性价比的选择，颜值高，质量都特好，目前使用非常满意，主动收藏了，下次再来，
m***3,star5,非常满意的一次购物，解放双手，碗筷餐具，锅，锅盖，都洗的很干净。懒人必备，80℃高温消毒，智能开门。相当满意，海尔服务非常好。点赞！！！！55555非常满意的一次购物体验。
蜗***刀,star5,还没用，看起来很好，家里没装修完安装小哥哥还帮忙保护起来了，感谢。
z***e,star5,关注了很久，终于赶在618期间大促买了这台经典版的海尔洗碗机，嗯，今天安装了之后效果非常的棒，非常的哇塞嗯，安装人员的服务也非常的到位，常的满意嗯，暂时还没有开机，由于水管没接好的原因，等接好水管试一试再来追评
v***L,star5,洗碗机装上了，简单试了一下，非常棒，安装师傅和客服小姐姐都很耐心，好评
你***啥,star5,618买的，挑了很久呢，看中海尔彩色面板，自动开门节省用电。用完写感受哈。
苏***警,star5,已经安装了一个月了，但是由于房屋装修进度问题还没有通水电使用。安装的是嵌入式的，吧顶盖揭掉推进去的。尺寸标准，内部容量很大。带有网篮平时可以做碗收纳使用。信赖海尔大品牌，具体使用情况待回评。
u***o,star5,看起来还不错，比较大气，空间大，感觉挺好的，可以洗好多东西，挺好的。
j***8,star5,商品收到了，包装好，物流速度快，售后服务态度好，客服沟通愉快，问题解决及时。
A***f,star5,用原来消毒柜的位置完美替换成洗碗机，空间蛮大，但是内部碗架结构设置一般，放置不了太多碗筷，一般日常倒是够了。如果位置放好了，洗的还挺干净，如果放平了或者完全倒扣会有水分蒸不干，整体性价比还可以。
月***爱,star5,按照尺寸图留的位置  把顶盖去掉空间刚刚好  很合适  黑色的面板很大气  跟整个厨房很搭  就是插座位置有点远 后期需要调整一下  安装师傅给示范了怎么用 期待以后入住使用效果吧
Z***3,star5,洗碗机安装很细心，师傅装完还讲解怎么用，洗碗机也很满意
3***8,star5,真不错啊 好品牌，收到的产品外包装完整，买回来绝对不会失望的那种，京东就是快，款式无可挑剔 简单大方， 外观大方漂亮，做工精细，与实图相符，终于收到啦，安装很好，点赞，服务不错，用了很长时间了，喜欢了，谢谢，高端大气，真是一分钱一分货，不过这个真的是我最好喜欢，过上了品质生活，外观设计太赞，卖家发货很快物流也非常给力 ，
东***客,star5,非常好 信任国货 客服态度好，物流也很好，安装小哥态度也很好，会继续支持
j***f,star5,物流快，洗碗机很不错，用起来方便省心，洗的很干净
j***b,star5,产品很好，非常满意的一次购物，优惠也很大，很满意，
天***兄,star5,第一次装洗碗机，以后回来追评，非常好非常满意
j***5,star5,洗碗机安装完毕，还没用感觉不错使用后再追评
j***v,star5,挺好的，烘干效果挺好的，直接入嵌进去不占空间，洗碗机就是必须品，家里常用的家用电器.
3***8,star5,比较好操作，有档次，专业，老板加鸡腿，外观显得很大气，给予强烈支持，小哥服务很好，非常好用，给爸妈买的，师傅很好，很热心肠，懒人的福音，很方便，感谢安装工感谢，京东配送给力推荐京东购买，家里人都夸赞买的值，功能强大，物流超快，外观很喜欢，和橱柜很搭，一直关注这款产品，非常好，嘿嘿不错哦，太喜欢了，
欣***扬,star5,洗碗机对我来说是个新生物种，看了好多最终定了这款，13套大容量可以分区洗带开门烘干，洗碗程序也比较多，再也不用担心晚饭后洗碗的问题。赶在618下单超值划算，装修原因还没安装。
张***8,star5,质量非常好，非常喜欢，颜值高，推荐购买
闫***4,star5,师傅人不错 ，洗碗机收到还没有安装！
f***e,star5,海尔晶彩洗碗机，居家必备好物，海尔多年家电品牌的质量保障，配合全新升级的硬件和软件加持，在洗净的同时，除菌杀菌效果更明显，能够大大解放双手的同时让居家更智能便捷
W***7,star5,洗碗机收到了，质量很好，外观也很漂亮，很实用 很满意
梦***m,star5,快递送的很快，东西也很好，安装师傅安装的也很棒
1***3,star5,网购了这么多年，这是我第一次这么认真的对待。我怀着忐忑的心情拿着手机盯着屏幕，迟迟不敢下手。我怕我一旦说出来，老板会觉得我在拍马屁，是不是想为了那*块钱的红包，又怕我的评价会误导后来的网友。为了写这次评价，我鼓起勇气喝了3瓶啤酒才有信心。记得第一次喝酒还是对初恋表白的那天，今天又是同样的心情，拼了，为了不辜负老板对我的期望，我一定会客观，公正，如实的写下自己的评价：这是我这开心的一次网购，谢谢!!!0.7353991793766217
