https://item.jd.com/3509912.html,"['京鲜生百香果', '3509912', '0.98kg', '广西', '中果（70g起）', '紫色百香果', '国产']"
j***g,star5,经常在京东商城购买各种产品，质量保证，物流管理系统到位，客服服务态度很好。这次购买的百香果多次复购了，非常不错基本没有坏的，有个别几个运输压扁了，总体满意！
冲***鬼,star5,物美价廉，性价比很高，宝贝收到了，颜色很好看，质感也很好，样子简单！是我想要的！！下次还会再来！是正品，而且价格不贵，用着也很好，一直买，很好。
j***s,star5,比水果店买的好，酸酸甜甜的，开胃，小孩也喜欢吃。夏天搞点饮品，，益力多＋雪碧+百香果，放冰箱冷藏安逸得很。想想都流口水?
来***字,star3,一般
萱***6,star5,百香果收到了，产品很好，没有坏果，味道酸甜可口，香味十足，用来泡水，口感不错，夏天就喜欢用这种泡水喝，酸酸甜甜的补充维生素c，下次再来
j***s,star5,京东生鲜的水果，质量是信得过的。尤其是他们的快递服务，那更是一流，准时、迅速。这次我买得是百香果，果实饱满，香气沁人，满意。
t***7,star5,在京东上选购时鲜水果很方便，隔天能到，这次选的京鲜生广西百香果 精选大果12个装 单果70-100g 生鲜水果，个大味甜，夏天解暑很合适。
j***j,star5,宝贝收到了，新鲜果肉多汁，酸甜可口，冲蜂蜜百香果汁太美了，解渴降暑，天然果香让人回味无穷。真心推荐！
j***d,star5,夏季到了，怎么可以少了自己饮料呢，百香果和商家描述一致，品质不错，有的白放两天就红了，用冰的水加上蜂蜜薄荷叶味道美极了，每天一杯清凉美味VC补
肥***_,star5,买了些柠檬，小青桔，还有百香果，给娃在家做百香果柠檬冻，无添加，喝的放心。百香果很香，没有坏的果子，酸酸的加上蜂蜜很好喝。
q***t,star5,夏天来临了 百香果的酸甜口感最适合自制冰的饮料 喝了健康并且非常解薯 搭配一点气泡水 就更加有夏天的感觉了 孩子特别喜欢喝
P***6,star5,这个百香果是六七月份的，这一批的就是刚刚生产出来的百香果，味道非常的浓郁，我们家小孩也非常的爱吃，买回来一两两个泡一杯，两个泡一杯。一天已经跑了十几个了，我们俩都抢着吃，买了三箱，一天已经干了一箱半，不错。
考***6,star5,性价比非常高，京东百亿补贴价格真的无敌，希望能更加多做活动，应该属于正品二维码清晰可见，口感地道，家庭聚餐首选爆品。。。。
j***q,star5,很新鲜的百香果，酸酸甜甜，实在太喜欢了。马上用了两个冲水喝。太赞了，?分量足，还会回购的。完美的一次购物。真是开心。??
j***1,star5,不错不错，很有水分，新鲜而且酸酸的。加蜂蜜和水冰冻以后，夏天喝很解渴。会继续回购，配送速度也很快，今天拍第二天就到了。
j***P,star5,到货了，质量有保证，味道很不错，老人和孩子都非常喜欢的味道。送货的速度也非常快，快递员师傅辛苦了！谢谢！一次非常满意的购物。
j***m,star5,包装完好果肉饱满水分足甜度很高酸酸甜甜的斤两挺足的都还很新鲜然后还能和冰糖蜂蜜煮水喝也可以把百香果做成果干直接泡水果肉饱满增强免疫力做百香果蜂蜜茶倍儿棒比我在超市买的好多了特大果是真的很大每一个里面果汁都很充足。
家***茵,star5,买回来，然后就让我全部做成，全部冰冻起来了，这样可以喝很久，我还放了，柠檬柠檬柠檬，口味还是可以的，希望可以喝很久很久，挺好的
二***-,star5,收到货，第一时间拆包装，质量非第好，与卖家描述一致，元全超出我的期望值，包装很仔細、严实，总的来说这次是很满意的一次购物，感谢还有呢？好评模板100字好评模板一这个价格仍然很划算。经济、便宜、质星非常好，与卖方描述的完全一样。非常满意，充全出乎意料，超划算，划算，购物比实体店便宜多了。
y***i,star5,京鲜生 的 广西百香果 精品中果6颗装 单果足足有60-80克一个 不要太大，包装的日期是几天前，很新鲜，物流也不错，京东快递，包装很好?
萱***6,star5,百香果很好吃，质量很好，很香甜，没有坏果，果也挺大的，用来泡水很好喝，补充维生素c，满足日常所需，价格也不贵，吃完了还会再来买
欧***无,star5,百香果很大个，不算太新鲜，但是没有烂果，12个的大小都很均匀，夏天了，泡点百香果水喝，补充维生素，口味酸甜，非常喜欢，好喝。
j***8,star5,一直购买这下品牌的产品品质有保障，值得信赖，很好经佛使用，很不错，很给力发传速度快，物流人员养质高不错不错，真的很不错
j***l,star5,不错，非常喜欢，做成了百香果蜜，太好喝了，孩子爱吃，信任京东自营购物平台，一条龙服务真的非常方便、省心、省力，质量保证，物流快小哥亲情服务。谢谢！
z***1,star5,第三次购买了，之前买了都不错，个头大，水分足，拌在酸奶里吃着更好，特别有营养，富含膳食纤维。物流速度特别快，第二天就收到了。
秋***0,star5,买了两箱，太好吃了，刚收到的时候是是青的，放几天就变黄了，这个是在冰箱放了一个月了，吃起来特别甜，我一次可以吃几个，孩子也爱吃
j***u,star5,果真的挺大的，里面多汁多肉，一颗果就能掏出半小碗，味道酸酸甜甜，甜度比不上黄金果，但在紫果里面也算不错的，加糖就非常好吃了。补维生素C，吃百香果是不错的选择！
t***4,star5,此款百香果个头大，分量足，口感非常好，果子很新鲜，跟柠檬一起制作成百香果柠檬茶，非常适合夏天喝，物流快，派送服务好，值得购买。
不***猫,star5,果子特别新鲜，一到家就用蜂蜜做了满满的两大罐，放冰箱冷藏后当早餐果汁，可以和各种果汁混合，夏天还可以做成冰球加到气泡水里，味道超棒！
j***n,star5,百香果是一个很有营养的水果，维生素含量很多家里面的小朋友大人都很喜欢吃，这次遇到莘县活动的时候呢，就多买鞋放在家里补充维生素口感很好，这个百香果的品质还是不错的，非常满意。
j***s,star5,快递还得是京东，上午订，傍晚就到了。家中的日用百货及生话用品，基本上都是京东上订的。这次的百香果，和上次的差不多，的确很好。
a***哈,star5,物流很快，包装很完整，下单的第二天上午就收到了，个头都非常的大了，非常的新鲜，果汁也非常的饱满，不是特别的酸，泡水喝都非常的舒服
g***5,star5,我家孩子特别喜欢加冰糖泡开水喝，每天喝一大壶，味道很好，特别新鲜，这是第二次购买，在京东购买也比较实惠，等着吃完还会购买。
u***d,star5,第一次在京东买水果，很惊喜。个头都很大，外表看着不怎么样，还有点坏的样子，实际打开个个肉多饱满，品质很好，用来泡水，做果茶再好不过了
琬***琬,star5,已经泡起了！很大，里面果汁果肉比较多，都是熟果，没有坏的！物流很快，包装完好！泡了冰糖闻起来很香，泡水也很好喝，夏天必备！
馨***君,star5,百香果用来做气泡水真的很不错，酸甜可口，每一个切开都果肉饱满，而且很新鲜。我特地放了几天，百香果的皮皱了之后再吃会更甜！
w***0,star5,买了12个.有一个是空的，其他不错，买来做夏季饮料不错，酸酸甜甜的，夏天喝起来很好，还能补充维生素，孩子大人喝起来都健康
咕***咪,star5,一箱12个，大小差别不算很大，有开始皱巴的可以吃了，也有光滑的可以再放放。切开后清新酸甜的香味很诱人，果实很新鲜。京东物流很让人放心，第二天上午就送到了。
木****,star5,这水果确实新鲜，快递到家拆开包装看着还是很嫩，分量很足，吃上去很甜，不负众望，下次还会购买，希望以后也是一如既往的这么新鲜。
b***灰,star5,水果收到啦!实物与图片一致好评!水果非常新鲜!已经多次购买产品质量保证!价格实惠时必须买入!口感非常不错，甜度高水份充足!新鲜!
k***h,star5,这款百香果非常好吃，百香果个头大，果肉新鲜爽滑，酸甜可口，适合直接吃，也可以挖出来泡水喝。京东生鲜搞活动购买，价格给力，送货快售后服务好，非常满意！
N***吴,star5,买了一份试一下，百香果质量还可以，大小还行，每个都挺重手的。果汁比较多。味道很香果肉色泽也很好，是新鲜的。斋吃很酸味道正。
s***1,star5,还不错，反复回购的百香果的，习惯每天早上空腹喝蜂蜜百香果水了，每天补充维生素矿物质，很好喝，很新鲜，不错，还会继续回购的。
R***麻,star5,已经放了几天了 才想起来评价 看着外表不怎么好看 实际上还是很甜的。京东买的水果 方便又快捷 品质也有保证。还有继续买的
j***e,star5,到货很快，下单第二天上午就收到了。外包装完好没有破损，送来的水果看起来不错。没有时间出去买水果的话，在京东自营店买也是个不错的选择
同***购,star5,孩子喜欢百香果做水果饮料，每次超市水果店买都很贵，试买京鲜生的，没想到很惊喜，物美价廉，果子很大、新鲜，口感很好，宝贝非常喜欢
二***作,star5,百香果，确实比过去买的大，很新鲜。口感顺滑，仔吃的特脆。矿泉水加蜂蜜搅拌，孩子吃的很开心。没有用冰快，如果再冰下的话口感更棒。
就***生,star5,一直买京东他们家的的水果，这个百香果的口碑很好，发货速度也很快，昨天下单，今天晚上就到了，外观颜值很不错，水果很甜，非常好吃的，不错不错
j***9,star5,12个果子 来的时候看上去很漂亮 放了一段时间等变甜 有一个到现在还是很新鲜 另外一个是坏果 但是熟了以后吃口蛮好的 用来泡柠檬蜂蜜水特别爽口
j***K,star5,第一次买，比超市便宜好多啊！不过现在再想买，比上一次贵了快一半了。再等等618吧。做个百香果蜂蜜水，孩子很喜欢喝。直接吃是太酸了。哈哈
贾***云,star5,这个白香果送来的时候包装很好，百香果个头很大，这是放了两天的，刚到的时候还是很新鲜的，京东自营的水果购买时还是比较放心的。
j***s,star5,京东鲜果就是好，快递也是真的快，很大的一箱，每个果实饱满。每一次买东西，总是先上东京看看，其实是对京东的信任，多年的网购，己经养成习惯。
-***-,star5,非常满意，主要是赶上了优惠，优惠后感觉物有所值了。一直想买，是因为非常非常喜欢吃百香果，，但在我心中颜值简直是碾压其他，也挺好吃的，好评走起。
M***鸣,star5,水果很新鲜，肉很饱满啊，非常好，京东自营的水果棒棒的，不错不错，一下子买了几种，都是很新鲜的呢，棒棒棒???，很ok，下次还买
