https://item.jd.com/100002445994.html,"['京鲜生玫珑网纹蜜瓜', '100002445994', '5.0kg', '山东', '哈密瓜', '蜜瓜', '冷藏', '国产']"
j***3,star5,哈密瓜收到了，这个季节正好吃。京东物流超级给力，从买下到发货再到我收到货，三天时间就搞定了了。哈密瓜包装的特别严实，完全没有坏的痕迹，真的很严谨了。瓜瓜吃起来很甜，味道很好。我们全家都很喜欢吃。推荐大家购买。
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜，有问题处理很及时，这个瓜多次购买的，味道不错的，
贺***8,star5,?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?宝贝收到了，包装很结实，应该是个好东西，先给好评了特别特别特别好，没有任何破损的地方，外观也好看，好评！
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜，有问题处理很及时的，这个瓜多次购买的，味道不错。
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜水果，有问题处理很及时，这个瓜多次购买，总体来说不错的
F***2,star5,?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买价格实惠，质量杠杠的，非常好的一次购物，下次还来.价格合适，质量也很好！
l***t,star5,"质量非常好,与卖家描述的完全一致 真的很喜欢 完全超出期望值发货速 虔非常快 包装非常仔細．严实京东物流公司服务态度很好,运送速度很快 很满意的一次购物质量很好，希望更多的朋交信赖京东 客服态康特好，我会再次光顾的，发货进速，态康很好，很满意」很好很好！下次有机会再找你， 套服人蛋好的，东东很不错淘到心意的全贝是一件让人很开心的事，比心。"
挚***德,star5,真的是脆嫩细滑 不愧是有名的西州蜜?? 日照时间长 昼夜温差大的优势 成就了西州蜜瓜的特有口感与香甜? 加上京东配送全程保障 到手就是妥妥的甜蜜?
E***g,star4,这个哈密瓜非常甜，口感不错，下次还会来买的，京东自营店买东西送货速度就是快。这个哈密瓜非常甜，口感不错，下次还会来买的，京东自营店买东西送货速度就是快。这个哈密瓜非常甜，口感不错，下次还会来买的，京东自营店买东西送货速度就是快。
灿***r,star5,收到货比我想象中的还要好，自营家的商品不用担心暴力快递，皮薄肉厚汁水多十分给力，不错不错，满意满意。个头大，分量足，品相很不错，冰镇后甜味十足，水分多，虽然比其他家的稍微贵一点，但东西的品质还是有保障的。就是看了下，优惠必须买多才可以，希望以后单个也能有优惠就更棒了。
j***1,star5,瓜肉挺清甜，可口好吃。自营品买着踏实，送货亦快。包装好，一个纸箱俩瓜，看着就不错。放了几天才开，汁液水份挺足。天热又到食瓜季
兰***8,star5,趁着生鲜活动，买了两款哈密瓜，这款哈密瓜皮是黄色的，没吃过，买来尝尝，下午到货就切开吃了，皮很薄，比较甜，挺好吃的。孩子也喜欢吃。
萧***8,star5,香甜多汁，软绵细腻，皮溥肉厚。个头较小一个人都可以吃完一个瓜。口感不够脆，喜欢吃脆的口感就有不足了。总体上还是可以的，小孩喜欢吃
o***9,star5,这个瓜挺好吃，长途运输过来并没有损伤。果肉金黄，口感还比较脆，也很甜。个头不大不小，打开后一家人当餐后水果一次吃完不剩。
a***n,star5,蜜瓜比想象中的小，收到货当天立马开了一个，味道清甜，口感细腻，过几天后又开了一个，发现瓜肉更甜口感更糯，放冰箱口感更佳。
j***g,star5,家里人想吃点哈密瓜所有就在网上给他们买了几个，，，，据他们吃完自之后评价，，，，味道还行，，，好像甜味不是很够，，，，。
喂***的,star5,京鲜生的水果质量蛮好的，近日下单的这款西州哈密瓜，又脆又甜，汁水充盈，十分新鲜。一盒两个装， 单果份量足。京东物流服务到位，送货及时，点赞啦。
喂***的,star5,京鲜生的水果质量蛮好的，近日连续下单购买这款西州哈密瓜，又脆又甜，汁水充盈，十分新鲜。一盒两个装， 单果份量足。京东物流服务到位，送货及时，点赞啦。
进***停,star5,已经第二次回购了，总体还是可以的，口感比较脆，不是很熟，而且甜度也还可以，瓜的纹路比较细腻，质量和性价比还是不错的，还会购买
鲲***旺,star5,第一次在京东上买水果吃，还不错，大小不一致，不过味道还行，在箱子里装的，还有泡沫网保护，没有磕碰划痕。味道很好，不是很大，中等大小吧。
j***i,star5,哈密瓜收到的时候是比较新鲜的，大小合适，吃的时候还是比较松脆，京东保鲜效果比较的好，值得点赞，希望多做活动，这样会买的更多啦！
x***1,star5,买阳光玫瑰葡萄送的，西州蜜瓜哈密瓜，还没开吃，赠品的品种还真不少，还蛮实在的，若价格再便宜一些，性价比将会更高
j***3,star5,京东自营的西瓜好吃这次试试其它甜瓜品种，也还不错比较好吃，这次买了哈密丶网纹、大个小个的西瓜共8个。京东自营生鲜的售后服务也很好。
及***赤,star5,看着挺新鲜的。京东自营的水果质量还是挺值得信赖的。之前买的榴莲和荔枝都不错。哈密瓜看着也不错。希望好吃。品尝后再追评一下。
u***h,star5,京东水果自营区购买的水果还是挺不错的啊，每次都会买个几个啊，一收到哈密瓜开的花哈密瓜还不是很甜感觉，一定要多放几天才感觉哈密瓜甜度涨了，哈密瓜还是香脆可口的，挺值得购买的！
u***o,star5,这个黄皮的哈密瓜第一次买，感觉比绿皮的更甜更好吃，推荐购买这个，个头不算太大，跟手掌差不多，冷藏运输，收到时还是冰凉的，相对也新鲜。
j***f,star5,好吃，挺好吃的，口感软糯，放冰箱里冰了下，水份充足，清凉可口。大夏天吃了冰蜜瓜，降温解暑，又健康，挺好。这个瓜的热量也不高。
h***0,star5,京东生鲜，送货上门，还保持冷藏的状态，保持了食材的原有的新鲜度和口感，这款哈密瓜的口感不错，又脆又甜。另外一款冰激凌瓜，有点贵，虽然脆，口感不甜，不好吃。
z***o,star5,之前有买过一次，感觉味道还可以吧，这次买了四个，看起来还不错。之前有买过一次，感觉味道还可以吧，这次买了四个，看起来还不错。
家***咪,star5,收到收到，已经吃上了，味道还不错，香甜可口，就是瓜皮厚了点，发货速度奇快无比，昨天晚上下的单，今天中午就到货了，京东速度就是快。
文***崽,star4,买给长辈的水果，拿到的时候发现有一个哈密瓜上面有一个洞，不能吃了，商家态度挺好的，有合理的补偿损失，又回购了一次，第二次要比第一次好一些
h***1,star4,一箱2个哈密瓜，外包装完好，保护到位，切开品尝，很脆，水分足，但甜度不够，淡淡的，可能还未完全成熟吧。物流很快，小哥态度好。
u***h,star5,京东的水果自营的水果还是挺好的，这次的蜜瓜有点小啊，但是蜜瓜味道还是可以的啊，拿回来就吃，蜜瓜毕竟硬，味道不是很甜，放几天再吃蜜瓜非常甜，很好吃啊！！
P***7,star5,这款新疆的蜜瓜买了有好几年了，自营店的品质一直稳定可靠，瓜甜度好，脆，吃着很开胃爽口。快递包装放心，配送快捷，继续买买买。
l***_,star5,瓜还可以，味道还不错，价格再好点就更完美了，不过还是推荐给大家，嘿嘿嘿。瓜还可以，味道还不错，价格再好点就更完美了，不过还是推荐给大家，嘿嘿嘿
黑***铁,star5,前后买了2次蜜瓜，发来的都蛮新鲜的。口感是脆脆的，不是那种沙瓤，微甜适合低糖一组，每箱都有2个，一次吃一只刚刚好，价格优惠可以继续购买。
j***i,star5,西周哈密瓜，脆嫩细滑，味甜如蜜，果肉细腻，色泽诱人！甜脆水润，清爽可口！脆甜多汁，浓香爽口！果园现摘！推荐指数:??????????+??
f***6,star5,玲珑蜜瓜具有生津止咳、美容养颜的功效。玫珑蜜瓜是一种营养成分较高的新鲜水果，含有丰富的营养元素及甲基纤维素。吃后能够增强胃肠道蠕动，并且玫珑蜜瓜还能清热祛火，适合在夏季食用。
z***a,star5,这个蜜瓜很新鲜，别看个头不大，味道真的甜如蜜，脆甜脆甜的，水份充足，今年吃过的最好吃的蜜瓜，虽然个头不大相对价格偏高，但味道绝对赞的
t***2,star5,看得很新鲜，瓜地都是绿色的，特别新鲜两个乖很大，一个，只有十几块钱也不贵，关键是不是特别甜，这个放了两天看能不能好一点清脆的挺好吃的就是不太甜。
物***告,star5,玫珑蜜瓜是除了新疆哈密瓜以外最好吃的了，瓜中冰激凌，软嫩香甜，瓜个头比较小，估计一次要整两个，整体上来讲是性价比很高的。
祺***2,star5,不错不错就是皮有点厚。感觉挺甜的，肉很黄，水分也挺多的。送货到家，没有坏。还是很新鲜的感觉，比去店里买方便多了哦。。。。
m***1,star5,不是很甜 外观看上去很好 水份也挺足 但就是不够甜 新鲜挺新鲜的 同样是新疆哈密瓜 同事买的就很甜 水果还是要看缘分吧 哈哈哈
A***a,star5,京东的水果还是如常的新鲜，一样子买了好多各种各样，羊角蜜瓜，都有香味，甜，黄哈密瓜个大皮黄，裂纹多，榴莲都已经有香味了，应该挺好的…
1***l,star5,活动期间购买，一次购买了两箱。价格的话和水果店的话相差不是太大，但是品质好。瓜大小合适，一次一个，吃起来也快的，挺甜的。有需要的话购买还是不错的。
c***1,star5,当天下单，当天就能收到，每次都是来京东买的，这个品种和价格比超市内划算，主要是京东买比较方便，吃完以后还会继续买，推荐一下
j***9,star5,京鲜生的哈密瓜收到了，汁水多，口感不错，份量足。家人都爱吃这个瓜。一起买了几种水果，京东的都不错。京东物流速度快，满意。
j***r,star5,瓜啊，吃的差不多哦，还不错，?送的是真快，最佩服京东的快递服务，这速度没有啥app能好使，东西价格再稳定些可能更好，总算优惠头疼
j***j,star4,包装是很漂亮，非常不错。打开有两个圆嘟嘟的打网纹瓜，很漂亮用黄色的泡沫网包着，可是发现有一个底软的，切开是软烂了有一个。
y***願,star5,东西总体来说还是不错的，但是就是没有更多的选择可以选，要是有更多选择规格的话，那就更好了。但总的来说东西还是可以说是不错的了。
你***烫,star5,哈密瓜品质还行看着是不错的样子味道适中水分充足配送及时隔天到达包装也还不错值得购买值得购买！推荐购买推荐给有需要的人
