https://item.jd.com/4459693.html,"['京鲜生海南小青柠', '4459693', '0.54kg', '海南', '小果（60g起）', '青柠檬', '海南', '冷藏', '国产']"
l***0,star5,先说商品质量：产品总体不错，包装严实。真的超级喜欢，质量好，与卖家描达的完全一致，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，得满意的一次购物。希望店家多多优惠，及时通知老客户，促成回购。
j***e,star5,非常棒的柠檬，味道很香，买了自己在家做手打柠檬茶，味道跟外面一样，一样的，特别好喝，夏天在家自己做冷饮，干净又实惠，物流很快没有破损，还会持续购买的！
u***k,star5,配送很及时，果子很新鲜，非常不错，自制果茶美味又营养！
N***l,star5,包装完整，货运速度快，收到的香水青柠一斤装4个，今天吃饺子的时候用了一点放在调料里，味道真的很不错，青柠的妙用方法真不少，只要你敢想??
J***飞,star5,不错不错。很新鲜。买来做金桔柠檬茶喝。
猪***3,star5,很奇特的一种柠檬，不是太酸，清香型，口感不错，视觉也棒
j***k,star5,还不错，独立包装，很赞
乖***m,star5,这款小青柠青桔收到时很新鲜，出产日期是最近的，京东物流冷链保温送货快，果汁维c丰富，用它做蜜汁沏水煮茶补充维生素都是一级棒
开***j,star5,果很新鲜，冰袋还是凉的！
冷***吔,star5,很不错，切了冻干效果更好！值得推荐
u***j,star5,柠檬百香果都特别的好 小青柠每一个也都特别的好 夏天来了 大家一起吃起来 营养又美容
N***l,star5,货远快，收到的小青柠很新鲜，放置0至-4保鲜，吃的时候用盐水浸泡清洗，小青柠可以泡水喝，加点小冰糖；也可以做小调料，凉拌黄瓜的时候加点，爽口?
独***后,star5,觉得青檬比黄檬适合做菜，这单个的重量，也没有浪费，挺好的，单独包装，利于冷藏，明天要做鳗鱼，正好派上用场了，京东发货非常及时，快递小哥非常给力，赞?，柠檬手感水分很足，，估计还会回购的，???
j***8,star3,质量很好，已经在他急买了好几次水果啦
K***1,star5,东西很新鲜，冰冻起来，夏季饮品之一…满满的清香，酸甜味道，一天一杯。信赖京东，信赖京东自营。速度也很快，第二天就收到了，快递小哥亲手送到手中
南***皮,star5,物流很快，物品完好无损，用起来很舒服，喜欢?从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购
p***e,star5,四川安岳黄柠檬2颗 一级巨无霸 单果约180-230g 莫吉托 新鲜水果四川安岳黄柠檬16颗 一级大果 单果约100g-120g 莫吉托 新鲜水果海南大青柠 8粒装 单果约70-100g 青柠檬 莫吉托 新鲜水果。比较喜欢柠檬，所以，一下子买了好多。可以泡柠檬茶，也可以做料理的时候放一点柠檬。价格也不贵。总之非常满意！
大***笑,star5,又一次很愉快的购物，宝贝已经收到，非常非常喜欢，质量很好，很满意，产品货真价实，童叟无欺，客服非常有耐心，有问必答，物流也超级给力 ，速度快。我喜欢这个品牌，信赖来源于优良的品质与服务，个人感觉良好，非常喜欢，谢谢店家！下次一定再来。又一次很愉快的购物，宝贝已经收到，非常非常喜欢，质量很好，很满意，产品货真价实，童叟无欺，客服非常有耐心，有问必答，物流也超级给力 ，速度快。我喜欢这个品牌，信赖来源于优良的品质与服务，个人感觉良好，非常喜欢，谢谢店家！下次一定再来。
中***免,star5,在京东商城购买这个海南青柠青色大柠檬。以前买的是黄柠檬，这块儿买的是青柠檬。青柠檬做柠檬饮料更好。所以买了八个，而且价格不贵。京东超市生鲜商品。有优惠搞活动，柠檬的质量非常好。推荐大家购买京东生鲜的青柠檬。
酸***子,star5,一大盒 分量足 做的青柠冷饮 用冰糖一起熬制的 青柠很咸鲜 酸爽有度 还有回甘 果子味道很正比较满意 送来的时候还是冰凉的保鲜温度 推荐购买
什***7,star5,物超所值，话不多说，这四个字已经说明了一切  物流速度也很合适  一直相信京东自营的东西  非常不错  值得推荐  喝喝水什么的  蛮好
花***嘟,star5,嗯柠檬呐真的非常好，这柠檬那搭配这个屋门你们搞真的非常好，既有柠檬的香气也有甜味，非常好的一款成品柠檬品质非常高，推荐大家购买吧，喜欢
晓***节,star5,非常好，很新鲜，很香，买了三次了，泡水或者做柠檬茶都很赞，夏天这个做冰红茶简直完美。或者加冰块和加在起泡苏打水里也很棒。
A***糖,star5,买了好几种，做柠檬?百香果，酸酸甜甜的非常适合夏天喝。按照铁铁的介绍，晚上百香果加纯柠檬汁，不加水和蜂蜜，一口闷。又白又瘦，那个味道真的很难忘。哈哈。别说没分享给姐妹们啊。
j***x,star5,青柠非常好吃，值得回购
小***3,star5,昨天找了好多超市都没青柠檬，还跑了好几公里地呢，最后还是网络下单了，还好上午就到了，青柠檬做饮料太好了，特别适合，那个味道别的水果都替代不了的。
天***萱,star5,还是第一次用青柠以前一直都是黄色的那个大柠檬。用来做蘸料喝水都是很不错的。之前一直都是放醋的，现在发现放青柠更好次。没有醋的味道那么重。青柠泡水又可以去嘴巴的异味。好用。拿来腌鸡胸肉。做香煎柠檬鸡胸都好好次。腌出来来的鸡胸肉还有汁、美味～
Q***i,star5,品质很不错的青柠，皮质光滑细腻，个头均匀，里面的籽很少，味道清香，泡红茶很好喝。到了夏天，每晚睡前可以做一壶冷泡果茶放冰箱里，消暑又减肥
f***i,star5,收到了非常好吃，柠檬味儿很好很棒，虽然个头小，但是一次泡一个，味道很赞哦
大***生,star5,首先来讲，物流很快，配送员很靠谱！！小青柠檬?的包装很好，打开一看，满满一盒。好可爱的说，哈哈。。水果水分充足，营养价值较高。含维生素，具极高的医药价值。用来搭配柠檬泡水喝，放点蜂蜜，味道特别好！！！
昵***开,star5,很鲜，不过买的太多了，泡水喝非常好而且美容养颜的，很喜欢，用凉水好喝
j***f,star5,收到了，很喜欢，也很优惠，冲水很好喝
a***4,star5,很好，很不错。京东的发货快，质量好。基本上都是隔天到，真的很不错。赶上活动买价格很实惠。基本上现在都是在京东购买了了。真心快。而且有活动就可以多屯点。真的很棒。希望京东越来越好。
小***甜,star5,这个青柠，好小，好卡哇伊，太喜欢这个了，以后还会购买的，这个是配科罗娜啤酒一起购买的，以后还会购买的！
j***8,star5,小青桔非常好新鲜，京东快递很有心，物品用冷链由快递小哥送货上门的。
c***z,star5,柠檬个适中，一起买的水果都很新鲜，京东快递包装很好无烂的。柠檬皮薄味道清香，泡水好喝。
大***工,star5,满减活动很给力，老婆娃都喜欢，下次认定京东生鲜了。
E***5,star5,"同事推荐的店，从不质疑，直接拍。突然发现这款销量蛮高。想说换个口味试试。但口味太多实在纠结。下次再来试试其他口味 味道挺不错的，而且感觉也不会酸，重点是我吃了没怎么胖???，好评，下次还来,无限回购的，口感很好"
h***l,star5,好酸特别好闻很清新的味道泡茶做饮品都很棒物美价廉
千***板,star5,本来是凑单购买，买了两盒，喝洋酒尤其是杏仁味酒的时候配搭这个小青柠是绝配，收到一如既往的好，物流很快，快递小哥服务也很棒，配了一个大塑料袋，很贴心，每个果子都很新鲜，很硬实，切开后味道清香扑鼻，柠檬香味瞬间扑鼻而来，口味很正宗！好评！建议购买。
锤***筐,star5,当天买当天就到了，一直想尝尝这个小青柠泡水喝，超市都一直买不到，在京东买了当天买当天就送到了，小橘子的味道，做水果茶正好，加上买的啤酒梨，橙子，苹果，柠檬，特别爱喝外面甜品店卖的青桔柠檬，虽然自己做不出来那个味道，但是这样绿色健康
l***4,star5,东西很不错，比水果店性价比高多了
思***5,star5,柠檬味道清新，口味酸爽，新鲜，汁多。非常满意
m***W,star5,经常在京东上买水果，品质很好，没有坏果，分量足够，没有缺斤少两，快递速度快，快递小哥服务态度非常好。
H***6,star5,好喝，真心不错，下次还会买！！！
y***n,star5,足量，送货快。做冰饮特别好喝。
s***1,star5,小青桔是用塑盒包装的，很新鲜，直接放到冰箱保鲜箱里了。
b***u,star5,很新鲜，份量足，味道不错。一大早，快递小哥就敲门送来啦，物流一直都是京东自营的优势，赞一个。来的时候东西像是刚才冷藏里拿出来的一样，应该是对生鲜产品有了特殊的运送流程，这个很好。口感上，也是原来的味道，酸酸甜甜的。足今，去皮的。
r***A,star5,东西很好 送货很快
米***6,star5,很好的 很新鲜。比超市卖的便宜更新鲜噢！皮薄。汁多。
W***木,star5,非常喜欢的青柠檬，很饱满个头也不错，汁水够厚，一杯子两三片，很好喝，不苦涩，物流给力，发货迅速完美完美
被***崖,star5,挺不错的，表皮没有打蜡，很干净很好清洗。青柠有一种独特的香气很好闻很好吃，做了柠檬蜜和柠檬百香果饮料，非常好喝！下次再买～～
湘***子,star5,以前都是有商超购买大个的柠檬，第一次购买这种青柠，说实话收到货看到那么小小青青的，还认为是一次比较失败的网购，直接放冰箱冷藏了，老婆第二天拿了几个去公司，下午电话告诉我让我也试下，泡水味道很不错，呵呵……！这几天气温高，天天早上泡好放冰箱冷藏，大人小孩都喜欢喝，蒸鱼放了点青柠汁，看不出来，小小粒、青青的，味道还这么好！赞?，货是7月14号下午收到的，购买了两盒，已经吃完了一盒，到今天拍照评价正好一周。
l***7,star5,物流很快，当天买当天到，赞?！果体太小一致，果味鲜香。值得购买！
w***8,star5,非常新鲜，做菜时挤点柠檬汁，味道清新爽口开胃，很好，还会回购的
暴***们,star5,很好，新鲜，切片泡茶味道不错，做番茄酱也是杠杠的
j***9,star5,一直京东购买的，是正品，比实体店便宜好多了，过年也送货，而且送货快，东西很好，好评。支持京东，支持京东物流。性价比很高的，支持京东购买。
崽***8,star5,超级不错的生鲜。是小青柠。可以拨开皮超可爱的！泡水喝很清新。泡水还是建议切片～
金***店,star5,青柠很新鲜，没有坏的，和百香果一起做饮料，口感不比外面的差哦！
4***4,star5,东西质量不错，快递小哥送货速度也很快，挺好的一次购物体验。。。
j***0,star5,京东生鲜太好了，包装好水果新鲜好好吃好好！！！！！！！
z***8,star5,很好的商品，物超所值。京东的服务，物流都让人满意。 这款产品很好，好用满意，值得推荐，相当满意的购物体验。
j***M,star5,小青柠的新鲜度非常好，送来的时候包装完整，味道也非常酸甜，泡在水里，好喝极了。
大***小,star5,非常满意的一次购物。很好吃，家里人很喜欢。以后会再买。
