https://item.jd.com/5254604.html,"['佳沛佳沛阳光金果 12个装', '5254604', '1.85kg', '新西兰', '阳光金果', '冷藏', '进口']"
阿***西,star5,6.18期间购买的，刚收到货的时候很硬，硬的像石头，得在常温下放一段时间才能食用，金果的营养价值还是很高的，每天给家人来一个。
j***6,star5,一直相信京东的品质，物流速度快，快递服务好。这款黄色猕猴桃甜酸恰到好处，非常符合我自己的口味，补充维生素好吃有营养，非常棒！
h***r,star5,这是已经在冰箱里放了一个礼拜的样子，拿手捏了捏硬硬的，说明果子是刚刚摘下来的，非常新鲜，这种猕猴桃甜度孩子非常喜欢，又能补充足够的维生素c。
拉***波,star5,这个物流很快，第二天就收到了，果子成熟度刚刚好，大小都差不多，挺好吃的酸甜酸甜，买了几次都还可以，富含维生素c，小朋友喜欢吃
气***眉,star5,买给家里老人吃的，说很好吃，也很新鲜，物流速度是真的很快，品质也有保障，以后还是会持续回购的。希望京东一如既往的保持这样的服务。
k***i,star5,大品牌值得信赖的东西，买来放心，也非常的值。真的是名副其实的物有所值。快递依然非常的给力，当天买的，转天就能到，非常的快。
i***n,star5,物流速度越来越快越来越好了，第二天就收到快递了已经买了几次了，喜欢的朋友可以联系买起来了。买的时候还是觉得不错???
n***b,star5,常购清单之一   常年必备的品种   除了很短的时间内会缺货以外   基本上都有保证   而且配送迅速   品质基本上还算有保证
3***i,star5,好吃好吃好吃的。维生素C爆表呀！家里chang买的一款水果！今年价格回落了些，太shuang就了吧！京东超市卡买更合适呢！
可***户,star5,这个佳沛新西兰金果可真好，已经多次回购了，个头很大，而且很新鲜，很甜，补充维生素C是非常好的，一个个都很新鲜，削了皮吃，甜中微带酸，吃口很爽。
4***3,star5,物流快递：发货很快，当天下单第二天就到了，包装很好，没有摔坏产品质量：东西很好，下次还会回购，没有试过的可以买来试一试哟
安***然,star5,确实很大很大一个，差不多大半个手掌，放在温度高的环境中会熟的比较快。已经吃了，特别甜，宝宝非常喜欢吃，会继续回购，推荐购买！
j***1,star5,京东快递确实快，昨天下的单，今天就收到了，特别是快递小哥送货上门，给他点赞，猕猴桃不错，大小都差不多，包装也很不错，果子没有坏的，
小***蕃,star5,这次买的猕猴桃品质不错，酸酸甜甜，一个都没坏！很好！据说可以通便，给家里的小宝宝吃，补充维生素！像大土豆一样的外观！！！
菁***_,star5,佳沛的奇异果质量杠杠的，一箱27个一个坏果都没有，之前金果绿果都买过，但还是觉得金果好吃，这次又下单买了一箱特大果，比巨大果小一丢丢
阿***人,star5,可以可以！佳沛进口奇异果果然品质非常一流！超大果确实大，一个顶二个！口感非常好，甜而不腻，不酸，而且大多都生一些，等放放一段时间，甜度能在增加一些！送货非常快！保持京东的速度！
上***虎,star5,性价比很高的一款金果，值得信赖的品牌和供应商，几次购买的产品，品质都很高，经常有活动，让消费者实惠又放心，推荐给同样需求的伙伴们！
j***f,star3,5分之4都是过熟的
c***1,star5,家里小孩特别喜欢吃奇异果 从京东买不用担心质量问题 有坏果还会赔偿 称打折优惠时又买了几箱 放在冰箱冷藏层可以放好久 每天吃一个很方便 营养又美味 值得推荐买呀
c***1,star5,京东的奇异果质量很好 没有坏果 买的巨果 个头非常大 买回来放几天软了吃非常的甜一点都不酸 一天一个方便又补充维生素 比吃其他水果方便多了
j***t,star5,每年在京东上购买的金奇异果超过20箱，金奇异果个头很大，每个都很甜。用来送礼特别有面子。做水果沙拉也很适合。还会再回购的。
j***t,star5,已经数不清是第几次在京东上购买京奇异果了。每次购买基本不会踩雷，品质能够有保证。京东快递很方便，不会丢见，服务态度好，送货上门。
j***t,star5,每年都会购买新西兰的金奇异果，的确很甜，异乡吃不完可以放冰箱里。甜度整好。补充维生素C有利于增强抵抗力。京东快递服务很好。
j***t,star5,每个夏天都离不开各种各样的水果，尤其是很甜的金奇异果，富含很高的维生素C，多吃金奇异果，可以补充维生素C，增强身体的抵抗力。还会再回购的。
j***t,star5,金奇异果是富含维生素C很高的水果，多次购买，夏天必备水果，恒天。京东快递很适合购买生鲜水果，下单后第二天就能收到货。还会回购的。
j***t,star5,特别喜欢吃这家店铺的金奇异果，每次都会购买特大果，京东快递一如既往的快好，快递员的服务态度特别好，每次都会送货上门。客户反馈还会回购的。
j***t,star5,金奇异果每年回购，尤其是过年过节特别适合送给客户。口感不错。京东特别适合购买生鲜，夏天也不会坏。包装一如既往得好。还会再回购的。
j***t,star5,金奇异果只认准这一家，无限制在京东回购金奇异果。京东快递一如既往得好，当天下单当天发货，第二天到达。每一箱都很不错。。。。
j***t,star5,金奇异果质量没得说，每年都会多次在京东进行采买。水果的熟度恰恰好。 每一个都有标签，京东快递速度很快当天发货第二天就能到。
1***m,star5,金奇异果家里必备品，常购常吃，送亲戚朋友也是不错的选择。这款是最大号的，3.3㎏只有16～18个，看上去非常诱人，京东送货上门，方便快捷。
給***愛,star5,收到货好几天了，都快吃完了哈哈哈哈，挺满意的个头还可以，汁水很足又甜，每天吃两个便秘都解决了嘿嘿，最主要是营养价值高，维C小金库，还有快递小哥非常感谢，因为不放便走动快递小事帮忙送到家门口非常感谢
h***6,star5,Vc果王 全家都爱日常家中必需品 一年365天不间断京东下单次日达 小哥妥妥送到家门口简直太方便个头匀称 各个新鲜 真的是太爱了
j***w,star5,很好吃的新西兰进口黄芯猕猴桃，每天一只，维生素C满满的；水分很多，很甜，并且甜得很细腻，百吃不厌，京东价格给力，买的节奏停不下来
H***啡,star5,京东自营的巨无霸，每年4月到11月是新西兰果的成熟上市期，每次都会买。很不错！京东物流效率很高，售后也很不错。省心的购物渠道
W***o,star5,物流速度很快，早上下单下午就收到货了，奇异果都很足称，够份量?第二天就切了一个尝尝，酸甜口感十分浓郁，放几天熟的时候会纯甜很多，颜色也会金黄金黄的。
乱***生,star5,一直买佳沛的金果，个头比较大，都很甜，很好吃，有活动的时候会囤一些，性价比很高，包装也很好， 配送也很及时， 值得购入。
j***9,star5,这个猕猴桃我是经常买的哦！基本上吃完就买。猕猴桃是我家必备水果哦！而且全部在京东买的信任京东的。猕猴桃果粒很大而且均匀没有坏果。京东快递第二天就送到家。很好！
m***u,star5,收到快递后迫不及待的拆了包装。礼盒我真的是非常喜欢看来看去最后还是选择了这家。包装的很精美！礼盒的质量和品质非常不错！收到货后我非常的开心，因为礼盒的质量和品质真的非常的好！经过了这次愉快的购物，我决定如果下次我还要买礼盒的话，我一定会再来这家店买的。不错不错！
j***4,star5,收到货包装完好无损，刚好做活动，价格便宜了很多，性价比超高，真的特别划算。口感不错，与22个一箱的原装就是大小区别，其他都一样。
Z***歌,star5,习惯性把猕猴桃买来之后都装进小袋分开放进冰箱储存，品质还是非常不错的这点上我觉得完全没有选购的困难，再加上京东的物流和售后也都让消费者非常的放心
陈***龙,star5,好好好第一 ，奇异果个个很大，个头很足，非常的好。第二，价格实惠，快递物流更是非常快，而且包装好，没有坏果，非常的好。第三，口感一流，酸中带甜，酸酸甜甜的，非常的好吃，营养丰富口感又好。第四，性价比高。
u***6,star5,奇异果中的巨无霸，个人的体验是越大越好吃，佳沛的奇异果可以放心，开箱即食，皮薄大馅，保证个个甜，果肉质地细腻，水分那叫一个很是充足，一口下去就是味蕾与精神灵魂的双重享受，美好在人间…
j***y,star5,很不错，发货快。多次回购，果子重量合适，还会回购，味道很甜。健康水果，维生素含量高，京东商城网购有保障，不会有破损，还会再来。
j***u,star5,猕猴桃很新鲜，个头大，个头也很大，个个饱满，个头均匀！！！京东自营的商品，质量很好，好吃，价格实惠，物流也很快，值得购买。
j***d,star5,很好的猕猴桃，搞活动价格优惠一下买了两盒，大大的口味新鲜水分多又甜 ，物流和售后一如既往的好，非常满意的一次购物，会回购！
j***d,star5,经常在京东买猕猴桃 物流快售后好，这次搞活动价格非常优惠，买了两盒，猕猴桃新鲜大大的一个个，口味正宗非常好吃，下次会经常回购！
淡***香,star5,买这款奇异果好多年若干次了，以前很不错，现在老有不按时送达情况，希望加强管理！！现在都不敢买，买一次，生一次气
j***j,star5,好大一箱，个头又大又均匀，尝了一下很甜，不知道在京东上买了多少回了，质量真的很好，价格也实惠，第二天就能送到家，太方便了，京东上购物就是方便，赞赞赞赞赞赞赞赞赞赞赞赞
T***g,star5,水果非常的新鲜，个头大，酸甜口感，甜度很高，品质非常好，没有坏果，是稍微偏硬的，放置几天口感应该会变得更好，京东快递一如既往，神速到达！
u***m,star5,佳沛金奇异果?物美价廉，品质保证，质量上乘，营养丰富，味道鲜美，有丰富的维生素C，每天一个非常满足，在京东商城购买比实体店便宜。
u***m,star5,佳沛金奇异果?物美价廉，品质保证，质量上乘，味道鲜美，营养丰富，能够补充丰富的维生素C，在京东商城购买比实体店更加划算。
爱***女,star5,太好吃了，就剩下2个了，才想起来要评价，已经回购了N箱啦，佳沛的品质不用担心，完全可以放心回购。吃完又要回购了。吃不完记得放冰箱
t***y,star5,猕猴桃美味佳肴。物流真的很快，昨天晚上10点左右下单，今天中午1点左右就到了，快递员送上门，包果有防垫，防振，包装很好，商品暂来吃，好评.平时买商品首先需要考虑商品的质量，其次是商品的性价比。相信只有满足这样的情况，品牌和店铺最终才会可持续发展。商品的发货速度很重要，实物商品的外包装同样也很重要。这几样都占了，包装和物流都没得挑。
j***d,star5,多次购买，质量很好，口感甜甜的，吃完再来回购。在京东买东西就是放心，发货速度很快的，当天下单当天发货，当天收到货，这款产品值得推荐购买，五星好评！
呗***芬,star5,太好吃了，奇异果含有丰富的维C，买了两盒，送了一盒给婆婆，老人吃了可以增强抵抗力，另外一盒留给小孩吃了，很甜，一个很大，做活动买的，很划算，虽然很硬，但是吃起来甜甜的
j***9,star5,活动买的，优惠力度大，比超市便宜好多，京东自营品质有保障，果子很大很甜孩子喜欢吃，强烈推荐购买，支持京东自营，支持佳沛奇异果，以后还会买。
0***米,star5,在京东买了好多次佳沛奇异果了，品质都很不错的，搞活动价格也很实惠，送过来果子的都不软，还可以放一放再吃，不错的，下次会再回购的。
薇***梗,star5,一直吃的这家猕猴桃，超市里面很贵，这次买到巨大果和超大果活动都只要7块多一个，真的无敌划算，而且味道一如既往好，多吃猕猴桃增加抵抗力。
薇***梗,star5,一直吃这家猕猴桃，超市里面很贵，这次买的巨大果和超大果搞活动只要7块多一个，非常划算，多吃猕猴桃对身体好，味道也相当不错。
M***果,star5,刚吃完 立马回购了一箱 买的还是巨大果 上次189买的 这次199买的 着急吃 就不等了 一箱22个 用保鲜袋装一下 放入冰箱 可以保存很久
j***m,star5,早就收到了，吃了，奇异果的果子非常大，颜色漂亮，色泽金黄，看起来就很有食欲果香味也浓，摸起来稍微硬一点，真是一分价钱一分货
亲***y,star5,佳沛的黄金奇异果一如既往的好吃，价格也很实惠，每次吃完了再买一箱，维生素含量丰富，口感也很不错，家里大人小孩都很喜欢吃，继续回购！
大***板,star5,在京东买了好几次的奇异果了 物流快 快递小哥很负责任 大小均匀 品质有保证 价格也便宜不少 金果果肉细腻 酸酸甜甜宝宝爱吃
茶***y,star5,佳沛奇异果真的是神一样的存在吗？感觉没有对手，口感很好，很甜，还带一点点酸味，感觉非常好，和其他奇异果不一样，很好吃啊。
