https://item.jd.com/3042415.html,"['京鲜生椰青', '3042415', '2.31kg', '泰国', '大果（900g起）', '椰青', '香水椰', '冷藏', '进口']"
豪***来,star5,四个大椰子，还送了开椰器，外加四根吸管，椰子保存完好，没有坏的，放冰箱冷藏可以放不少时间，椰子水非常甜，椰子肉也挺好吃，
b***2,star5,一直在他家买椰子，质量很好，椰子汁好好吃，还可以做椰子鸡火锅。椰子肉也好吃，小朋友非常爱。夏天到了放在冰箱冰镇出来更是美味。
栀***头,star5,椰子很好，个头也很大。很大的一箱，椰子很新鲜，味道很好。椰青饱满，包装严实卫生，多汁可口。商家也太用心了，送的开椰子神器，女孩子单手都可以打开好吗，一点都不费力，椰汁特别清澈，果肉更是香香脆脆的。在暖气房里，喝一个椰汁，真的是人间享受～
海***海,star3,好就一个字，快
馨***君,star5,好甜好多汁，用来煲椰子鸡汤真的很美味啊！价格也不贵，大概十元一个，真的很不错！京东次日就能达，实在太棒啦哈哈哈哈哈！
小***曼,star5,椰子还不错，价格，京东自营的宝贝，服务态度很好！很喜欢这款的椰子，价格便宜的。口感很好，跟超市买的差不多！推荐购买可以的！
w***6,star5,京东，大品牌值得信赖值得信赖好家伙，泰国椰青．好不好喝，不知道，反正大小不一有的大，有的小大的那个差不多小的一辈，这种天气放在冰箱里是家庭必备的好，我也几哈哈哈哈哈。
沐***生,star5,包装 完好无损物流 速度发货很快选择京东自营店值得推荐小伙伴们放心购买，经常回购，比起市面上的那些门店超市具有很大性价比
x***g,star5,618的活动，肯定得冲一冲。先说商品质量:产品总体不错，包装严实。再说说商家服务:点赞啦。最后点评快递:发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致， 非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
肥***情,star5,好久没写评价了。最近比较忙。这个买了很久了。味道还挺好的。女人都喜欢。多次购买了。还不错。京东物流也很快。一直到达都很好。
s***1,star5,9个大椰子早收到了，喝完了又买了两次了，真的是椰子水味道很好，很新鲜，很满意。喝完水再砍开椰子，里面的椰肉白嫩嫩的，特别好吃，淡淡的椰子香味，很好吃，物流也很快，很满意。五星好评！
小***9,star5,椰子质量不错哦，很好吃，香甜可口，价格很合适的产品，这次有活动就买了一箱，只是回购过多次了，每次都很满意哦，宝宝也很爱喝呢
微***年,star5,椰汁水收到了，这是我每一到夏天就要买来喝的，这个比喝饮料都很好，我仔也喜欢喝，每年夏天就是一箱一箱回购的，祝商家生意兴隆
w***1,star5,椰青非常好，味道非常棒！买来五一带回家和朋友分享的，连我爸妈都说好喝，椰肉也非常棒，我喜欢吃椰肉，也可以一起做椰子鸡。总推荐大家购买，单价非常划算。
吥***飖,star5,好像是第一次在京东买椰子，个头挺大的，椰汁也很清甜，很好喝，不过送的所谓开耶器就比较无语了，一个塑料的东西，根本打不开。。。
大***X,star5,椰子很棒啊，下单第二天就到了，京东还是那么多快好省，做了椰子鸡，椰肉多多，放在冷藏里的椰子水超级棒，女朋友很喜欢喝，以后还会买
j***x,star5,特别爱喝椰子水，感觉喝这个会比喝瓶装的要健康很多吧，放在冰箱冰了以后在喝特别好喝，而且还要健康，夏季冰箱就会囤货很多，煲汤也很美味
逍***子,star5,泰国椰青收到了，非常新鲜，个头很大，饱满水润，汁水甘甜，很好喝。非常满意，五星好评。物流很快，第一天买，第二天就收到了。
浩***少,star5,已经收到泰国进口椰子?了，包装的很好，配送速度很快，送到的时候还是冷冻的感觉，也很新鲜，味道不错?，家里人都喜欢喝，强烈推荐一下。
天***g,star5,这款椰子每个都足斤足两，配送很快，收到马上就用来做椰子冻了。听说飞天茅台和椰子冻一起吃特别好吃，椰子冻已经有了，飞天茅台啥时候给我安排一下呢！京东爸爸??
阿***丶,star5,单果很大，里面的椰汁很多。口喊也非常好，关键是没有任何的科技与狠活，行比外面买的果汁要健康的多。价格非常实惠，比超市卖的还便宜。就是不知道能放多久。
j***X,star5,这一款椰子超好喝，发货快，椰子新鲜，个个品相都非常好，拿来煲汤也是一个非常不错的选择，椰子水特别清甜爽口清澈，以后还会选择购买此款的椰子
王***会,star5,椰子是为了给媳妇儿补羊水用的，每天吃两个，羊水一周就补上来了，椰肉用来煲汤，挺好的，物流速度非常快，次日就送到了，很不错的商品，真方便
购***s,star5,新鲜的椰青！！附送的开椰器非常的方便，钻几十秒就开了，夏日炎炎喝上一口清甜的椰子水简直不要太爽！！！！！！！！！！！！！
傻***儿,star5,这个肉特别的厚，然后椰汁也非常新鲜，清透，一看就是特别新鲜的椰子，物流速度的非常快，下次还会继续在这儿买的，已经买了第二箱了。质量非常的好。
3***m,star5,相当好的椰青，简直是物超所值！一开始下单还有点忐忑，不过快递送到，打开就是惊喜，非常好，家人很喜欢！京东送货速度特别快，重点推荐给大家
想***雨,star5,椰子非常不错，挺好喝的，都已经喝完了，非常地新鲜，准备进行二次购买了。一箱足足有9个，放在冰箱里也不会坏，送的来盖器也很好用
祥***6,star5,京东物流一如往常一样的快速，次日达第二天就可以送货上门了。购买的椰子很好，椰肉很多椰子水大概能满500美了。以后还会继续购买。
一***刀,star5,椰子非常好，个头大，到货很快，价格合适，经济实惠物流快，椰子肉非常多，汁非常美，还送了打开的工具，以及吸管，客服态度很好。
楚***6,star5,京东自营的水果质量还是很不错的，在京东上买这种会比较方便，快递小哥送货上门，九个椰青很新鲜，没有坏的，送了开口器，很容易打开。
王***X,star5,宝贝真不错，做的真细心，值得拥有，快递很快。每个个头都差不多，京东精挑细选的进口椰子，品质优异！很清新，清甜，好好好！
小***6,star5,收到货，第一时间的拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次。
j***f,star5,第一次给家人买了这种果品，以前买了非常难开启，也是给家人找点分散精力，调节心情的事做，毕竟开启的过程也是很用心用力的事。
机***蒙,star5,椰子味道很好，很新鲜，很满意性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.挺好的，价格适中，质量看着不错???
龙***e,star5,味道好极了！味道香甜纯正的好椰子！新鲜，个头很大，椰汁也充足，喝完椰汁切开吃耶肉，味道都很好，赠送的开椰器也好用，还送吸管，完美！
老***3,star5,椰青非常好，带的开口器和吸管，服务超级周到，开口器也好用。真的是性价比超级高。椰青很新鲜，椰汁清甜可口，家人都爱喝。继续回购。
j***g,star5,夏天必备解暑神器。很甜，比海南椰子甜多了，而且喝完以后可以打开，椰肉也很好吃，一股奶香味，yyds哦，就是现在价格贵了。
j***7,star5,多次在京东购买椰子了，自从第一次下单后两年了就没间断过，椰子特别新鲜，好喝，椰香浓郁，喝完椰汁后椰肉也很好吃，还会回购的。
j***n,star5,买了两种椰青都很好喝，椰子味满满的，椰肉挖出来炖鸡汤小孩也很喜欢，夏天必备，小孩一天喝一个，后面还会继续买，京东速度很快
虎***下,star5,泰国进口椰青 9个原箱装巨无霸果，单果都有1100g+ ，赠送开椰器和吸管。相信在京东购买产品，质量有保证。特别是售前与售后服务态度非常好，让人买得放心。
v***2,star5,很棒的青椰！椰子水很清甜，喝起来很清爽。比奶茶的椰汁水要健康一些。椰肉也很Q弹，口感非常好。现在是椰子的季节，应季水果真的很棒，值得体验。
兰***妮,star5,之前买过新鲜的，青皮圆圆的，喝起来很有滋有味，这次没买到瓶装的，想着这个原味给家里安排一箱，几个小孩子就喝了一个，说啥没味道，配上糖才肯吃。
j***k,star5,口感非常香甜，奶香味非常香甜，味道非常浓浓，口感非常满意，物流速度非常快。椰子非常新鲜，价格虽然小贵，但是好吃就非常值得了
s***e,star5,这款椰子很好吃，水分多，很清甜，一直在京东自营店上购买的，搞活动的时候购买，价格也非常的实惠，非常好。下单后，第二天就送货上门的。
m***桃,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……宝贝物超所值，很喜欢，下次还会来的物流很快，?产品很快就收到了，比想象中还好，不错不错！
m***g,star5,活动下单的，还是比较划算的，日常会比较贵。送货速度很快。没有坏果，足斤足两还不错。夏天囤点更适合，冷藏吃配上水果酸奶很美味。
m***g,star5,超级划算的时候购买的，很不错。有一个坏果，客服超级快速赔付，很满意。送货速度快，足斤足两很不错，以后会继续购买并推荐给朋友们
吃***头,star5,椰果非常好，吃肉非常多，汁非常美，妥妥的推荐这一款，我家沟通非常顺快，而且还给了优惠，不谢，京东，京东物流非常棒，没有耽误吃吃
j***j,star5,这次买的椰子 个头儿大 没有坏的 都非常新鲜 京东的水果非常有保障 不过吃椰子确实不容易 椰子水非常好喝 而且清透 宝贝也喜欢 天然纯正
流***混,star5,送货速度很快，晚上下单第二天早上起来就可以看到了，整体感觉不错，家里人爱喝，备一点，切开也很方便，味道很棒，值得推荐支持一下
j***q,star5,这次买的椰青新鲜，水充足，甘甜可口，打开后汁水快要流出来了好喝。京东快递小哥非常热情，负责任只要是重的东西一定给我送到屋里放好，所以在这非常感谢快递小哥。
j***1,star5,快递包装可以    单独的吸管 每个椰子都是独立包装的 能存放时间长  配货速度也很快  味道也不错   商家服务也可以
沐***生,star5,选择京东自营店值得信赖推荐购买，小伙伴们放心购买，性价比超高推荐，并且送货上门，服务满满的棒，推荐小伙伴们放心购买尝试一下！
e***d,star5,在京东买过很多次椰子了，基本上大多数时候都没踩坑，基本上都不错，个大、水足，椰肉也很新鲜，白色的肉质紧实嫩滑。送货到家省心省力。
j***1,star5,这次的椰青个头有点大！味道不错，价格实惠，质量保证，赶上活动多买几箱！一天一个，够喝半个月了！比实体店便宜很多！期待下次活动！
j***s,star5,这个椰子挺好的，里面的椰子汁特别多，特别饱满，味道喝起来也不错，价格非常实惠，性价比很高，很满意，快递送货也蛮快的，及时到货。
