https://item.jd.com/3711635.html,"['京鲜生京鲜生 脐橙 5kg礼盒', '3711635', '5.75kg', '湖北', '夏橙', '国产', '常温', '湖北']"
张***e,star5,橙子很不错，很新鲜，带一点点酸，很自然的味道，不是那种非常甜的，就是小时候在家吃橙子的感觉，家乡的水果，推荐，强烈推荐啊。
j***6,star5,打折买了一堆，保存得很好，个大饱满，新鲜！ 打折买了一堆，保存得很好，个大饱满，新鲜！ 总体来说，确实不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐超出预期，质量很好，满意宝贝收到了，和描述一样，很喜欢
u***7,star5,包装完好，京东自营就是快，买任何东西选京东自营就对了，送货又快，质量又有保证，真的是非常奈斯，真的非常棒。橙子味道不错哦，大小合适，很甜水分也很多啊。
z***2,star5,这款京鲜生品牌的，湖北秭归橙，大小颗粒均匀，肉质饱满，水分充足，特别适合榨汁饮用。京东活动，性价比超高，物流给力东西，包装完好无损。
S***3,star5,这个橙子最开始是很好吃的，很新鲜，水份很足，湖北秭归的橙子就是好吃，京东配送时效很快，隔天就送到了，快递员服务也很好，以后还买。
j***g,star5,在这个店里买了很多次水果了，真的非常好，质量好，价格实惠。嗯，有的时候你预购的，预定的那种特别的便宜，比超市里边儿的还要便宜。呃，主要是物流比较方便，能够送到家里去，无论是在哪里都能够送到。
w***5,star5,在京东买东西真的很方便，送货上门，快递小哥态度好，关键东西质量过硬，不会踩雷，这个橙子很好吃，水分足，夏季榨汁别提多舒服了，点赞！
阿***熊,star5,总体来说，确实不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐超出预期，质量很好，满意宝贝收到了，和描述一样，很喜欢
j***9,star5,新鲜出炉的水果，口感很不错?，老妈特别喜欢吃的橙子?，每一次都会多买一些，满足她的口福喽。物流也很快的，头天下单第二天就能收到。
m***7,star5,非常新鲜，京东水果自营很靠谱，速度快，水果新鲜，还没来得及吃，目测非常不错！值得购买！送的西柚也很不错，京东自营非常好！
有***办,star3,不错就是没有水分时间长了吧
旋***H,star5,这个买了不知道多少次，无限次回购，宝宝特别喜欢。宝宝一吃到，味道很纯正，没有添加剂，宝宝喜欢，妈妈放心，希望品质一直如此，如果可以价更优惠就好咯
秋***1,star5,一下子买了很多京东自营的水果！质量杠杠的！味道非常满意！送货上门，速度飞快！非常满意的商品，京东自营让人放心，京东快递让人满意，希望京东越办越好！
j***7,star5,很甜。买了很多次了，比重庆的脐橙好吃。很新鲜。水也很多。打开还有水珠，昨天天气比较热。皮皮有点点厚，脐橙都厚，反正好吃。。。
j***7,star5,超级甜，汁水多。皮子有点点厚，但是脐橙都这样。很好吃。每年都买几十斤来吃。榨汁也特别好喝。安逸得很，很新鲜，拿到的时候还有很多水珠。呼吸来的
C***8,star5,橙子很大箱，也非常的新鲜多汁，很喜欢拨皮后整个咬来吃，补充维生素C，果肉还有很好的粗纤维，小朋友也非常喜欢吃，会继续复购哦。
j***w,star5,店家包装的很好物流也很快，橙子收到时很新鲜没有一个坏的。橙子甜甜的味道很正汁水很多，个头很均匀。关键是还能送到家门口，实在是太方便了。
y***n,star5,很想吃橙子，首先在京东生鲜看看，果然有，还是秭归脐橙，买回来就知道没买错，个头很大，没有一个坏果，很新鲜，吃起来带一点果酸味的甜，真的特别好吃，连10个月的宝宝都爱吃的很，吃完再买
齐***圣,star5,口感很不错。真的是很不错，这个季节能买到这么新鲜的橙子已经是非常不错了，这家我也购买了很多次。每次都比较满意。包装也很好，没有坏果，口感也很不错。
j***B,star5,橙子非常不错，酸酸甜甜的，份量很足，不缺斤短两，送货速度也挺快的，挺好的服务，京东水果可以放心购买，售后一流，值得信赖！，
重***5,star5,橙子很好，现摘的，很新鲜，京东价格很划算，活动力度很大。物流配送很快，第二天就送到了，配送员服务很好，还会继续回购，希望活动多多
旧***归,star5,非常好的橙子，吃起来很不错，质量也很好，物流非常的快，大家都快来购买哈哈哈哈，我很喜欢这个买了很多次了，推荐给大家都来购买吧
大***子,star5,在京东多次购买了，橙子狗头均匀，口感酸甜适中，这个时段保存的水分已经很好了。京东活动是购买价格非常划算，快递小哥也非常给力，直接帮忙送上楼。还会继续购买。
c***婷,star5,京东物流非常方便   送货上门  生鲜认准京东自营非常靠谱   家里水果一直回购  非常划算  会继续囤货的  橙子偶尔不新鲜  售后都非常好
j***T,star5,时令水果橙?新鲜可口水分充足，切开就感觉到果香味缭绕，尝尝确实就是纯鲜甘甜的味道，包装很好完全没有磕碰，快递?也是真快，而且正赶上一阵子瓢泼大雨，不知道快递小哥咋做到的果箱外包装上竟然一点儿雨水?淋湿的痕迹都没有！
j***t,star5,乘搞活动囤了3箱 水果非常的新鲜 个头大小均匀 口感不错 果汁充足 京东购物方便快捷 质量也有保证 物流也很快 一直都爱在京东买东西 非常给力
S***i,star5,橙子特别好 汁水很足 个头很大 很好吃 酸酸甜甜的 很合适 一箱十几个具体没查 没有坏果 都很好 非常好吃 值得购买 也不干吧
铭***騳,star5,太惊喜了，橙子非常新鲜。开箱就有一股橙香味，汁水多，味道不错是我喜欢的果然没有让我失望，橘子很新鲜，没有坏果，包装完好。
j***p,star5,京东自营的生鲜那是质量有保证物流很快不欺骗客户更重要的是售后服务特别好，我在京东购买了n次，价格优惠，品质好，一有问题，售后马上处理，给京东点个赞
脆***饺,star5,秭归夏橙真的太好吃了！果实饱满，色泽鲜艳，非常新鲜。口感酸甜可口，汁水丰富，让人回味无穷。而且它的营养价值也很高，含有丰富的维生素C和纤维素。唯一的美中不足就是有一点点酸，但不影响整体的口感。总之，这是一款非常值得购买的水果，强烈推荐给大家！
j***M,star5,收到橙子?真的很惊喜 尝了一个 甜甜的水分特别足 没有坏果 关键是价格比水果店便宜好多 满满一箱子 价钱合适 我们吃着也放心
风***爽,star5,物流:JD配送速度很快，包装:包装完好，到手没有破损，物品:刚到，还没吃，水果看起来还不错，好吃在回购，希望狠活不多，
雨***3,star5,橙子还是挺新鲜的，快递配送超级快，运输出了问题平台给快速解决了，京东的购物体验还是特别好的，无论是售前售后，橙子本身也不错，大小描述如实
j***y,star5,在炎炎夏日吃到这个橙子真的是非常棒的体验，和赣南脐橙不一样的是这个橙子的皮特别容易剥开来，水分很足，果肉比较软烂，用手挤一挤就能把橙汁直接挤出来！适合放在冰箱储存，拿出来非常好吃
5***8,star5,物流速度很超快，昨晚下单今天早上到货，快递小哥送货****态度很好，点赞，试吃了两个，总体感觉还可以，冷裤出来的要放冰箱及时吃完。
Y***3,star5,看来看去最后还是选择了这家。收到货后我非常的满意，因为脐橙的质量和品质真的很不错!买来给大宝做果茶的，做出来味道很不错。
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，以前生鲜有问题处理很及时，现在条款没有以前人性化，这个橙子不错
馨***锌,star5,自营产品，图放心买的。发货快，包装好，快递小哥认真负责，非常辛苦！价格虽然不是最低，但比较实惠，希望再接再厉，继续提供优质商品和服务，满意的一次购物
L***o,star5,京东物流超级给力的哦，当天上午下单，下午就送达了?这速度杠杠滴?京东的橙子?很新鲜，第二次购买了，性价比高，酸酸甜甜很好吃?
z***野,star5,快递很快，包装严实，没用破损，很新鲜，拿到手还是凉凉的，应该是一直保鲜的，多次购买了，酸酸甜甜的，整体还不错，有需要下次再来。
M***o,star5,东西不错，还有优惠，可以放心省钱购买，不要犹豫了。价格实惠，下次再来，包装很棒，客服态度很好，真的很赞耶！产品真的很好，我表示很喜欢，赞??
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜，有问题处理很及时的。这个橙子不错，水分可以，这个季节难能可贵
j***n,star5,快递快，清新爽口，回味无穷，果肉超级厚实爱心也不酸切开后散发出特有的香气，吃起来是香甜香甜的，外观看着一般，但果汁特别多，颗颗饱满汁水饱满。孩子喜欢
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜水果，有问题处理很及时，这个橙子是多次购买的，夏季的口感差一些
学***班,star5,产品质量，客服服务态度特别好，很喜欢，好评价格很实惠，性价比很高，算是平价好物，会回购的整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味
J***o,star5,当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手，买来减肥吃的，一个礼拜减了7斤，真的很牛，终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的
冷***冰,star5,京鲜生 当季鲜脐橙/橙子 2.5kg装 铂金果 单果140g起 新鲜水果，很新鲜，孩子一下吃俩，。送货速度很快。吃完再买。
p***1,star5,京鲜生 当季鲜脐橙/橙子 2.5kg装 铂金果 单果140g起 新鲜水果，水份很多，甜甜酸酸的，物流快服务好，送货上门，五星好评
v***l,star5,质量可以说是非常好了，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司快递小哥服务态度很好，运送速度很快，很满意的一次购物。
l***8,star5,一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！橙子非常好吃?
H***昼,star5,宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
s***r,star5,很不错的！满满的一整箱，物流快，四，商家服务态度好！产品好！有点黄，有点青，有的吃起来酸酸的，可能是还需要放的缘故吧，整体还是不错的，大可以放心吃，主要是小孩吃，做辅食添加吃，小孩嫌酸，满满的表情包，放放在看，味道会更好！
2***本,star5,橙子味道不错，酸甜可口，个头大小均匀，适合榨汁，慢慢一大箱，每天给宝宝榨汁三个橙子，补充维C，夏天食欲不好，酸甜可口的橙汁正好能开胃，包装箱子压了，还好里面橙子?都没问题，也没有坏果，继续回购，京东物流送货很快
j***j,star5,第二次购买，口感不错，挺甜的，家里小朋友爱吃橙子，网上买比较划算。多多支持。，包装很仔细，没有问题真的好喜欢，客服态度也挺好的，值！橙子很好，足秤，有一个被快递弄坏的果子客服也很快赔偿了。下次再来一次。个，大小如图，还是可以的，但是自我感觉有点硬了（可能是个人感觉），软硬程度还可以，没有发现有坏果，这应该是当季果，所以水果水分特别多！
C***d,star5,包装比较好，没有坏果每个橙子大小差不多，吃起来没有负担橙子汁水比较足，没那么酸，还算比较甜价格很实惠，还会再回购
z***i,star5,包装很好，橙子也新鲜 份量足，共24个，有一个有些烂。切了一个看上去有些青的，皮薄，水份足 ，口感甜中带点酸，不错！
H***0,star5,橙子活动，一次性买了4箱，口感还算可以，毕竟已经过了季了，主要拿来榨汁的，甜度还是可以的，果肉细腻，皮也不厚，天热放冰箱冷藏着再吃，口感更棒
d***o,star5,近年来一直购买当季鲜脐橙。脐橙果肉细嫩多汁，口口细嫩化渣，酸甜味浓。每天几颗榨汁，既爽口美味，又能补充天然维C。有京东快递派送，能保证家中囤货不断。
f***9,star5,水分很足，酸甜味道还行吧，每个味道都不一样，品质不均衡，当季的，买来尝尝还行，外观看着一般般，但是里面果肉是好的就行吧。
冷***冰,star5,京鲜生 湖北秭归夏橙 2.5kg装 单果180g起 新鲜水果，皮薄肉厚汁多，价格实惠。买来吃完再买，发货速度快，隔天收到。
y***n,star5,暑假回来看爸妈，老公买的水果，质量还不错，虽然不是应季的，但是日常所需，还是可以满足的，所以买水果还是选京东，方便快捷！
