https://item.jd.com/5383292.html,"['京鲜生火龙果', '5383292', '1.65kg', '越南', '红心果', '冷藏', '进口']"
j***k,star5,火龙果很满意，一直购买使用中！持续关注！搞活动就屯一点，反正是必需品！大品牌值得信赖！在京东上买东西效率高！速度快，送货上门！
叶***6,star5,经常京东上买火龙果 速度快 也很新鲜 很好 无限回购。      火龙果很甜 皮薄     果肉新鲜 很喜欢吃 非常好?
Y***t,star5,京东快递真的很棒，火龙果也很nice，中果个头也很好，而且没有没有任何破损，吃起来水汪汪的，酸酸甜甜的很棒，下次还得回购。
b***8,star5,个头不大但很甜，水份也多，据说比白心的营养成分高很多。物流很快，没有损坏。大赞赞赞???听说从越南运来的，这么远运输天又热，能不坏不烂，不容易呢！
洄***奏,star5,这个越南进口的白芯火龙果，外边表皮色泽鲜艳，用刀切开后皮很薄，果肉很饱满，味道香甜，而且有一定的糯感。京东商城的生鲜一直值得信赖～
x***i,star5,这款白心越南产火龙果，是和苹果一起凑单买的，结果收到后吃了超出预期。口感鲜甜可口，比国产的确实好吃，果子也很新鲜，活动时候价格也实惠
J***5,star5,经常在京东上买水果，价格优惠质量也很好，夏天到了家人都喜欢吃点水果，火龙果很不错，对肠道蠕动有很好的帮助，缓解便秘，值得拥有！
J***5,star5,经常在京东上买水果，价格优惠，而且品质也很不错，不比外面水果店的品质差，家人也喜欢吃火龙果，用来做奶昔或者水果沙拉特别好吃，喜欢
楠***宇,star5,京东买水果也很方便，晚上下单第二天就收到了，孩子很满意，说挺甜的，下次还买他家的，京东快递是真的迅速，基本就是次日达，还能发快递，很方便
j***P,star5,白心火龙果，收到货 很新鲜，个头属于中等，口感还是不错的 很不错质量有保证，而且售后服务好，物流够快，火龙果很甜，而且也很新鲜。
W***m,star3,一般
帕***1,star5,京东送货还是很快的，包装很严实，水果很新鲜，不错，有活动时候购买的，口感也挺好，值得回购，当天下单第二天就可以送到了，很快
纯***辰,star5,每个都很大 分量足足的，物超所值！这次买的价格也很美丽，下次有活动也提醒我一下哈！每个都是硬硬的，温馨提示也有，很棒！ 放一放再吃耶
D***儿,star5,配送速度快，水果新鲜，个头中等，99元任选4件，非常划算，比扬州本地水果店里的水果新鲜，便宜，性价比高，推荐购买，好评。
j***g,star5,非常喜欢在京东买水果，新鲜又速达！红心火龙果是我回购最多的水果！因为家人爱吃！这边凑单买的中果，和以前买的差不多大小～
j***a,star5,自从成为京东plus会员，几乎每周都会买很多东西，日常消耗品，还有宝宝的东西都很方便，生鲜也很方便，尤其是很多自营的，有时候当天就到了
u***8,star5,不知道多少次购买了，一直认准京东认准这个牌子，价格很合适，赶上活动更划算。在京东购物，真正的物美价廉，还有高效的运输体验。
孤***蓝,star5,很新鲜，收到的时候每个火龙果都套着袋子。一直在京东买火龙果，这种越南进口的原箱品质好，甜度高，性价比很高，售后也很不错。
j***n,star5,收到了物流快，跟卖家描述的相符，质量很好，果子很新鲜，也没有坏果，包装也很好，一点破损都没有，物流很快，一下买了两件，有点多，放冰箱冷藏了，
j***h,star5,包装的非常棒，没有损坏，水果也很新鲜，吃起来鲜甜多汁，商家回复也很及时，已经回购可很多次了，非常推荐购买，通便效果非常棒
****烟,star5,京东已经实实在在收买了我的心，家里所有的东西只要京东有的，都在这里买了，今天下单明天到送货上门非常棒，东西品质好，这个火龙果多次回购。
M***0,star5,买的三个装的，快递收到拿回来火龙果都很新鲜，个头适中，很好吃，会考虑回购，果子是新鲜的，价格也便宜，比外面买的要划算很多，
j***6,star5,水果挺好的，外面有个薄膜，保护的很干净，材料挺厚实的，结实耐用，大气好看，还能送人，性价比又高，下次还会光顾。在京东自营里面购买商品，选择这类产品，一是质量很好，没有破损，完好如新，没有土，没有脏。二是价格合理，又有优惠券，还有满减，整体下来很实惠。三是反应快，服务快，送货快。当天送，保证着急用的客户可以很快及时得到商品。四是送货师傅的态度，有耐心，很细致。总之很满意，推荐给大家，本人还会再选择!
j***8,star5,红心的，比较好吃，很新鲜，好评，下次还买，买了好几次了，客服也不错，小姐姐回复很快，京东还是值得相信的，就是生鲜种类少了一些，送货也很快
j***b,star5,现在已经喜欢在京东上买水果了，反正都要吃，凑单后价格合适，质量有保证，而且售后服务好，物流够快，火龙果很甜，而且也很新鲜。
一***闲,star5,外观一看水分保存的就比较好，果皮也不厚，切开很方便，锅肉新鲜味甜，口感不错，据说还自带疏通管道功能，这个就不清楚了。回头再买。
迷***3,star5,收货很大的两个火龙果，它和描述相符，很是新鲜又红还大，让看着就养眼，用它作水果沙拉很是适宜，红心的火龙果会比白心的更甜，活动时可谓物美价廉，开心
槿***穆,star5,没有坏的，大小合适。不会太大。送人也好看。下次再来，。哈哈哈。乔迁用的，买的有点多。推荐推荐。物流也很快。包装也不错。很干净。
h***s,star5,送家人，个头不错、看着很新鲜 不知道熟的怎样。 送货速度很给力。 谢谢快递小哥，包装完好无损。价格不便宜，送货****。
我***哦,star5,火龙果味道很巴适，很新鲜，而且包装也很好，寄回老家给父母吃的，娃儿都很喜欢，很不错，买过两次了，每次都是活动买的，希望多做点活动
N***8,star5,火龙果个头足够大，主要是赶上活动价格非常划算，买了好几个，京东第二天就送到了，速度很快，火龙果口感非常好，很甜，无限回购
_***M,star5,很大的火龙果，跟描述的一致，红心的很甜，做水果沙拉，放冰箱冰一下更好吃，我是放到冷冻室冻了1个小时，拿出来跟稍微拌一下，再冻2小时，做成了冰激凌，很喔噻
Z***T,star5,"是第N次在网上买东西了，棒捧棒，东西便宜而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西品种多而且又特别全,划算方便，而日实惠，包装很好，而且没有任何损坏，会直支来持下去的，服务还可以超级好用,好评,下次再来"
M***谢,star5,回头客了，这个火龙果口感非常棒，家里老人小孩都爱吃，口感方面特别不错，性价比很高，产品质量一分钱一分货，有保障，非常推荐
j***c,star5,火龙果个头不错，果肉也很甜，京东物流发货速度很快，取件也很方便，京东物流中心就在家门口，非常非常方便价格实惠，有班价……
a***a,star5,白色火龙果在京东生鲜是最值得买的水果之一了，储存和运输都是成熟的，成熟度和甜度都是没有可挑的，非常好也非常放心，推荐大家购买！
j***b,star5,火龙果肯定是挺好。每一个的。个头儿都很大，而且口感也很好。但就是这种销售的价格。让人。很纠结。你买少点吧，不合适。你就得多买，然后价格才能有很大的优惠。多买，你就得紧着吃，要不然怕放坏。这一天吃了好几个火龙果。
j***b,star5,这款火龙果的果实非常大，而且口感非常特别的甜美。包装也很精致。嗯，基本上都是好的多买一些，性价比很高，单买肯定不合适，如果能能吃的就买，不能吃的就别买。
喜***在,star5,火龙果收到了，个头很小，但是很新鲜，发货也很快！很喜欢在京东购物，送货快，品质有保障！物流也给力。下次还会购买，也会介绍朋友购买。
乐***m,star5,虽然价位有一些贵，但是整体质量还是很好的，每一个都非常的饱满非常的结实口实口感也非常好，甜度也很好，包装也很精致，物流也特别快
范***0,star5,火龙果很新鲜，包装的很好，也没有损坏，买回来给宝宝吃的，做了火龙果饼给宝宝吃，很香，宝宝也很喜欢吃，并且火龙果还有通便的功效哦
j***5,star5,京东买了太多次的白心火龙果了，买的中果，价格实惠。个头蛮大，能够接受，切开后感觉非常新鲜。很满意，白心糖分少，比较健康。
想***a,star5,很不错，很甜很好吃。火龙果花青素含量非常高，尤其是红心的火龙果。而且红心火龙果吃起来很有食欲，红色的看着很诱人，吃起来很甜。
老***页,star5,这种白心的火龙果看着不大，但很新鲜，家里老人最近老便秘，听说火龙果对便秘很有效果，特地买给老人吃的，每天中午晚上吃半个，果然好多了。
t***6,star5,这次买的火龙果很新鲜 这是吃过以后才发的评论。个头大 沉 味道挺好 用来做酸奶果切京东生鲜物流也很快 当天就送到家了好评
爱***处,star5,多次购买了，个头不大，是中果。非常新鲜没有坏了，也很好吃。老婆收到就到了一个。物流还是那么快，次日到达家门口。五星好评。
武***梦,star5,这个红星火龙果特别好吃，收到后就迫不及待的打开了，越南进口的，个头不是很大，但是很新鲜，吃起来味道很甜，家里人都喜欢吃，这次购物体验很满意。
j***1,star5,火龙果品质不错 新鲜 水分充足 很甜。爸妈都很爱吃火龙果。物流配送非常快 很满意。一直在京东生鲜购买水果 售后也很满意。
天***海,star5,火龙果很大，分量达标，单果份量也达标。配送速度非常快，包装完好，小哥送到家。价格实惠，搭配你喜欢的水果，新鲜，质量没有问题。
j***k,star5,京东商城配送货物很快，快递公司也很快，送到的水果很新鲜 ，水分足，甜甜的，好吃。比大型超市的便宜，也让人放心。希望京东商城提供更好的东西给大家。
n***g,star5,物流很快，个大皮薄，要放几天吃更好，四个个头挺大的，切开是白色的瓤，味道不错，成熟度刚好。下次还要买这家，毕竟买的人多，评价不错。
l***u,star5,火龙果非常新鲜，拿来叶子都还是绿色的，很饱满，吃起来也是甜的。个头一般般，不是特别大。99选了四样水果、挺好的，我经常买。
w***d,star5,在京东上买的火龙果，味道还是很不错的。价格也很便宜，并且送货上门，应该是从冷库里面拿出来的到家的时候，火龙果都还是冰冰凉的。
l***9,star5,内地生活真好，昨天下单今天就收到了，比我大美新疆快多了，水果包装好，看着很新鲜，丫头收到后很高兴，下次继续再京东商城上购买，给个赞????
正***x,star5,实在是太好吃了，好久没吃到这么大这么甜的火龙果，真是让人开心，感动感动，真是好呀，无比开心，强烈大家购买，真是好呀好呀，强烈推荐大家购买！
j***c,star5,感觉还挺新鲜的，运输得也很快，昨天下单今天就到了，质量应该不错 没有烂的坏的，味道也还可以，现在京东超市可以储值赠送，挺划算
S***m,star5,首先我们也不是第一次在京东买生鲜了 但是确实是第一次买红心火龙果  收到后 质量很好 个头很大 买来送礼的 没有失望  很棒 很满意
j***x,star5,京东的火龙果我是回购无限次的，很甜很好吃，送货也很快，给的重量是刚好的，味道很好，经常趁着满减会买一大堆的水果，品质很好，从没有坏的
b***e,star5,很好，比较新鲜水果也好好吃，好的很价格也实惠的很。比店里的便宜点。方便次日就送到货了速度很快的好的很。喜欢在京东购物放心快速
b***灰,star5,水果收到啦!实物与图片一致好评!水果非常新鲜!已经多次购买产品质量保证!价格实惠时必须买入!口感非常不错，甜度高水份充足!新鲜!
c***c,star5,前天下单昨天到货。六千克共九个，每个够大的了。非常新鲜。吃起来味道不错。比在其它渠道购买的火龙果要新鲜。不知道常温下可以存放几天。
