https://item.jd.com/4225568.html,"['京觅千禧圣女果1000g', '4225568', '1.5kg', '海南陵水', '圣女果', '国产']"
p***z,star5,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
古***妮,star5,小番茄很nice 清甜可口 物流快，包装完美  特别是售后也很nice 及时跟进我们提出的问题 对京东服务大写的赞 以后买水果就到京东安排啦
浅***2,star5,小番茄个头很大 足足的 小孩很喜欢吃 每天一碗 这不刚到一天呢 马上就被吃完了 一口一个 吃起来太快了 很甜的番茄 水分也足 不比外面水果店差呀
d***2,star3,熟过头了
树***草,star5,这是第一次购买这包装的，很新鲜很好吃，没有坏果子，全部吃完了，如果是这种品质的东西，贵一点也可以接受的，比较之前的确是好的东西，不酸，软适中
y***r,star5,快递物流速度还是一如既往的给力，已经习惯在京东自营买水果了，价格平价、新鲜、质量高，而且保证包装和运输，太适合有孕妇的家庭选擇了。下次还来
向***江,star5,跟这个苹果一起买的小番茄都吃完了，还没反应过来才来评价，味道还是很不错的，发货速度快，尽量走，没有坏的果子，全是好的，新鲜的很呢
j***j,star5,很不错的小番茄，碰上有活动，满减，特别合算，满满一箱，到货快，品质卓越，没有坏果，每个都很新鲜很红亮，口感也好，水份充足，家人喜欢吃。
j***r,star5,Wanlp一次很好的购物体验，服务周到，物流快速，物有所值啊，果断好评宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自己吃非常好吃，下次继续购买！
j***P,star5,包装很好，质量不错，味道不错，甜度中上等，冷链运输，收到货后都是冰箱里的温度，喜欢整箱的水果，感觉拆了散装的味道都变了。
h***9,star5,车厘果茄，又名圣女果，个头儿均匀，口感很好吃，甜甜的没有酸味，春天多吃水果预防干燥，买了一箱，确保每天都有水果，补充维生素！
奥***璐,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……，很好吃，全家都喜欢，酸酸甜甜的，京东快递也很快，赞赞赞??赞
奥***璐,star5,"非常的新鲜,千禧果就是好吃,物流也很快，昨天晚上下单今晚上午就到了，京东物流太赞了。家里人也都觉得很好吃，准备再买一份给家里人，赞赞赞"
j***g,star5,买过好多次了，这款小?西红柿是比较难得的自然熟的，有西红柿的天然香甜味道。果子很新鲜，加上京东冷链配送，很值得购买。会一直回购的...谢谢
j***9,star5,包装简约大方，果子个个饱满，颗颗光泽鲜亮，分量一点不差，非常适合送亲戚送朋友，酸酸甜甜是孩子的最爱也是老人的喜欢，值得推荐！
j***9,star5,过年送礼买的，包装简单大方，果实很漂亮，个头均匀饱满，颜色红红火火的很喜庆，看着就很开心份量也够。走亲访友送礼的好选择。
j***T,star5,果子很好，吃起来也不错?，包装很好，看起来很喜人?喜欢京东的物流，特别快，就近发货，速度杠杠滴?，一箱小果子够吃一段时间啦
相***长,star5,这个小番茄质量很好，放了几天打开，一箱找不到一个坏的，说明运到时就非常新鲜。做了好吃的话梅小番茄，好水果要做好料理，真的要原料好
营***瑰,star5,很新鲜的水果呢，超级喜欢吃小番茄。天冷怕冻坏也没有。最主要是都很新鲜。价格贵了水果必须得新鲜，做到了。很满意。吃完还回购。
m***6,star5,小番茄很新鲜，清甜多汁，很有小时候的味道，特别好吃，春节买一箱当零食吃非常好，个人感觉比红色的好吃，京东物流也非常给力，第二天就送到了。
a***7,star5,水果收到了，整体感觉很好，个头大小均匀，味道非常好，京东物流没得说，非常快，水果的包装也非常的好，没有破损，质量也是没得说，这次采购感觉很棒?
j***x,star5,发货速度很快，包装完好无损，日期新鲜出炉。独立盒子盛着，没有破损和压坏，很新鲜，个头均匀，挺大的，没有什么酸的口感，甜为主。
j***x,star5,经常在这买东西，每次都很满意，足不出户就能买到自己想要的东西，真是太方便了，这小西红柿特别甜，孩子可喜欢吃了，收到就吃了好多
j***a,star5,没想到这个是全程冷链运输的，而且京东的快递小哥送过来的时候还有一个蛮大的保温箱，虽然只是一点点东西，但是快递运输这一块做的确实是非常好，味道嘛还可以，酸酸甜甜的，也没有发现有坏的果子
W***2,star5,小小黄柿子，皮薄汁多，味道还不错。比起红的来，更好吃。京东物流一如既往的给力，下次再回购。包装完好，没有破损，给快递小哥点赞。
索***多,star5,一直喜欢吃千禧，这次看到黄蜜搞活动，买了两箱，应该够吃几天了，品质还是不错的，果子挺新鲜，口感方面是脆的，水分也足但是没有千禧甜。
j***a,star5,小黄柿子收到，包装好，没有坏的个个看着水灵灵的，好吃不是那种特甜的但有柿子味，酸甜清爽，放心买，还会回购。
j***W,star5,味道不错，包装也非常得好口感吗？还很新鲜呢，甜甜的就是来要多冲几次水可能防腐剂什么等着还是可以接受的价格吗？还行活动的时候买的这个店的水果蛮不错的，每个月交几百块给他。
w***玮,star5,包装真的是很到位??啦！超大一个泡沫箱放着 里面还有个四个冰袋? 小黄番茄?味道也不错? 好吃哦 嘻嘻，就是价格偏贵～
陈***绎,star5,这个还是很好的，快递速度非常快，上午下单下午就到了，有几个压坏了，爆开了，其他的没有发现什么问题，总体感觉还是可以的，挺好吃
k***g,star5,番茄新鲜，咬着鲜嫩多汁，清甜爽口，挺好吃的水果。京东自营的价格算挺实惠的，喜欢再买吃新鲜。就是这个果子太娇嫩了，里面有**个皮磕破了。
j***9,star5,小西红柿挺新鲜的，京东自营购买的，水果配送又快又好，个别的有磕碰，小柿子口感好可以，挺甜的。在京东购物还是很靠谱的，物流快物价低
匡***呐,star5,第一次购买的最新鲜 爱吃小番茄的可以入 我爱吃黄色的 希望品控稳定点就更好了 售后可以 解决问题也挺积极 买生鲜还是信任京东
拼***君,star5,方便安全效率，由于自己经常网购，想吃什么，就顺带买了，送到家门口！一次多买单放冰箱里，每天都吃补充营养，大家放心购买，配送快，配送专业！
n***7,star5,过年前所有水果都是在京鲜生统一采购，新鲜无坏果，本来打算提前买好直接邮寄回家做为过年水果，没想到回家后家人已经消灭干净！
贾***2,star5,基本和矿泉水差不多，还行，大部分东西都是从京东购买，基本和矿泉水差不多，还行，大部分东西都是从京东购买，基本和矿泉水差不多，还行，大部分东西都是从京东购买
小***a,star5,味道满甜的，就是太软了，不是很硬，送过来的有点熟透了，放不了多久，得快点吃。京东快递送货很快，第二天直接送货上门，比逛超市方便多了。现在家里大小东西都是京东购买。
T***M,star5,收到的时候就是没有叶子的，干干净净，个头也挺大。味道比较清口吧，不算甜，是冷藏过的，必须放冰箱，放在外面很快就不好了。总体来说还可以
东***西,star5,送货速度很快，味道也还好，就是不知道是天气热、还是被压了，有近一半的小番茄都裂开了，在申请补偿，大小不均匀，习惯的给个好评吧。
j***u,star5,包装很好，这次一个都没有坏。但是口感没有之前买的好。有点带酸，个人不是很喜欢酸甜口感的樱桃番茄。发货速度很快。全五星，好评。
树***草,star5,黄色的口味比红色的味道更好一些，硬度适中，口感不错的，微甜又有点酸酸的感觉，可以接受的程度，个个都没坏，这次的水果真的质量不错的
w***6,star5,京东，大品牌值得信赖值得信赖西红柿有点爽，不太甜，可能比较新鲜吗？哈。哈哈哈哈，糊糊糊糊糊下次有特价再买，不是每次都买到好的哈，哈哈哈哈。
E***e,star5,个头和车厘子差不多，非常新鲜，但是甜度稍微有点不太够，安慰自己这样比较健康也是好的，包装非常好，京东快递实在靠谱，还是推荐
猫***8,star5,整体还算新鲜，破了两颗扔掉了，味道也不错，价格也实惠，这次买的比较满意，京东生鲜终于又恢复正常了！大小颗粒有大的很大小的很小，不过不影响口感，自己吃问题不大！
w***s,star5,京鲜生 千禧圣女果 小西红柿 樱桃番茄 约1.5kg 水果礼盒 生鲜水果，给家人买的，很新鲜，看上去不错，还没吃，京东自营方便快捷。
j***F,star5,不错??不错！只是我认为口感不像千禧，更像蔬菜小番茄！口感也很不错的。京东的打包很好，运送靠谱！
淘***-,star5,非常不错，挺好的，一次买了好多，各种水果够吃几天了，关键是品质好啊，非常不错，挺好的，喜欢的朋友下单吧，特别新鲜，京东快递就是快，隔天就到。
v***g,star5,果子很大颗，不像超市卖的那种千禧圣女那般小颗小颗，但安装很好，没有坏果，还是保鲜的……
j***4,star5,客服服务态度很好，快递也不赖，希望老板生意越来越好！！！物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
j***T,star5,京东物流很快，东西不错 家里人很喜欢，相信京东，每次购物都是不错的体验，希望越来越好，以后会继续购买。
j***欢,star4,很少在京东上购买生鲜，这次购物体验还不错，小番茄也比较新鲜，个体也比较饱满，味道也比较甜，总体来说，这次购物体验挺好的，
m***p,star5,千禧圣女果收到了，非常不错的小西红柿，很喜欢吃这样的小番茄，味道真的很好！打开非常的新鲜，多吃圣女果，全家都能补充维生素，而且很新鲜，色泽很红，大小都挺均匀的。吃起来汁水好丰富，酸味正好，品质是很好的。口感没得说，非常脆，而且果一看也是刚摘下来的，确实很新鲜。真的挺好吃的，能吃很久，刚洗了尝了一下很甜，而且比外面店里卖的还便宜，喜欢在京东购买产品。颜色看着也是比较鲜艳的，能吃到这种原生态的千禧圣女果，我真的是非常的开心，真的很满足。果皮较薄，感觉果肉非常嫩，圣女果是比较清淡的味道，总体来说口感很好！酸酸甜
