https://item.jd.com/100060192685.html,"['京鲜生水蜜桃4粒', '100060192685', '1.175kg', '安徽/山东/河北/四川/江苏', '水蜜桃', '国产', '冷藏', '安徽']"
j***f,star5,水密桃收到了，这是今年第二次购买了，很好吃，且放在冰箱里也好保存，吃完后还会来买的的。
j***i,star5,快递小哥送货上门及时态度热情包装很好质量不错吃的味酸甜可口值得信赖购买的哦个大很鲜哦！
u***b,star5,价廉物美好吃蛮甜的没有坏的
l***y,star5,商品质量还行，客服的服务态度也非常好，成功的解决了售后问题
h***望,star5,非常好吃的桃子。非常喜欢，一如既往的好品质，非常喜欢，物美价廉，值得购买。一次愉快的购物。
无***4,star5,非常好吃新鲜，又软又甜。一次不错的购物体验。
j***K,star5,桃子很好吃，真的挺大的
j***7,star5,味道很好，很甜，很新鲜
熙***8,star5,相信京东，物流和人工客服都非常好的，支持京东！！
h***8,star5,物流送货很快，质量好
j***n,star5,物流配送很快，包装严实，没有坏果，很好，放放再吃会更甜
我***胜,star5,很好，快递很快，水果很新鲜，非常好，
暖***y,star5,非常好，口感非常好！
