https://item.jd.com/4525129.html,"['京鲜生绿宝香瓜', '4525129', '0.8kg', '中国辽宁', '绿宝香瓜', '香瓜/甜瓜', '冷藏', '国产']"
刘***7,star5,大无语事件家人们！咱就是说，太好吃了，狠狠的爱住了！！！孩子也喜欢，趁放假，补货，期间也有不愉快，客服很快给解决了！！！
宇***子,star5,东西已收到，就爱用吃他家产品，味道非常棒，使用方便，还有惊喜好礼，不亏是大品牌，出品必属精品，值得信赖，已经多次回购了，值得极力推荐。
j***2,star5,宝贝已经收到了，第一次在京东自营购买了这个瓜果，果果个头大，新鲜，包装完好无损，闻起来很香，估计过一二天可食用，过节了买给父母尝一尝，
萌***蠢,star5,包装很好，京东物流也很快，绿宝香瓜外形看起来很nice，碧绿碧绿的，吃起来也很甜，一直相信京东的自营水果，从没让我失望过，还会回购的
j***o,star3,还行吧
j***f,star5,羊角蜜已经顺利送到了，我十分喜欢，自己想买的的商品，产品质量总体不错，物流相当给力，到货非常快，非常愉快的一次购物，给个好评！
燕***天,star5,真的超级喜欢，质量非常好，与卖家描述的一致！这质量真是太意外了，实物美美哒，触感很好，很推荐哦~包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??物流超级超级快！质量也非常不错，的确物有所值
j***M,star5,JD供货的绿宝香瓜甜瓜蜜瓜4粒装，总共有4箱。迫不及待的打开来吃了，其余放进了冰箱。每果新鲜，已经切开来吃过了，味道很甜。打算回购！
l***8,star5,多放几天更加甜，瓜香味很足，甜度也可以，水分还不错。京东物流的速度很快，第二天就送到了，整体很满意。瓜也很新鲜，整体不错。
喂***的,star5,据介绍，这是上海南汇头藤玉菇甜瓜，在京东京鲜生上买了两个装的玉菇甜瓜，份量足的，瓜非常清脆香甜，稍微放就好吃，口感会更好。京东物流送货速度很快，服务到位，给个赞。
再***手,star5,?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买
n***6,star5,正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买很快就到了，全新正品?，包装很仔细，没有问题这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择
勤***观,star5,我很高兴地向大家推荐这个物品。它的设计非常优雅，不仅在功能上表现出色，使用起来非常方便，让我感到非常满意，这些让它从其他同类产品中脱颖而出。总的来说，我非常推荐这个物品，相信它会为您带来极佳的使用体验。
0***米,star5,挺好的，羊角蜜很好吃，搞活动也非常实惠，买了一批水果，直接寄到老家，给父母尝尝。不错的，物流很给力，第二天就到了，很新鲜。
p***s,star5,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说是很满意的一次购物，感谢卖家。卖家发货很快，物流也非常给力，客服服务态度极好，很有耐心、给人一种亲切感，好喜欢。还有包装美，高端大气上档次；看得出来商家很用心。宝贝真心不错，与图片相符，没有任何差异，真的是物超所值。
晴***怅,star5,打开包装，非常浓郁的瓜香扑面而来。囗感很甜很甜，肉质细腻无渣，老人也能吃。瓜果新鲜，包装严密，物流更是非常快捷。非常满意的一次购物体验！满意再来！
贺***8,star5,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买宝贝和介绍的一样，质感很好，功能强大，用了感觉不错
我***呦,star5,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值。发货速度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快。很满意的一次购物质量很好, 希望更多的朋友信赖。 店主态度特好, 我会再次光顾的，好卖家，赞！"
Z***0,star5,物流超级超级快！质量也非常不错，的确物有所值特别满意，好评必须好评凑单买的，没想到质量跟专卖店一样，特别特别喜欢，而且价格优惠
F***_,star5,一直在这里拿的水果，这次顽固老家了，继续在京东自营买的水果，质量都挺好的，也挺好吃的，有的时候还会有一些活动，都挺好的点赞
j***V,star5,第一次在京东上购买这款绿宝甜瓜，收到后放了2天才吃，味道不错，确实很甜。每次切开时只想着好吃，都忘记拍照了，还会再回购，希望有更多优惠。
y***n,star5,好乖呀，买了两次了，挺脆的，又挺香的，挺好吃的，喜欢吃吧，还可以多买点来的，还挺快的，送货挺快，然后质量挺不错的，挺新鲜的，觉得挺好的，再买点
拒***销,star5,买来给家里的长辈和小孩子吃，个头正正好好，不大不小的吃一个对肚子也没有什么负担，大人小孩子都喜欢吃，蛮好的，一次很愉快的购物
d***x,star5,之前在水果超市买过，老好吃了，这次京东自营店买的水果，想说比店里价格美丽，品质也好，之前买过一次凤梨烂了一个，京东马上给处理了，这服务没话说
晩***晚,star5,味道还挺不错的，比较满意的 买给家里人的，第一时间发来反馈，挺好吃，挺甜的，我第一次买京东的水果。还不错呀，说吃起来还是可以的，比起外面卖的还是值这个价格的
y***嘎,star5,无条件信赖京东自营，吃喝穿用大都京东购买，现在想看想买什么，第一时间就是打开京东，然后下单购买，还有就是高效率的隔日达上门配送
y***嘎,star5,包装不错，果品没有受到外力磕碰损坏，拿出来上面还有水气，看着就不错，一直在京东自营买东西，小到针线，大到家用电器，都是京东自营
j***a,star5,这是回购很多次的商品了，商品质量还是不错的618囤了太多的货，我就不一一评价了，勉强凑个字数吧，快递还是比较给力的，基本上都能按时送达
S***W,star5,快递速度快，包装完好无损。一共四颗果子，无坏果，每个手掌大小，果肉挺多的，微甜不涩，皮挺薄的，直接吃没有苦味，整体还不错。
u***5,star5,質量不錯，價格有點小貴，快遞服務一流。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
天***o,star5,瓜不错，比较脆，也挺甜的，家里人挺喜欢吃，尤其是孩子们，推荐购买，建议活动要多搞，价格波动小，感谢小哥送货上门，新鲜即刻送到家
肖***西,star5,好评，这个瓜不大，不过比普通的甜瓜要好吃，皮很薄，很脆，甜度刚刚好，如果喜欢吃甜的就不要把瓤去掉，不喜欢太甜的就去掉吃，推荐购买
h***m,star5,瓜不错，挺甜的。这种羊角蜜是近几年才新出现的小瓜。新品种味道确实不错。我们全家人每年都吃这种小甜瓜，后来出了羊角蜜以后，现在也开始吃这种甜瓜。
x***7,star4,京东的生鲜水果品质确实不错，很甜很爽口的甜瓜。个头也是足斤足两的，说350g?很准。快递什么的也很快，基本上次日达的水平。
j***k,star4,11.9元买的一个x1.25kg，实称净重1.308kg，满足标称净重。瓜藤看起来还算新鲜，瓜皮金黄，颜色均匀，摸上去有毛绒绒的感觉，应该不错。
u***o,star5,保护措施做得到位，送来的无损伤，瓜上面还有水，估计冷藏运输的原因。有两个闻得到香味了，切开来看看还不错，里面果肉甜的，还稍微有点生，估计再放一两天更甜。
江***0,star4,快递包装与商品完好无损，给物流点个赞。不知是品种和产地不一样，还是其它原因，没有实体水果店卖的香甜，价格比实体店的经济实惠，希望能提高品质，会继续关注回购
F***j,star5,一个字——快，昨晚下单，今早收到。还有些许香甜。唯一不知道的就是斤数够不够？快递小哥点个赞，下雨也送到了。给快递小哥点个赞。
是***-,star4,水果很好 很新鲜 京东送货非常快 头天晚上下单 第二天一早就到了 包装很到位 没有磕碰和破损 收到当天就吃了 瓜略微有点生 不是特别甜 应该放两天再吃 整体还不错
s***y,star5,脆脆的，微甜，水份充足，内部靠瓤部口感粉粉，放冰箱冰一下，口感更棒，夏天的午后来一口，赶跑瞌睡。娇嫩水果，每根都用空气柱包好，无损伤运输。赞
李***A,star5,还可以吧，味道不错，最近的香瓜已经非常成熟了……之前一直购买山姆的东西，这次买便宜一点，跟上有点苦，品质还是大差不差的。
橙***生,star5,肉厚、甜润、皮薄，籽也很少，品相和口感非一般蜜瓜可比。每年45月份，其他蜜瓜还未上市，这时候蜜瓜已经成熟，是非常难得的早熟型蜜瓜，填补了春季蜜瓜类水果的空缺。每一个蜜瓜，都历经了一整个冬天的孕育！才得以积累更多的营养物质和糖分，瓜味也更加浓郁。
j***b,star5,物流很快，刚下单，第二天就到货。收到货后实在让人感到意外，小箱子里面有四个小瓜，只有手掌大小，没有多少果肉，不会有下次。
j***Y,star5,京东自营购买  个大饱满 好吃水分多新鲜包装完好 送货上门 发货快 一如既往的追求 京东购买如图所示! 值得信赖！
F***g,star5,京鲜生羊角蜜甜瓜，产自山东地理产区，坚持藤上自然熟，不催熟不打药，形似羊角皮薄个大，质地松脆清爽多汁，美味香甜香脆可口，美味又营养。
b***9,star5,香瓜已经收到，外包装没有破损，但是拆包货。香瓜有一个已经开裂。判断应该是在运输的过程之中，或者是在搬运的时候。收到了撞击或挤压导致的，但是不影响食用。香瓜的口感和味道都很不错，小孩子很喜欢吃，一个人就吃了一个。吃完以后会再买。
f***1,star5,包装完好，果子大小匀称，总重和个重都符合介绍，看上去新鲜度还可以，口感一般略偏上，属于中规中矩，活动价的话，性价比还可以。
清***旧,star5,非常好吃，价格实惠，五星好评！快递速度可以，快递员态度很好，就是有一个坏了一点点，希望京东可以改进，水果我也理解毕竟路途这么远，能保存的这么好已经是非常不错了。
涛***8,star5,前段时间买了一次，觉得味道还不错，就又下单买了一箱，第二天就送到家了，立即切开尝了一个，觉得比上次的还要甜一些，应该是熟透了。
z***9,star5,包装很仔细 里面还套了气泡袋 不过要赶紧拿出来 我吃得慢 吃到最后一个掏出来已经有水汽了 味道很清甜 有点像香瓜 不想哈密瓜那么天 反而觉得不错
h***3,star5,羊角蜜挺不错的，味道甜，口感脆，是不错的餐前餐后水果。羊角蜜比较新鲜，水分多。京东上购买生鲜很方便，送货到家，不用自己拎回来，省时省力
l***1,star5,周末是母亲节，给妈妈买点吃的。虽然回不去家，但是心意要尽到。京东配送就是方便，前一天下单，第二天就送到。包装好，没有磕碰，很新鲜，祝全天下的妈妈母亲节快乐。
G***2,star4,买了好几种水果，苹果和甜瓜还是不错的，数量也不多，种类多，这个组合搭配还是不错的，不会浪费，可以及时的吃完，做个水果捞也是不错的。
i***y,star5,给爸妈买的 这个瓜 看着像两个大黄瓜 哈哈 虽然不咋好看 但味道极棒 甜诺 又有点清脆 所以水果也是 不能以貌取 哈给 物流很快 大赞
j***a,star5,还可以吧。价格挺贵的，现在生鲜也没什么优惠。一共收到四个，都不算大，熟得好的就会比较甜，不然就很一般。新鲜度是可以的，应该不会再买了，除非半价。
疑***哟,star5,买给家里人的，第一时间发来反馈，挺好吃，挺甜的，我第一次买京东的水果。还不错呀，说吃起来还是可以的，比起外面卖的还是值这个价格的
