https://item.jd.com/8094996.html,"['京鲜生进口牛油果', '8094996', '0.7kg', '秘鲁', '进口', '常温', '秘鲁']"
y***i,star5,到货的时候还没成熟，放了一周多终于好了，口感很绵软，吃一口油滋滋的，很过瘾。牛油果的味道可能有人吃不惯，试吃还是去超市，少买点尝试下，喜欢的话可以多买点。
j***q,star5,第一次吃牛油果，准备尝个鲜，刚好看到京东生鲜搞活动，很划算。一开始送到的时候两个黑，其他都还没熟，现在天气热在外面放了几天就熟了，生吃真的难以下咽，做奶昔还不错
j***S,star5,第一次在京东上买牛油果，收到货太惊喜了，果实非常新鲜，而且包装也超级给力，牛油果一点没有碰伤撞伤之类的问题，最最重要的是果大且价格便宜，一定会回购。
无***子,star5,很好很新鲜，就是要放时间就一点 刚来的时候很绿 在外面放了一周左右 才有一个慢慢变熟的 性价比超高 是非常好的水果 适合小孩和减脂人士长期使用
亲***千,star5,挺好的，买了12个，收到都是翠绿翠绿的，很满意，今天有一个熟了，打开果子很不错，一半用来打了奶昔，一般用来拌糖吃，很美味。
j***h,star5,虽然个头有点小，但是品质很好，口感很棒，很新鲜，物美价廉，618活动非常划算，京东物流非常方便，送货上门，态度很好，好评！
a***4,star5,包装很好，牛油果质量很好，个头挺大的，发货速度也很快，物流也很快，品质很好，没有坏的果子，用来牛油果奶昔，每天早上一杯，很健康！
案***香,star5,可以，性价比高且口感不错，碰上活动很合适哦，就是一下子买多了有点来不及吃的感觉，京东速度快水果质量也不错总体来说很满意哦哈哈
C***n,star5,京东物流速度杠杠滴，牛油果也很新鲜，个头大小均匀，每一个品质都很好，完全没有坏果。收到货的时候还是生的，得放一段时间才能熟，价格实惠，性价比很高。
伊***y,star5,牛油果真的超级赞，果很大，而且很新鲜，价位也特别划算，在京东买东西从来不踩坑，每年大促的时候更划算，书香节也会各种买书
j***u,star5,非常物美价廉的购物体验，京东物流快，品质有。。非常值得购买，，，冲冲冲，。，赞赞赞。，推荐推荐。。还提回购的。。，，，买起来
f***9,star5,京东配送真的是快到不行 前一天晚上买的 第二天早上就到了 牛油果也很好 看着很新鲜 一共12个 很实惠 已经吃了一个了 跟牛奶一起做了奶昔 味道很好
j***8,star5,京东618搞活动买的牛油果一定要好评一个，价钱没的说，很划算。牛油果品质非常好，需要稍微放两天才能吃，有点青。总之会继续购买。
m***1,star5,还要放黑了才能吃，看着不错，个头也大期盼之中，终于等到了心爱的东东，谢谢！掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！
z***o,star5,很好吃，产品包装好看，值得购买，有需要下次还来买，非常棒的购物体验，京东速度超级快，昨天下单今天就到了，非常快速，喜欢在上面买东西
u***c,star5,牛油果很新鲜，所以还得放一段时间等它完全熟。我开了一个，挺生的，加牛奶酸奶坚果碎蔓越莓放料理机，味道就是奶茶店25一杯的牛油果奶昔。
j***r,star5,性价比很高，果子不算大，但是挺新鲜的，可以放很久。这个价格买到还是很实惠，目前还没熟，不知道里面什么样。好在新鲜，挺满意的
山***人,star5,价格很合理，比超市10块一个合理了太多。果子很新鲜没有坏果，刚拿到的时候还很硬，多放两天就熟了京东自营就是有保障。爱了爱了
2***2,star5,一盒中有绿的有黑的，正好放一放吃。口感不错，新鲜的。无坏果。圆圆的，颗粒饱满。很喜欢吃。包装完整，快递很快。下次有活动还会买。
l***6,star5,非常棒的牛油果，两大盒，这次实现牛油果自由了。目前还有点生，需要放几天。希望个个都好。想做牛油果奶昔，牛油果面包片，牛油果沙拉，希望没有坏果，还会回购。
u***v,star5,回购几次了，之前都挺好的，就上次的有几个坏果，希望这次的不要有坏果，性价比挺高的，没有坏果的话这个价格买到真的很划算，放两天就可以吃了
矫***妹,star5,物流挺快且送货上门，活动入的，很实惠，果蛮大的，不过还没熟，不知道味道怎么样，看着是不错的，吃了再来追评，挺满意的一次购物。
w***6,star5,这家店铺里的牛油果?很新鲜，宝宝辅食很需要牛油果，营养价值高，宝宝也挺爱吃的，价格很美丽呢！！！吃完了再来继续买！！！
孙***4,star5,个人很喜欢吃牛油果，趁活动买了两盒，孩子居然不吃，来的是青的，跟耐放，自己吃可以放好多天，熟一个吃一个也挺好，多谢优惠政策
雨***6,star5,牛油果的营养特别丰富，超能补充身体所需的维生素，弄奶昔也超不错，牛奶是香味加上牛油果的浓郁，一切都刚刚好。但我个人喜欢单独吃，沾酱油也超美味，超柔滑，很浓郁，口感超丰富。
j***1,star5,价格便宜，质量优良，水果鲜美，做个果汁，做个沙拉，简直不要太完美。多搞活动啊，可以实现水果自由，就靠京东啦，快递很给力的。
u***a,star5,物美价廉，买一送一，一盒六个牛油果，颗粒大小均匀，非常新鲜，刚开始是绿色，硬硬的牛油果，在外面放几天就熟了，熟了很好吃。
u***8,star5,很新鲜。趁着做活动领劵的时候买的，价格好划算，店家多做这样的活动呀 。宝贝收到了，和实物描述的一样，发货速度很快，物美价廉，值得大家放心购买
s***y,star5,昨晚下单，上午到货，这速度也只有京东了，超级给力的。这次是618活动，特别划算，这么大二箱才20几元?，天呐，我得再去下一单。牛油果还没熟哈，我放两个苹果进去催催熟，迫不及待了，还有一箱放入冰箱。
武***妞,star5,不怕大家笑话，我第一次买牛油果?，包装的很好，果子新鲜的很，个头匀称。关键价格非常给力啊，满满的两大盒子，够宝子吃几天了
回***酒,star5,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?。没有坏果，颗粒也够大。物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来
那***西,star5,买给宝宝做辅食吃的，还需要放两天才能吃，今天尝了一个还没完全熟透，口感还可以，过两天应该就很好吃了，满意！!!下次还要买。
k***a,star5,京东的牛油果真是太让人惊喜啦，这次是什么神仙活动，618吗哈哈哈，买一送一，这样的活动以后多来点，每次买自营的水果都不会失望，这次更是打开的一瞬间让人惊喜，以为这个价位是小果呢，明显果子很大呀，比描述的都大，太值了吧，赞赞赞
j***9,star5,京东的生鲜可以放一百个心买，不仅送货速度快品质更是没得说，这次做活动买下来也超级划算！而且果子大小非常均匀，也非常新鲜，有几个可以直接吃有几个青一点的还能放放，真的太周到啦！
j***6,star5,买给9个月大的女儿吃的，宝宝喜欢吃牛油果?，价格比超市便宜一半，不过个头也小一些，但是特别适合给宝宝吃，大果宝宝吃不完家里大人又不喜欢就只能丢了浪费掉了，这种大小很合适。包装也很好！
东***儿,star5,???太棒了吧，个头好大哦！牛油果??????买一送一，真的很棒??????活动多多吧，会继续支持的???
j***p,star5,虽然是宝宝果，但是个头还是挺大的呀，今天切开一个，里面也很新鲜，好评哈，现在价格也便宜，真是物美价廉呀，哈哈哈哈，下次活动还来
p***g,star5,今天刚刚收到货，两大盒，看起来挺新鲜的，还没熟，可以放一段时间，个头不算特别大，不过我觉得也还可以，12颗，挺多的！价格也很实惠！等熟了再试下！
j***1,star5,买来非常实惠，超市一般都要十来块一个的，但是这边购买满满两大盒，物流速度很快，果肉很细腻，新鲜水果。多次购买了，不错的品质
w***6,star5,牛油果收到拆开，发现很新鲜，个头均匀，但还有完全熟，估计要放三天左右。牛油果益力多奶昔，孩子特别爱，我个人是比较喜欢直接吃。
j***m,star5,今天超级热，谢谢快递小哥送货?牛油果品质很好呀，两大盒12个价格又很实惠；大多数还是绿色的，只有2个偏褐色一点，熟成时间还要几天呢，这样对于我们食客来讲很好，可以吃一段时间啦
n***o,star5,牛油果是六颗一盒的，吃掉一个真不错，刚收到还没有熟透，可以放几天，非常的新鲜，皮薄，果肉熟了以后特别的软糯香甜，大人小孩都很喜欢吃！
u***v,star5,超级实惠的牛油果，平时因为价格太高买的不多，没想到在京东可以这么实惠的价格买到12个，有几个颜色看起来已经熟了，可以直接加牛奶打奶昔。
2***南,star5,果实大小均匀，还是很新鲜的，口感不错。快递包装还是很严实的，没有破损，。质量不错，物美价廉，比实体店价格优惠，还很方便，好评！
叫***哥,star5,牛油果特别好，质量很好。值得推荐给大家购买，买一赠一，价格特别优惠。牛油果特别好，质量很好。值得推荐给大家购买，买一赠一，价格特别优惠。
转***奖,star5,真的好吃又时尚，包装配的也很精准，618大促买的价格很便宜，可吃戴很久了，真的非常合适！要再给家人入手一份！试了下水果的质量也是靠谱的，
w***0,star5,京东自营的品质，值得信赖，质量有保障。牛油果的质量挺好的，味道很不错。关键物美价廉，物超所值，物流速度又很快，非常满意的一次购物体验！
