https://item.jd.com/100056782083.html,"['海尔LU75X5(RPO)', '100056782083', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
j***A,star5,简直太好用了，只能用完美来形容！强烈推荐！宝贝真不错，做的真细心，值得拥有，快递很快物流很快，?产品很快就收到了，比想象中还好，不错不错！东西质量非常好，与卖家描述的完全一致，非常满意
雪***9,star5,尺寸非常满意，以旧换新还减了将近*块钱，性价比特别高，送货快，屏幕效果很清晰，非常满意的一场购物。
生***好,star5,发货速度很快，下单后第二天就安装上了，安装师傅也很不错，看着效果不错，清洗度挺高，期待一如既往的不错吧
j***0,star5,外形外观非常不错，黑边看起来高端大气，屏幕很大也很智能，视听画质清晰，尺寸大小正好适合家里，安装师傅和物流都非常快，满意！
M***好,star5,电视机很好，屏幕清晰，声音也好，安装方便，操作简单，这样在家里就会想着一直看电视，海尔也是个好牌子，值得购买，电视机真的很不错
右***予,star5,外形外观：大气，基本无边框运行速度：快的一比，跟手机运行差不多屏幕音效：4k 看起来很爽，主要够大，哈哈尺寸大小：大电视看着才过瘾功能效果：还在研究，功能很多，后期好像还可以?摄像头
j***c,star5,电视很好，色彩鲜艳显示清楚。网速很快不卡顿，性价比超高。海尔值得信赖的品牌，配送很及时安装师傅很到位。
z***g,star5,外形外观：大气上档次，画面非常不错，喜欢运行速度：是我想要的，一点也不卡顿屏幕音效：声音非常满意
z***鸟,star5,新房买的电视就是海尔，感觉质量很好不错，不小心被小孩打碎屏了，第二天果断再次购买海尔电视，画质清晰，功能强大，买的75寸在看放高大上，很满意的一次购物。
a***-,star5,物流速度非常快，前一天和客服联系让配送，第二天上午就到了，师傅帮忙开箱验机了一下，电视看着还不错，性价比很搞
车***0,star5,此品牌电视机很好，非常满意。
陶***k,star5,电视收到了，电视效果非常棒，运行速度也老快了，不仅可以当电视，还可以当音响，一说话，马上就唤醒了，还可以当小爱同学，非常棒，海尔电视值得信赖。
j***w,star5,屏幕很大，色彩画质都是蛮好的！电视整体视效是不错的很高清！前后厚度挺薄的，也不会很重！音响出来的音效也是挺好！整体评价一个字，超顶！
j***k,star5,外形好看，屏幕清晰音质不错，值得购买
j***Z,star5,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！
阳***-,star5,双十一抢购了75寸的海尔电视，物流超级快，画质清晰，自带音响，大小合适，内存大，反应快，放在家里好看，好评，推荐大家购买
方***林,star5,电视挺大的，挺好，看起来就挺大
叶***虾,star5,此用户未填写评价内容
l***8,star5,尺寸够的话，质清晰，操作便捷，海尔品质值得信赖，确实是非常好的一款电视，海尔自带的高空体系也非常好，还有语音控制这画质很清晰，高清75寸经济实惠
j***c,star5,此用户未填写评价内容
上***气,star5,师傅很负责，很快就装好了，快递也很不错热血热心
妍***9,star5,此用户未填写评价内容
j***c,star5,电视的性价比很高，电视机很满意，趁活动下单的，购物体验感很好，值得购买！
j***F,star5,外形外观：我就是冲着这个外观设计颜色买的，没有让我失望运行速度：一个字  快屏幕音效：超级棒，家庭影院的享受尺寸大小：大大大大大，比电视柜还大，原计划是放在电视柜上，没办法才挂在墙上。功能效果：海尔值得拥有，家里有个旧海尔32寸的，13年一直还坚挺着即送即装：安装师傅服务非常棒哦
j***f,star5,电视非常好，画质超清晰，帧率特稳定，喇叭音质也好
m***Y,star5,物流很快，电视也很清晰。一次满意的购物。
u***q,star5,物流超级超级快！质量也非常不错，的确物有所值
高***z,star5,这款75寸液晶电视画质很清晰，自带音响，音响效果非常不错，有专业的感觉，身临其境，反应速度很快，无卡顿现象。
p***4,star5,看着不错，挺满意的一次购物，尺寸外观都不错
冰***0,star5,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！
张***惜,star5,电视机送来的很快，京东物流和产品一样值得信赖。棒棒哒。电视机很清晰。分辨率很高。喜欢的可以入手了。
j***e,star5,双12抢购的，性价比比较高，有语音助手使用起来也很方便，颜值也比较高，目前使用起来非常满意，值得推荐
倾***_,star5,此用户未填写评价内容
u***2,star5,发货速度挺快！服务周到！安装好视频效果很不错！
j***b,star5,此用户未填写评价内容
j***l,star5,此用户未填写评价内容
j***v,star5,电视包装很好，送货小哥比较负责。特别表扬一下海尔的售后师傅，安装技术好，有责任心还细心，不懂的他们会仔仔细细的给你解答，好评好评！！！
y***7,star5,此用户未填写评价内容
郝***2,star5,海尔3+32 智能全面屏液晶电视，外观设计漂亮，屏幕清晰，音质特别好，外观大气，运行速度快，操作简单。价格实惠，实用性和颜值都非常的赞，我很喜欢。物流速度很快，是正品的电视剧店铺，放心购买，客服态度很好整个购物过程非常顺利。很满意的一次购物，宝贝收到后非常满意，买得放心，用得安心。
j***c,star5,此用户未填写评价内容
l***v,star5,第一个订单还没到家就被物流通知屏碎了，联系客服后昨天晚上又重新下单，速度超级快，今天下午已经送到并且安装好了，安装师傅态度很好，75寸大小合适，屏幕色彩对比度也比较好，后续使用好的话再来追评。
j***0,star5,电视很大，价钱也合适，性价比太高了。屏幕也超清晰，不亏是超4k显示，音质也很不错，还送蓝牙音响，音质棒棒的，给海尔点赞，支持国产外形外观:很大很给力
