https://item.jd.com/100039463158.html,"['海尔EC6003-BOOKU1', '100039463158', '10.4kg', '中国大陆', 'WIFI连接，镁棒免更换，双胆超薄', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
l***1,star5,外形外观：外观好看，超出预期，不占空间，加热速度：加热速度挺快的其他特色：京东物流，京东的服务，一如既往的好，安装师傅手艺不错，海尔国产品牌还是靠得住的，其余的后边再追评
雅***畅,star5,这款电热水器的颜色我真的特别喜欢，给人高大上的感觉，质感也很不错，有很多模式，说是有镁棒免更换的功能，用用试试吧，初印象不错，相信海尔
s***e,star5,现住房一直使用老式热水器（功能少，热水不够），有直观感受，这次活动经过认真筛选确认海尔这款，80升完全够全家使用，多功能智能化非常贴合实际，外观大气，总体是不错的；
j***t,star5,外形外观：非常好看 超薄省地方  颜色特别好看 很高大上   太喜欢他的颜值了   颜值担当加热速度：非常快耗能情况：一级能效洗浴时间：非常便捷
M***n,star5,买的第二台同款热水器，海尔东西还是非常靠谱的。外形外观：非常大气漂亮 很薄 挂壁不占地加热速度：有速热洗 十分方便耗能情况：一技能耗 分好洗浴时间：一般开速热洗 烧到40度就足够用了，十分方便
笑***年,star5,外形外观：外观大气，尺寸正好合适，显示屏也很有科技感。加热速度：加热挺快。耗能情况：一天一度点？还需要继续使用才能估出来。其他特色：安装师傅也很敬业，安装的非常好
建***来,star5,电热水器一直用海尔的，质量很好，体积小巧，不占地方，不压头，功能全面，颜色漂亮。等安装完了再追评发安装效果图。很满意的一次购物。
j***1,star5,关注很久了 618快速入手，外观很小巧 不站空间 恒温模式很方便，不用来回调水温了 小孩子用很方便，安装师傅很负责
s***9,star5,外观非常精致，漂亮！国货精品，品牌的实力！物流没的说--快！送货小哥冒雨前行，辛苦了小哥！安装小哥热情周到，手法娴熟！售后跟踪及时反应速度，温馨提示！
j***l,star5,外形外观：很时尚，很有科技感，轻薄，质感好加热速度：刚安装上，还没有使用，效果应该不错耗能情况：刚安装上，还没有使用，效果应该不错洗浴时间：刚安装上，还没有使用，效果应该不错
追***2,star5,外形外观：外观很好看加热速度：用的时间还没很长，等用了长时间再来评价耗能情况：感觉应该还可以，洗浴时间：一般就是一个人，其他特色：好看，不是传统的圆筒了物流也很不错，派送很不错，安装师傅也还可以
C***n,star5,产品外观大气，扁桶设计对于小空间友好。3000瓦的功率保证了较快的加热速度，有无线功能。还可以检测水质，水质不好自动开启抑菌功能。售后安装很满意，推荐
j***y,star5,装起来特别的高大上哦，外观特别吸睛，现在这款一家人洗澡都毫无压力，洗澡澡温度都还很高，还有智能记忆功能，旁边的邻居看了都想入一款，推荐购买
n***8,star5,外形外观：超薄，完全不占空间，好看大气洗浴时间：超长洗浴其他特色：送货上门，全免费安装，辅材免费，0 收费。
小***6,star5,外形外观：银灰色很漂亮加热速度：从27℃加热到50℃大概用了20分钟，洗浴时间：3到4口之家错错有余，选了很久，做的功课选定的这个型号，看中的就是防电墙的技术，特别感谢安装师傅很给力。
j***9,star5,家里两个洗手间，一个厨房，选择了80升的热水器。上墙非常满意，热得快，智能，最主要的颜值高。操作简便易上手。安装师傅服务特别到位，非常热情
j***j,star5,本次购买海尔热水器评价如下，外形外观：高大上，美观大方。加热速度：性能嘎嘎的。装机师傅很不错的，熟手快捷。
国***员,star5,非常好 水特别热 值得推荐 快来买买买外形外观：好看加热速度：快洗浴时间：非常好耗能情况：棒
j***e,star5,海尔的冰箱太nice啦，80升的够一家人用啦，热水超级快，使用也很简单老人不用担心不会操作，这个颜色太高级啦，显贵价，值得购买，安装的师傅也很好沟通，服务很到位。
彩***调,star5,给爸妈换的热水器，选的这款最新的。产品挺好的，收到货马上安装了，安装师傅态度好。试了一下，加热很快，恒温的设置洗澡很舒服，整体好评。
徐***5,star5,热水器烧水很快，科技感满满，很喜欢，值得购买，安装到洗衣房里面尺寸正好，安装师傅服务也很好，非常满意！！！热水器和洗衣机都选的海尔，大品牌值得信赖！
n***8,star5,外形外观：漂亮大气，不占空间洗浴时间：超长洗浴其他特色：送货上门，全免费安装，辅材不要钱。0 费用
怒***9,star5,京东上买的热水器。重点表扬一下安装小哥，工作认真负责。干活儿麻利。家里的安装位置比较小，小哥精确计算，很好！态度也好。使用后再评价产品质量。
z***1,star5,恒温很好安装很快制热很快海尔这款电热水器关注了好久，家里的坏了马上下单，海尔师傅人很健谈，也很专业，热心的帮忙把旧的拆掉，安装很快。海尔这款电热水器加热很快，触屏面板看上去很高大上，买的80升，师傅说一家4口洗澡肯定没问题。
小***饼,star5,第一次尝试海尔电热水器一窍不通，不得不说客服非常有耐心解答，安装师傅服务也很好，双内胆一级能效，超薄机身，加热速度快，家人用着很方便，总体的体验很不错。
j***1,star5,非常值得信赖的品牌，质量有保障，这款warm7是免换镁棒内胆免清洗的，性价比还挺高的，而且还能恒温，我很喜欢，具体还得等使用试试了
j***c,star5,热水器已经收到了，包装完好，打开后更是惊艳到我了，颜色非常漂亮，安装师傅很认真的帮忙安装，安装完成后效果不错，主要的是机器性能很好，性价比很高。非常满意。
j***n,star5,热水器新款确实不错，外观漂亮省空间，容量大，速热功能也强大，尤其恒温控制特别好用，再也不怕忽冷忽热了，特别看好的就是这个功能，好评！
s***h,star5,家里有浴缸的强烈推荐这款，双胆增容可以安心泡澡了，另外这个颜值很能打，触控面板也一目了然，也好看多了，厚度果然只有一张A4那么长，比圆桶80L的节省很多空间，另外物流也很快，晚上下单第二天就送到了。这款BOOK免安装费用也超级赞，安装小哥这手艺太好了。总体来讲超满意，海尔热水器本身也强，一样的东西完全没必要让外国品牌含泪多赚2000
j***W,star5,热水器送货很快，昨晚下单，第二天上午就送到，中午师傅就过来安装了，安装师傅人很好，这80升的热水器够大。
羽***悔,star5,热水器看了好久，终于选下这台80book，外观高端大气，性价比也很高，送货速度也很快，到站点后当天就送过来了，很看中这台的节能效果以及可靠性能
h***y,star5,奶呼呼滴颜色，双胆太实用了！师傅态度好，干活快还干净。而且超级有经验，还指导了装前置净水器的师傅~?
j***2,star5,618活动期进买的热水器，价格实在是很给力 超级优惠，这个热水器样式也很好看，功能也很好，特别特别的满意，安装的也很快。
啊***y,star5,海尔是我国的知名品牌，产品质量有保证，价钱也很亲民，是普通老百姓可以放心购买的家电产品，这款热水器的功能非常强大，而且性价比超高。
深***t,star5,选了很久的热水器 也对比了不少 最终从品牌 功能和颜值上选择了这一款 海尔大品牌货送到后第二天就来安装了，安装师傅很专业，也很有耐心 整体体验非常不错。
挑***买,star5,外形外观：非常给力漂亮实用加热速度：非常快非常快耗能情况：非常好： 非常给力漂亮实用： 非常给力漂亮实用： 非常给力漂亮实用： 非常给力漂亮实用
阳***猴,star5,外形外观：大方好看  妈妈一眼就看上这款了加热速度：很快  不用等太久耗能情况：节能洗浴时间：水箱挺大 一次能洗很多人 不用排队 慢慢加热 节省时间
j***n,star5,东西很不错。安装师傅也很负责。外形漂亮，尺寸也不大，一家人用正好。海尔的东西大品牌，值得信赖，棒棒哒。
小***物,star5,海尔大品牌，值得信赖。外观很好。产品不错，物流很快。安装师傅安装的认真仔细。非常愉快的一次购物体验，京东自营，产品可靠。
z***7,star5,快递很快，5月1日到货，2日就可以安装，还没有真正使用，使用后评价使用效果，安装仅收取支架费用，其他费用商家负责，看看使用效果
复***圩,star5,颜值高，送货速度快，加热快，特别要表扬一下安装师傅，热情，工作效率高，冒着雨及时服务顾客。快递小哥未服务热情周到。
追***r,star5,热水器收到了，外观美观大气，看着很喜欢，安装师傅很专业，安装的也很到位，调试以后恒温出水，总之，很满意的一次购物，值得推荐
不***哥,star5,海尔大品牌，质量好，品质有保障，京东自营 ，物流超快，送货上门。师傅上门安装，专业技术好，价格透明。总体好评，值得推荐 值得入手！
