https://item.jd.com/100033868798.html,"['海尔EYBW142286GGU1', '100033868798', '45.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '一级水效', '高温除菌，LED屏显，洗果蔬海鲜']"
叶***兰,star5,速度很快 家里人很喜欢，做工精美，细节处理的好，做工精细，非常有质感的，外观简洁大方，功能齐全，已经在使用了，效果好，次日达，速度那叫一个快，安装师傅专业 很好，可调节的，有两个档位，一直就想买一款这个样的，会带朋友一起买，精美做工好，耗能情况：非常省电节约能耗，下单方便，在家里也可以买到好产品，次日达，物流给力，家人很喜欢满意，设计简洁，美观大方
j***j,star5,海尔洗碗机很好用外形外观：外观现代外观现代清洁能力：非常好刚开始用哦哦哦哦售后服务：待后面体验刚刚安装好物流速度：特别快第一天下单第二天就送到然后马上就安装了
j***T,star5,全家的电器都选择了京东，选择了海尔！送货快，****也很快，售后有保障，让人安心！洗碗机颜色和家里橱柜颜色完美契合，看起来就很不错！期待使用，希望以后使用起来很满意！
鞍***1,star5,物流很快 师傅安装的也很好 很满意，物流也很快，速度非常快，过年期间客服回消息也很及时，已经多次回购了，精致，美观又大方，很不错，这老板很地道，效果好。功能也很多，这个颜色的，很漂亮，物流快，包装严实没有破损，划算帮妈妈买的，非常满意！还会再买，各种细节做的都很好，速度很快，很智能，外观简单大气，绝了全家人都爱它
鞍***1,star5,好用好用非常的好用，外观简洁不大气，服务态度好，值得推荐，节电节能，能耗低，官方正品，外观设计有特点，机器收到了，很惊喜，不愧是顶级品牌，非常好，质量好，速度快，买的电器今日刚到就装上了，质量很好，太满意了，大品牌值得信赖，大力支持，很不错！谢谢！好卖家，拿回来马上就用了，服务也很周到哈哈，完全静音.还有前卫的家居互联设计，五星好评！机器收到了，很满意
郑***斗,star5,外形外观：非常非常的简洁大方 适合小户型厨房 太不容易了 非常棒清洁能力：清洁还不错 有待进一步认证售后服务：售后还不错 预约好师傅也很快上门 安装专业物流速度：物流速度很快 但是中间安排货物来回了几次 沟通 有点不畅通噪音程度：噪音可以接***涤容量：满足日常洗涤 三口之家绝对够了
j***q,star5,外形非常好看，外观很时尚，海尔大品牌值得信赖，清洁能力有保证，售后服务很好，物流很快，送货及时，噪音小，洗涤量大，总的来说很好，好评！！
叶***兰,star5,别人给推荐的就来看看，服务很不错，效果很好，非常棒，好用好用非常的好用，外观简洁不大气，服务态度好，值得推荐，节电节能，能耗低，简约时尚，颜色真心好看，机器收到了，很惊喜，不愧是顶级品牌，非常好，质量好，速度快，买的电器今日刚到就装上了，质量很好，太满意了，大品牌值得信赖，大力支持，很不错！谢谢！好卖家，拿回来马上就用了
2***8,star5,非常好，满足了我的要求，到货后检查东西没有问题，货收到了，比照片上还要好，使用方便，质量不错，赞一个。，垂涎很久这款，等成熟点再买?，之前做了很多的攻略，安装速度快， 服务好，根本不用再犹豫了，立马下单，买给家老人的，很满意，很满意外观高端大气上档次，安装很仔细，很满意，一如既往的好?，性价比非常高，用的时间长，颜色搭配非常完美
2***8,star5,我很喜欢，下次再来，****必备，操作面板也一目了然方便操作，也很棒尺寸大小，客服更是热情的没话说，这次购物很满意，这样不容易上火，物流很极速，稳妥，外观设计非常漂亮，值得购买哦~很好的卖家，物流师傅送货很及时，大品牌就是放心，值得入手，看着质量应该不错的，外观非常好看，效果非常好，昨天下单今天就到了，速度，相较于之前的好太多了，和老板聊的很好，东西更好
j***b,star5,用了一次，第一次使用洗碗机，还不太会，问客服很细心的教我，我觉得海尔真的很不错，售后啥的还是安装的都很不错。我的新家我很喜欢。
叶***兰,star5,给个五星好评，品牌质量保障产品可靠，感觉真的是越用越顺，性价比高功能强大，已经安装好了，最重要的是很省电，加热快，保温很好，第二天水还是热的，早买早享受，这一款非常好，刚好合适功能效果：精彩，不错不错，产品还得是这个牌子，安装顺利，这一款省电，耗电少，很满意，相信品牌的保证，价格也挺合适，喜欢的下手吧，物美价廉，物超所值，2075
2***8,star5,"很信赖这个品牌，有保障，非常棒！这个颜色，朋友也挑中这款，一个人抬上五楼京东快递棒棒，安装还是满意的，推荐购买，各种方便，顺手，真是非常满意的一次购物，必须五星好评，用了一段时间，感觉很好，家里家电都是智能的，服务好，很周到，给力，今天师傅帮安装好了很喜欢，真的很热爱,完整超出期望值，京东性价比瓜瓜叫好，下次还来找你，是比较流行的颜色"
托***逊,star5,物流快，包装严实，选择了这款，性价比高，运输速度也太快了吧，赞赞赞，无限赞，867553，京东做得越来越好了，总体符合预期，非常喜欢，颜值和实力相当给力，很可爱的样子，合适非常人性化，果断好评啦咯啦咯啦咯，质感都不错很喜欢，货已经收到！外观好看，经济实用，用了很久，趁着有活动就下单了，外观很满意。外观小巧细巧
番***杰,star5,外形外观：外观高端大气物流速度：送货快，值得信赖洗涤容量：家庭实用比较满意，一步到位的配送安装，安装师傅也专业。尺寸在装修时也预留了，当时备选了好几款，到手果然没选错，赞一个。(☆^ー^☆)
同***行,star5,外形外观：外观质量不错，功能标识直观好用。详细功能电子说明书讲的很清楚。清洁能力：洗的挺干净的，在放满情况下也很干净，比之前用过的两款其它品牌的都要好。洗后可以自动开门凉干，效果不错，感觉比风干更快些。洗涤容量：洗涤架功能分区比较多，比较合理，同样大小体积，比之前用过的两款其它品牌的容量更大。噪音程度：感觉比之前用过的两款稍大些，不过在可以接受范围内。物流速度：挺好的。售后服务：挺好的，响应及时。
f***4,star5,洗的还挺干净的，噪音也很小，感觉很不错，后悔买晚了。一家五口三大两小，一天的碗洗一次毫无压力，大汤碗什么的一次可以放好几个。各种材质餐具都能洗
j***n,star5,跟我家之前的消毒柜坑完美契合，不用额外打孔之类的，安装师傅很专业干活很细致，安装完美，东西按约定时间送到，安全性能高，质量棒棒的，态度也非常好，这个价格买到真的超值了，商家服务很到位，颜值爆表，物美价廉，包装也非常的结实仔细，机器做工精致，非常漂亮和实用，这钱花的一个字 值，设计合理，完全可以满足一家人的生活需求，外观时尚颜色好看节省空间，节能省电满意，非常好!质量好!
临***下,star5,趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞??外形外观：外观很漂亮，磨砂质感。清洁能力：配合送的洗碗凝珠，洗的很干净。洗不粘锅的话，会有少量水珠残留，可能是锅材质的原因。机器内部会有少量水残留，持续开门一小时左右，内部水基本上就干了。噪音程度：噪音很小，可接****涤容量：14套，基本上一家五口人一天的量是够了。售后服务：海尔售后很专业，很细心。物流速度：京东快递很快，可以预约上门时间。
相***宝,star5,外形外观：颜色与橱柜绝配，很有质感清洁能力：首次洗的是平底锅，选择炊具功能，太干净了售后服务：发货速度快，当天就联系送货时间了。安装师傅很耐心，安装后还给讲解了使用和注意事项，满意！
3***8,star5,相当满意!商品质量不错，颜值很高，占地，外观很漂亮，我很喜欢，买家发货快，包装很好。声音小，用起来很方便，客 也很耐心，解答我提出的各种问题，可以远程操控，速度快，安装师傅细心专业 很好，有设计感，现在家里的基本都是在京东买的，服务很好。很喜欢，外观大气，用料 足
1***1,star5,一个用了就回不去的电器，这款x3000是45宽度里最好的了，其他型号都是10套的，这款是12套的，容量和品质都很棒，电机也是BLDC变频的，超级棒，小户型推荐。
j***h,star3,3700多买的，付定金618预售。结果618当天3500多，还不能保价，真是服了，还没用过，后期来追评
p***1,star5,外形外观：可以，比较美观，操作便捷物流速度：很快，送货上门售后服务：联系很快，安装比较简单，服务很周到清洁能力：还没试，不过看了测评狠推荐这款，就买了洗涤容量：14套，应该很够
梅***寒,star5,外形外观：很好看清洁能力：洗的很干净，特别玻璃水杯，洗完跟新的一样物流速度：很快售后服务：安装师傅很负责洗涤容量：14套，很能装
j***4,star5,洗碗机收到了，质量很好，外观也很漂亮，家里人少10套够用，而且还可以分区洗，以后就可以解放双手了，计划买一个延保，10年质保1。
钱***吧,star5,外形外观：外形很好看清洁能力：清洁能力还没测试物流速度：物流是真快洗涤容量：洗涤容量是真大售后服务：安装及时，配件齐全，收费合理
j***s,star5,很不错师傅安装很专业昨天到今天就来安装了速度很快 洗碗机也还挺不错的就是可惜只能升高1cm要是可以多升高几厘米就好了这样和橱柜更合适一些
醉***酒,star5,美观大气实用，效果非常好，容量很大，解放双手，提高生活品质，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
婲***涛,star5,海尔w30金属拉丝面板 颜色很显高级 十几种洗的模式 超1级能效 14套大容量 两天送到当天安装 海尔的售后师傅效率很高 额外的收费的辅材都是明码标价 新家还没装完 机器还没试 试完再追评
洞***1,star5,洗碗机很精致，很合适家里的布局，安装师傅很专业。这么小的体积能洗12套碗，还能分区洗。安装洗了一次碗，洗的很干净，很满意，颜值超高！
j***y,star5,第一次购买洗碗机 还是信赖海尔，完美嵌入，购买体验很好，安装师傅也很耐心，心动的人直接下单，保证你不会后悔
露***r,star5,看了很多测评才选择的这一款，真的很适合小户型，外观好看很搭我的小厨房。碗洗的也很干净快速，海尔售后也有保障。安装师傅很专业，态度也很好，很赞。洗碗机真的懒人福音，太幸福了。
小***3,star5,海尔的，支持国产，为国人设计这款45cm窄洗碗机，非常实用小厨房，里面空间也可以，还带开门烘干，比某些进口品牌还性价比高
j***7,star5,外形外观：外观颜值还是不错的比较大气清洁能力：清洁效果好物流速度：物流很准时，说21号到准时到达，当天师傅上门给安装了洗衣机和洗碗机，都是海尔的，推荐！
是***啊,star5,很快就收到货啦！洗碗机外表小巧时尚，清洁能力：还没来得及使用，等我用了再来追评物流速度：物流速度非常快啦！
z***0,star5,外形外观：外观很漂亮颜值很高物流速度：下单第二天就联系我送货了，但是因为还在装修，所以没有立刻安装，后续联系师傅安装，速度也很迅速清洁能力：暂时还没有使用，等后续入住了再追评
逍***笑,star5,W30洗碗机完成安装了，师傅安装很到位，机器颜值也很高，还没入住使用，唯一遗憾的是橱柜做浅了，没有完全嵌进去，大家购买的话记得要注意橱柜尺寸
送***q,star5,外形外观：颜值在线，整个看上亮亮的清洁能力：目前还没有找售后来安装，后期使用效果到时候再反馈售后服务：客服归于特别迅速，解决问题及时物流速度：京东，基本第二天就到了洗涤容量：13套，大容量，够用
m***_,star5,外形外观：不错清洁能力：还可以售后服务：海尔售后物流速度：很快噪音程度：有点大洗涤容量：14套。物流速度很快，家里很多电器都是海尔，洗碗机是个新东西第一次用，好的话还会再买。14套应该很够用了。
s***7,star5,产品很好用起来很舒适，充电快，功能强大，细节很到位。买了很多天了一直在用，感觉很好就来评价了。这次购物很满意物流也很快，推荐购买
透***c,star5,从装修开始就在关注这款洗碗机，W30性价比还是很不错的，5000虽然有H型喷淋臂，无奈买不起呀，只要想要的功能都用也还是值得入手的，毕竟解放双手。
顾***洁,star5,第一套房子买的8套西门子，量太小了。这次对比一圈后入手这款15套的。容量很大，安装及时，派送很快。期待入住新家，先给五星好评。
j***l,star5,颜值挺高的外观摸着也挺舒服的灰色看起来也挺高大上的价格也挺实惠的，虽然还没用，就感觉这就是我的好伴侣。
4***8,star5,速度很快，很智能，外观简单大气，绝了全家人都爱它，买到了很值，推荐大家买，颜色鲜艳，显示画面清楚，非常时尚大气，做工精细，推荐忘了评价物流了，小家庭的不二之选，准没错，做工精细质量不错，产品太好了，比想象中的效果好多了，产品很好，使用方便，挺大的，颜色好大上，里面空间很大，给5星好评，挺好的挺喜欢，很满意昂不错不错，正品放心，真心觉得好，服务绝对一流 赞
叶***兰,star5,"很好，收到货第一时间打开看了，懒人的福音，很方便，大大品牌值得信赖，真的不错，做工,用料,外观，产品太好啦，爱了爱了，这个品牌的产品很放心，京东性价比瓜瓜叫好，节能省电是一级能效，一点异味都没有，一级能效比其他的要更节能些，质量真的超好！穿上很舒服，我是不会错过的，售后安装非常好，安装收费标准不乱收，一次非常愉快的购物体验"
猫***9,star5,尺寸完美贴合，送货特别快，安装好把家里所有碗盘子尤其玻璃杯都洗一遍，解锁每个程序，真是好用后悔买晚了，早知道这么香早买了，不过海尔真是性价比之王，14套四口之家妥妥的够用。
黄***Y,star5,海尔大品牌值得信赖，送货速度快服务好。15套空间很大，分区功能也很好用，主要是省水省电也省心。操作简单方便，彻底解放双手了，洗完自动开门，居家必备神器！
嬡***妮,star5,洗碗机心仪了很久，终于到货并顺利安装了，很适合我这个小户型的厨房，超窄设计真是太贴心了，值得推荐，安装师傅也很给力，不论是售前还是售后，都服务态度很好?
3***8,star5,客服真的很尽心尽力，要买真的划算，东挑西选，头都晕了，还是这家吧，评价也不错，非常推荐 而且快递很快，服务态度好，东西很棒，很好，反应灵敏，6月1日下午下单，6月2日就送达，该有的功能都有，很合我意，颜色很亮，很舒服，性价比高，用起来非常舒适，放在了房间的角落，不占地方，不要犹豫了很好的卖家，服务非常满意……非常非常方便，闺女最喜欢的颜色，效果超好，主动联系安装贴心
p***5,star5,厨房很小本来没规划洗碗机的，后面业主群里说可以燃气表移位加洗碗机，然后网上看到这个窄款的，心动下单，又发现尺寸卡的太紧了，管道可能放不了，各种沟通协调终于装好了心心念念的洗碗机，对于我们这种小厨房来说真的很实用，就是安装师傅不怎么样
k***鱼,star5,洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，安装人员准时，态度好，安装完后，指导试用一番，总体很满意。洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，安装人员准时，态度好，安装完后，指导试用一番，总体很满意。
叶***兰,star5,可以无线连接手机APP远程控制，非常推荐 而且快递很快，服务态度好，东西很棒，安装的也挺好，太棒了，6月1日下午下单，6月2日就送达，不错的品牌，颜色很亮，很舒服，外观简约而不简单，大家可以放心购买，不要犹豫了很好的卖家，服务非常满意……非常非常方便，外观好看，节能环保，很高大上呀，到了，五星推荐，功能非常好也容易操作，用起来很方便，非常满意
j***l,star5,看了很多家洗碗机，西门子，美的，最终还是选择了海尔，家里的很多家电都是海尔的，大品牌信得过，已经开始第一次洗碗了，期待使用效果，后续好用会继续追评哦，棒棒棒棒棒棒
3***3,star5,适合各个年龄段的人群，安装顺利不错，今天早上就到了，好用也会推荐朋友购买，服务好，质量好，愉快的购物，这个牌子大品牌值得信赖，很赞，客服热情，效果一流，操作声音也不大，目前没有任何问题，奈斯哦，看着很舒服 使用也非常方便，一级能效，特别省电，卖家很专业，讲解细致，家里没有电梯，师傅送上来的，天天用的话能干净不少，下次继续购买，美观大方
3***6,star5,高端的氛围;可以，为客户着想，师傅很专业，物流送货快，速度快耗能低，快递很快速，到货快，很耐心解释不懂得地方，家人推荐的品牌，超级好，下次给家里人也买个，很实用功能非常多，赞，简单易上手，做工特别精细，大热天按时送达准时安装，送货也快。价格也相当优惠，很好用的产品，操作简单，值得推荐，好评！好评
鞍***1,star5,预留的空间正好够用，值得点赞！很不错的卖家耶，连接WIFI，手机APP智能控制，安装快！好评，很高大上的感觉，颜色超好看，每个细节都做的很好，京东的商品一直很不错，家里用刚好，品质有保障，质量和服务都很满意，功能也能满足日常需求，这家店大小家电都很全，推荐各位朋友来看看，幸好服务好，换了一个新的，收到一段时间了，大小合适，我和老公都很爱，买给家里人的 用起来方便
宋***兮,star5,京东的产品值得信赖，下次有活动给家里人也置办一下，大牌值得信赖，安装技能娴熟，整体比较满意，容量大小：容量超级大，送货师傅服务太到位了，值得拥有，给5星好评，这个牌子信得过，运行速度快，几乎没有声音，太喜欢了，推荐使用，这次的购买非常满意，颜值不错真好，速度还可以，功率不算大，质量超级好满意满意很满意，简单而大气，质量非常好
4***7,star5,给设计师加鸡腿，有多种模式，水质还可以检测，客服解答问题回复的专业，早上收到，很喜欢，下次再来，帮别人下单的，朋友很喜欢，设计简约，大气十足，颜色明亮，质量棒棒的，占用面积不多，大小家庭都合适，老板人很好，值得称赞送货速度也非常的快，这个价位真的很划算，品质好性价比高，认真负责，服务态度更是没话说，每种模式都很方便，准时送达，安装技术到位
叶***兰,star5,坚决入了手，很好，用了两天过来评价的，质量和售后非常稳定可靠，终于过来评价了，挺合适的安全性高，时尚大气，很好，耐用，非常实用值得推荐，特别喜欢，非常满意了一次网购，送货及安装服务好，送货上门速度快，外观好看，材料挺厚实的，做工挺好的，功能齐全，质量有保障是正品，客服小姐姐回答很耐心，家人也喜欢这个，使用了一段时间，很不错
叶***兰,star5,分区合理，很好的购物体验真不错，外观体积小但容量大，充电方便性价比高，一直信赖的老牌子，买大家电很方便，下单隔天货就到了，颜值超高，电源稳定，运行稳定，超喜欢这款，颜色太好看了，客服服务很棒，有问必答，质量好，价格实惠点赞狂魔，产品效果好，很适合家里的装修，物廉价美 爱了，很赞很满意值得推荐还在犹豫的朋友们可以下手了，速度真的非常快，产品非常不错呢
茁***呀,star5,这个45cm窄形洗碗机不占地方，刚好适合小户型厨房，外观简洁大方，和家里装修也很搭，清洁能力也很棒，开门自动烘干，物流也很快，送货上门
鄯***店,star5,终于找到适合的型号了，店主很好，东东也很OK，整体外观大气，运输方便，比较轻巧，太惊艳了吧，正是家里所需要的，特别好，使用效果非常好，物超所值，看了好久活动买下了，送货及时，送货师傅热情，效果很棒、很舒心，很好的卖家很不错，休息时间客服回消息也很及时，放心用就是了，这一款省电，东西真心不错，外形设计的也很漂亮，性价比高很不错
1***8,star5,满意，和图片没有色差，外观颜值高！表面手感不错，质量特别好，用着顺心，国货品牌质量就是好，打开包装完好无损，对比之后还是更信赖这家，款式漂亮，价钱实惠，值得好评很不错的卖家，赞赞赞，无限赞，客服服务很好，没有一点不耐心，很方便，已经买啦，送货迅速，就一男的看到都会很喜欢，功能强大，外观大气漂亮，暂时还没用，看着很不错
叶***兰,star5,客服回复快认真迅速，外观富有高级感，磨砂喷漆面板，物流太棒了，配送很快，东西不错，发货迅速，非常好，非常好，安装非常快，且不错，颜值高，声音很小，几乎不可闻，京东好京东妙，特别简约大气，送货服务一流，看起来显得要宽敞些，服务也很好 ，东西不错，非常及时不愧是国内最好的
罗***崽,star5,海尔电器  一直都是国产大品牌  服务好  质量好 这款洗碗机45cm宽  应该是市场上最窄的一款机子  颜值高占空间小  非常满意非常喜欢   后期使用后再追评  爆赞??????????
3***8,star5,商品质量特别好，这一款外观也时尚，常在京东购物，送货上门！值得推荐，感谢京东的平台，真心推荐你们也来他家，还帮我把家里的垃圾都扔了，用着很舒服，京东自营非常给力，昨天下的单今天就到了，是我喜欢的，空间也够大，价格不错质量也不错，用了一段时间才来评价，满意，家里预留的空间正正好好的，外观时尚靓丽，物超所值
1***8,star5,京东物流配送速度快，服务态度好，产品质量非常好，嘻嘻烟机洗碗机质量非常好，用着很方便，送货速度快，服务态度好，质量非常好
l***9,star5,洗碗机非常的小巧一点也不占地儿，只拆了一扇的橱柜就可以装进去，特别适合我这个4平米的小厨房。洗的也很干净。
大***兰,star5,还没有实际投入使用，颜值还是在线的。物流速度：速度快售后服务：安装响应也非常迅速，当天师傅就来安装了。
M***T,star5,外形外观：外形很漂亮清洁能力：清洁能力强售后服务：售后服务也很好物流速度：物流一如既往的快噪音程度：很可以接***涤容量：还可以吧
p***差,star5,随着现代生活节奏的加快，家庭厨房的空间越来越紧张，洗碗机作为一款省时省力的厨房电器，逐渐受到越来越多家庭的青睐。然而，选购一款性价比高、质量过硬的洗碗机对比了很多，还是选了海尔！海尔这个13套洗碗机，客服很好，送货就电话说安装，由于厨房改造还没有弄好，等以后安装了再追评！**实体店做活动3599网上便宜多了。
大***妈,star5,618买的洗碗机收到 ，心心念念了好长时间 终于下手 ，送货很快 没有让我失望 ，安装以后高大上的样子 。洗碗洗的很干净 ，容量够大 ，只是我还不太会摆放 还在学习中 。喜欢这个分区洗功能 ， 碗少的话可以选一层，洗完以后自动开门晾干 。再也不用为洗碗发愁了 。
