https://item.jd.com/100048690760.html,"['卡萨帝BCD-550WGCFDM4WKU1', '100048690760', '148.0kg', '中国大陆', '一级能效', '变频', '190cm以上', '钢化玻璃', '风冷', '80.1-85cm', '550-599L', '白色系', '多门', '嵌入式', '电脑控温', '65.1-70cm']"
y***h,star5,真的是一份价格一份货，用料一看就很扎实。特意选了喜欢的白色，颜值果然很高。开了一晚上，制冷效果杠杠滴，声音也很轻。
c***k,star5,功能，容量，颜值，全部在线。符合自己的预期。期待通电后的表现！表扬下售后诗语：回复及时、专业！
3***1,star5,京东就是快，服务好，价格优，品牌值得信赖啊，非常方便，值得信赖的品牌，非常喜欢，家里人很满意哦，完全出乎意料，超划算，体来说性价比高，这次购物体验不错宝贝收到了，给婆婆公公送添宅礼物，不错，质量非常不错，使用无噪音，超级静音，大品牌，质量有保障，产品的外观特别大气，可以用很多年，真的物超所值，性价比确实高，底盘也算稳，终于等到货，马上可以安装
H***y,star5,冰箱颜值非常高，制冷效果非常好，空间非常的大，一家五口人用完全够用，非常的喜欢
3***1,star5,客服也太有耐心了 不错，态度非常和蔼，安装速度很快，值得信赖 支持，临走时带走所有产生垃圾，送货速度非常快，外观时尚大气，很好啊，性价比很高，价格透明，精神值得学习，会第二次购买的，安装快，操作简单，很满意哦，运行平稳无噪音，很好，价格便宜，小朋友很喜欢，比我想象中的还要好竖起大拇指，踏实的服务态度让我敬佩，不在家也可以随时控制
毅***1,star5,简直太好看啦。品质非常好。特别重，很敦实。空间很大很大。送货师傅也很好，因为冰箱很重，来了不止一个师傅送货。而且我们因为装修问题，冰箱不能进场，物流那边也很痛快的给寄存了很久很久。
3***1,star5,"客服很耐心，描述的一样，安装同步：送货，安装一步到位，123456，不会让你们失望的，买的她推荐的型号，这个牌子的东西一如既往的好，谢谢喽！我的同事们都很喜欢呢，很满意,很喜欢，安全性高很不错，经常在京东购物了，家电也是，发货快运输速度也快，客服也太有耐心了 不错，价格便宜，非常合理，产品相信质量好，临走时带走所有产生垃圾"
金***3,star5,冰箱外观时尚大气，简约，白色很喜欢?等使用后再反馈使用效果
3***7,star5,拿回来马上就用了，太漂亮了，完全静音.还有前卫的家居互联设计，挺好的我真的很喜欢，外观漂亮，省心省力，好搬运，比较轻巧，多年的大品牌值得信赖，性价比很高，外形外观很漂亮，它真的很好，而且价格也低，好品质产品质量保证正品，家里人说这个牌子的好用，安装师傅人很好，产品好，颜值高，前几天刚刚看见就下单了，还会再来光顾。最爱京东
s***2,star5,商品质量很好，细节、品质、做工都非常好，发货贼快，快递也给力。
1***m,star5,冰箱非常不错，很美观大气 也很漂亮。希望用起来也一样完美
硕***6,star5,一直想买一款法式冰箱，最终选中了卡萨帝550，完全符合我的期待，双循环和低氧保鲜还有空气净化，最重要的是白色太好看啦，妈妈看到第一眼就说很高级，送货员态度也超级好。
s***k,star5,心心念念的大冰箱，法式大冰箱终于到了，白色配合家中黑白配的装修，非常养眼，因为刚刚运到，所以还不能开机运营，等时间到了，检测下整机状态，希望一切功能完美！！
u***o,star5,冰箱很好看 容量也很大 保鲜效果相当棒
8***9,star5,萨帝冰箱到家了，第一感觉容量大+质感高级，这款卡萨帝冰箱的容量为550，对于5-6人的多人家庭来说足够了，大家可以尽情存放各种食材进入其中，也不会感觉到拥挤。同时细胞级保鲜。保鲜能力确实没得说，一串葡萄放入冰箱里面。几天后拿出来，新鲜度依然很好，这样的保鲜能力确实非常牛！
丶***生,star5,此用户未填写评价内容
y***0,star5,618活动买的，便宜了很多，买下来很划算！父母总会给我们带很多吃的，550升够我们囤不少好吃的了，很能装！外观是玻璃面板，配白色很漂亮。完全听不到任何噪音，很安静。制冷很快，冰箱内不起霜，用了小半个月，即使冰过几次榴莲也几乎没有什么异味。总之很满意，非常推荐！
z***9,star5,颜值没得说，噪音很小。空间够大
j***f,star5,宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！
s***9,star5,冰箱质量没话说，面板是镜面的，橱柜60cm，这个略略超出一些，可接受吧。但是半天不发货就真的让人觉得很不好。最开始说的15天发货，结果到了15天又让等，就让人感觉很不好了。最后通过与客服沟通和交流（言辞比较犀利）之后，终于在第二天电话告知可以立刻送货了。
土***糖,star5,大气 漂亮 值得买
儿***酱,star5,使用了一段时间，制冷效果还不错，分层分区比较合理，可以买～冰箱重，送货两个人抬着都挺费劲，送货员会一直推销保修业务，不喜欢～
小***a,star5,白色挺好看的，而且容量三口之家也正合适。看了很久最终选择了这个550，是我满意的冰箱，家里人也很满意。等过段时间再来追评使用效果。
淡***清,star5,卡萨帝的冰箱种草很多年了，终于拔草了，确实制冷效果好，也不会出现结冰的情况，直播间的小姐姐很热心的介绍，售后思月也很细心解答。
水***可,star5,白色真的是既实用又美观，很高级，质感很好，主要是零嵌，与柜子完全贴合，完美嵌入，简直是强迫症福音!容量很大，功能分区也多，满意!
j***8,star5,京东买的，服务很好，各方面都可以，在装修还没拆，但是京东买的还是很放心，送货也满意，快，准，好，等装修的差不多了再预约安装
j***z,star5,一直想买一台卡萨帝的冰箱，在网上看了几款法式多门冰箱的介绍和评价，最后选择了这款，因为它的设计很高端，功能也很强大，非常满意
j***3,star5,冰箱已到，很帅的
k***l,star5,外形外观：整体外观大气整洁，空间分布合理，后面背板是平整的，很适合做内嵌，应该非常合适。期待完成定制柜以后的效果。
4***8,star5,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。②正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说好。客服服务热情都到。物流很给力③包装很好，快递给力，卖家很有信誉，发货速度也很快。价格更是比别家的实惠多了④质量非常好，与卖家描述的完全一致，完全超出期望值，包装非常仔细，很满意的一次购物⑤刚收到货有点不懂得该怎么使用，咨询了一下客服，没想到客服的人超好，介绍得超仔细的⑥到货很迅速，质量也不错，好店铺，推荐了~还在观望的朋友们可以毫不犹豫的下手啦！⑦六星好评，多一星不怕你骄傲，还在犹豫的朋友赶紧下手，良心推荐，真的很不错，性价比也很高，以后还在这家买。总之：满意！满意！满意！⑧真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物呢~~~⑨收到宝贝真心不错，性价比很高， 经济实惠。快递的速度也是给力，收到之后打开看，各种东西放的非常齐全，包装
h***0,star5,冰箱的外观很漂亮，冰箱质量也很不错就是很重要三个师傅搬才能上楼，这个牌子的冰箱很尤实本人很喜欢所以选择了买这个冰箱。。。
j***H,star5,最喜欢的家电之一，发货是真的快，昨天买的今天到了，静止一天，明天通电试试效果，客服思月回答问题积极，和蔼可亲。
白***e,star5,包装细致没有磕碰，颜色也时尚，存储面积真的超大，分区很合理，一眼就爱上了，占地面积不大，放在我家沙发边上刚刚好
j***来,star5,纯白色颜值还是非常高的，下单第二天到的货，静置24小时后使用，使用情况后续再看吧，不过卡萨帝的品质应该还是不错的
h***d,star5,外形外观：外观设计简约大方，很容易和其他厨房电器搭配，风格不突兀。外壳材质有质感，有种高级感。制冷效果：制冷效果不错，还有多种模式选择，很方便。容量大小：容量大小足够五口之家使用了，法式十字的分隔也很合理。
月***坤,star5,冰箱尺寸刚刚好，已经开始在使用了，珍品区和保鲜区比较实用，法式冰箱的优点就是抽屉一次拉出，不用开两次。
w***5,star5,干干净净的大白冰箱，颜值超高。制冷的时候几乎是静音的，听不到声音。非常喜欢！客服思月也很nice
j***9,star5,卡萨帝这个冰箱真的很好看，我非常喜欢白色！等了好久终于等到了。功能也是非常齐全！
翎***凌,star5,完美契合预留的位置，为了搭配柜子特意选的白色，档次高、颜值高，上墙效果很棒！
U***i,star5,颜值超高，心仪好久了终于618下手了，感觉哪哪都好，不知道怎么形容，放在家里心情美美哒！
会***卜,star5,外观非常漂亮惊艳，趁618活动入手，价格非常实惠，物流也非常快速，刚好切合，值得推荐！
睡***1,star5,冰箱不错 ，颜值高，是我喜欢的，功能很强大，有母婴功能和保鲜技术，推荐。售后思月也很耐心
