https://item.jd.com/100033033456.html,"['卡萨帝C1 H10S3CU1', '100033033456', '86.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '80.1-85cm', '上排水', '55.1-60cm', '紫外线除菌', '冷凝烘干', '10-20kg', '深色系', '直驱，除菌除螨，延保服务', '60cm以上']"
j***s,star5,趁着618买的壁挂洗衣机到货安装好啦~自己现在房子用的是大宇，新房子挑了卡萨帝壁挂洗衣机试试，由圆变方了，外观上还是很好看的，做工设计也还不错，挺好的了，没买高配，感觉烘干功能没啥必要，够了，这波价格很合适
Y***0,star5,给送货上门，送到家里，没什么乱七八糟的东西，有档次，跟图片上一样一样的，和详情介绍一样的，如果需要下次还找，和实体店一样，价格还优惠，没有任何问题，说实在，这是我~购物来让我最满意的一次购物，已收非常满意，速度快，能耗低，制冷效果也非常好，祝你生意兴隆，品质非常好，小桥流水哗啦啦，好商品必须顶呱呱，发货比较快，拆开包装后惊艳到我了，质量杠杠的！值得推荐
l***d,star5,平嵌的装上去就是好看，和柜子整体风格保持一致。又可以洗又可以烘干，再加上白色搭配，非常nice。最重要的是这款还可以手机联网，直接在app上面进行操作查看。
j***d,star5,洗衣机外观看起来非常高级，第一次用烘干功能十分给力衣服拿出来可以直接穿的程度，还有触摸屏等智慧功能也很方便，上门安装的师傅态度也很好基本是有问必答，活动期间买的实在是太划算了！赞
哈***6,star5,五星好评，非常好！想不到那么快就到了！洗衣机非常安静，外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！
王***8,star5,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?
6***9,star5,便宜划算推荐，用的时间长，其他目前都还好，很不错，趁着做活动领劵的时候买的，几个人帮忙搬运过来的，速度快环保实用，家里人都说很不错，很满意，希望更多的朋友信赖.，耗能情况很省电，在京东这里买还是很放心的，完美的购物 点赞，全家都非常喜欢，外观很YOU逼格，宝贝真心不错真的是物超所值，产品外观设计大气
L***0,star5,萨帝（Casarte）光年平嵌 超薄滚筒洗衣机洗烘一体机WT2 全自动家用微蒸汽空气洗 智能投放 紫外除菌HD10WT2ELU1  ?兜兜转转还是选择了这款，品质没的说，技术沉淀摆在那，功能成熟且强大，颜值也非常的高，作为国产品牌可以说是国产之光，值得被选择[鼓掌]#?卡萨帝618与爱共居#
I***言,star5,对比了很多品牌，最后选择了卡萨帝的这款，618活动入手还有礼品，很划算，送货师傅说一车机器就这个最沉啦，质量保证正品，白色美观大方干净，值得拥有！以旧换新还能更便宜，赶紧冲鸭～
登***享,star5,外观:很NICE!  物流:很给力!  售后:很专业!  客服:很热心！总之，满意满意满意！从房子装修开始，一直在关注这套洗衣机，总盼着6.18能有优惠！心心念念，6.18果断出手！下单、预约、送货、安装，过程流畅，产品到货也不负所望！尤其感谢售后小思月，好多细节多亏她提醒！给思月点个赞！
苗***子,star5,新洗衣机收到啦?非常好的外形和品质，性价比超级高，售后服务也特别好，安装师傅上门安装很及时，也很尽心尽力，非常满意的一次京东购物体验。
s***1,star5,送货速度杠杠的，这个超薄的尺寸，在我家装上刚好，还特别沉，白色的挺好看，安装后试了下挺好用，我还在底下加装了底轮，方便清洁地面
夏***风,star5,618活动买的，是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买，送货很快，安装师傅也很认真，非常满意！
3***1,star5,售前售后服务一致，非常好的一款产品，第8购买，这还不买？太划算了，特别好看，性价比超高，店主很好，东东也很OK，特意过来评论一下，电线长度够用，太超值了，这是我买过最好的，首选体验感不错，使用效果非常好，没有瑕疵，完美的一次购物，非常不错还会在购买，都很实用确实不错。，质量很不错，价格页优惠了，回答有耐心，解答很细致
j***g,star5,这个洗衣机质量真的是太好了，价格也给力，双筒洗真的是太方便了，售后服务也很好，简直就是完美，非常值得购买。
杨***意,star5,颜值很高，目前还没使用，功能很多，希望对得起卡萨帝这个牌子。另外快递小哥很好，服务安装很到位，点赞。客服也很好，比较给力
u***p,star5,物美价廉，快递很快，东西质量质感很好，客服扇扇耐心讲解，一步一步都给安排好了，非常感谢！申请加工资，希望越来越好，非常推荐购买
j***x,star5,一直心心念念，一直拖拖拉拉，终于还是下手买了，颜值在线，效果杠杠，价格也是辣手，没办法，为了孩子，解放双手硬着头皮上了。安装是等地漏、双通、都买好了再联系的，也算是了却一桩心愿吧。
大***萝,star5,心水很久了，终于在活动中拿下，京东买家电服务越来越好了，海尔售后也是，国产一点不输合资，活动给了十年整机保修，超值，今年六一八比往年给力多了，上门神速，师傅也是认真负责
j***j,star5,挺好的洗衣机，和描述相符，活动价格也不错，以后有需要还会过来买卡萨帝。京东的物流也很快，很满意的一次购物。卡萨帝很好，喜欢
j***v,star5,外形外观：挺好很大方送货和安装效率很高收到货马上洗了静音程度很满足售后思月服务也不错，这次选择没错
j***g,star5,外观漂亮！非常满意的一次购物！大品牌值得信赖！谢谢【售后思月】的耐心解答！！！服务非常好！！非常愉快的一次购物！！！！！
嘟***1,star1,预约安装时间几次弄不好，什么服务呀？
u***c,star5,喜欢卡萨帝的品牌，对比了一下，选择了这款超薄的，放在家里正好，颜色与家里的装修风格相符，物流很快，客服态度很好耐心的讲解，安师傅服务装也很到位贴心，好评！试用两次不错?
l***8,star5,卡萨帝的这款洗衣机外形简约大气配色高级适合家里的装修风格，并且洗净效果与除菌效果都特别好，带给客户的体验感很好，能满足日常生活的洗衣清洁需要，容量也特别大可以一次性搞定很多件衣服，触摸板灵敏，且操作建议，可以带给客户很大的满足感，提升生活幸福感，客服回答问题耐心可以解决客户的问题，且售后工作安装也非常便利
j***y,star5,商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~????大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！
-***-,star5,卡萨帝的这一款洗衣机 可以自动添加洗衣液柔顺剂  居然还能放洗衣粉 第一次见  程序控制挺方便的 烘干还没试 整体挺满意的
u***g,star5,家里第二台卡萨帝洗衣机，品质一如既往的好，外观大气，使用也简单，适合家中小孩子使用，售前客服诗雨，售后客服思月都是有问必答，还有安装的赵师傅也是服务周到，干活干净利落
j***8,star5,卡萨帝的这款双筒洗衣机几乎满足了我的所有需求，外形美观，操作简单，功能强大，可以上下筒分开或一起洗，下筒洗烘一体，最重要的是大大节省了空间，阳台再也不用放两台洗衣机了。
j***7,star5,买它主要是看中静音，再次颜值是真高啊，我们北方用不到烘干机，买了双子洗的，内衣外衣分开洗，干净卫生又方便
d***r,star5,给爸妈买的，卡萨帝是出口欧洲的，一直价位更高，这一次买了，哈哈，还挺便宜的，希望质量好，主要看重电机，来自巴西的技术，支持海尔，支持卡萨帝。加油加油加油加油！
j***D,star5,卡莎蒂的这款挂壁式洗衣机，包装严密，没有破损，质量好，价格便宜，外观设计时尚，体积小，不占空间，可以连接WiFi，使用简单方便。
傥***微,star5,送货快安装好，服务到位。机器安静，洗衣效果还没看。送货快安装好，服务到位。机器安静，洗衣效果还没看。送货快安装好，服务到位。机器安静，洗衣效果还没看。
u***s,star5,外观时尚，之前一直用西门子这次特地换卡萨帝试试，果然声音比西门子小，到货当天师傅就上门安装了，功能挺多的，装好马上拿衣服洗洗看
j***j,star5,去年家里装修完就开始选电器，对比很久，选择这款洗衣机，不光外观好看，更能满足家里洗衣需求，宝宝衣服和大人衣服可以分开洗，省时又省地儿。
j***0,star5,看了其他品牌以及款式的洗衣机，最终确认买了这个。这个青色还是蛮好看滴，最重要的是洗净比也比较高，功能丰富。噪音比波轮的小多了?
g***d,star5,感谢618以旧换新，价格便宜很多，目前看声音比之前博世的小很多。之前用两个洗衣机，小洗衣机给宝宝洗，但是小洗衣机不好拆机清洗，索性买了复式洗衣机，选了卡萨帝，目前还ok，用段时间再看看哈
u***k,star5,洗衣机精挑细选，最终定下了这一款，纯平嵌入的设计使得整体更加的美观与平整，颜色也是我比较喜欢的颜色，只是由于柜子没到，就直接先放到了墙角处
j***k,star5,还不错，边远山区能送货上门并按照好，服务到位，洗衣机颜值在线，使用方便，智能洗烘几十分钟衣服就干了没皱，京东购物放心省心
j***1,star5,终于买到可心的洗衣机烘干机，洗衣机清洗干净，烘干机烘完没有褶皱，：衣物不用晾晒了。特别感谢售后诗语。
爱***芮,star5,买到了心仪的洗衣机，为了洗小朋友的衣服，终于可以解放双手了，派送时间准确，随后售后就上门安装调试，满意！
肖***的,star5,外形外观：外观无瑕疵，目前还未拆封洗净效果：后期安装之后会追评除菌效果：等后期入住会追平除菌效果容量大小：大容量，够一家人使用订单一开始下单到收货中间只有一条，速度确实快，收货之后安装师傅就打电话问我什么时候需要安装，因为我的房子还在装修，所以约的等装修需要的时候在联系安装师傅，很愉快的一次购物体验。
曦***辰,star5,快递给力，安装给力，洗衣烘衣自己看，烘干机声音很响，洗衣机我在桶自洁，声音一般，操作是非常简单的。安装师傅挺好的，装完后会讲一些操作方法和注意事项。
三***酷,star5,烘干机和烘干机的烘干程度差别是很大的，精挑细选的这款，果然没有失望，烘干的效果非常不错。事实证明，有的时候国产机器质量比国外的一点都不差，甚至更好，不要迷信进口产品就对了
第***域,star5,送货非常快，安装过程很顺利，东西特别好，如果有朋友问我的话，我会推荐这款洗衣机。试了一下，洗衣机声音特别小，按键灵敏，使用方便。
佩***式,star5,618搞活动买的，价格实惠，配送快，上门安装及时，也会有回访，洗衣机操作简单，上手很快，用起来很方便，洗的很干净，总之很满意，大平台的东西就是放心[呲牙]
贝***8,star5,洗衣机很好看，跟家里的装修很搭，安装师傅很耐心，也很仔细…客服售后清月态度也很好！很满意的购物
s***g,star5,外形外观：外观漂亮，时尚大气，颜色也耐看耐脏洗净效果：干净除菌效果：非常强大容量大小：容量超大，一家三口绰绰有余
薇***e,star5,正在尝试各个功能.后期追平.之前买的双子系列.那个双子系列是真的好.洗出来的衣服是柔软平整的.这款还没尝试.不知道会不会和那个一样.中间有点小插曲.积极处理了.很快.值得信赖.最主要就是售后要快.
j***w,star5,新房子刚搬进来住，洗衣机买了好几个月了今天第一次试用，洗衣机沒什么声音挺好的，哄干机声音有点大。好评吧
u***s,star5,这款洗烘套装种草很久了，颜值高，功能好京东自营送货非常快客服思月非常有耐心??????安装师傅也很好，给讲解用法??????
月***s,star5,一款颜值超高的洗衣烘干一体机，被它能洗羊绒大衣和西服吸引，详细询问了客服思月态度特别好，给解答了各种问题。送货速度很快，安装师傅主动联系，服务特别好
1***5,star5,家里填了新成员所以购入了这台小洗衣机，使用下来感觉不错，声音很小，洗的也很干净，卡萨帝的产品质量一直都很好
k***丶,star5,用了一段时间了，很好用，智慧烘干羽绒服一个多小时就干了，洗衣机也洗的很干净，家里孩子的衣服脏兮兮的都洗了可干净了。
3***0,star5,耐心认真负责的教老人如何正确使用，十分感谢，家里人好满意 赞，中国制造 世界第一，京东送货上门非常快，卖家人特别好，给朋友买的 反应不错，非常好用，自己安装的也很容易，安装小哥态度极其好，送货师傅太好了 很有耐心，质量，外观都很时尚，货超值，呵，下次再来，款式好看品牌质量好，发货速度非常快，售后也及时安装，看着还不错，很精致，大品牌就是不一样宝贝心仪很久了，
默***花,star5,这款洗衣机和干衣机，比我之前买的洗的更干净，声音也小，最喜欢的是他的干衣机有四级线屑收集功能，这样衣服也没有毛毛屑屑，有毛屑看起来衣服都不值钱了，烘得也很干。
奶****,star5,从下完单开始，配送和安装环节的客服就提前电话沟通联系相关事项，非常省心。预约安装也很方便快捷，上午九点配送到家十一点多就上门安装了，整体售前售后的服务效率很高，很满意。洗衣机也很漂亮，羊毛模式洗两件衣服，很静音。不错！
京***东,star5,店铺活动很多常常关注，颜色正，外观设计感强，手感不错！，时尚的外型，大小合适，我和老公都很爱，放心用就行，好评此次鼓励，也变得精致了起来，说明书内容详细易懂，实物效果真不错，五星好评，质量很好，很满意！师傅态度好，说明书文字清晰，内容描述详细，很不错，看中这个品牌，大气高端，非常有质感，推荐购买啊
2***8,star5,大小不错，不占地方，外观给人时尚高大上的感觉，上次买的小家电三年了还没换掉，外观非常的酷，全家人都喜欢，外形外观：外观非常耐看，为了写评价，我喝了3瓶啤酒，操作很简单便捷功能也很全面，一级能效省电环保，第一时间过来评价，各个细节做的都很好，非常喜欢这个牌子，快递非常快，外观漂亮做工精细，很好，颜值很高，非常好看
4***8,star5,安装用心，熟练，产品也很给力，用料实在还好看，外观外形挺好看，大气很喜欢，我也享受，价格比较合适，服务很好，为店家服务点赞，感谢京东物流，很结实，商家服务很好，宝贝收到后非常喜欢喜欢死啦，超出了我的预期，简直完美，打理起来很省事。好评，外观很漂亮，性价比很高，功能繁多，都很好用，发货真快，很快就收货了，点一万个赞，
4***1,star5,商品质量特别好，用着不错又下单了一台，总体感觉非常不错，送货上门！值得推荐，感谢京东的平台，真心推荐你们也来他家，还帮我把家里的垃圾都扔了，用着很舒服，京东自营非常给力，直接就用上了，很满意，经济实惠。妈妈喜欢，真是不错的品牌，用了一段时间才来评价，满意，家里预留的空间正正好好的，外观时尚靓丽，物超所值
3***7,star5,安装师傅也很负责任，实用，给两个好评，款式漂亮，价钱实惠，老板还给了小赠品，赞赞赞，无限赞，13243，外观很不错，送货迅速，非常喜欢，颜值和实力相当给力，产品质量好，暂时还没用，看着很不错，很好看给人一种简洁大方的感觉，货已经收到！外观好看，经济实用，用了很久，东西很好，外观好看
3***2,star5,送货上门，包装完美，对于小家庭来说非常棒，美观实用，杠杠滴！爱了爱了爱了，质量很好，下次还会再光顾，商品质量好而价低廉，很舒适宝贝收到了很满意安装方便 操作简单，外观和大小都很满意，，看着挺好看的，没有噪音，非常棒！
u***7,star5,家里很多电器都是海尔的，这次为新房购买洗烘套装挑了很久，最终选择了海尔旗下高端品牌卡萨帝。颜值很高，容量大，液晶屏按键灵敏，操作简洁，洗衣机和烘干机功能都很丰富，智能洗烘很省心，机器运行平稳，噪音小，衣物、家纺等洗净和烘干效果都很好，推荐购买。
嘉***贝,star5,洗衣机的外观设计很棒！触屏很灵敏，可选择的洗衣模式很全，脱水的时候基本没什么噪音，晚上再试试其他功能！
j***b,star5,卡萨帝的这款洗衣机，超预期的好，多种洗涤程序可选择，关键是洗完衣服特别干净、柔顺。烘干功能也是无敌，烘完的被单干燥暖和。洗涤过程很静音，智能 APP 程序也是非常方便，还有醒目的提示，高科技的产物果然不一般！
桔***3,star5,一直用的卡萨帝洗衣机，这回以旧换新，优惠了不少。洗衣机外观很高档，触摸屏面板很有科技感，功能很齐全，能满足各种洗衣要求。洗衣液、柔顺剂和消毒液的格子都是独立的，用起来很方便。漂洗噪音不大。总体来说非常满意！
g***1,star5,宝贝很好、已经收到用了2天、洗衣粉蛮干净的速洗时间可以调节、颜色大气、玻璃门轻轻一按就合上了、洗完以后自动开门、音乐提醒、非常棒。物流很快、安装按照预约时间执行！
j***g,star5,给宝宝买的小洗衣机，发货非常快，安装也很快，一会会就装好了。体积合适，挂墙不占空间，功能也清晰，还能联网操作，给宝宝洗小衣服正合适。很nice。
d***7,star5,选了很久才决定买卡萨帝这款洗衣机，外形时尚，洗烘一体，功能齐全，特别好的是还有等离子空气洗，可以护理丝绸、貂皮。到货安装后就拿了件羽绒服尝试护理功能，洗出来羽绒服蓬松，羽绒的味道也没有了。以后家里高档衣服不用经常拿外面清洗了。
j***3,star5,阳台做了通铺，需要一款超薄，符合家里尺寸的，又懒，不想要单独的拿出来烘干，就买了一体的，又想要洗的干净，就要求洗净比高，一眼就相中了这款，智能显示屏，父母好操作，这个颜色也很喜欢，卡萨帝的洗衣机是很多人推荐的。
