https://item.jd.com/100045077788.html,"['海尔BC/BD-200GHDT', '100045077788', '35.0kg', '中国大陆', '单温区', '一级能效', '定频', '冷柜', '机械控温', '直冷', '白色系', '顶开门', '卧式', '151-200L']"
打***童,star5,快递小哥送货快，当天下单次日送达，冰柜制冷速度快，空间容量大可以满足一家六口的日常需求，静音效果好，不会影响休息
t***1,star5,之前用的冰柜已坏，经过比较还是买海尔大品牌的，外观漂亮质量好，经使用了几天，一切如产品介绍所说，制冷效果好，除霜也不错，十分满意。
j***g,star5,挑选了好多家的冰柜，反复对比，各种参数比较，最后还是选择了这家的这款，功能，样式，节能效果，大小容量，长宽高矮都是我所需要的，好评
婉***凯,star5,618期间购买，便宜实惠，海尔冰箱，大品牌，值得信赖；外观漂亮，外形小巧精致，不占空子，但内里空间大，实用；运行声音小，质量可靠；京东自营，正品保证，京东物流，隔天到，好评
c***1,star5,发货很快，当天下单次日就收到货，京东物流就是牛。 100升的容积，日常生活中使用刚刚好。可惜这款还是会结霜，虽然不太厚，但是估计用一阵子还是要除霜的。不过，总体还是不错的。
永***水,star5,冰柜大小合适，制冷安静，几乎听不到噪音。夏天冰镇饮料，冰棍儿在合适不过了，放在墙角占地面积很小，买大的没有这个好。制冷迅速。
u***h,star5,这款冰箱绝对是无偿所值，师傅送到家以后放了三四个小时，然后选择了速冻模式，不到两个小时的时间，放到里边儿的肉就被冻得很结实了，而且尺寸也比较合适，200公升，一般家庭肯定是够用的，80×60×60cm，外观简洁，台面儿还可以放其他的东西，电源就是普通的电源，不用需要空调电源的16V插口。
p***k,star5,用了一个星期才来评价，挺不错的冰箱，看了好久才确定买，给快递小哥点个赞，一个人背上五楼，冰箱一点痕迹都没有，不错，款式挺漂亮。然后接上电源测试了一下制冷效果还挺好。嗯总体来说挺好的
j***d,star5,海尔小冰柜已收到，京东物流速度快，物流小哥服务好，京东客服服务到位，冰柜声音很小可以忽略不计，购物满意。
Y***爻,star5,还没使用，大小比较合适外形外观：大小合适，妈妈比较满意，简洁大气，之前坏的那个也是海尔的，再次购买也毫不犹豫选择海尔，大品牌质量有保证
c***n,star5,对比了下，这款性价比还可以，家里有冰箱145的容量够了，再大比较占空间，去超市对比看了下同容积的，价格上还是这个有优势，效果上目前稳定
沐***荷,star5,这款冰箱吗还不错，就是稍微一些小瑕疵，看上去像是样品机的样子，上面很多灰尘，有点儿脏啊，冰柜上的保护膜都有点儿卷边了还带着灰，不过制冷效果不错，噪音也小，就是插头出线的位置不太合理，希望厂家可以改变一下，有利于顾客使用。
L****,star5,给老娘买的，这样可以多放放东西，茶叶什么都可以放进去，京东还有10年主要部件保修，小巧，开机没有声音，海尔老牌子，值得信赖。
8***a,star5,看上去不错，大小合适，喜欢，怀疑是618退货插头没有保护，冰箱身体没有薄膜，看着还行，静止四小时在看看，有问题再反馈……哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
大***乐,star3,使用一周后噪音非常非常明显！
z***0,star5,武汉的夏天实在太热，买来放在店门口用作公益的，送货及时，头天晚上下单，第二天下午就送到了。产品外观精致，相信海尔品牌的质量。
C***y,star5,挺好，给冰箱减负了，普通冰箱冷冻总是不够位置放，所以特地专门多买一个，空间挺大的，目前还没放满，不过比较深，如果放满了可能下面的不好拿。原本只带一个挂蓝，自己再买多了一个和那些分隔的，这样比较好放东西。目前总的来说使用感还是挺满意的，有点霜，但不多。
j***X,star5,不大的一台冰柜 天气热了买来可以放一些冷饮 冰棍  一些速冻的馄饨饺子 家里老人喜欢囤货 总是冰箱塞的满满的 永远也不够放的 随性搞个冰柜吧
j***f,star5,给爸妈买到老家的。家里冰箱冷冻室小，有时候需要冷冻的食物多了就没地方放，买个100升的，京东买的方便，对比了下，买了这个品牌这款，目前用着不错。
半***醉,star5,东西到了几天了，今天算是第三天吧，东西正常运行，有一点就是没有运行灯，感觉就是一直都在运行……其他都还可以，容量还是蛮大的，现在够用了
夏***奔,star5,京东物流给力，每次都是既安全又迅速。收到外观完好，没有磕碰伤痕。冰柜体积小容量大，两口人用绝对富富裕裕，一级能效，节能环保。
大***1,star5,海尔品牌值得信赖！洗衣机热水器都是海尔的！厨房用这个冰柜的，冰柜做工好，内容量大，可以放很多东西，和客厅大冰箱分开功能了～厨房不能布置冰箱，油烟大，别跟时尚装修风格，国人的烹饪习惯不适合西方国家厨房的布置～客厅冰箱就多讲究一些，厨房冰柜主力，制冷快，功能多可以冷藏，上面板有塑封膜，太难撕了～哈哈这个必须赞一下哈哈哈哈外形外观：靓容量大小：适合推荐！
q***1,star5,一直想入手个冰柜，但是不知道哪款更适合，看了几个不同容量的，还是这个142升的更适合我的家，冰箱其实也很大，但是还是经常买一些东西需要冷冻
j***c,star5,冰箱技术比较认可海尔，上门送货很快，目前使用了一段时间，噪音较小，空间挺大，带框子，放点冰棍什么的挺方便。冷冻效果挺好的。
雪***1,star4,使用一段时间感觉很实用，夏天买了很多冰淇淋不怕化了，运行声音很小，大小也够家庭使用，就是下面的轱辘不平会晃，不过不影响正常使用。
u***u,star5,海尔的冰箱，第二次买了，142升的，升级改款了一些内容，原来是143升的，实用方便，存储能力强，不占空间，大腔体，能存很多东西，配送速度还可以。
n***J,star5,618搞活动买的，对比了价格和各方面的数据，觉得这款比较实用，性价比超高，当天下单，转天就到货了，容量也比较大，目前还没有使用，后期在追评吧。
j***m,star5,尺寸刚好，冷冻干货腊肉等等应该很够用了。缺点就是制冷时压缩机噪音在安静的客厅还是比较明显的，如果有比较大的空间安发远离，那就可以。
王***子,star5,海尔（Haier）200升低霜小冰柜家用商用 冷藏柜冷冻柜两用冰柜小型租房用小冰箱小型冷柜，尺寸小，空间大，使用起来刚刚好，支持京东
z***9,star5,冰箱感觉不错，不过还是有点小，整体小巧可爱类型，白色好看，容量大小也算可以，买了放雪糕，虽然说少霜，但是也有。四周散热，冰冻也迅速。
c***3,star5,冰箱还是支持国产的，海尔信得过的老牌子，容量大大的，玉米大丰收了，专门买来冻玉米的，这个比常规冰箱方便太多了，小小的，放在角落也不占地方。
j***o,star5,海尔品牌是老牌子了，值得信赖，小冰柜对家庭真是实用，内部空间容量够大，存储量够多，占地不大，外观好看，可冷藏也可冷冻，真好
会***荣,star5,冰柜大小合适，过年做的腊肉全部冰冻，平时买的肉类也可以放里面，家用完全足够，1级能效标识，要节能些，正常使用，希望寿命能长些，相信大品牌。
j***r,star5,海尔的小冰柜收到一段时间了，特地用了之后来评价，首先外观秀气不占地，里面容量比想象中还要大，噪音几乎没有，品牌还是值得信赖的
膜***法,star5,送冰柜的师傅不仅抬进家门，还根据我的要求，把冰柜抬到我家楼上，赞！这个冰柜出现一段小插曲，因冰柜要放置一段时间才能开机，等我拆开外包装，发现冰柜的顶门有一小块破损，立马打电话给客服，很快就有师傅上门换了顶门。这服务没说的
任***游,star5,这已经是买的第二个同款冰柜了，比年初买第一个的时候已经便宜了不少了，声音很轻，耗电量也不大，除了有霜之外，其他都很满意。
星***少,star5,机器还可以，容量大，不占空间。霜这方面还好，没有太多的霜形成，具体的就看后续的使用情况了。希望霜确实少，除霜真的是一件很烦人的事情
黄***成,star5,京东自营大家电。品质保证，不用担心。京东物流送货快。海尔的冰柜质量还是可以的。最主要是京东买，放心呀。180天只换不修。还有30天价保服务，比实体店买便宜多了。服务还好。支持国产家电
j***u,star5,京东物流是真的快，头天买第二天就到了，家里面的冻货越来越多，原来的冰箱已经完全不够装，买个小冰柜缓解一下压力，海尔的质量应该不错！
j***u,star5,公一司直购买此品牌，性价比高，商品品质好，商用没问题，家用也没问题，现在使用下来，没有任何问题，值得入手，可以购买不会踩雷。
夏***哲,star5,"冰柜已收到使用几天后来评价容量大小家用足够，能放很多东西弥补了冰箱空间不足实用功率大小一级能效节能，带轮子移动方便，声音很小；还送了冰柜篮性价比高,非常满意!冷藏效果冷冻效果很好！值得购买"
j***e,star5,京东送货特别快，晚上下单，第二天就送货到门，静止四个小时后插电，放两瓶水来测试冰冻速度，两个小时就都结冰了，非常满意！
j***9,star5,物流很快，第二天就到了。放了几个小时，通电试了一下，几乎没有噪音，制冷效果不错，100升家庭用足够了。
s***J,star5,小冰柜收到了，物流也很快，师傅给送到家还给摆放到位，态度很好，小冰柜是我喜欢的样子，大小合适，很满意。
M***3,star5,海尔的冰箱冰柜一直很值得信赖，质量好，有保证，而且性价比较高，这次买了个小型的冰柜，冰柜很精致，而且也不重，很轻巧，底下也有轮子，很方便挪动，制冷效果很好，值得购买！赞容量大小：200L
j***e,star5,包装很好，颜值不错，质量也没有问题宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖
j***g,star5,外形外观：冰柜美观大方还不占地方容量大小：家里用足够了，容积挺大的，今天已经用上了质量非常不错满意好评
物***闹,star5,给京东点一个大大的赞，刚开始担心村里送不到，没想到这么偏僻的村里，还可以送到！现在农村也方便买电器了！这个冰柜没想到这么大！很好。
水***_,star5,已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购！！！
熙***梓,star5,是理想中的产品?，质量不错，物流也很快，值得点赞！包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??
u***1,star5,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！
d***0,star5,海尔冰箱就是好！挑选几个品牌，最终还是选择海尔，大品牌，品质优，没有噪音，值得拥有。外形外观：大气上档次容量大小：正合适
j***f,star5,试用了一小段时间，颜值还行，噪音也小，容量还行，目前还没放太多东西。京东快递小哥步梯6楼帮我搬上去了，得给快递小哥一个好评
C***i,star5,想买个冰柜，认为牌子无所谓，只要便宜就好。于是买了个便宜的。用了一年还是听人劝又买了海尔冰柜。不用不知道，一用才知道材质，制冷，噪音都是不一样的！后悔才买了海尔！
羽***丶,star5,外形外观：外形大气，尺寸合适容量大小：容量很大，足够使用了海尔大品牌值得信赖，冷冻效果好，价格优惠
l***i,star5,喜欢海尔的，不错，看着很好，期待了好久了。空间大，可以放很多东西，噪音几乎没有的，放心吧。我选了好久才选的这款外形外观：都好看容量大小：合适
芫***籽,star5,买电器就在京东选，海尔这款新冰柜很满意。外观简约，功能强悍！小亮点就是它的轮子，方便移动。妈妈很喜欢！还有就是不占地方，存储量也很大，满足一大家的需要！满意满意！京东送货小哥也很辛苦啦！点赞点赞！
y***q,star5,海尔的冰柜样式看着挺好看的颜值可以，100升的容量还挺大的，可以放很多东西，占地面积也不大，制冷效果不错，很快就冷下来，可以冷藏也可以冷冻
a***6,star5,顺利收到了，送货很快。白色的外观很喜欢，有篮子，大小也很合适，是老爸想要的样子。工作时声音很小，目前在测试制冷效果。希望表现优秀
j***x,star5,海尔冰柜143升的型号特别能装，制冷特安静，已使用了半个月来评价，基本听不到声音。自己在淘宝上购买了装物架，分类放置，要煮时超级好找。比原来的双门冰箱好用多了，放的生鲜更多，节省空间，好搬动，更适合要搬家的亲。我就是因为暂时租房子，原来的双门冰箱搬来搬去要的人工费就够买这台冰柜了。外形外观：跟家里的家俬挺配的，很美观容量大小：很适合六口之家使用
j***Z,star5,给父母买的，做工很好，况且是大品牌用的也放心。保价三十天，也不用担心被背刺了。快递小哥也很好，调好了才走。给好评！！
石***汁,star5,非常满意！听了客服的建议，静置一夜之后，真的一点声音都没有了！比上一台买的某星好太多了。一级能耗也省电，关键是制冷真的快。内壁有冰，但是就薄薄一层。快递运输也很快，目前来说很满意。
l***6,star5,外形外观：外形不错，简单大方，放在家里不突兀容量大小：买的两百容量，日常家里使用够用了京东的送货速度非常快，大件家电还送货上门，很不错海尔是大品牌，对比很多家，还是买了这个。
朋***来,star5,刚刚到货的这一款冰柜，真的震撼到我了，技术又进步了！家里的家用电器，全部都是海尔出品，冰箱、空调、洗衣机、电视机、热水器……源自于我对海尔无限的爱，国货当自强！海尔是响**的国际品牌，中国制造，我为海尔兄弟自豪！
