https://item.jd.com/100035058361.html,"['卡萨帝CEC6005-CJ5(U1)', '100035058361', '33.0kg', '中国大陆', '炫彩机身，速热增容', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
3***8,star5,最后选了这一款，很棒，主要很节能，赞一个质量很好哦，发货也很快，服务也很好 ，东西不错啊，外观大气，耐看，高大上，上档次，产品质量不错，外形美观，简约大气，为国产品牌点赞，这次购买很满意，发货速 度超级快，朋友非常满意，好用，买东西就选这家，送货超快 服务特别好，外观非常不错，简约可爱
鞍***1,star5,也是很大的，已经是第8次购买了，效果明显，操作起来很方便，安装和物流一样迅速，真心不错，颜色特别好看，亚洲款式，不大不小，配送速度很快，很不错，总之买了之后还觉得很值，价格经济实惠，噪音小，效果好，东西也很好，外观很好看，也很喜欢，店铺活动比较频繁，安装符合预期效果，好看，时尚
鞍***1,star5,路过的朋友帮我点个赞，包装完美，送货及时，今天就安装完了，挺靠谱的，店家很讲信誉，有事很快给解决，爸妈都喜欢，非常好的卖家，感谢卖家，很有质感，服务态度很好，孩子最喜欢的，很喜欢这个风格，东西不错，一如既往的好，还会再来，我会再次光顾的好卖家赞，功能齐全操作简单易懂，态度很热情，简洁大方，轻奢风，耗电量低，质量已经远远超过了价格
1***1,star5,和详情介绍没有任何差别，用过之后才来评价，师傅不辞辛劳很耐心晚上给安装好了，和家里壁纸一个色调的，喜欢的小伙伴可以购买哦，做工精致，美观大方，功能丰富，初试之后效果良好，网购以来最满意的了，质量非常好，省心省力，好搬运，比较轻巧，买的好不如选得好，很划算，感觉不错，价格很实惠，六星表扬，多一星不怕你骄傲31犹豫不决的朋友会很快下单，这是良心的推荐，包装结实，放在卧室正好，颜值高，外观大气上档次
2***8,star5,比想象中的效果好多了，做工精细质量不错，产品太好了，家里的家电用品都是在京东买，推荐忘了评价物流了，送货快，值得购买，性价比高，颜值高，买到了很值，推荐大家买，后会经常光顾挺好的，和想象中一样，速度很快，很智能，各种细节做的都很好，可以链接WIFI手机控制，老人家很喜欢，昨天刚订的货，今天就收到了，效果好的也没话说，简约大气，效果非常好
2***8,star5,这款产品很不错，掌柜人很好，很方便，安装专业，功能丰富，做工也不错，1%提升更好的服务，大家一直用，东西很好，而且价格又漂亮又便宜，宝贝不错发货很快，一份坚守，一份努力，包装很实，用料很足，京东购物有保障，价格便宜还有智能功能，值得购买，会推荐朋友们来的，服务态度非常好，物流很快，智能操控，好，好，好，尽在不言中
3***3,star5,低调奢华，颜色很喜欢，发货也太快了吧，信任它! 赞个吧，质量好，好评嘎嘎嘎，非常漂亮，非常喜欢，找了好久了，这个合适，容量大  666，比较节省空间，太喜欢了，真的是非常棒，售前售后都很人性化，有保障，颜值相当高 师傅送到家，有这么多人买，性价比很高，实惠，性价比特别高，犹豫不决的朋友会很快下单
鞍***1,star5,颜色和想象的一样，产品真的很好，我表示很喜欢，外观设计美观好看，健康抑菌，还有防电墙，很满意，五分好评，因为相信京东的质量京东的服务，尺寸合适，很喜欢，京东真是好平台，寻求表扬。发货快，符合年轻人，简洁大方，价格还亲民相当满意，多搞点活动就买，结构巧妙，颜值也非常高，外观很喜欢很喜欢
j***D,star5,给父母买的 五一回家看了看颜值非常高，而且安装师傅也很专业，大品牌的睡前和售后服务都非常有保障，爸妈两个人用足矣，关键这个颜值和外形咋看咋爱～嘻嘻大家看了也都觉得非常的nice 京东物流也贼快哈哈哈哈黑
3***1,star5,有净化功能，不用换东西，做工真的非常精细，外观非常好看，效果非常好，家里的电器一直用的这个牌子，家里人用，都挺喜欢的，收到啦，很不错，不会留下指纹里面的空间呢，以后也会推荐给身边朋友，放在家里很有面子 不错不错，颜色明亮端庄，好看，配送很赞，送货上门还提前预约，就又买了一件，高大上的产品，做工精细很有质感，外观漂亮，功能很实用强大，颜值高，用起来省心
鞍***1,star5,发货速度都级棒，我强烈推荐给朋友购买，速度快耗能低，价廉物美，值得信赖的品牌，很安心，设计特别具有美感，太满意了，静音效果很好，没怎么多选，直接就下单了这款，做工特别精细，做工精细，非常有质感的，送货也快。价格也相当优惠，效果很棒，足斤足两，好，物流还快，关注很久了，活动果断入手
鞍***1,star5,包装很高端，一次很不错的选择，送货速度快，很贴心服务很好很热情，卖家服务真周到，十分满意，没有瑕疵，相信这个牌子质量和服务，经常有活动，很优惠，简单易懂容易操作，考虑买家电的可以看看，颜色很高级轻奢，售后也放心，超级好，产品质量不错，服务到位，已经使用很长时间，期待已久终于到了，外观满分，满意，和图片没有色差，外观颜值高！表面手感不错
鞍***1,star5,这一款买的人挺多的，很好，很有质感，商品收到了，外观精美，认真检查了一下确认完好，功能丰富。对得起这价格，空间设计也很合理，有问题解决很快速，没有任何拖延，特别满意！师傅安装细致，活力力度很大，外观高大上，颜值超高，送货的师傅很负责任，效率很高，是一个有趣的，性价比高绝绝子，给设计师加鸡腿，简直太智能了，购物体验很好，666
6***9,star5,真的很好操作，遥控灵敏，值得购买还会光顾的，棒，刚接上，试用一下，性能很好，功能全  操作简单，安装速度我很快，很满意，到货拆开后很惊喜，包装非常仔细 物流超快，点一万个赞，买到它，很理想，售后服务很好，预约安装也很顺利，完全够用，特别喜欢，好评，很好，六星好评。哈哈，我还会再次光顾的，用了两天过来评价的
2***8,star5,性价比极高，值得拥有，上门安装真是很方便，超喜欢，非常满意的一次购物，低碳生活，速度很快，节能省电耗电量低，先去门店看了下，还是在这买了，外形圆筒型设计占面积小，赞一个很满意的一次购物，还可以手机调控，一定会介绍给小伙伴的，放到家中很漂亮，不仅外观美丽大方 用起来又非常方便舒适，大小合适，精致美观，服务很好。很喜欢，顺手还帮我们修理了插座
鞍***1,star5,颜色明亮，质量棒棒的，不要犹豫了这家店还好吧，老板人很好，没有一点色差，材质很好，这个价位真的很划算，品质好性价比高，客服非常耐心的给我讲解型号，打开包装，描述相符的配置，挺好的 价钱也合适 挺满意，型号很全选择多样化，尽可能的帮忙节省材料费，点赞，收到了，包装完好，质量挺好的，款式新颖，非常值得称赞棒啊，没有让我失望，真是好的不能再好了
3***3,star5,"物流很快，拿回来就马上用起来，购物服务确实很到位，和商场滴一样，店家很大方，负责任，欢的不要犹豫啊宝贝心仪很久了，上午送到，下午安装，质量超级好,与店家描述的一致，性价比高，质量好，已经查收了，谢谢啦，非常大气，并且好用，款式无可挑剔 简单大方，实用，喜欢，很心仪，而且价格合理，方便，性价比高，包裹的严严实实没有任何破损"
橙***圈,star5,产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们，专门用过了以后才评价的，出水量大，温度合适，方便操作，师傅态度很好，装的很不错。
5***8,star5,"节能环保，非常不错的选择，外形，特别大气，强烈推荐，质量杠杠的，性价比高，师傅服务好，七楼也送上楼，功能齐全整体好评，比较百搭 用着放心，安装速度快，好评，机身外壳好清理，零件好拆装，家里急用，发货速度很快，开机声音小，一大早快递就到了，送给老爸老妈的,真的太开心了，包装非常仔细、物流服务态度很好，活动时购买简直太划算了，以后还来，也不错可以"
j***9,star5,热水器收到了，卡萨帝品牌很给力，选择的这款产品外观漂亮大气，噪音小，简单明了易操作，安装后效果很好，出水量大，家用必然选择这款，安装师傅态度很好，各方面都很好。物超所值，值得信赖。
2***8,star5,质量非常满意款式非常漂亮，常满意 好看，整体感觉非常满意，在搞活动的时候入手了，没有让我失望，客服态度很好宝贝收到了，已经推荐给身边朋友了，使用舒适，客服很耐心，一个字好，家里一直用的这个牌子的，好评，各种功能设计人性化，颜色没有任何色差，觉得好用，第二次又买这一款，颜值真的非常不错，整体都很满意，发货很快，一级能耗，很省电，师傅小心翼翼搬上来，送到家里
u***2,star5,安装师傅特别好，充分考虑我的需求，寻找解决方案，最后满足了我的要求，顺利安装。整体服务热情，细心，安装完毕后还清理了垃圾，收拾的干干净净
3***3,star5,客服态度很好啊，性价比很高，安装已完成，师傅态度很好，当天到货，快递很给力，非常喜欢，外观非常大气，很上档次，笔芯卖家真的很喜欢，耐用希望一直保持品质，非常好用，想买的小伙伴不要犹豫，赶紧入手一台吧，能让家里满意正好，效率很高，送货师傅态度很好，非常棒！这个颜色，朋友也挑中这款，一个人抬上五楼京东快递棒棒，外观富有高级感，各种方便，顺手，宝贝特别喜欢
2***8,star5,"安装很仔细，很细心，比实体店优惠太多，很美观，特别人性化，京东自营购买的 放心使用，物流特别好 服务非常周到，下次还来找你，是正品，外观设计有特点，真的很热爱,完整超出期望值，强烈推荐，物美价廉，果然没看错，家里家电都是智能的，正品保证，宝贝特别喜欢，各种方便，顺手，态度也很好，好评价格很优惠啊"
鞍***1,star5,谢谢店家给我提供这么好的商品，我很喜欢，质量和款式都很好，看得出来产品做的很用心，特别方便，买的超级物超所值了，比实体店便宜，质量杠杠的！值得推荐，拆开包装后惊艳到我了，发货比较快，打算送给朋友啦，高级感强，没想到包装很小心，大众好型号 买买买，速度快，能耗低，已收非常满意，用着放心，父亲介绍朋友过来买
2***8,star5,自己也能安装，要买真的划算，东挑西选，头都晕了，还是这家吧，评价也不错，含义有福气，很好，价格透明，商品收到了很满意，很好，反应灵敏，看着舒服声音好听，发货很快，快递送货上门，老板人很好有问必答，性价比高，用起来非常舒适，放在了房间的角落，不占地方，家里有各种这个牌子的小电器，很值得购买，三个字太好了，对得起这个价格，彰显格调，主动联系安装贴心
3***3,star5,"购买非常的划算,安装师傅很认真，挺大气，好评，打算再送朋友一个非常棒，终于在搞活动的时候入手了，一直信赖这个品牌，使用简捷美观，总体非常好，棒棒的机器喜欢，外观时尚，没有异味实用性和颜值都非常的赞，做工很精细，颜值高，很棒的一次购物，放心满意，发货速度非常快，很大气，看着很好，安装师傅细心负责，这个颜色非常百搭"
2***2,star5,安装很好，很专业，符合预期想象的效果，非常实用，买前对比了很多款，最终选择了这款，总体评价物美价廉，人工调节更是简单上手，颜值高，我挺喜欢的，售后服务很好，客服没有一点不耐心，师傅技术娴熟，责任心强，完全出乎意料，超划算，外观时尚，款式新颖，颜色漂亮，有需要还会再来的商品收到咯，配送物流很快，配送师傅服务态度特别好，安装速度态度好，大品牌，质量有保障，配件齐全，声音不大
2***8,star5,商家服务，质量各方面都很好，收到啦，很不错，非常喜欢，快递员还帮忙验货，非常满意 家里人都夸好，京东的服务真的是没得说，非常到位，非常满意，智能操作简单易懂，精致又典雅，即实用又美观，是一次愉快的网购，颜色也非常漂亮，京东速度就是快，颜值高发货送货快，质量不错，物流也很快啊，值得入手，好评，物包装完好值得购买，使用效果良好，功能强大，不仅物流快，送货快，服务超级好
2***8,star5,这款正合适，质量无可挑剔，价格适中，外观也很高级，赞赞赞，送货及时，安装师傅很细心，165211，价美物廉，谢谢掌柜的，这款真心好看，很快，速度很快，用起来很便利，期待使用效果…售后有保障，收到了，东西很好了，挺合适的666，都很好看爱了，比较好调试很好用，性价比很高价格挺便宜，款式是很好看，包装很好
6***9,star5,态度非常好，非常的专业，这一款买的人挺多的，很好，很有质感，产品好，服务好，几口之家都可以使用，性价比太高啦，空间设计也很合理，有问题解决很快速，没有任何拖延，整个消费过程很开心，活力力度很大，外观高大上，颜值超高，送货的师傅很负责任，效率很高，是一个有趣的，摆在家里很好看，强烈推荐，给设计师加鸡腿，简直太智能了
鞍***1,star5,不愧是大品牌，质量绝对没的说，物美价廉好商品值得推荐服务好，很客气，良心商家，支持，喜欢，还会回购的，好用好用非常的好用，推荐友友购买哦，趁着有活动快快下单，外形外观简单大方，简洁大方，不花稍很稳重，质量看得出来的好，包装完美，京东小哥一次摆放到位，服务态度好，运送速度快，很满意的?次购物，客户很耐心，家里的家电基本都是这个牌子，买回来迫不及待就用，联系这个牌子售后安装
1***8,star5,震惊了，颜色清新凉爽，一如既往的支持京东商城的，物流非常快，第二天就送到，最近下了雨里面完好无损，每个按键都试了一下，超级棒的品牌，物流服务都很棒，很喜欢。使用起来也很给力。大爱，质量超级好，家人都很满意，产品不错，好评，大品牌，京东快递无敌的存在，同事也很喜欢，京东真厉害了，智能变频，速度很快，超大屏幕超大字体，是真的很OK
6***9,star5,细节真的棒，第一次在这个店里购买，店家发货非常快，必须要夸一下这个牌子的安装师傅，收到了，外观设计简单大方，也是很大的，东西很好 物有所值  很好用，放在家里很有面子 不错不错，颜色明亮端庄，好看，一线产品一线品质，还在犹豫的亲赶快下手吧，亚洲款式，不大不小，配送速度快物流好，价比很高，给五分好评，希望以后的售后也能很好，价格经济实惠，给婆婆买的，婆婆很喜欢
鞍***1,star5,包装保护的很好，非常棒，喜欢得不得了，终于找到适合的型号了，售后服务态度好，用的也放心，有高级感，电线长度够用，真的是非常棒，售前售后都很人性化，有保障，很棒，值得推荐，物超所值，看了好久活动买下了，送货及时，送货师傅热情，真好的东西，下次再来哦回来再买的，回答有耐心，解答很细致，放心用就是了，这一款省电
2***6,star5,声音也小基本上听不到。特别喜欢，真心不错，非常性价比很高啊，是99%的认可呢，哈哈，绝对好评，解答疑问细致认真，很好很好下次有机会再买，面板操作简单，支持WIFI链接，外形外观：外观非常大气，京东商品平靓正，口碑好，外观漂亮，特别赞一下安装师傅，专业细心，送货速度快非常快，非常有质感，做工精细，态度也很好，好评不得不赞，直接买了两个，今天下午刚到的，购物很满意，到货速度快
1***1,star5,质量真的超好，不愧是大品牌，性价比高，安装和物流一样迅速，真心不错，颜色特别好看，下次有活动继续关注，配送速度很快，很不错，总之买了之后还觉得很值，外观很漂亮，我很喜欢，买来入手后，真的更方便，外观材质非常好，外观很好看，也很喜欢，店铺活动比较频繁，用这个比较合适了，绝对大气，色泽光亮，这个牌子的产品和售后真心很赞
2***8,star5,买的这个在里面算是很好的了，76523，包装很仔细，很紧，可加入智家智能系统，非常好看，大气漂亮，速度很快能耗低，一个字好，两个字很好哈哈哈哈哈，棒棒哒点赞，也会给家里人推荐这一款，已经安装好了，师傅认真负责，外形外观大气颜色很喜欢，老婆很高兴，颜值高，安装师傅很给力，认真负责，各个细节都做得很好，研发人员有心了
w***p,star5,颜值外观很喜欢，做工都是特别大气上档次，加热速度非常快，全家洗澡不用等很久，还可手机操控，够省事。功能全面，还有养肤功能，水质有保障 ，给宝宝洗澡更加放心。
鞍***1,star5,发货很快，快递送货上门，款式漂亮材质很好，买给家里老人用的，客服都很有耐心，很耐心的店主！到货也很及时，赞东西不错，还有优惠，很值得购买，三个字太好了，健康抑菌，还有防电墙，主动联系安装贴心，不用走路也能了解更多机型，送货师傅很负责，态度很好，很好。五星好评，我很满意，配色非常的好看，到货后拆开看很惊喜，这个很高大上，多搞点活动就买
2***8,star5,配送员 认真负责 有耐心，而且材质也都很结实，功能繁多，都很好用，师傅很好，很热心肠，关注很久的一款，外观好看又大气，转介绍给朋友下单，好评，热情细心，非常满意，实物外观和质感比图片看起来更好，很不错，值得入手，立马推荐给朋友了，早就想种草了，感觉很不错的，214578，提前联系我送货时间，大品牌，用起来很放心，质量非常好
鞍***1,star5,真心喜欢，值得推荐给大家，大容量足够5口家庭使用，一直想买，终于在搞活动的时候入手了，三档可调，用最高档速度快，有问必答啊，选了很久，最后还是挑了，功能很多，各个都好用，非常好质量好售后，客服介绍的非常好，很让人放心，物美价廉，还会关顾，买家电都会过来看看，买回来就用了，很方便，比实体店买的都好，质量效果好
2***8,star5,"前天下的单，昨天下午收到的，家电质量有保障，完美，尽显高大上，好操作，操作简单，质量不是吹的，家里的好多电器都是这个牌子的，物超所值，家人朋友都很中意啦，前段时间给父母入了一台，很适合小房间，值得推荐购买的，以后有需要继续买，使用之后才来评价的，很满意，?师傅很专业,很快就安装完毕，非常满意，大品牌值得信赖，效果好的也没话说，我从此踏上了网购道路，外观超级好看，真的很喜欢"
鞍***1,star5,功能齐全，就是牛，下单后第二天就到货了，非常适合家用，特别省电，询问客服，态度还算满意，京东是一个好的地方，终于拿到啦，好开心，工作起来声音不大，以此鼓励终于收到我需要的宝贝了，装好了，试了一下，十月底买的，试用了一次还行，生活品质又上一个新台阶，值得购买，为京东点赞，服务好，质量好，愉快的购物，无瑕疵，外包装很严实，服务好，安装快
1***1,star5,还是很推荐的，物流也很快，值得点赞东西很喜欢，安装师傅十分专业，认真细致，值得信赖的商家，非常完美的体验，还会继续光顾的，放心入手，可以推荐给身边朋友，产品很大，功能很好，快递不错，老板不错，质量一如以往的好，妈妈很满意，五星好评，真心赞赞赞，大家都觉得这个很好看，物流运输很快啊，外包装无损坏，真好看呐～下次再来，好看，颜色外观都很大气，迫不及待过来好评
4***8,star5,值得大家放心购买不得不赞，我怕说太多老板觉得我拍马屁，功能让我这个懒人很开心，喜欢的亲可以入手，物有所值，第一时间过来评价，家里人都很认可这个品牌，操作简单，感觉速度挺快，产品是好的，包装很紧，性价比超高，真的非常满意，颜值很高，非常好看，大牌子，值得信赖非常好用，收费透明标准，真的很不错，售后也很好，性价比高，看到包装，太可爱了，家里面积小可以用到
3***1,star5,真的不错，3Q啦，选了很久，最后还是挑了，功能很多，各个都好用，非常好质量好售后，客服介绍的非常好，很让人放心，物美价廉，还会关顾，买家电都会过来看看，店家负责有耐心，震惊了，有机会我还会再来的呵呵，使用操作简单明了，很满意建议购买，送货速度快，为京东点赞，真的是好大，安装师傅也跟着过来装机
淋***5,star2,家里家电全部卡萨帝，除了电视。本来想装林内的燃气热水器，但是走管有点麻烦，就选了电热水器。这个最大的槽点就是没有遥控器，装的比较高老人还要踩凳子控制，太还不方便了，手机控制老人不会用
3***1,star5,好商品必须顶呱呱！你要是看了必须要顶它，这速度大爱，喜欢他们家的产品，家电静音，晚上睡觉很踏实，送货和安装速度都很快 很满意，很喜欢，物美价廉，整体产品都是比较满意的，品牌安全系数高，值得信赖，特意过来评论一下，颜色也太好看了吧，发货快，物流速度也快，很安全系数很高，好用，有一种高冷锐气的感觉，没有瑕疵，完美的一次购物，非常不错还会在购买
2***8,star5,"其他目前都还好，很不错，外观好看,已安装好，几个人帮忙搬运过来的，速度快环保实用，家里人都说很不错，很满意，真的很喜欢完全超出期望值，产品真的很赞发货速度很快真的很好，在京东这里买还是很放心的，完美的购物 点赞，颜值很高，漂亮，看起来很大，很喜欢，宝贝真心不错真的是物超所值，产品外观设计大气，如果活动更多一些就好了，最主要很赞效果"
鞍***1,star5,包装严实，没有任何磕碰，物流很快价格很优惠，喜欢！物流很快，效果也很好，总体实惠，品质又好，点个赞，清洁方便，物流和安装都很快，朋友推荐给我的，很实用，下次我会有机会再来购物，一步到位，这个牌子品质有保障，在多家网店选择了这一款，外观非常的时尚，高端大气，牛刀小试一哈，满足不同情况下的实用要求，网上购物是如此快，真的没毛病和实物描述的一样
北***烤,star5,海尔的服务质量非常好，第一次收到货发现有凹痕，安装师傅耐心地帮忙换货，第三天就到了一台全新的。热水器很漂亮，颜色可能紫红还是绿色的好看。推荐购买
c***3,star5,货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢???????????
百***y,star5,超级棒 父母家里老海尔热水器用了十多年有点漏水了 换一个新的 赶上618活动 价格给力 配送神速 继续支持海尔 支持国货 服务超级棒 东西送来售后就给我预约安装了 非常好 生产日期新鲜 very good
我***宁,star5,?发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice很满意?，做工很好，物流快，客服很棒，点赞
哎***哼,star5,卡萨帝非常值得信赖，之前买的因为没注意不合适，联系客服，客服非常耐心的帮忙处理了，这是新换的，暂时未安装，等安装完后，再追评。总之海尔、卡萨帝是我这么多年一直购买的品牌，这次新装修房子依然选择卡萨帝。
L***s,star5,1.安装师傅安装的很快。2.安装的很完美效率很高。3.安装师傅很敬业。4.安装完后师傅给清理了卫生。
3***3,star5,"发货真的是非常迅速啊，果断又买一台， 大气不俗，儒雅内涵，物流很快,搬运服务到位，很细致贴心，大品牌就是不一样，品质有保障，服务到位周到，颜色是家里人喜欢的，三档变频，速度快，容量大，暂时看着还不错，这个价格仍然很划算，外观新颖物美价廉值得推荐，包裹严密，特别喜欢? 推荐给大家哈，安装很好，点赞，总的来说完美，档次一下提升了许多"
3***6,star5,精挑细选很久，最后决定买这一款，到货后果然没有让我失望，实物很漂亮，做工很精细，卡萨帝大品牌值得信赖，特别满意外形外观：外观好看上档次加热速度：加热速度很快
J***蛋,star5,卡萨帝是海尔的高端表情，有京东平台的加持。很放心的就下单了，主要京东也是信得过的平台，物流快，服务好，很愉快的购物体验。会一如既往的支持
小***2,star5,颜色外观还有做工都是特别大气上档次，特别的特别的好，功能很全，加热速度非常快！特别不错的一个物件，这个品牌还是相当不错的，京东物流送的也特别特别的快，安装师傅非常专业
l***2,star5,已经使用了一段时间了，感觉不错，才负责任的来评价，首先外观也简洁大方，不占空间，功能使用方便快捷，可以根据家里人数调节使用单缸或双缸，比较节能。
j***0,star5,整体颜值不错，小巧精致，比想象中还要大一些！适合我们这种小户型安装，刚刚好！师傅安装的也比较有耐心，针对一些问题做了专门的处理！
鲨***我,star5,挺好看外形外观：非常精致，不占地方加热速度：刚安装上不太清楚但是售后有保障不用担心耗能情况：不费电其他特色：好看，漂亮，挺喜欢的
大***8,star5,家里热水器漏水了正好五一看看，以前用过史密斯，看了几款，最后选的卡萨帝，人工费材料费都没有（除非拆吊顶和支架）还是海尔高端品牌，开始看的一款客服说可能有点费劲就给我推荐的这款，说是尺寸最小的，让我先联系师傅看看能不能装，不行再退，话说这个卡萨帝客服是真不错。师傅没来加的V给看的说可以装。然后京东送货到了说别拆等安装师傅拆。安装师傅也很神速当天下午就说来然后我说转天吧。来了三师傅，俩师傅一徒弟。挺尽心尽力的，然后正好安在了以前热水器那块。之前的热水器有个铁皮实在没弄下去，我说咋不弄了，说太紧了弄不下去，我看也不碍事，师傅装的挺快的，装完我说洗个手吧他们都不洗。走之后我试了试，洗澡还不错，洗澡水感觉都不一样了哈哈。WIFI这个也容易上手，就是有的功能不能同时一起，希望以后升级就可以吧。然后这个大水量我觉得和平时没啥区别。反正目前试了几天都挺不错。而且我这个也不用换镁棒啥的挺好。希望能用上几年哈哈。
a***u,star5,昨天买的机子，今天就送货?安装了，因为带小朋友在上课，安装师傅耐心等待了一个多小时，必须好评，第一次买卡萨帝的机子，希望能用个15年，哈哈，好用的话会回购的^_^
j***f,star5,外形外观：简洁大方，质感高级，占空间小加热速度：加热速度快，耗电少安装师傅很耐心，安装后还帮忙清理
j***u,star5,外形外观：这款热水器简直就是为我家量身寸定做的，大小刚好合适，不占用空间，容量大，安全，安装售后都有保障，店家服务太好了，能查到是正品，五星好评?????希望这款产品能一直做下去，就是这个款式这个尺寸大小的，真的是性价比很高
u***m,star5,好漂亮的热水器，而且因为我家卫生间小，它这款安装进去非常合适，看起来很大气。安装师傅服务贼好贼专业，客服也很热情专业，整体的购物体验很棒。
j***Z,star5,质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！加热速度：快耗能情况：低外形外观：漂亮
j***s,star5,卡萨帝热水器非常高大上，满满的高科技，免换镁棒，桶终身质保，客服云扬也非常专业，安装师傅更是非常专业，安装非常到位，解答的非常清楚，非常满意的一次购物
j***k,star5,热水器很漂亮！物流师傅送的很准时，包装很完整！安装师傅也很专业，机器装的很快，机器测试没问题。期待装修完成后的使用情况～
枫***师,star5,已安装完成，宝贝超薄安装上刚好，还是要买窄一些的，双热胆，出热水特别快，打开不到半小时温度就升到了五十多度，很推荐购买，这种产品还是要买功率大一些的，这样体验感才会更好，很赞
晴***生,star5,趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！上门安装的师傅也很专业，服务热情周到，必须好评。
懦***持,star5,热水器很美观小巧，送货上门后第二天早上师傅就来安装了，没有额外收费，师傅很热心，各方面都弄的很好
佳***福,star5,听说卡萨帝是海尔的高端品牌，然后，说一下本次购物经历，第一，速度快，西藏挺远的，但是就几天就到了，而且送货师傅态度很好，服务到位，第二，家里的电器基本都是海尔的，茶吧机，热水器，冰箱，洗衣机，过滤器都是海尔的，值得信赖，最后，等安装好了补充安装效果图。
j***z,star5,换成国货海尔旗下的卡萨帝热水器品牌，口碑很好，应该是值得信赖推荐的产品，20年前采购海尔套餐一直服务特好，支持国牌！
j***y,star5,外形外观：外观相比原来的热水器小了很多，加热速度：没看具体多久时间加热完的，加热到55°用了22分钟，
戚***任,star5,外形外观：包装完好无磕碰，外观漂亮加热速度：快，还有速热模式可以选择耗能情况：低其他特色：安装免费服务好
j***k,star5,选来选去还是决定在京东自营旗舰店购买卡萨帝电热水器，京东自营店质量有保证。卡萨帝不愧为国际高端家电品牌，电热水器外观造型很好看、做工精致、香槟金颜色非常漂亮，航天级金属钛无缝真双胆抗腐蚀、抑菌、阻垢健康净肤洗。洗浴功能全，单胆单人快速洗，双胆交替加热大水量全家多人酣畅浴，满足了家人不同需求的洗浴要求。京东快递送货上门速度快，电热水器安装师傅技术专业、态度热情周到。总之，这次在京东自营店购买的卡萨帝电热水器很满意！
z***8,star5,外形外观：大气上档次，简直完美加热速度：特别快，不亏是大品牌其他特色：这块卡萨帝是海尔高端品牌，做工精细，用料讲究，堪称完美，无可挑剔，如果有需要还会购买，赞??????
东***汪,star5,热水器外观设计漂亮，复合产品定位。安装师傅非常专业，安装的水平高。热水器通电后，加热很快，十分钟左右就到达设定温度，另外，app操作也很方便智能。重要的事，热水器的热水水量大，洗澡很舒服外形外观：设计高端大气加热速度：加热很快，短时间能达到设定温度耗能情况：节能，一级能效
1***7,star5,热水器外观时尚简洁，设计比老款热水器现代化，功能也很齐全，试用后水温也很稳定，不会忽冷忽热，大品牌的产品安全系数也有所保障！
c***1,star5,非常不错的热水器，蓝色显的高级，安装师傅非常有经验，电源线右边，我这个插板在左边都能插上，调整的非常好！不愧是卡萨帝！品牌服务就是好！
悟***能,star5,卡萨帝品牌很给力，选择的这款产品外观很大气，安装后效果很好，出水量大加热速度快，家用必然选择这款产品
s***5,star5,热水器质量非常好，外观非常美观，包装很完整，没有瑕疵。师傅安装非常专业，快速，还负责安装售后。物流速度很快，安装水平很高，物流小哥很专业，送货上门
4***1,star5,比心，值得肯定，非常好，准时的送到了家，我会再次光顾的好卖家赞，质量非常好，功能强大，配送服务态度好，商品质量好，简洁大方，轻奢风，耗电量低，质量第一货真价实，反正一样的东西，当然价格低一些比较好呀，品牌是大品牌，发货快，下单一天就收到了，产品质量超好，正品保障，售后服务好，满意极了，详情介绍的图片真实，我很满意亲爱的
u***e,star5,包装很好，拆开包装后颜色很好看，今天早上师傅来安转了，师傅的服务很好，按上以后很有档次，质量很好，以后有需要买的朋友，会推荐来你家店买的！
u***4,star5,改水电时提前看好了热水器，为了达到管道隐形的效果做了好多功课，水口和电源位置自己定位让水电师傅改的，安装师傅也很给力，整体效果不错，看上去干净利索，还没装修完，等搬进去用了再来评价。
j***3,star5,卡萨帝电水器不愧是海尔的高端品牌，外观设计的很上档次 ，质量很好，功能很实用，加热快，水量大，很满意的一次购物
逸***m,star5,到货及时，服务态度良好，产品用着很好，智能系统手机即可操作，十分完美，棒棒哒外形外观：外形外观：完美 加热速度：十分快耗能情况：很低洗浴时间：足够用
书***牛,star5,前一天晚上下单，第二天中午送到门口（8楼），当天晚上六点多安装好，当晚洗个热水澡，安装师傅非常认真，好的产品搭配优质服务，这就是京东，值得信赖的平台。快十年京东用户了，多的不说了品质看得见！为京东点赞！外形外观：卡萨帝的热水器品质没的说，外观设计非常漂亮，高大上的形象，很有质感，颜色很稳重又很搭整体卫浴。耗能情况：一级能效，省电，加热快！
W***d,star5,热水器已安装好了，外观造型非常好看，售后安装师傅上门非常迅速，态度也很好，功能使用情况进行待使用后续追评。
m***6,star5,卡萨帝热水器很好，颜值高，送货和安装师傅都很好，安装仔细，讲解也很到位，热水器看起来做工就不错，小巧卫生间格口正好装下，节省了空间，试了试水，一切OK，好评！！
j***场,star5,多次比较后选择的这款，果然没有失望，造型典雅，颜色也很好看，加热速度快，平时开单胆模式省电，洗澡可以手机提前设置预约加热，60L双胆一家人可以接力洗。
